date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,2421.0,,-7478,,-1518,-485,,50450,-102039.0,-29453,,-107,905,0.0,0.0,-627,,-176917,,-2214,-9045.0,8576,24085,-627,458,,-905,107,,,2013年01月01日至2013年03月31日,77516,224236,146720,-15907,-208026,-207247,311373.0,,44000,,355373,-15907,,,-61016,-132745,-193761,,,-191340,224236,19,1165,,-9001,,61278
2013-08-13,2,2013,4434.0,,-17679,,17071,-261,,71587,-127039.0,-4471,3080.0,-356,1065,0.0,0.0,-630,,-209230,,-11957,-21374.0,-3215,19614,-495,905,,-19813,356,,,2013年01月01日至2013年06月30日,77516,181441,103925,-22125,-250953,-231404,311373.0,,111000,-67000.0,355373,-22125,,,-75676,-138037,-213713,135.0,-82.0,-209279,181441,-92,-178,,-12061,0.0,85302
2013-11-12,3,2013,2002.0,,-18357,,70220,-6720,-154039.0,63776,0.0,-80,,-373,1049,0.0,0.0,-630,,-328599,-37660.0,7971,,1157,32614,-493,1351,,-29452,373,,,2013年01月01日至2013年09月30日,77516,169678,92162,-33626,-312718,-283509,311373.0,,221000,-127000.0,405373,-33626,,,11389,-263274,-251885,137.0,-82.0,-249883,169678,-130,57,,-27435,2013.0,143254
2014-03-20,4,2013,1355.0,,8346,-21719.0,67696,-10291,,-71247,-201839.0,-63974,,-647,1294,-121.0,-593.0,-626,,1456269,79427.0,-3112,,8554,24454,-489,1799,,-40199,647,,,2013年01月01日至2013年12月31日,77516,158793,81277,207489,976393,1016099,311373.0,,421000,-1627000.0,-894627,207489,0.0,,-638403,1445658,807255,258.0,-83.0,808610,158793,-154,-415,,41601,82011.0,-588921
2014-05-13,1,2014,825.0,,-26782,-1052.0,-38114,19691,,-1220,-91500.0,-11486,,-986,1371,-368.0,0.0,-2804,3258.0,556676,-51625.0,-8156,,-8882,4426,86,419,,-1371,986,,,2014年01月01日至2014年03月31日,158793,339766,180973,48878,180887,181229,0.0,,8000,-8000.0,0,48878,,,-449225,580751,131526,,21.0,132351,339766,43,0,,750,21848.0,-233048
2014-08-12,2,2014,1310.0,,-18941,8933.0,82556,20764,,14017,-105128.0,-79301,,-2056,2477,-368.0,0.0,-2804,3258.0,723027,-81546.0,-10414,,1432,7263,86,916,,-2477,2056,,,2014年01月01日至2014年06月30日,158793,589918,431125,50077,431039,431417,0.0,,8000,-8000.0,0,50077,,,-348256,728286,380030,0.0,21.0,381340,589918,43,-48,,8606,23545.0,-214783
2014-11-11,3,2014,1892.0,,-27271,21719.0,-50374,20233,-147207.0,14017,,65303,,-3054,3560,-368.0,,-2806,4147.0,711416,-100752.0,-11181,,-5030,7010,973,1413,,-3560,3054,,,2014年01月01日至2014年09月30日,158793,513448,354655,28927,353682,354117,0.0,,16000,-16000.0,0,28927,,,-539886,863184,323298,0.0,21.0,325190,513448,71,-48,,9010,19506.0,-203101
2015-03-27,4,2014,1064.0,3230.0,-4653,21719.0,-55984,20568,,13567,-154478.0,53670,,-4550,4633,-368.0,-350.0,-2890,4280.0,700061,-107203.0,921,,-12447,6128,4252,1358,,-4633,4550,0.0,,2014年度,158793,465256,306463,8960,312211,312297,0.0,,16000,-26000.0,-10000,8960,,0.0,-502261,804534,302273,0.0,21.0,303337,465256,-3,-48,,-13040,14308.0,-180864
2015-05-12,1,2015,,,-8806,-70.0,-924,-2,,4486,-904.0,52743,,-1077,1114,0.0,2746.0,-2700,0.0,-43961,-6915.0,4689,,10779,5835,-2700,325,,-1114,1077,,2768.0,2015年01月01日至2015年03月31日,465256,439248,-26008,-30850,-15308,-15317,,,0,-8000.0,-8000,-30850,,,-11919,24684,12765,,0.0,15533,439248,46,-340,,-1276,-3850.0,941
2015-08-07,2,2015,,,-9321,0.0,-2185,90,,-19773,-904.0,62294,,-2515,2182,0.0,2746.0,-2705,2850.0,-138846,-3773.0,8612,,3600,1017,145,631,,-2182,2515,,1971.0,2015年01月01日至2015年06月30日,465256,365281,-99975,-52580,-141399,-141748,0.0,,49279,-8000.0,41279,-52580,,,10521,-101660,-91139,0.0,0.0,-89168,365281,16,-1073,,-8849,-1193.0,18092
2015-11-10,3,2015,,,-23057,-1319.0,-2445,-6,-999.0,958,,58880,,-3602,3249,0.0,2746.0,-2955,2855.0,-191121,-11047.0,15931,,6948,3911,-100,918,,-3774,3602,,6493.0,2015年01月01日至2015年09月30日,465256,327701,-137555,-72357,-215875,-215717,0.0,,86420,-8000.0,78420,-72357,,,11825,-161678,-149853,0.0,0.0,-143360,327701,14,3182,,-38736,-1193.0,33442
2016-03-29,4,2015,,2409.0,14920,-10430.0,-1283,196,7500.0,-7439,-996.0,-91519,,-5056,4302,0.0,2746.0,-2955,2855.0,-301350,12296.0,10303,,11322,3179,436498,953,293.0,-5716,5056,0.0,-224887.0,2015年度,465256,434318,-30938,104527,-580714,-492338,,,121278,-8000.0,113278,104527,,,90681,-462659,-371978,434189.0,-232762.0,-596865,434318,-87716,3141,1496.0,-64533,-2085.0,47941
2016-05-10,1,2016,,,-10996,5018.0,-1493,2762,,2887,0.0,150758,,-1126,1116,0.0,0.0,0,0.0,-78548,-15668.0,-10774,,8814,2099,0,27,48.0,-2070,1126,,65.0,2016年01月01日至2016年03月31日,434318,492958,58640,-39009,18130,19074,,,40510,0.0,40510,-39009,,,-23978,81996,58018,,,58083,492958,0,0,,-11794,0.0,14953
2016-08-09,2,2016,,,-27308,3652.0,-2871,2555,,-2143,0.0,156174,,-2857,2207,,0.0,0,0.0,-143583,-16796.0,-19767,,4339,-1080,100,41,48.0,-4534,2857,,-661.0,2016年01月01日至2016年06月30日,434318,415043,-19275,-65252,-98160,-96529,,,78785,0.0,78785,-65252,,,-38041,7425,-30616,100.0,-100.0,-31277,415043,46,0,,-12489,0.0,28701
2016-11-08,3,2016,,,-39943,5069.0,-4342,2426,0.0,325,,158250,,-3928,2568,,0.0,-2500,0.0,-235189,-11631.0,-12677,,8064,-136,-2400,54,48.0,-6560,3928,,-1683.0,2016年01月01日至2016年09月30日,434318,344159,-90159,-82654,-167451,-164865,,-40133.0,119825,0.0,79692,-82654,,,-20343,-60185,-80528,100.0,-100.0,-82211,344159,46,-325,,1890,-884.0,48250
