date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加（減少）
2013-05-10,1,2013,34660.0,-40000,-88530,,19248,-49071,-439883,0.0,573381,,,-324,8393,290,-510,0.0,-6000,-25430,,-394,,0.0,,-1560,2031,966143,-9017,,,4647.0,0.0,,-314193,1554491,0.0,-423458,-45215,266.0,-31863,1818,46452.0,1876,392,-8486,320,,,2013年01月01日至2013年03月31日,719354,1401320,681966,437385,,668539,676730,,,85000.0,,45000,437385,,-2418038,2622723,204685,,0.0,,0.0,266,,0.0,,239345,-2179,1401320,-25,-40,,0.0,22279.0,,-1588397
2013-08-09,2,2013,19643.0,-552000,-79712,,-21163,-102355,-502431,0.0,581650,12289.0,,-1858,15667,4142,-2692,0.0,-12000,-28607,,-698,,0.0,0.0,-1860,2065,1107971,118607,,,197185.0,0.0,,-275231,773719,0.0,-686632,-93713,514.0,1205,3663,46452.0,2798,820,-16353,1854,,,2013年01月01日至2013年06月30日,719354,1064493,345139,482808,,165352,201467,,,635000.0,,174440,482808,,-1928076,1627092,-300984,91440.0,55.0,38938.0,6004.0,365,,-12470.0,,-281341,-4541,1064493,-21616,-40,0.0,0.0,,-1591.0,-1361304
2013-11-05,3,2013,58049.0,-552000,-74636,-101159.0,3028,-173326,-504084,0.0,555530,47390.0,,-3932,22699,5322,-5019,-51293.0,-102000,-34961,-1087.0,-912,,0.0,0.0,-1910,2011,1368006,242335,2852.0,,634213.0,,0.0,-306570,337818,0.0,-843445,-45077,-9570.0,-142704,5592,46452.0,6077,1346,-23241,3534,7470.0,,2013年01月01日至2013年09月30日,719354,1981484,1262130,887568,,1057662,1147854,-432589.0,,935000.0,,341850,887568,-7470.0,-942562,1144799,202237,391439.0,55.0,38938.0,6004.0,448,,-12470.0,,260286,-5179,1981484,-70485,-40,0.0,0.0,,-1591.0,-924951
2014-03-05,4,2013,60904.0,-711999,28655,-162810.0,12353,-100341,-482747,,541489,53637.0,,-10245,35659,6382,-7060,-60081.0,-102000,-41315,-1091.0,-1821,,-15000.0,0.0,-2001,2155,1396242,350140,,,507359.0,,0.0,-304576,660246,,-832310,-66125,-8853.0,-160746,7616,46452.0,8379,1804,-36017,8063,7470.0,,2013年01月01日至2013年12月31日,719354,2855448,2136094,1016714,,1551028,1658152,-432589.0,,1165000.0,,739430,1016714,-7470.0,-902309,1482843,580534,698375.0,56.0,38938.0,6004.0,625,,-12470.0,,641438,-7055,2855448,-79170,-40,0.0,20643.0,,-1591.0,-997585
2014-05-09,1,2014,4700.0,-1667,-111529,-5158.0,481,18302,-8980,,-184275,6111.0,,-12037,10139,2793,-596,-5000.0,-54432,-9531,,-1035,,,,-921,1772,-42722,-71870,,-253730.0,,,,58764,43228,,37477,-29935,-655.0,-69743,2085,0.0,977,541,-10666,12388,,,2014年01月01日至2014年03月31日,2855448,2524466,-330982,121300,,-407365,-407881,,1195000.0,151667.0,-1231667.0,143333,121300,,-370798,-163083,-533881,30000.0,,,,64,,,,-529181,-3235,2524466,-1206,-3180,,,0.0,,19956
2014-08-11,2,2014,-56.0,-204167,-76578,-2435.0,-22195,487,23912,,-209315,12289.0,,-17217,24966,2396,-1565,-5000.0,-54432,-15872,,-3130,,,,-1758,2458,-597553,-485675,,-291876.0,,,,-13789,34818,,206618,-1621,-1196.0,70710,4200,0.0,5262,1259,-25151,17269,,,2014年01月01日至2014年06月30日,2855448,2840642,-14806,439444,,-1568745,-1530385,,1195000.0,10000.0,,1480833,439444,,-1400772,-569001,-1969773,480000.0,0.0,0.0,150009.0,88,,-30483.0,,-1969829,-4382,2840642,-30478,-420,,,,0.0,-528993
2014-11-14,3,2014,38000.0,-206667,-101081,-8308.0,-10663,-12595,20394,,-149598,18535.0,-15278.0,-20723,42006,7502,-2870,-5000.0,-60432,-21923,0.0,-3543,,,,-2548,4084,-2353735,-397998,,-74381.0,,,,5211,-53098,,55607,-161955,-11155.0,119568,6324,0.0,14439,1984,-40150,20471,5392.0,,2014年01月01日至2014年09月30日,2855448,1312120,-1543328,484243,,-3327975,-3247643,-514988.0,1195000.0,-304768.0,,1657577,484243,-5392.0,-1086204,-2683682,-3769886,1489000.0,0.0,0.0,221686.0,137,,-31160.0,,-3731886,-3602,1312120,-60653,12600,,,,-750.0,-512929
2015-03-20,4,2014,56641.0,-509167,-27665,-23087.0,1005,10825,41896,,-127296,24781.0,-15896.0,-25299,63527,15053,-4405,-5000.0,-462131,-27975,0.0,-3946,,0.0,,-2734,4068,-2788047,69557,,-179143.0,,,,-28866,29990,,222422,-122863,7519.0,-11768,8496,0.0,5713,2726,-61397,25963,5392.0,,2014年度,2855448,1982664,-872784,578084,,-2886828,-2790027,-514988.0,1195000.0,-69635.0,,2010759,578084,-5392.0,-626696,-2798056,-3424752,1959000.0,1.0,38887.0,461971.0,334,,-34295.0,,-3368111,-4911,1982664,-61367,16800,,-49451.0,,-750.0,-506088
2015-05-11,1,2015,,-2500,-97834,-972.0,-31108,81041,5675,,29716,6111.0,,-3423,20436,5469,-14017,0.0,-140000,0,,-1222,,,,-20,45,153677,-293108,,174982.0,,,,7495,-54927,,95875,-8392,,-5457,2472,,4524,761,-22647,3138,,25742.0,2015年01月01日至2015年03月31日,1982664,1661578,-321086,105914,691.0,177645,198267,,0.0,,-519643.0,-498743,105914,,-229407,296018,66611,23400.0,,35687.0,114070.0,198,,-6237.0,,92353,-391,1661578,-1113,900,,,,,4191
2015-08-12,2,2015,,-5000,-68241,4998.0,-42616,-29967,-38993,,20470,12289.0,,-7251,40952,-4122,-15218,0.0,-158070,-4034,,-1210,-140000.0,,,-790,50,82975,-195636,,93134.0,,,,24147,-153382,,78613,78386,,-69536,5095,,6631,1489,-41545,4182,,60824.0,2015年01月01日至2015年06月30日,1982664,1419378,-563286,199375,372.0,65296,148219,,0.0,-609364.0,,-554924,199375,,-194073,82093,-111980,59440.0,,35581.0,214155.0,214,,-6215.0,,-51156,13176,1419378,-45560,7620,,,,,20584
