date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-04-29,1,2013,57739.0,,0,-22887,-90323,-242,294708,-12513,,-115.0,-206,-3705,4531,41496,-1469130,,0.0,,-31367,25831,-5090,-34500,-3706.0,-621030,125499,35031,,60,-4051,3956,,,2013年01月01日至2013年03月31日,408385,773862,28609,365477,277356,,218270,219723,,,726741,277356,,-111559,-3813,-115372,730907.0,87907.0,-87907.0,13790.0,-9773.0,-57633,773862,-1453,425,,,447945.0,13501.0,10893
2013-08-12,2,2013,10383.0,,-126328,-6541,22245,5071,554016,13754,,124.0,197,-8432,10513,72236,-911558,0.0,0.0,,-31173,4791,514,32795,-16175.0,-392769,272262,5031,,-3682,-10482,6646,,,2013年01月01日至2013年06月30日,408385,1089466,-113897,681081,445831,,366739,510037,,,634875,445831,,-4070,57893,53823,771561.0,90652.0,-158795.0,15207.0,-11190.0,64206,1089466,-143298,23604,,,-147929.0,728.0,22783
2013-11-01,3,2013,147515.0,8100.0,-141543,-8637,21932,-344,880990,2022,75.0,,13282,-12901,16467,44670,-926471,0.0,0.0,,-36183,13564,14126,15266,-18147.0,-205618,416777,35031,,-3678,-16138,18931,3127.0,,2013年01月01日至2013年09月30日,408385,1069222,-105498,660837,518666,,539474,752038,-333836.0,,282311,518666,,4553,81304,85857,773753.0,90903.0,-159047.0,15207.0,-11190.0,233372,1069222,-212564,6585,,-309687.0,,15203.0,32024
2014-02-27,4,2013,483623.0,8100.0,-399896,-31077,26297,2025,255097,48265,9.0,,12985,-18039,22399,58812,-932980,0.0,0.0,,11474,5994,17568,-3826,-20032.0,-835106,558682,25030,,-3594,-22296,22787,3127.0,,2013年01月01日至2013年12月31日,408385,642934,93141,234549,607263,,994258,1206864,-333836.0,,16585,607263,,12235,103743,115978,772604.0,90903.0,-159047.0,15207.0,-11190.0,599601,642934,-212606,1271,,-310332.0,,14681.0,19579
2014-05-05,1,2014,164223.0,,-131617,1350,-35190,-1056,491640,-6809,-515.0,,0,-6424,6898,47435,-204,,,,-33526,2028,11117,20445,-7337.0,-80214,149009,-8023,,20,-6447,6406,,,2014年01月01日至2014年03月31日,642934,666200,1,23266,111008,,194624,194795,,,-138579,111008,,-85105,4669,-80436,0.0,0.0,0.0,0.0,0.0,83787,666200,-171,14719,,-578056.0,,-11005.0,-12430
2014-08-07,2,2014,322897.0,,-191068,-3457,-18283,471,989787,-31623,-1067.0,,-89,-13070,13770,-3898,-19201,,,,-58530,13869,-10958,15244,-8072.0,421980,300676,4995,,-3988,-13922,14920,,,2014年01月01日至2014年06月30日,642934,1270044,1460,627110,260433,,415085,449614,,,-206057,260433,,-92331,-41385,-133716,0.0,0.0,0.0,0.0,0.0,189181,1270044,-34529,24049,,-563437.0,,-19514.0,-17858
2014-11-03,3,2014,447584.0,0.0,-346875,-801,-13498,7272,394564,-47360,-760.0,,-89,-18911,18922,10902,-37141,,,,-19705,2864,-29355,17305,-15738.0,-347755,444740,-29023,,-3991,-19242,25031,2085.0,,2014年01月01日至2014年09月30日,642934,141082,-817,-501852,325379,,535714,622890,-333836.0,,-700713,325379,,-37158,-112915,-150073,0.0,0.0,0.0,0.0,0.0,297511,141082,-87176,7641,,-732205.0,,-31754.0,9720
2015-03-12,4,2014,548080.0,0.0,-408612,12288,-36770,2607,682725,-12622,-801.0,,-197321,-24148,23226,23631,-65587,,,,-27823,-4877,3607,32554,-16811.0,-286483,594133,-88066,,-3905,-23840,29378,2085.0,,2014年度,642934,343153,-1093,-299781,422504,,730160,817391,-333836.0,,-767089,422504,,-72117,-81076,-153193,0.0,0.0,0.0,0.0,0.0,394887,343153,-87231,-40133,,-737763.0,,-19156.0,1876
2015-05-06,1,2015,,,-187180,-29598,-1680,-1325,566585,-11408,-58.0,,-1074,-3633,3497,-3470,-29186,,,,-14152,2301,-10424,32834,,45156,161192,81101,,17,-3419,5996,,147129.0,2015年01月01日至2015年03月31日,343153,468446,1617,125293,85938,-11760.0,274264,284182,,,-190657,85938,,-59192,110307,51115,,,,,,198244,468446,-9918,-15561,19529.0,-497165.0,,,-4303
2015-08-07,2,2015,,,-246727,-45267,-28193,72,541985,4290,1084.0,,-5540,-7043,6791,-5052,-48878,,,,16276,-2618,-17680,8399,,-9449,321634,58095,,-3174,-7019,6996,,392596.0,2015年01月01日至2015年06月30日,343153,478034,1881,134881,70787,-15080.0,402044,451961,,,-252662,70787,,-85468,74046,-11422,,,,,,381174,478034,-49917,72507,,-504012.0,,20870.0,-10586
