date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分以成本衡量之金融資產,處分備供出售金融資產,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,-6500.0,,,,-32685,-2014,,12189,-8625,1483.0,,,4461.0,,-1484,4273,,,,-3400.0,,,,-579734,-41951,106.0,0.0,0,1420,-54,166.0,1061,282,87277,,-10329,-5892,,2013年01月01日至2013年03月31日,526486,678252,151766,39019,,-527692,-529110,,,682700.0,,678397,39019,109804,-671433,-561629,,0.0,-53,,,,-568129,678252,-66,811,,,,,-169703,172085
2013-08-01,2,2013,-17900.0,0.0,,,-65222,-11921,,-14932,-82773,1883.0,,,8009.0,,-4592,7840,,,,,,,,-655035,-83678,106.0,0.0,0,4715,-14627,332.0,57399,568,107807,,-22563,-10786,,2013年01月01日至2013年06月30日,526486,857695,331209,106744,,-465243,-466332,,,747850.0,0.0,739053,106744,277663,-832839,-555176,,0.0,-82,,49390.0,,-573076,857695,-3204,929,,,0.0,,-181005,441163
2013-11-07,3,2013,-27175,1940,,,14907,-22561,-241650,-23214,-19463,0,-6377,,17208,,-8362,11637,-149872,,,,,,,-843564,209634,,-99894,120000,4720,2766,497,-43744,857,-443170,,-31846,-13649,,2013年01月01日至2013年09月30日,526486,296888,-229598,710021,,-34183,7587,-599671,,,567920,-151671,710021,871222,-1546481,-675259,,0,-105,,86980,,-702434,296888,-47559,644,,,0,,16441,549398
2014-03-20,4,2013,-39457.0,1940.0,,,6186,-65693,-245950.0,-17385,-19383,0.0,-5959.0,,17668.0,,-15744,12933,,-165919.0,,0.0,,0.0,,-671477,269623,,-99894.0,122728,-121715,5296,663.0,-43371,1146,117957,,-35980,-39370,,2013年01月01日至2013年12月31日,526486,1011035,484549,962874,,701194,748783,-599671.0,1000000.0,,-428380.0,-173274,962874,771463,-946097,-174634,0.0,0.0,-732,,102940.0,,-214091,1011035,-56654,-1080,,,0.0,,54868,389648
2014-05-02,1,2014,-13810.0,,,,36501,8846,950.0,-4946,-31619,-3394.0,,,669.0,,-14508,5572,,,,-380090.0,,-1860.0,,-643082,-113172,150000.0,0.0,-2728,98275,787,153.0,-377487,282,-403874,,-3176,-9060,,2014年01月01日至2014年03月31日,1011035,1986154,975119,55085,,-1019640,-1031788,,,2234700.0,,2372246,55085,-93783,-979280,-1073063,,0.0,-26,,,,-1086873,1986154,-124,-94,,,,,-9563,-9591
2014-08-08,2,2014,-23107.0,,,,168062,-941,-53775.0,-13496,-177701,-3057.0,,,4971.0,,-36323,13998,,,,-376954.0,,-1860.0,,-531612,-153705,150000.0,,-2728,97915,1900,305.0,-360088,568,-1177226,,-59,-26090,,2014年01月01日至2014年06月30日,1011035,1992164,981129,1295873,,326164,361874,,,894200.0,,1015053,1295873,988443,-1899335,-910892,,,-374,,0.0,,-933999,1992164,-62614,943,,,,,-57895,990005
2014-11-06,3,2014,-44222.0,0.0,,,145905,-97445,-61438.0,10938,-74482,,-3108.0,,3379.0,,-61952,18202,0.0,,-20000.0,-389359.0,,-1860.0,,-774929,-203547,,0.0,-104244,127911,1968,458.0,-363962,1462,-172410,,-1272,-37774,,2014年01月01日至2014年09月30日,1011035,2195586,1184551,1359699,,1349213,1400204,-694918.0,,935100.0,,199300,1359699,1197640,-1112913,84727,,,-1590,,0.0,,40505,2195586,-63728,2788,,,,,-62088,1348130
2015-03-20,4,2014,-57470.0,0.0,,,154089,-27430,-246245.0,15154,-8558,,-2638.0,,-1754.0,,-88417,24199,,-72670.0,-278368.0,,,-1860.0,,-1843297,679227,,0.0,-98390,89555,2000,-1721.0,-1531375,2356,-505939,,3205,-48823,,2014年度,1011035,1309469,298434,1384482,,1726088,1804479,-694918.0,0.0,,850100.0,103721,1384482,3070162,-2592695,477467,,,-1861,,-962806.0,,419997,1309469,-89479,4908,,,,-275000.0,-52781,2321803
2015-05-06,1,2015,,,,,822,-11163,316440.0,3279,-20896,-155.0,,,-29728.0,767.0,-25735,9767,,,,,0.0,0.0,42278.0,1391560,-115700,50000.0,,-7346,24331,-526,,46742,3011,-474536,,843,-15294,-17111.0,2015年01月01日至2015年03月31日,1309469,1753152,443683,532512,146.0,610290,599730,,,-247900.0,,-213349,532512,-1233260,1317589,84329,,,-307,,,16426.0,67218,1753152,-13619,-5457,,,,,92379,-1114461
2015-08-06,2,2015,,,,,31700,-98948,316440.0,23554,-24510,-162.0,,,-34066.0,767.0,-52143,27667,,,,,0.0,0.0,42278.0,2474086,-193946,50000.0,,-10746,-3555,-1,,149777,10329,283277,,-3110,-40724,-21550.0,2015年01月01日至2015年06月30日,1309469,1847884,538415,1900811,292.0,840424,856551,,,-460900.0,,-451786,1900811,-4156386,3133676,-1022710,,,-1586,,,123799.0,-1044260,1847884,-62906,-3474,,,,,186887,-4007240
2015-11-05,3,2015,,1318.0,,,-1257,18416,316440.0,-12953,-751,537.0,0.0,-18050.0,0.0,767.0,-77938,49265,,-83650.0,0.0,,-323621.0,0.0,42278.0,2014898,-314660,,,-24196,11460,-1663,,-524468,17735,348496,,-457,-66943,-14640.0,2015年01月01日至2015年09月30日,1309469,1146122,-163347,1999854,-3911.0,541340,534467,-522913.0,,409100.0,,-180219,1999854,-4335470,2884723,-1450747,,,-1805,,,,-1465387,1146122,-65506,-1636,-571.0,,,-160800.0,177427,-3978493
2016-03-17,4,2015,,1318.0,-1648.0,,-216612,-1251,492195.0,-26303,15059,,-143233.0,,-47073.0,767.0,-103995,68297,,-105540.0,0.0,,,0.0,42278.0,1585220,-297570,,,-24338,13373,0,,-640548,25141,336929,,-167,-93752,-15237.0,2015年度,1309469,1036894,-272575,1834718,-5348.0,189844,162414,-522913.0,,,795900.0,178129,1834718,-4300084,2643017,-1657067,,,-1833,,,-386873.0,-1672304,1036894,-67283,-2876,-571.0,143775.0,,-160800.0,201492,-3729913
