date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅
2013-05-03,1,2013,5922.0,-110535,-736,-1635,6645,-400,,,-467.0,,-10831,597,6509,-7138,-1454,-3110,28297,-303324,2836,436307,10732,-7665,18883,1054,-597.0,3335,,2013年01月01日至2013年03月31日,1906128,2078236,172108,142576,173264,216583,,,142576,-413160,481245,68085,1394,-671,74007,-102,2078236,-46057
2013-08-09,2,2013,24444.0,-94401,-11413,-6010,-616,-727,-5964.0,,-2473.0,,-15472,597,12444,-20632,-2816,-2667,67923,-88008,3672,200510,9878,-26465,40869,2221,-597.0,7247,,2013年01月01日至2013年06月30日,1906128,2108222,202094,365944,216115,472604,,,365944,-184066,266282,82216,5420,-1104,106660,1408,2108222,-263139
2013-11-08,3,2013,46090.0,-102246,-8055,-8124,-17052,-1146,-5964.0,,-2897.0,,-19342,597,7511,-24644,-4472,-724,83376,229947,11372,-141295,10118,-25329,63738,3316,-597.0,10300,,2013年01月01日至2013年09月30日,1906128,1597236,-308892,833840,533456,935912,-824530.0,-824530.0,833840,128890,-72908,55982,12648,-1495,102072,-913,1597236,-412159
2014-02-21,4,2013,61858.0,-62952,-7107,-11390,-19259,-1556,-5878.0,,-1507.0,,-23199,597,14330,-30123,-6382,-4993,124893,-76820,4067,537965,-8657,-27692,85642,4452,-597.0,12695,,2013年01月01日至2013年12月31日,1906128,2183286,277158,980097,1115050,1515594,-824530.0,-824530.0,980097,-154196,627835,473639,16198,-641,535497,-5545,2183286,-412642
2014-05-02,1,2014,22931.0,-111836,-1283,-1155,18691,-359,-71.0,,,91.0,-3908,115,-388,-15487,-498,4813,-5419,-187934,151,37242,-33009,-11745,22234,1184,-115.0,6700,,2014年01月01日至2014年03月31日,2183286,1997624,-185662,98497,-173529,-163312,,,98497,-300962,16222,-284740,4220,-1507,-261809,171,1997624,-16802
2014-08-08,2,2014,32680.0,-56727,553,6152,-55278,-815,37.0,,,-1129.0,-8058,115,-3970,-20741,-1425,-5230,-151604,217084,10744,-429499,-36974,-16657,45251,2441,-115.0,10448,,2014年01月01日至2014年06月30日,2183286,2022453,-160833,342385,-140206,-118261,,,342385,179476,-672802,-493326,6601,-1839,-460646,3038,2022453,-32278
2014-11-07,3,2014,58903.0,39328,-6584,6287,-12539,-1184,-112.0,,-685.0,,-11348,115,-2863,-22855,-2302,108,-217823,948146,30263,-1552208,-8751,-17570,68947,3778,-115.0,13029,,2014年01月01日至2014年09月30日,2183286,1830637,-352649,1263624,447297,550709,-779513.0,-779513.0,1263624,1026087,-1797905,-771818,8384,-2697,-712915,3247,1830637,-116326
2015-03-04,4,2014,87135.0,77175,2857,-1672,16320,-1549,-304.0,,-564.0,,-15402,115,5455,-25815,-4630,8388,-187280,-93567,7282,-127605,1687,-22264,91905,5309,-115.0,15740,,2014年度,2183286,2542076,358790,1476703,1155112,1259812,-779513.0,-779513.0,1476703,-10005,-294021,-304026,9049,-3180,-216891,2326,2542076,-120325
2015-04-29,1,2015,,-99096,-5331,4522,-8742,-366,58.0,,,557.0,-4864,0,-3189,-5263,-505,-6289,-5515,90249,-8168,-126168,644,-2379,17913,1582,0.0,3824,9324.0,2015年01月01日至2015年03月31日,2542076,2727326,185250,341487,190818,194436,,,341487,-11263,-145112,-156375,2774,982,-147051,1596,2727326,-7442
2015-08-05,2,2015,,-26936,-28871,4009,-17012,-531,144.0,,,236.0,-10229,0,-17442,-11397,-1441,-1758,-7213,255434,-6865,-417488,4991,-3735,48753,3272,0.0,8806,41270.0,2015年01月01日至2015年06月30日,2542076,2866378,324302,667282,345479,470721,,,667282,227762,-465593,-237831,8723,1232,-196561,2651,2866378,-134048
