date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-07,1,2013,8911.0,-3789,-4534,,291,-100,-70.0,,,,,,1154,-1,845,-1231,-8073,,-66235,-15000.0,-1230.0,31,,237.0,,-20.0,,-26042,,-6360,-165453,876,-78769,-3245,0,-88847,10100,,-209.0,523,-845,1,,,2013年01月01日至2013年03月31日,210145,85174,1231.0,-124971,103387,-175130,-174286,,,400000.0,-260000,140237,103387,343,,-171623,-114961,-286584,,2884,,,,-1831,,,-277673,2882,85174,0,-3275,,,-2271,-1173.0,
2013-08-08,2,2013,17449.0,-7965,22,,1352,406,118.0,,,,-500.0,,1536,-93,1532,-675,-11177,,-66235,-15000.0,-1809.0,31,4783.0,,,-25.0,,-102855,,-4502,28143,-341,-83975,-755,0,-84572,20512,,-209.0,1194,-1532,93,,,2013年01月01日至2013年06月30日,210145,291743,756.0,81598,198201,57062,58305,,,835000.0,-730000,109783,198201,587,,22331,-179676,-157345,15.0,11807,9.0,,,-5081,,,-139896,5526,291743,196,-3325,,,7481,-1648.0,
2013-10-31,3,2013,-62320.0,12108,-27958,,767,-359,66.0,,,,-500.0,,1541,-100,1998,-1838,-13809,,-71806,-15000.0,-1993.0,31,8000.0,,,-24.0,,-254517,,-14237,13213,1299,-69264,15172,0,105100,31022,,-209.0,1970,-1998,100,,,2013年01月01日至2013年09月30日,210145,376327,1846.0,166182,316700,-70080,-68351,,,1260000.0,-1135000,133000,316700,801,,16589,-339320,-322731,15.0,212428,9.0,,,-97903,,,-385051,3373,376327,169,-3326,,,-2394,-4211.0,
2014-03-13,4,2013,-35482.0,23947,15070,,730,425,-744.0,350000.0,,,-513.0,,1541,-343,2706,-173,-14997,,-86806,0.0,-2881.0,31,11112.0,,,51.0,,-131969,,-12518,-241276,147,-70376,20149,0,101520,41364,,-209.0,2762,-2706,343,10158.0,,2013年01月01日至2013年12月31日,210145,737784,360.0,527639,335169,-89820,-97762,,0.0,1715000.0,-1560000,516112,335169,934,-10158.0,-229079,-168370,-397449,33.0,212428,69.0,,,-97903,,,-432931,635,737784,147,-3326,,26690.0,-1669,-5795.0,
2014-05-08,1,2014,13872.0,-20819,-23476,,88,112,-53.0,0.0,,,0.0,,1515,-247,812,-2000,-326985,,0,0.0,-319.0,92,4736.0,0.0,,0.0,2268.0,366807,,-15099,-24094,0,-15117,1114,0,-322749,9505,,0.0,595,-812,247,0.0,,2014年01月01日至2014年03月31日,737784,549867,2091.0,-187917,28425,337096,337709,,0.0,10000.0,-215000,-200264,28425,120,,-61392,356804,295412,131.0,2156,-68.0,,,-760,,,309284,-1415,549867,-48,217,,0.0,27364,0.0,
2014-08-06,2,2014,27092.0,-23849,-7301,-73.0,-1566,1393,-106.0,0.0,,,0.0,,3030,-886,1479,-3021,-327880,,0,0.0,-319.0,92,7940.0,0.0,-1083.0,0.0,1560.0,221854,,-4017,149722,-725,107267,-2535,0,-324240,19144,,0.0,1023,-1479,886,0.0,,2014年01月01日至2014年06月30日,737784,743088,3036.0,5304,37042,530708,538902,,0.0,70310.0,-275310,-198143,37042,66,,118058,356710,474768,375.0,2156,-154.0,,,-760,,,501860,-1401,743088,-7601,1022,,0.0,36105,-132.0,
2014-11-06,3,2014,27930.0,-12055,-5349,,-1497,1172,-160.0,0.0,,,0.0,,4545,-1110,2135,-2497,-328379,,-136288,0.0,-319.0,92,7995.0,0.0,-1083.0,0.0,661.0,256177,,-18031,-3723,-937,114134,513,0,-465735,28333,,0.0,1352,-2135,1110,12389.0,,2014年01月01日至2014年09月30日,737784,483544,2576.0,-254240,30541,415946,412233,-159916.0,0.0,276360.0,-325310,-201954,30541,31,-12389.0,-38945,392707,353762,1137.0,2156,-417.0,,,-760,,,381692,-2542,483544,-7651,3542,,0.0,26060,-4703.0,
2015-03-12,4,2014,32730.0,-39684,-1941,,-1775,1360,-441.0,0.0,,,-849.0,,6060,-1556,3206,210,-328193,,-167277,,-427.0,92,7995.0,,-1433.0,,716.0,382247,,-16534,33235,-62,92874,-4047,-9,-514618,37265,,0.0,1785,-3206,1556,12389.0,,2014年度,737784,488060,27.0,-249724,15889,473038,469994,-159916.0,,675735.0,-730735,-208354,15889,-266,-12389.0,-28381,449756,421375,5282.0,3404,-3733.0,,,-673,,,454105,-3120,488060,-7695,2912,,0.0,-20728,-27274.0,
2015-05-06,1,2015,,-2405,162,,1025,76,0.0,,,,-57.0,,1515,-161,1092,-2507,-3048,-12000.0,-8931,,0.0,11,6136.0,,-235.0,,2823.0,67323,,-6142,-58825,-149,28124,13589,9,-36860,9399,,,337,-1092,161,,11311.0,2015年01月01日至2015年03月31日,488060,459178,2465.0,-28882,-15562,4584,5556,,,450000.0,-450000,5901,-15562,13,,-69261,79068,9807,0.0,0,0.0,,,0,,,21118,-2765,459178,-41,-3360,,,-30215,-15647.0,
2015-08-04,2,2015,,-2233,2781,0.0,269,-1742,0.0,0.0,,,-84.0,,2994,-501,2094,600,-20134,-12000.0,-23232,0.0,0.0,11,6613.0,,-235.0,,2851.0,51044,,-8082,-58820,-1269,35145,12755,9,-57443,20144,,0.0,633,-2094,501,0.0,18951.0,2015年01月01日至2015年06月30日,488060,401664,-692.0,-86396,-33272,24069,30679,0.0,0.0,620000.0,-680000,-53622,-33272,18,0.0,-74805,119805,45000,0.0,11554,0.0,,,-2860,,,63951,-4670,401664,-5017,-2890,,0.0,19813,-16398.0,
