date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加,預付設備款減少
2013-05-03,1,2013,-276288.0,-20136,49868,4500,,-8688,-7924,,,-141276,389,-245293,-15672,8258,67062,-12192,,,-20991,-1525,-81061.0,,1499,365,0,-9130,0,703164,,,,-965442,-501040.0,418817,1938,826.0,-511468,34521,279729,,-302472,1232,-8334,13759,,,2013年01月01日至2013年03月31日,3083418,3145618,-30303,25907.0,62200,891812,,548290,591272,,,-21913,-41684,891812,,-1424476,1400224,-24252,,0,,0,353,0,,0.0,,-300540,3145618,-48407,,,0,,,
2013-08-12,2,2013,-532958.0,-40622,105582,42478,,81990,-74897,,,-2908,3696,-248233,-26268,16316,110969,-422569,,,-20991,-1839,-81067.0,,-2112,151,0,-8189,0,-413053,,-56396.0,,789121,-374077.0,523843,1775,2536.0,-897575,68976,278951,,-525191,2190,-16631,24937,,,2013年01月01日至2013年06月30日,3083418,4110427,-14659,0.0,1027009,1929372,,2061364,2360663,,,-312279,-247749,1929372,,605152,359097,964249,,110,,0,490,0,,0.0,,431291,4110427,-307605,,105001.0,0,,-111889.0,0.0
2013-11-11,3,2013,-665306.0,-61206,-96336,-37056,0.0,108928,2496,,,-5988,5576,-249726,-40255,19832,73446,-572330,,0.0,-20991,-2349,,,-4642,431,0,-8345,0,-199477,,0.0,,1113639,-622788.0,494925,-4832,3613.0,-1025095,104042,610800,0.0,-716549,3086,-20149,45830,8619.0,,2013年01月01日至2013年09月30日,3083418,3543930,-9201,-19395.0,460512,3082209,,3203543,3790815,-1566106.0,,-371491,-1791382,3082209,-8619.0,507056,866856,1373912,,420,,0,819,0,,5742.0,,708606,3543930,-621572,,206990.0,0,,-171528.0,0.0
2014-03-26,4,2013,-761239.0,-82700,52521,-35637,0.0,5965,-759,,,-7196,7799,-309217,-73655,26513,113177,-842897,,0.0,-20991,-2644,,,-624,2303,0,-9549,0,117231,,0.0,,1176368,-1223847.0,87512,-20240,4943.0,-1260010,142453,79957,0.0,-913654,3737,-26368,61692,14075.0,,2013年01月01日至2013年12月31日,3083418,3323641,-21026,47950.0,240223,3941025,,2709937,3423800,-1566106.0,,-32149,-1322881,3941025,-8619.0,15950,228064,244014,147136.0,1741,,0,2112,0,,5788.0,,-517225,3323641,-763262,,208635.0,25775,,-75045.0,0.0
2014-08-12,2,2014,-562129.0,-41022,98606,10837,,107540,16858,,,3818,4429,0,-29732,18458,-30344,-500342,,,-23438,-4418,-486225.0,,-3622,19316,0,717,0,-351856,,-76811.0,,730491,-502.0,159963,13620,2310.0,-1055446,100288,149287,,-568403,2275,-17255,27376,9567.0,,2014年01月01日至2014年06月30日,3323641,4228679,-1951,0.0,905038,1897849,,1986132,2272874,,,-349100,4696,1897849,-9567.0,938445,-1291,937154,375502.0,78,,0,2507,0,,0.0,,375025,4228679,-306430,,0.0,0,,-45636.0,0.0
2014-08-12,3,2014,-882005.0,-46295,-23852,35942,0.0,119026,26494,,,-977,6627,0,-50043,20914,20276,-552753,,-64800.0,-23438,-4735,,,-4468,19387,0,756,0,-265896,,-37899.0,,660259,-502.0,502575,6813,3304.0,-1259285,157773,199950,-566847.0,-956555,3427,-20354,41907,13491.0,,2014年01月01日至2014年09月30日,3323641,3499079,-13013,0.0,175438,3135632,,2987921,3517740,-1708479.0,,-212529,-1573474,3135632,-13491.0,758235,505878,1264113,374442.0,72,,0,4723,0,,0.0,,382108,3499079,-564863,,0.0,0,,-46563.0,0.0
2015-03-25,4,2014,-961341.0,-51659,37280,48556,0.0,175086,14203,,,-136,8888,0,-75877,27214,88515,-601175,,0.0,-23438,-6240,,,1955,19904,0,298,0,-119175,,0.0,,179743,0.0,-31604,1959,4126.0,-1176208,214727,249935,-419265.0,-1189369,4288,-26495,65987,19552.0,,2014年度,3323641,4066671,-26909,77508.0,743030,4270272,,3252575,3869040,-1708479.0,,-59534,-1421852,4270272,-13491.0,396235,163874,560109,377916.0,673,,0,6200,0,,0.0,,-401232,4066671,-675509,-64800.0,0.0,3525,,-62125.0,0.0
2015-05-11,1,2015,,0,58876,-5834,,-84382,-28670,,,735,2307,0,-20898,11816,-40140,-42440,,,0,-153,,0.0,3126,0,-13738,0,136,128940,,-32652.0,,-542249,0.0,-129875,-12520,,63473,58001,-810,,-266709,1457,-11691,25864,,-312556.0,2015年01月01日至2015年03月31日,4066671,4217524,-27658,,150853,890403,-360.0,-42846,-39037,,184104.0,0,170366,890403,,-568115,-48769,-616884,0.0,19,,0,515,0,,,100938.0,-929440,4217524,-17982,,,0,-41861.0,0.0,4238.0
2015-08-11,2,2015,,-9365,78931,-11264,,-74769,-1420,,,-709,4573,0,-35534,11574,-65318,-92548,,,-5164,-1835,,0.0,-1979,0,-17293,289,0,-834357,,-103108.0,,1238289,0.0,-363817,-4347,,33029,115815,-250223,,-215185,3054,-11156,44490,0.0,-329677.0,2015年01月01日至2015年06月30日,4066671,4934093,-1917,0.0,867422,1761954,-957.0,900661,1208343,,25708.0,0,-950,1761954,0.0,1241494,-1465428,-223934,0.0,1039,79595.0,0,2125,-64281,,,49403.0,-553611,4934093,-341016,,0.0,0,-44814.0,0.0,2959.0
2015-11-10,3,2015,,-14153,-151565,-537,0.0,-58801,-2063,,,15154,6868,0,-45797,14344,37055,-107992,-11931.0,0.0,-5164,-5276,,0.0,-4752,0,-17848,0,0,-125834,,-1352.0,,550579,0.0,90961,5440,,107540,174198,-98446,0.0,-643603,5069,-14242,59436,5166.0,-585014.0,2015年01月01日至2015年09月30日,4066671,4565986,31174,0.0,499315,3146554,-89694.0,2145901,2681580,-2033090.0,,273910,-1791181,3146554,-5166.0,250519,-130479,120040,0.0,1505,79595.0,0,3146,-64281,2477.0,,137974.0,-464974,4565986,-586039,,0.0,0,-54862.0,1198.0,0.0
