date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,1055.0,369,,-21,,-371,,,,,,,-153,1011,,,,,,-5480.0,,,-20.0,,,88,,,,,,,-3000,,,,,0,-5480,197,,-902.0,,221,,2013年01月01日至2013年03月31日,59783,47976,-11807,-4207,-3307,-2703,,,,,-3020,-4207,-2,451,449,,,0.0,,0.0,,,,,1504,47976,77,,,384,
2013-08-12,2,2013,2148.0,2304,,-47,,-279,,,,,,,-258,2013,-76.0,,,,,4500.0,,0.0,-20.0,,,176,,,,,,,-9500,0.0,,,,0,4424,393,,-2138.0,,309,,2013年01月01日至2013年06月30日,59783,84645,24862,-10737,-7842,-6090,37800.0,,,,28280,-10737,2025,474,2499,,,,0.0,0.0,0.0,,,0.0,4647,84645,77,,,345,
2013-11-12,3,2013,3387.0,12894,,0,,368,-222.0,,,,120.0,,-278,2972,-2275.0,-5505.0,,,,24440.0,,-20.0,,72.0,,264,,36177.0,,,,112000.0,-124000,7352.0,-53365.0,-1000.0,,0,16732,693,,,-3057.0,417,,2013年01月01日至2013年09月30日,29863,42672,12809,-26798,-29703,-26980,37800.0,,,,25780,-26798,56916,-60485,-3569,,,,0.0,,,,,0.0,-182,42672,-83,0.0,0.0,-6282,125.0
2014-03-27,4,2013,4531.0,22576,,-35912,-860000.0,1246,-434.0,,77.0,,-87659.0,,-483,3906,-2275.0,-5505.0,,,-1232.0,34420.0,,-20.0,,-89588.0,,-609919,,392937.0,17424.0,,35833.0,105000.0,-123500,12725.0,-66367.0,-24135.0,-62425.0,-75247,-924180,1079,29.0,-3820.0,,635,,2013年01月01日至2013年12月31日,29863,32928,3065,200051,-367635,-364387,1313400.0,,,,1294880,200051,513422,-1082391,-568969,,,,0.0,,,,,0.0,-564438,32928,-63,0.0,0.0,-120370,30681.0
2014-05-07,1,2014,5742.0,-7876,30000.0,34981,-894.0,1410,-1.0,,77.0,,12.0,3247.0,-357,2357,-62.0,,,-421.0,-70.0,0.0,,,0.0,-2220.0,,-149851,,-214671.0,-9913.0,20707.0,,103000.0,-105500,129256.0,-93729.0,-7605.0,-23215.0,66764,-3667,388,107.0,-2342.0,,15,,2014年01月01日至2014年03月31日,32928,108478,75550,-43410,-330213,-327885,,,381930.0,,409430,-43410,-62343,-227874,-290217,,,,,,,,,,-284475,108478,-1,,,-55307,18744.0
2014-08-13,2,2014,14319.0,-591,,34999,-894.0,3763,-2016.0,,79.0,,-44312.0,7551.0,-799,6561,-457.0,,,-421.0,-219.0,,,,0.0,-6401.0,,-161460,,-187100.0,-9317.0,-8240.0,,233000.0,-288500,68942.0,-162155.0,12165.0,-70805.0,57525,-8392,785,221.0,-6181.0,,78,,2014年01月01日至2014年06月30日,32928,410241,377313,33444,-542725,-536613,0.0,,381930.0,,928430,33444,-102722,-481654,-584376,602000.0,,,,,,0.0,,,-570057,410241,-9,,,-145674,29821.0
2014-11-07,3,2014,26919.0,-842,,34801,-894.0,1436,-410.0,-2000.0,80.0,0.0,-34293.0,12738.0,-1190,13783,-30220.0,0.0,,-4052.0,-523.0,,,,0.0,,83444.0,-325289,,-190475.0,-17411.0,-11105.0,,203000.0,-258500,153407.0,-244246.0,17198.0,-182237.0,60583,47755,1195,350.0,-13394.0,,118,,2014年01月01日至2014年09月30日,32928,165142,132214,104806,-773345,-760056,0.0,,471304.0,-160000.0,857804,104806,-20149,-871632,-891781,602000.0,,,43.0,,,0.0,,,-864862,165142,-13,,,-197819,46841.0
2015-03-25,4,2014,38961.0,10108,,34951,0.0,1101,272.0,,77.0,,-9143.0,16144.0,-815,21449,-95498.0,0.0,,-9745.0,-903.0,0.0,,0.0,,0.0,83195.0,-822869,,-243068.0,-16687.0,44778.0,,203000.0,-308500,121782.0,-309306.0,17066.0,-286113.0,1413,-22951,1612,528.0,-20772.0,,734,,2014年度,32928,1300709,1267781,77740,-1457698,-1437587,1950000.0,,491304.0,-189374.0,2748430,77740,-27185,-1527103,-1554288,602000.0,,,43.0,,,,,0.0,-1515327,1300709,-73,0.0,,-153451,54801.0
2015-05-07,1,2015,,-15647,0,13,0,-873,-1664,,0,,15186,4300,-984,6512,-19270,,-235349,-381,0,,0,,0,-40,,-264206,,-51540,-720,-38434,,50000,0,-95255,192047,-187,-40716,59783,-19691,417,177,-6672,,58,10433,2015年01月01日至2015年03月31日,1300709,926735,-373974,39166,-262934,-256314,,,94000,,-91349,39166,-194806,-111107,-305913,,,,11,,,,,,-295480,926735,-6,,,-71363,7663
2015-08-10,2,2015,,-12437,,186,0.0,873,-957.0,,64.0,,31498.0,8600.0,-1787,14129,-19332.0,,-235349.0,-1342.0,0.0,,,,0.0,-100297.0,,-1141055,,-342089.0,329375.0,-30080.0,,100000.0,-50000,-86387.0,113557.0,-11018.0,-25822.0,57514,-120971,838,355.0,-14898.0,,633,22146.0,2015年01月01日至2015年06月30日,1300709,416169,-884540,34186,-1128326,-1094537,0.0,,650510.0,-100404.0,364757,34186,-122536,-1028333,-1150869,0.0,,,11.0,,,,0.0,,-1128723,416169,-19524,,,-52300,18209.0
