date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,170130,,-117254,56137,18725,,45374,-626,-13558,-12731,335,,-937853,,-1251,154,1851,,-10928,31833,-20548,-116673,,0,,,12755,,-191930,171953,-10519,-30,491494,14709,-1201,-1030337,151190,-38,,-7315,-30081,10928,,,2013年01月01日至2013年03月31日,1786930,1842829,55899,-211694,,495501,515094,711063,611283,-211694,,221759,334899,556658,,11280,,,,5596,,,,,,,,,726788,8390,1842829,-440,-2097,,,,-10152,9051
2013-08-12,2,2013,346087.0,,-587978.0,68984,42899,,473920,-3864,16292,-14482,166.0,,-1397299.0,,-1435.0,146,3734,,-24065,61038,23530,-215924,,0.0,,-349.0,13045.0,,-233928,548181,5722,-4,139093,6513,-2070,-1568480,301224,4740,0.0,-845,-61334,24065,,,2013年01月01日至2013年06月30日,1786930,1542174,-244756,-331867,,865308,913822,981749,434886,-331867,,647444,252158,899602,,31552,,,,5034,,,,,,,0.0,0.0,1245689,6656,1542174,-11245,-33,0.0,0.0,,-117764,1447
2013-11-13,3,2013,477614.0,,-2222228.0,13688,57802,383328.0,188965,-914,5232,8564,2986.0,,-1314815.0,,-1039.0,152,8939,,-39163,85324,40699,-234947,,0.0,,-566.0,12934.0,,-220345,565127,-406,87,166503,25517,-2508,-1121189,408271,4602,0.0,-8213,-85906,39163,,,2013年01月01日至2013年09月30日,1786930,1548852,-238078,-444205,,567118,626130,2391823,275294,-444205,,575096,17625,592721,,32398,,,,4593,-239.0,49502.0,,,,,0.0,0.0,1070335,6036,1548852,-12269,6871,0.0,10992.0,0.0,-152759,-17654
2014-03-27,4,2013,727425.0,,-2222228.0,3220,91722,383328.0,234674,-1025,-1838,10581,324.0,79496.0,-1379548.0,,-1196.0,140,10828,0.0,-51449,107958,-1464,-333291,,0.0,,-226.0,9910.0,,-169317,673017,-13710,-116,369847,20284,-65,-1265059,553442,4671,0.0,-3044,-109022,51449,,,2013年01月01日至2013年12月31日,1786930,1092583,-694347,-609083,,949961,1024133,1703701,-377785,-609083,,630305,275486,905791,,54641,0.0,,0.0,6507,-239.0,50442.0,,,,0.0,,,1633216,501,1013087,-16599,-16802,64415.0,55570.0,,-194164,-31093
2014-05-13,1,2014,340928.0,,0.0,73107,124822,,-13233,-68,29069,-3921,5671.0,56091.0,-183513.0,,-155.0,-162,1925,,-21967,28391,-11219,-103254,,,,85.0,-223.0,,-153754,202702,47238,73,230246,-6747,-1122,-249419,142180,1027,,6782,-26968,18066,,,2014年01月01日至2014年03月31日,1092583,1220093,127510,-386629,,295283,325764,-31887,92865,-386629,,361403,10062,371465,,35768,1965.0,,,-39,,,,,,-8670.0,,,712393,970,1164002,-21579,192326,,,,-42366,2573
2014-08-13,2,2014,510689.0,,0.0,85165,146067,,-45313,-4763,-14642,396,5425.0,55316.0,-483968.0,,-323.0,-152,3790,,-41147,56776,-24880,-162154,,,,1254.0,6375.0,,-99610,242083,104778,38,191704,-3444,-7383,-576400,275535,10868,,9336,-52357,43929,,,2014年01月01日至2014年06月30日,1092583,1314766,222183,-417465,,727499,775179,-51034,95964,-417465,,471902,210053,681955,,51750,6049.0,,,9620,,,,,,-8622.0,5700.0,-4538.0,1192644,-584,1259450,-39252,209939,0.0,0.0,,167598,49639
2014-11-06,3,2014,612051.0,,0.0,-1781,153172,0.0,-57206,-1128,-14593,-1233,1740.0,32111.0,119921.0,,-431.0,-167,5663,,-71147,83429,-22242,-238937,,0.0,0.0,2392.0,-9171.0,,-442335,442569,113242,40,528262,1145,-6605,-44550,410532,14236,0.0,10806,-77171,55717,4393.0,,2014年01月01日至2014年09月30日,1092583,1524811,432228,-315721,,957124,1036742,-750563,-458104,-315721,,545861,194551,740412,,61288,16816.0,,,30773,0.0,137326.0,,,,-16342.0,5700.0,-4538.0,1352463,-1987,1492700,-62557,162875,0.0,0.0,0.0,159415,6631
2015-03-25,4,2014,935207.0,,0.0,70755,164892,0.0,-80022,-798,32618,1338,714.0,25640.0,189677.0,,-431.0,-184,7637,,-85454,105842,-31805,-310272,,,,3895.0,-17467.0,,-392687,246028,114223,42,19963,-3457,-27514,35228,528698,19327,,13396,-99900,82031,4393.0,,2014年度,1092583,1247965,155382,-543423,,483895,569571,-641602,-331936,-543423,,471367,-293580,177787,,96263,71511.0,,,114071,0.0,141310.0,,,,-72687.0,5700.0,-4538.0,1112994,5576,1222325,-72200,167809,10209.0,150224.0,,170270,1411
2015-05-12,1,2015,,,0.0,-192608,-23751,11443.0,-4399,-52,-73323,-3004,266.0,9458.0,-345621.0,,0.0,5,1951,,-15043,22904,-25411,-102474,,,,2844.0,774.0,,-16726,-258906,27742,-1,500035,2063,-18749,-318428,118506,-1579,,3263,-23770,9463,,24626.0,2015年01月01日至2015年03月31日,1247965,1181242,-66723,2657,,-38623,15903,336646,315739,2657,,-491869,480489,-11380,,63325,54120.0,,,-233,,,,,,-50074.0,,,13246,-1251,1171784,-40219,-56648,,,,22900,6212
2015-08-11,2,2015,,,,-153601,-28294,11443.0,87185,-5558,-56362,-641,1121.0,12276.0,-103620.0,,0.0,13,3872,,-30999,41297,-19587,-149825,-250.0,,,3638.0,-2055.0,,91099,-474203,-44435,8,587874,1440,-967,-114881,232654,-3036,,7025,-43001,28333,,186514.0,2015年01月01日至2015年06月30日,1247965,1002199,-245766,-189510,,-56231,5448,-30411,-55067,-189510,,-720495,728939,8444,,75293,54120.0,,,127479,,,,,,-49741.0,,0.0,194958,-1309,989923,-47011,-145073,,,,-28457,8286
