date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得透過其他綜合損益按公允價值衡量之金融資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,,47194.0,-6154,6203,4907,-9059,,,,9612,-33960,,,1978.0,,-411.0,,-378106,52081,199395,-100000.0,19468,-278386,25880,-472.0,-2965,40560,,,-14704,,,,2013年01月01日至2013年03月31日,449818,540761,90943,223764,,-259522,-244818,,7273421,-7015210.0,353430,223764,,102234,-618010,-515776,,57,,3,-4370.0,31349.0,-468582,540761,,1389.0,,,7695,34013
2013-08-09,2,2013,,97411.0,-17753,4397,-21734,-9122,,0.0,-194.0,19476,-84702,-78612.0,-60000.0,1679.0,0.0,,,57697,-15891,199757,,1845,-471192,26218,-1024.0,-174725,82808,,,-24923,194.0,,,2013年01月01日至2013年06月30日,449818,679772,229954,399314,,57016,81764,,163980,0.0,347663,399314,,-4759,-410202,-414961,,187,,-97,-3923.0,48402.0,-317550,679772,-19.0,-659.0,,,-1191,15036
2013-11-08,3,2013,9.0,151544.0,-1023907,38231,-59864,-11703,-744.0,0.0,-197.0,28729,-163496,-78612.0,-387193.0,0.0,-59669.0,,3.0,216000,144227,-226,,-6,-32904,30597,-1574.0,-227107,125606,,,-34475,197.0,,,2013年01月01日至2013年09月30日,449818,654217,204399,560177,,1049709,1100568,-259083.0,124682,0.0,-618203,560177,,249797,139050,388847,600000.0,18396,,2897,10671.0,383795.0,540391,654217,-16581.0,-16171.0,,,-14035,80622
2014-03-21,4,2013,9.0,187915.0,-1035508,81180,-124990,-10191,,0.0,-442.0,37068,-215603,-78612.0,-394754.0,,-170529.0,,12.0,-231140,85249,199490,,8,-175436,35165,-2121.0,-286681,167614,,,-37257,442.0,,,2013年01月01日至2013年12月31日,449818,653578,203760,743604,,636541,689973,-259083.0,519530,0.0,-146100,743604,,280536,-522082,-241546,600000.0,18476,,2826,10666.0,383800.0,-53631,653578,-16617.0,-29826.0,,,-25681,126411
2014-05-02,1,2014,,62025.0,-6155,-24672,-431634,13012,-7542.0,-908.0,-3.0,10322,-81752,,-41301.0,,1664.0,,3.0,-382304,35946,-99795,,70,-343845,11985,-316.0,-37902,42451,,,-9961,3.0,,,2014年01月01日至2014年03月31日,653578,648467,-5111,342044,,-755986,-746028,,893063,,788777,342044,,-10145,-1139952,-1150097,,4572,,681,-6730.0,81484.0,-1088072,648467,,15304.0,,,13388,-34185
2014-08-01,2,2014,,115892.0,-17754,-22066,-500594,440,,-908.0,-180.0,23427,-165473,0.0,-85986.0,0.0,-896.0,,3.0,-1600167,85545,219,,100,-552771,7491,-793.0,-165713,86566,,,-22679,180.0,,,2014年01月01日至2014年06月30日,653578,558301,-95277,594911,,-1920406,-1827651,,2009273,0.0,1990842,594911,,104081,-2642535,-2538454,,5136,,360,-6762.0,81515.0,-2422562,558301,-70256.0,12481.0,,,3506,40855
2014-11-07,3,2014,0.0,171821.0,-23908,-12407,-126784,14831,0.0,-908.0,-183.0,39407,-224094,0.0,,0.0,-88.0,,3.0,-1339820,-3873,-99673,,-16,-406248,9094,-1180.0,-219592,132507,,8437.0,-39025,183.0,,,2014年01月01日至2014年09月30日,653578,646139,-7439,966784,,-827172,-676579,-555178.0,1718172,0.0,1039325,966784,,6253,-1821437,-1815184,0.0,5407,,90,,,-1643363,646139,-111751.0,,,,33884,8898
2015-03-20,4,2014,0.0,225854.0,-35508,50329,220812,10291,,-908.0,-424.0,49159,-269458,0.0,,,969.0,,-24880.0,306060,-152297,-199603,,352,-7836,-2143,-1556.0,-283433,179478,1339.0,49910.0,-49419,424.0,4572.0,,2014年度,653578,820104,166526,1131653,,1728749,1871934,-555178.0,-489470,,-1278790,1131653,-4572.0,-86270,600697,514427,0.0,11813,,2213,,,740281,820104,-98762.0,,,,33894,5272
2015-05-06,1,2015,91.0,,-47821,-97438,-49359,7112,0.0,0.0,-3.0,6523,-64452,,,,980.0,,0.0,-206844,151628,0,,-327,545701,20076,,-64280,47993,-985.0,-34554.0,-6578,3.0,,54659.0,2015年01月01日至2015年03月31日,820104,816188,-3916,166714,-546.0,463030,458677,,-355825,,-402666,166714,,-22389,259693,237304,,172,,55,,,291963,816188,10928.0,,,,-15327,-81833
2015-08-07,2,2015,,,-59421,-140787,-153873,2737,,0.0,-340.0,13176,-286755,,,54204.0,0.0,,0.0,515253,67417,24,,-172,662803,-3908,,-654303,95834,-925.0,-24794.0,-13243,340.0,,114953.0,2015年01月01日至2015年06月30日,820104,825533,5429,276922,-1195.0,1041780,1146172,,-376855,,-382048,276922,,-227766,982063,754297,,2784,,5877,406.0,,869250,825533,-91489.0,,,-370332.0,-13418,-154841
