date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,13589,3326641.0,,,-294878,-690156,,-2457,,,63266,-4962,-12339,,,,,,,,-66299,404862,597762,-759370,,,,-102864,-1911487.0,,722,0.0,-154,-360.0,0.0,606117,,,-657032,-7299,,3470761,,370907,-83661,743987,20693,-18912,-33188.0,-2293576,2748139,28,,63887,215872,-348716,67564,,,2013年01月01日至2013年03月31日,13074262,16861485,-1042.0,3787223,-1892274,,2055302,2380646,,,15666168,-15670894,3427735,-1892274,,-499868,1446147,946279,256732,20016,0.0,,,-9195,,,,0.0,,-1473.0,460489.0,,4272920,-23768,,16861485,-44192.0,-42421,104581.0,,,,,35958,534516
2013-08-13,2,2013,27549,8924933.0,,,-3510578,600401,,-133628,,,74609,10549,65891,115212.0,29062.0,,,,164343.0,-1498470.0,-124905,843478,789367,-1881975,,,,-129214,-5250715.0,,1217,0.0,-39352,,49294.0,232358,1556521.0,0.0,-1227978,-95949,,3538161,,234625,-102385,442296,624283,-18197,-65605.0,-4005392,5544191,134,0.0,131689,436413,-695174,80300,,,2013年01月01日至2013年06月30日,13074262,15891919,80.0,2817657,-5071030,,4184886,4994803,-313809.0,,29977466,-28090876,1848796,-5071030,,-702353,1843253,1140900,287784,42762,19906.0,,,-51976,,,,3646974.0,,-2947.0,1423686.0,,10065833,-435325,,15862857,-195043.0,-28360,,,,,,477355,342254
2013-11-06,3,2013,41993,11635482.0,,,-5650381,-252367,,-148231,,,-95516,-7601,65714,,,141324.0,,-10633.0,63819.0,-1498470.0,-189352,1270629,108310,-2159030,,-8340.0,,-217318,-8465962.0,,63387,0.0,-30496,,,-212102,1556521.0,,-1611018,-320775,,3785255,-1205783.0,287420,-111411,-237535,530787,-40186,-98328.0,-3044855,7872137,293,0.0,196703,671310,-1080316,196950,,,2013年01月01日至2013年09月30日,13074262,14130003,,1055741,-4235109,,3459253,4779816,-319718.0,,44963362,-43383320,533033,-4235109,,-2925692,305135,-2620557,2232790,65038,0.0,,,-55460,1033094.0,,,3313425.0,,-2947.0,5097956.0,,9014925,-424507,,14130003,-437197.0,-47873,,,,,,367288,-312482
2014-03-21,4,2013,55507,14278827.0,,,-9308591,658119,,-11528,,,-1100565,-8230,-58175,,,188851.0,,-145650.0,432719.0,-1498470.0,-301247,1726025,431168,-3398002,,-8340.0,,-212884,-10277306.0,,-8387,0.0,-41851,,,201367,1556521.0,,-1581515,-587312,,3799039,-1308740.0,182080,-137593,-634907,557517,-101450,-131956.0,-2294467,9839965,-133,0.0,1168701,899408,-1496974,307222,3085.0,,2013年01月01日至2013年12月31日,13074262,13579147,,504885,-3953307,,5694179,7502589,-319718.0,,57850336,-56566386,-3325995,-3953307,-3085.0,-2464143,-358788,-2822931,2381065,75125,75567.0,0.0,,-50791,1882631.0,,,1020510.0,221991.0,-2947.0,7503161.0,,11455896,-437494,,13579147,-621743.0,339972,,,,1093666.0,,727480,-358636
2014-04-28,1,2014,12023,1978757.0,,-76741.0,-318695,-288651,,162881,,,835402,-6099,6694,,,10958.0,,-87823.0,359300.0,,-82012,452993,556776,-790026,,,,-73193,-6804470.0,,-1194,468.0,0,,,-512035,,,72759,-241785,,0,-3808386.0,106414,51009,-1019690,8272,-168433,-33024.0,-4234762,1920553,43,,674,111517,-576852,74779,,,2014年01月01日至2014年03月31日,13579147,20358881,,6779734,317844,,214641,826211,,,22384589,-16523541,10243079,317844,,-547028,-923362,-1470390,8574427,10293,207279.0,-346305.0,,-369,,,,-70038.0,,0.0,2943878.0,,508367,13237,730.0,20358881,-109497.0,-19815,,,,,,-60779,-396605
2014-08-07,2,2014,24324,4410224.0,,-76741.0,-1995064,-863299,1450000.0,312628,,,859013,-22340,13030,,0.0,10892.0,,-95000.0,393887.0,0.0,-185247,1019763,59627,-1607989,-194156.0,,,-136990,-6786876.0,,-1467,1479.0,0,,,-619845,0.0,,43239,-624352,,1225740,-3785992.0,27829,43411,120947,-521205,80384,-80628.0,-3765775,3824765,134,,-2853,223717,-1099488,152867,,,2014年01月01日至2014年06月30日,13579147,16741935,,3162788,526864,,1728118,3068019,0.0,,32331900,-32567649,5140818,526864,,-1818298,-50771,-1869069,8546253,116995,255054.0,-346305.0,,-79631,,,,-123116.0,,0.0,4289300.0,,2541155,9742,730.0,16741935,-393280.0,55544,,,,,,52275,-700032
2014-11-11,3,2014,90768,7359042.0,,-1884941.0,-2855030,-203239,1450000.0,360040,-30000.0,,700728,-96768,127789,,,10859.0,-1329.0,-232703.0,397756.0,0.0,-269821,1631483,533540,-2763715,-197773.0,0.0,,-305370,-12440006.0,,412340,,-5200,,,-1498481,0.0,,251515,-810722,,2444682,-3774870.0,48769,18252,-266928,78357,102153,-127770.0,-9141207,5631730,167,,-3528,335055,-1589120,185491,,,2014年01月01日至2014年09月30日,13579147,17689706,,4110559,-982588,,2282316,4173267,0.0,1500000.0,52693826,-49980011,10435910,-982588,,-1175533,-1027654,-2203187,10867924,232867,361397.0,-346305.0,,36732,0.0,,0.0,-189175.0,,0.0,5806340.0,,5155855,11329,791.0,17689706,-487322.0,18997,,,,9975.0,,-46715,-851663
2015-03-30,4,2014,47387,9954796.0,,-1884941.0,-4564429,-430148,1450000.0,203449,-50000.0,,724036,-81702,51013,,,10926.0,-16848.0,-240712.0,403346.0,0.0,-379303,2415068,1102651,-3793674,-197358.0,0.0,,-329014,-17817984.0,,357980,388302.0,-21017,,,-219813,0.0,,170676,-1067416,,4914214,-3790240.0,98847,23238,-466038,45419,102714,-220433.0,-12614840,7695503,199,,-662,452689,-2282594,219838,0.0,,2014年度,13579147,20603486,,7024339,-3317826,,2350562,5023843,0.0,1500000.0,65707732,-67577389,16185966,-3317826,0.0,-1701587,88460,-1613127,20119656,241984,361397.0,-346305.0,,34570,0.0,,,-189175.0,0.0,0.0,8757175.0,,8341669,-5142,799.0,20603486,-610525.0,-151730,,8000.0,,9975.0,,-16156,-525870
2015-05-08,1,2015,30167,,,-300000,-868059,-626612,,137579,-50000,,-95454,833,-33592,,,95953,-18266,-7987,369,,-198588,791505,-742077,-1051636,,,32672,-158167,,-7894063,4491,3268,-465,,,606661,,,-180473,89681,,5137,0,-211190,7696,723122,-152622,6706,,-6383225,2041767,221,,2958,123766,-666071,80633,,2797893,2015年01月01日至2015年03月31日,20603486,22051514,,1448028,-1076426,-49784,1450708,2203348,,,20317894,-19874481,7122622,-1076426,,-652670,1134551,481881,7811641,22050,0,0,,4776,,,,0,,,,2673537,3279774,-5101,0,22051514,-167202,-2949,,,,,,45305,218905
2015-08-12,2,2015,56148,,,-300000.0,-2861717,-781598,1000000.0,14176,-1400000.0,,33746,26448,91552,,,95024.0,-37622.0,-104572.0,12780.0,,-418078,1631385,-920373,-2403656,0.0,,,-167811,,-8677786.0,-3729,6170.0,-5485,,,702270,,,-379446,-25425,504271.0,5087,-1267872.0,-264831,1334,1681935,-306027,6793,,-4931960,4092607,262,,12684,244308,-1536999,182814,,4117713.0,2015年01月01日至2015年06月30日,20603486,19849352,,-754134,-1938751,-103950.0,-228506,1767085,,,33257852,-32657381,5326705,-1938751,,-2565829,2153952,-411877,8988378,2859480,103545.0,0.0,,-1441170,,,,-22136.0,,,,3950836.0,3705836,-47930,0.0,19849352,-641406.0,-34306,,,,,-504776.0,8787,-1069973
