date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,226855.0,23188.0,,-372525,-45419,1885.0,-8166,705.0,32448.0,-415,2909,,0.0,0.0,,-336.0,,,-3289.0,,86.0,-16787,24673,208593,-285581,,-1721,4134,-4277.0,,5097,39541,-7911,0.0,1957,14526,-388154,-94010,877,,-604687,200076,,8950,-28465,16787,,,2013年01月01日至2013年03月31日,9206408,9261212,54804,967376,,,566770,699681,,56989.0,,-115872,967376,,147051,-641601,-494550,200000,4323,7572,-267695,,9261212,-121233,378,1148.0,,-175385,-373153.0,,157413
2013-08-13,2,2013,436584.0,23188.0,,-1441123,126362,-18812.0,39429,15746.0,36051.0,847,2990,-62160.0,,,,-314.0,,,-20365.0,,199.0,-36881,41346,300528,-495181,,-1678,-5541,-9439.0,,-223812,328772,-11136,,10235,-203177,-322488,-60886,2337,,-1430125,420402,5000.0,17804,-43770,36881,,,2013年01月01日至2013年06月30日,9206408,9275152,68744,2149815,,,1692583,2166841,,-268805.0,,-494242,2149815,,536848,-956406,-419558,1216000,3617,17356,17026,,9275152,-467369,1315,1148.0,,-211545,-924722.0,,100580
2013-11-10,3,2013,674253.0,23188.0,0.0,-1901889,220112,-31523.0,54490,26527.0,32802.0,41,2844,-2812.0,,,,-148.0,,0.0,0.0,50.0,,-55035,56169,208691,-675030,,-1555,-16754,-39848.0,,335546,-13254,-18294,10000.0,-13651,-50927,-25894,113481,2848,-23970.0,-1839683,648489,5000.0,25764,-58948,55035,,,2013年01月01日至2013年09月30日,9206408,10652887,1446479,3153738,,,3612332,4283514,0.0,,-468824.0,-534861,3153738,,230006,225517,455523,1826000,18641,13956,1129776,,10652887,-667269,516,1148.0,,-238398,-1195119.0,,110545
2014-03-26,4,2013,1050072.0,23188.0,,-2242976,308988,-53874.0,78455,38851.0,0.0,7618,-153856,-547194.0,,,,-128094.0,50595.0,,0.0,-70.0,,-77507,97468,307374,-931042,-591800.0,-8612,25175,-42805.0,,316430,20442,-17122,10000.0,-26211,-60131,33902,33784,1462,-31152.0,-3240428,960520,2506.0,33537,-155341,77614,0.0,,2013年01月01日至2013年12月31日,9225959,10528408,1302449,4338410,,4586761.0,4586761,5508400,-1247256.0,91068.0,,-351258,4338410,,294704,-174786,119918,3166000,26437,10103,1169990,,10528408,-843912,-372,1148.0,,-466189,,-1219125.0,86015
2014-05-12,1,2014,292368.0,0.0,,-137172,-20156,6076.0,11543,-25434.0,,-7135,155903,,-632796.0,,,245.0,-3543.0,,,,0.0,-31696,33083,171507,-299746,,-1034,2159,9447.0,,-269223,-102006,4360,286.0,-966,-509331,-27932,9132,1386,-4802.0,-1008501,275301,2325.0,12668,-42277,23862,,,2014年01月01日至2014年03月31日,10528408,10323131,-205277,1078338,,,374248,698203,,343949.0,,257469,1078338,,-9344,-663159,-672503,50161,10798,773,-380135,,10323131,-305540,80,0.0,,-11528,-91627.0,,115285
2014-08-12,2,2014,589515.0,0.0,,-393343,308729,44.0,9498,-296.0,,-5622,126912,-1082279.0,,,,5227.0,2281.0,,,,,-66369,66322,-22007,-461518,,-4942,9501,8460.0,,-476335,-47182,1671,,-1694,-574289,2781,150862,1386,-10013.0,-1854071,551430,2563.0,25598,-82011,56123,,,2014年01月01日至2014年06月30日,10528408,10580048,51640,2270202,,,1676622,2291518,,451984.0,,251096,2270202,,352436,-920635,-568199,187228,38003,3115,21316,,10580048,-589008,-82,0.0,,-163717,-354076.0,,106503
2014-11-12,3,2014,872443.0,0.0,,-1665985,262702,-70.0,13267,,,-6972,152405,-658837.0,,,5044.0,,,3287.0,,,,-99463,102408,132541,-631922,,-5706,13895,5350.0,,-275805,-199131,6919,61.0,78916,-672344,5078,43171,1386,-15257.0,-1700207,817929,9568.0,33257,-123028,88996,,,2014年01月01日至2014年09月30日,10528408,12196778,1668370,3514150,,2962290.0,2962290,3853567,,358528.0,,273746,3514150,,244044,-777070,-533026,1576098,39973,4525,339417,,12196778,-857245,-108,0.0,,-53796,,-452352.0,116937
2015-03-25,4,2014,1158297.0,0.0,,-2401875,367142,,2492,0.0,0.0,-52,141284,-1949534.0,,,,492985.0,3498.0,,0.0,-265623.0,,-132250,144575,494156,-788237,0.0,-12370,9602,8213.0,,-435003,-244426,12846,0.0,165525,-495794,9165,38711,-366,-20105.0,-3516292,1092553,9690.0,40023,-169752,123913,0.0,,2014年度,10528408,12279655,1751247,4577568,,4159494.0,4159494,5294336,-1373454.0,217042.0,,613889,4577568,,273183,-714712,-441529,3679159,54983,4166,716768,,12279655,-1089003,-372,0.0,32.0,15109,,-567222.0,-7747
2015-05-11,1,2015,,0.0,,-402281,-262397,4398.0,-10373,-32.0,,-6018,14761,,-542371.0,,,1236.0,0.0,,,-224298.0,,-33088,42720,-140734,-232676,,0,-311,45744.0,,442467,-209917,65150,0.0,-85826,276344,-813,-71789,1752,,-1015083,283610,11482.0,7787,-44475,23370,,301164.0,2015年01月01日至2015年03月31日,12279655,12152567,-127088,692970,-4837.0,,1223429,1335730,,-163655.0,,-194700,692970,,-338810,680406,341596,370000,11394,1177,642760,,12152567,-91196,-731,0.0,,16607,-72876.0,,160637
2015-08-11,2,2015,,6732.0,,-500841,-219771,2652.0,-4321,0.0,,-4510,14065,-826066.0,,,2887.0,,-125444.0,,,-293352.0,,-69951,90466,-241465,-380175,,-2950,10185,33391.0,,315007,-104320,75104,,-170861,50705,572,-84878,1752,,-1731422,561471,11482.0,14925,-94072,73485,,610313.0,2015年01月01日至2015年06月30日,12279655,12046145,-233510,1879910,-9284.0,,2021720,2465262,,-490381.0,,-282343,1879910,,-382854,357893,-24961,705992,21854,4037,585352,,12046145,-422955,-820,,,53509,-165412.0,,48136
2015-11-12,3,2015,,6732.0,,-823553,-148482,1681.0,5480,,,-6867,14831,-884430.0,,,2581.0,,,-125489.0,,-316677.0,,-133435,129558,156928,-544029,,-2950,4040,,24838.0,675064,-319026,61521,0.0,-172623,154996,1303,-6149,1752,,-2117570,835424,11482.0,23301,-132907,103355,151828.0,711014.0,2015年01月01日至2015年09月30日,12279655,13876670,1597015,3372545,-13514.0,4016624.0,4016624,4594025,,-652259.0,,-458967,3372545,-151828.0,-559199,1069665,510466,1014264,24272,4475,1221480,,13876670,-699677,-521,0.0,,210906,-299837.0,,38111
