date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款減少,預收款項增加（減少）
2013-05-09,1,2013,6130.0,,,0.0,-12771,,,0.0,1650.0,,,-6011,,-50.0,,,0.0,,,-31.0,,,-16,751,-2522,-1909,-2000.0,-527,,,820,0.0,,,,-1519,-19672,,-12094,12721,0.0,-2762,112306,3573,199.0,591,-751.0,16,,2013年01月01日至2013年03月31日,17343,10419,-6924,-29391,,-60357,-59628,,-56351.0,,-56351.0,-29391,-51608,15241,-36367,,116773.0,,181,,,,,-30237,-1010,10419,6.0,31.0,,,5151,,
2013-08-09,2,2013,8427.0,,,0.0,-1785,0.0,,,512.0,0.0,0.0,-7404,,-133.0,,,,,,-31.0,,,-33,835,1654,-2888,-2000.0,-747,,,-995,0.0,,,,8922,-28080,,-5133,16551,0.0,2412,111227,7179,286.0,1213,-900.0,33,,2013年01月01日至2013年06月30日,17343,13107,-4236,-58550,,-66925,-66064,,,-60687.0,-50192.0,-58550,-42962,27021,-15941,10495.0,116893.0,0.0,181,,0.0,,,-7514,-427,13107,6.0,-239.0,,,-1376,,
2013-11-12,3,2013,12383.0,,,-2700.0,-9315,0.0,,,-1024.0,,3000.0,-3989,,-210.0,,,,,,0.0,30.0,,-45,1104,4495,-5093,-2000.0,-905,,,-1276,,-17.0,,,26247,-15939,,1796,20541,0.0,920,112525,10845,165.0,1859,-1170.0,46,,2013年01月01日至2013年09月30日,17343,8752,-8591,-100316,,-68235,-67117,0.0,,-65154.0,-57376.0,-100316,-28490,49306,20816,10495.0,117493.0,0.0,193,,0.0,,,33199,-833,8752,6.0,-462.0,,,2622,,
2014-03-10,4,2013,15865.0,,,-5200.0,-9315,0.0,,,1843.0,,,-6408,,-338.0,,16701.0,,,,,7500.0,,-142,1416,5673,-5526,-2000.0,-1379,,,-1757,,-17.0,-188.0,,54620,-32208,,347,33699,0.0,890,116710,14449,-667.0,2664,-1502.0,143,,2013年01月01日至2013年12月31日,17343,8892,-8451,-142028,,-80316,-78957,0.0,,-72497.0,-50518.0,-142028,-48701,95907,47206,10495.0,118303.0,0.0,194,,0.0,,,63071,-779,8892,0.0,-398.0,106.0,,4855,,
2014-05-13,1,2014,3174.0,,,-2100.0,-15508,0.0,,,-207.0,,0.0,33080,,0.0,-65.0,6666.0,,,,,,,0,94,1788,-1536,0.0,-102,,,-260,,0.0,,1010.0,1581,-12438,,-14006,20411,0.0,-321,-580,3851,-618.0,571,-94.0,0,,2014年01月01日至2014年03月31日,8892,10174,1282,-29204,,-14932,-14838,10440.0,,0.0,15006.0,-29204,-9962,21154,11192,0.0,48.0,0.0,-47,,0.0,,,14366,-1090,10174,0.0,-417.0,,,-245,,
2014-08-13,2,2014,7227.0,,,-3800.0,5800,,14619.0,,611.0,,,-3135,-220.0,-120.0,,,,,,0.0,,,-3,147,-300,-2979,0.0,-178,,,525,,,,1114.0,3026,-6139,12295.0,322,-5228,,508,-718,6862,-1366.0,1036,3.0,-146,,2014年01月01日至2014年06月30日,8892,7965,-927,-56911,,-6549,-6406,10440.0,,0.0,6640.0,-56911,52853,-9575,43278,0.0,0.0,,363,,,,,50505,0,7965,0.0,-337.0,,,-8272,1325.0,29211.0
2014-11-14,3,2014,10392.0,,1120.0,-5295.0,-2688,32400.0,,,633.0,,,-4653,1262.0,0.0,-26.0,,,,,0.0,,,-3,167,964,-3006,0.0,-178,,,86,0.0,,,1114.0,6929,-6924,21721.0,-2644,-9127,-2389.0,508,11433,8568,-1366.0,1318,-167.0,3,,2014年01月01日至2014年09月30日,8892,14092,5200,-74932,0.0,-44742,-44578,10440.0,,0.0,37545.0,-74932,31888,-11926,19962,0.0,92.0,3365.0,650,,989.0,8357.0,,30354,1049,14092,0.0,-17.0,,,-9716,569.0,26027.0
2015-03-31,4,2014,31144.0,,1120.0,-5295.0,4060,0.0,3479.0,,3379.0,,,-5744,-247.0,0.0,1118.0,5625.0,,11197.0,,,0.0,,-95,2265,1083,-4191,0.0,-178,,,9789,188.0,0.0,0.0,1924.0,-10901,-348,6814.0,-14977,-3216,,-81,12228,10004,-1366.0,1520,-310.0,95,,2014年度,8892,40274,31382,-116927,,-96884,-96669,103240.0,,0.0,114955.0,-116927,6938,-17824,-10886,0.0,93.0,3365.0,651,,1050.0,8358.0,1737.0,20258,1049,40274,0.0,-47.0,6156.0,1217.0,-7876,,12605.0
2015-05-13,1,2015,,,,0.0,-6915,,467.0,,488.0,,,-652,687.0,,,0.0,,,,,,,-1,135,-246,-441,,0,,,169,,,,43.0,-20610,-13069,6367.0,976,1137,,589,5453,978,0.0,171,0.0,1,1656.0,2015年01月01日至2015年03月31日,40274,13347,-26927,-7473,,-32134,-32135,0.0,,,0.0,-7473,-19136,-7182,-26318,0.0,0.0,5851.0,187,,17.0,,,-24662,372,13347,0.0,0.0,,,10527,,-6682.0
2015-08-13,2,2015,,,,0.0,5140,9531.0,986.0,,666.0,,,-1922,999.0,0.0,,,,,-11255.0,,,,-13,265,-373,-829,,0,,,899,,,,0.0,-14241,-18856,-6814.0,-1084,5051,,590,5022,1770,0.0,339,0.0,13,6909.0,2015年01月01日至2015年06月30日,40274,25569,-14705,-24430,,-37705,-37718,20075.0,,,18351.0,-24430,-27270,7073,-20197,,,5851.0,187,,3462.0,,,-13288,-79,25569,,0.0,,,14008,0.0,-4641.0
