date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-10,1,2013,257868.0,-18100,-31088,-47891,1667,-6440,-2956,97.0,-2826,2929,9256,-104236,,,-233,,-9780.0,,-7204,20193,-637.0,65469,42227,52.0,-263148,251994,1771.0,-3404,3033,,,2013年01月01日至2013年03月31日,1624782,1630843,-88,6061,71889,,341075,347047,,170745,-263767,-81122,71889,,-25915,43205,17290,30000,200,,,-167,,275158,-16102,1630843,-5601,-140.0,,,4531,,-149332
2013-08-08,2,2013,509630.0,-35616,44045,-21630,1177,-22410,-3012,195.0,-5722,5020,5740,-310870,,,-207,,-12039.0,,-6884,23569,-755.0,-83791,48950,681.0,-622104,498951,3200.0,-5302,5841,,,2013年01月01日至2013年06月30日,1624782,1395810,287,-228972,227275,,638457,708923,,139587,-385036,-251065,227275,,60795,-88777,-27982,30000,800,,,-735,,481648,-7922,1395810,-71005,-80.0,,,8721,,-299995
2013-11-07,3,2013,766037,-53133,9095,136592,391,-32132,-4315,295,-7497,6881,6383,-508635,,,-224,,-12037,,891,9478,361,34320,50460,3486,-1060966,751197,4968,-7189,7905,,,2013年01月01日至2013年09月30日,1624782,1615324,-1602,-9458,321427,,1189316,1313461,-265980,147567,-202645,-144191,321427,,40181,185816,225997,230000,1457,,,456,,992034,17370,1615324,-124861,82,,,11481,,-541751
2014-03-20,4,2013,1023693.0,-70650,48322,127500,-1833,-40777,-6587,394.0,-9567,8468,5639,-874666,,,1473,,-38108.0,,15601,-6795,1227.0,39070,42511,-6257.0,-1786035,1003083,7152.0,-9070,10220,,,2013年01月01日至2013年12月31日,1624782,1103712,-473,-521070,425340,,1552043,1673298,-265980.0,210717,-452204,-292717,425340,,46947,177318,224265,285000,1457,,,456,,1247958,12283,1103712,-122405,36.0,,400.0,12671,,-874718
2014-05-09,1,2014,230851.0,-44767,-42487,-41937,3324,39941,-2594,101.0,-993,2135,10631,-55673,,,17,,27004.0,,-29702,-20941,-2115.0,69155,4828,-121.0,-667569,236961,1683.0,-1949,1097,,,2014年01月01日至2014年03月31日,1103712,1523724,-8753,420012,53834,,255904,256847,,11546,-15733,821046,53834,,-67529,39691,-27838,870000,0,,968.0,0,2.0,203013,-5189,1523724,-91,-60.0,,,-242,,-639868
2014-08-08,2,2014,493722.0,-64033,6489,-208467,9056,44873,-9379,,-3388,4042,-7638,-246961,,-50000.0,-1,,26032.0,,-34343,3789,-2115.0,-54694,-8865,-362.0,-1133818,483329,4054.0,-3811,2957,,,2014年01月01日至2014年06月30日,1103712,1003076,7130,-100636,150374,,370685,387825,,29550,-165382,670135,150374,,14604,-270875,-256271,870000,6506,,968.0,-410,2.0,237451,-2253,1003076,-16286,-60.0,,,-976,,-870363
2014-11-11,3,2014,770549.0,-95065,-23158,-215891,16840,51292,-9815,,-4944,6857,-2550,-271491,,-50000.0,959,136.0,27376.0,,-19852,-13414,-2114.0,-24838,-4838,4993.0,-1467603,742291,6553.0,-6692,4780,,,2014年01月01日至2014年09月30日,1103712,885133,5943,-218579,205519,,671903,722602,-265980.0,306658,-236078,579671,205519,,-29524,-223942,-253466,870000,12263,,968.0,14248,2.0,517083,-12671,885133,-48787,-60.0,,,-1300,,-1186719
2015-03-18,4,2014,1027610.0,-126096,-1671,-227586,26113,40629,-13435,,-6850,11819,3991,-277402,,-50000.0,941,136.0,27366.0,,-19246,-21686,-2115.0,24528,-1185,-6381.0,-1888610,1008056,9173.0,-15605,6568,10691.0,,2014年度,1103712,1018028,1413,-85684,247918,,1005800,1068503,-265980.0,188300,-236225,793135,247918,-10691.0,-10730,-196295,-207025,1233000,12674,,968.0,13944,-58.0,820585,-4990,1018028,-53666,0.0,,0.0,-137,,-1612907
2015-05-08,1,2015,,-31030,-55140,-100072,4263,-24670,-2141,105,-2316,5519,-2176,-278370,-14280,,0,,,685,-2315,4652,0,46642,1362,,-457520,273915,2534,-5318,2253,,281015,2015年01月01日至2015年03月31日,1018028,1134298,1460,116270,1095,-181,153730,157000,,110349,-120083,422236,1095,,-43916,-81194,-125110,463000,450,,0,-450,0,155905,2490,1134298,-205,0,,,248,,-166005
2015-08-07,2,2015,,-67312,-7848,-101076,5103,-40048,-3637,,-5171,11331,-5989,-466530,-14280.0,0.0,1002,,,1685.0,-5607,-10240,0.0,51974,-5470,,-693470,547921,5038.0,-11172,4738,569.0,569108.0,2015年01月01日至2015年06月30日,1018028,1336695,2981,318667,-34193,911.0,390021,421634,,253500,-141083,628105,-34193,-569.0,-9417,-103864,-113281,583000,1650,,0.0,-1649,0.0,455827,2657,1336695,-25179,0.0,,,8224,,-216564
2015-11-06,3,2015,,-103593,-72425,-100219,-4454,-99901,-5620,,-7787,17851,4723,-500740,-14280.0,0.0,994,0.0,,1702.0,54,-28479,0.0,43808,9322,,-844790,817902,7467.0,-17661,7670,12498.0,831623.0,2015年01月01日至2015年09月30日,1018028,1090461,937,72433,-41911,1984.0,487826,532746,-197023.0,272372,-130082,424674,-41911,-12498.0,-104410,-152556,-256966,583000,1688,,0.0,-1662,0.0,574657,-1036,1090461,-47427,0.0,,,8419,,-333160
2016-03-17,4,2015,,-160957,-54802,-4883,1511,-82765,2891,,-10451,24279,2181,-567766,-14280.0,0.0,2893,17.0,,1685.0,215,-28596,0.0,77164,7242,,-970034,1082237,,-28224,10168,12498.0,1116537.0,2015年度,1018028,1439089,4359,421061,-24679,-109.0,907580,996606,-197023.0,690204,-554982,481334,-24679,-12498.0,-95116,-136,-95252,704075,1737,,0.0,-1733,0.0,1021285,-13120,1439089,-83468,,5600.0,,21851,,-391410
2016-05-09,1,2016,,-89352,-51920,-211121,3475,-3780,-2611,,-2630,6315,-1229,-37640,0.0,,5,,,10092.0,-2477,-1741,,22745,-6983,,-64621,261201,,-6277,2647,,269918.0,2016年01月01日至2016年03月31日,1439089,1416233,6743,-22856,20736,-3299.0,40698,44439,,199490,-119992,2296,20736,,-41988,-204227,-246215,12150,0,,,0,,23703,11497,1416233,-111,,,,0,-1716.0,-37073
