date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,15128.0,,0.0,,-38605,155.0,2346.0,-224,,-134.0,,,,,-59,144,246,-7740,,,,,0.0,,,0.0,,-153,27245,,,-33,-25095,15292,,-756,202.0,-7802,14410,,109,-144,59,,,2013年01月01日至2013年03月31日,192677,214086,21409,82973,,78965,79288,,,-50000,-50000,82973,,-61185,42372,-18813,91,524,,,,-3685,214086,-238,,,794,
2013-08-12,2,2013,20698.0,,,0.0,-22113,299.0,2871.0,-25,,216.0,,,,,-212,0,85,-13624,0.0,,,-99.0,-5960.0,,,0.0,-858.0,900,21634,,,-875,-29537,41248,,402,-342.0,-10529,28665,,220,0,212,8833.0,,2013年01月01日至2013年06月30日,192677,287547,94870,144216,,156754,179654,-1440.0,,-50000,-51440,144216,-8833.0,-49721,64461,14740,279,858,,,,35438,287547,-23112,,,687,275.0
2013-11-12,3,2013,30475.0,,,0.0,-22798,-5075.0,245.0,-989,,-24117.0,,,,,-244,314,-405,-20845,0.0,,,-99.0,-5960.0,,0.0,0.0,-1033.0,962,17924,,,5592,-11851,37583,,129,-321.0,-12273,42484,,305,-314,244,13200.0,,2013年01月01日至2013年09月30日,192677,160480,-32197,220750,,200506,247304,-210025.0,0.0,-10000,-220025,220750,-13200.0,-26152,22231,-3921,1502,816,,,,26554,160480,-46728,,,-3224,2981.0
2014-03-14,4,2013,40444.0,627.0,,0.0,27803,522.0,1043.0,-649,,-18673.0,,,,-4473.0,-413,491,-375,-49954,0.0,-1350.0,,-6492.0,0.0,,0.0,0.0,-2610.0,1833,-2575,2816.0,,-4433,-6023,9620,544.0,5810,-210.0,-28594,57099,,629,-453,413,13724.0,,2013年01月01日至2013年12月31日,182717,219363,36646,277692,,291166,338169,-210025.0,20000.0,-30000,-225551,277692,-13724.0,25911,-5878,20033,1502,835,,9960.0,,60477,219363,-46963,4791.0,-4176.0,-477,2940.0
2014-05-13,1,2014,8767.0,,0.0,,-69412,-436.0,,72,1052.0,14245.0,,,,-6519.0,-46,73,317,-29001,,,,-2114.0,0.0,,,,-262.0,65,26941,-6150.0,,-8104,-24622,43306,,-6580,303.0,-37117,15093,,487,-133,46,,,2014年01月01日至2014年03月31日,219363,224598,5235,100281,,82035,83002,,,-40000,-40000,100281,,-105283,79237,-26046,345,-321,,,,-17279,224598,-880,-3582.0,,1689,-918.0
2014-08-12,2,2014,17147.0,,0.0,,-47818,,-1002.0,-1946,,18009.0,-2297.0,,,-6519.0,-267,73,297,-35232,,,,-2115.0,-12909.0,,,,-701.0,173,-498,-6150.0,944.0,2210,-3935,24504,-798.0,-101,570.0,-48020,30516,,1055,-133,267,8339.0,,2014年01月01日至2014年06月30日,219363,280285,60922,160179,,144463,166564,-1364.0,,-40000,-35818,160179,-8339.0,-53653,42891,-10762,575,746,-118.0,,,6385,280285,-22235,,4602.0,3721,-1381.0
2014-11-11,3,2014,32286.0,,,,-49491,,-1621.0,-786,,-421.0,,,,-6519.0,-357,311,303,-40061,,,,-2115.0,-4131.0,,,,-881.0,527,-21741,-6150.0,1903.0,14061,-26022,43265,-334.0,16,570.0,-42628,45727,,1620,-270,357,9559.0,,2014年01月01日至2014年09月30日,219363,193378,-25985,220760,,159907,204645,-209726.0,55000.0,0,-143567,220760,-9559.0,-65892,17491,-48401,624,1287,-224.0,,,-16115,193378,-44825,,9256.0,-2508,-3389.0
2015-03-16,4,2014,44554.0,0.0,,,-4969,-1290.0,-1770.0,293,,-3846.0,,,,-6519.0,-547,605,1223,-52480,,9898.0,,-2114.0,,,412.0,,-881.0,1101,-33675,-6150.0,1903.0,-8841,-2138,-5609,,245,-1350.0,-41823,60699,,2184,-665,547,12952.0,,2014年度,219363,202105,-17258,278652,,215855,261595,-209726.0,55000.0,-50000,-192513,278652,-12952.0,-16612,-44999,-61611,769,1308,-224.0,4980.0,,-17057,202105,-45622,,0.0,-1117,2456.0
2015-05-12,1,2015,,,0.0,,-61708,979.0,,-2110,411.0,-7598.0,,,,0.0,-69,198,-1096,-10289,,,,0.0,,,534.0,,-1925.0,0,26045,0.0,,3611,-24777,18092,,-427,,-12044,14423,,565,-148,69,,15097.0,2015年01月01日至2015年03月31日,202105,210408,8303,72792,625.0,35909,36198,,15000.0,-30000,-14466,72792,,-88665,36974,-51691,170,-20,,,,-36594,210408,-210,-3325.0,,1993,-3502.0
2015-08-12,2,2015,,,0.0,,-43386,-6193.0,,-2756,889.0,-9928.0,,,,0.0,-184,222,-864,-42486,,,,-73.0,,0.0,534.0,-146.0,-2272.0,190,25292,0.0,0.0,2352,-2098,41554,,1045,,-34732,28833,,1130,-222,184,9221.0,21243.0,2015年01月01日至2015年06月30日,202105,244900,42795,112658,1046.0,115247,136548,-1244.0,24000.0,-60000,-36856,112658,-9221.0,-50957,53604,2647,688,463,0.0,,,23890,244900,-21263,,0.0,4590,-9760.0
