date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,43112.0,-268750.0,-33449,-7515,-4278,411,,410,,,-4959,8744,65943,-23021,-19030.0,-2492989.0,-285,,,,-2851,0.0,333.0,0.0,-14774.0,0.0,-11160,,54785,-2304,104112,4535,57345,44346,0.0,295.0,212,-6781,5004,,2013年01月01日至2013年03月31日,1489955,1768760,-760,278805,6378,,127419,139534,,196515.0,0.0,28098,6378,,15884,74160,90044,100000.0,3073.0,19121,,2497051.0,2255,5681.0,,-91,86409.0,,,133156,1130,1768760,-10338,-4846,,652.0,,-16518,-3891,
2013-08-05,2,2013,-78552.0,-337500.0,19030,-7534,-3626,-6659,,415,-52777.0,,-6010,12127,128116,-75929,-34440.0,-1815722.0,-285,-163918.0,,,5312,0.0,5185.0,0.0,,-33494.0,-5624,,-18085,-2304,190243,-8929,-308582,94215,0.0,798.0,619,-12308,7167,,2013年01月01日至2013年06月30日,1489955,1529661,5131,39706,142358,,197319,226442,,255168.0,0.0,22853,142358,2765.0,-3048,165684,162636,100000.0,8888.0,34561,,1824534.0,3121,0.0,-187132.0,-110,0.0,,,84084,1937,1529661,-23982,-9005,,0.0,,3389,0,0.0
2013-11-04,3,2013,-28275.0,-831250.0,-17105,-3271,-11406,1429,,975,-52183.0,,-9628,16178,98020,-150618,-34440.0,-2138671.0,-285,-329990.0,,,485,0.0,5093.0,0.0,,-24507.0,-2142,,-2322,-2304,158641,-36511,396464,147987,0.0,2635.0,938,-14734,7803,,2013年01月01日至2013年09月30日,1489955,1411421,6622,-78534,126953,,170935,199878,-33693.0,115897.0,0.0,-743953,126953,6914.0,-30699,131899,101200,,10503.0,34550,,2151187.0,3730,942123.0,-187132.0,-110,,,,72925,2438,1411421,-22012,-15234,,0.0,,11118,-11205,0.0
2014-03-17,4,2013,38506.0,-831250.0,33586,-180,-11065,8801,,1451,-53112.0,,-15314,20866,148556,-176857,-34595.0,-3870761.0,0,-313234.0,,,-902,0.0,2455.0,,-26461.0,,-8055,,33725,-2304,78454,-5636,269314,206397,3168.0,,986,-19495,10366,,2013年01月01日至2013年12月31日,1489955,1513282,15267,23327,119487,,205747,261001,-33693.0,262198.0,0.0,-600290,119487,11061.0,60912,42096,103008,0.0,10398.0,34707,,3888154.0,7200,942122.0,-187049.0,-112,0.0,,,141514,3802,1513282,-46125,-20561,0.0,2321.0,-3105.0,-31288,-131047,
2014-05-05,1,2014,77047.0,0.0,-46287,11507,-395,-1225,,484,,,-5377,4363,-5562,-38227,-210700.0,-901600.0,-233,,,,1152,,0.0,-4793.0,0.0,1449.0,28,,-31151,0,57949,-18776,-142383,54718,,0.0,264,-4947,2315,,2014年01月01日至2014年03月31日,1513282,1325220,-1002,-188062,-61922,,-9737,-6160,,0.0,-25587.0,-30380,-61922,4148.0,-76927,55642,-21285,0.0,0.0,0,,906739.0,343,0.0,0.0,0,123749.0,,,55762,906,1325220,-945,17984,,0.0,-30.0,6159,-23560,
2014-08-11,2,2014,157800.0,0.0,-39997,9326,-252,-3401,,953,0.0,,-9979,9199,-32795,-57252,-274227.0,-1241238.0,-643,0.0,,,-2074,,0.0,-4709.0,0.0,6299.0,1730,,-25625,0,69188,-49622,-254455,106806,-873.0,499.0,627,-9403,11370,,2014年01月01日至2014年06月30日,1513282,1093997,-1679,-419285,-133593,,-1641,470,,0.0,-125685.0,-130394,-133593,8296.0,-62021,38284,-23737,0.0,0.0,0,,1248213.0,17552,,0.0,0,105143.0,,,134063,2099,1093997,-4078,17723,,10376.0,,10564,-40750,2627.0
2014-11-10,3,2014,234041.0,0.0,-73580,16134,-77,-9705,,1420,-8067.0,3870.0,-13170,13256,5774,-88470,-281238.0,-1450615.0,-643,0.0,,,-162,,0.0,-4690.0,0.0,5499.0,30849,,-37440,0,53673,-60756,-148645,155419,-2406.0,499.0,1026,-13100,18346,,2014年01月01日至2014年09月30日,1513282,1293011,-3472,-220271,-199703,,-33986,-35075,-85074.0,46350.0,,-43414,-199703,12443.0,-108643,39230,-69413,,1603.0,0,-652.0,1459182.0,47811,0.0,0.0,0,295513.0,,,164628,4860,1293011,-4157,9716,,10406.0,0.0,8536,-85279,
2015-03-25,4,2014,298260.0,0.0,-30135,19571,-154,-1911,5999.0,1888,-8325.0,8991.0,-18404,17670,54396,-122410,-407360.0,-1680360.0,-900,-1629.0,,,-991,,0.0,-5324.0,-41021.0,,38451,-29566.0,-38366,0,34256,-5614,-375169,205051,-2365.0,514.0,1438,-18660,22370,,2014年度,1513282,1107389,-1962,-405893,-220921,,115087,119282,-85074.0,0.0,-80243.0,-200207,-220921,16591.0,-48135,90078,41943,,820.0,0,-652.0,1690321.0,63385,0.0,0.0,0,291013.0,,,340203,16886,1107389,-7905,10414,,3832.0,0.0,4811,-104309,
2015-05-06,1,2015,,,-56136,-4419,-37,-1278,,306,,,-5537,3581,7518,-62368,0.0,-375778.0,-240,,-13865.0,,-125,,,-1.0,,17430.0,-5425,,12378,25,116140,-39011,253406,49458,-3231.0,,467,-3366,4367,34903.0,2015年01月01日至2015年03月31日,1107389,1282556,-820,175167,25201,,71776,77897,,,-157532.0,-157533,25201,4149.0,-42915,60708,17793,,,330709,,377538.0,0,,,-13048,,0.0,,52696,4086,1282556,-7122,-3333,,,-195.0,-5299,-20020,
2015-08-13,2,2015,,,-74798,-4852,-485,-2271,,709,,,-11968,5971,-5545,-107836,-223785.0,-655193.0,-240,,-15373.0,,-806,55856.0,196.0,0.0,,18119.0,-12609,,33875,25,213932,-47659,79722,104281,-5350.0,0.0,829,-5556,12622,76897.0,2015年01月01日至2015年06月30日,1107389,1203630,-109,96241,30634,,208648,211841,,,-242636.0,-186584,30634,6741.0,-42484,146794,104310,,,423192,,658966.0,0,,,-15004,,0.0,,181207,4249,1203630,-10259,-9984,,-3763.0,,253,-18128,0.0
