date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融負債減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,1292.0,15886.0,,-8245.0,-5664,,-13318.0,5528,-2073,8388,0,12400.0,,0.0,,-6822,25.0,-4370,8652,-11495,,-264433,,,-48,,,-470,-247.0,,-443,,3870,-20002.0,,-13563,,30011,-3884,,-11234,69,-263452,13119,77.0,-49327,21244,,,4135,-10489,4910,,,2013年01月01日至2013年03月31日,165311,102648,-62663,5478,,-264855,-254366,,,230000,251519,5478,,-26025,-249705,-275730,0.0,15862,,249450,-2491,-5002.0,,,-12131,,,-11304.0,,-259844,102648,,,,,-5993,
2013-08-13,2,2013,2511.0,39486.0,18297.0,,-16569,0.0,-12726.0,1607,484,1867,10051,0.0,,1633.0,,-6537,50.0,-10698,12722,-37611,,-417461,-103600.0,,-1595,,,3690,-247.0,,12,,6378,-20002.0,0.0,-7741,-4276.0,-59880,1497,6447.0,-20234,-2683,-52900,6313,-2713.0,-159334,39683,,820.0,7364,-11847,10874,,,2013年01月01日至2013年06月30日,165311,162153,-3158,7270,,-52085,-35934,,,260000,208261,7270,,-35597,-47093,-82690,6755.0,16384,0.0,387331,-2539,-5002.0,,,-14117,,,-424.0,,-43204,162153,-4304.0,0.0,,0.0,2508,
2013-11-12,3,2013,3532.0,55632.0,18297.0,,-14582,0.0,64525.0,-17018,-1448,578,10051,0.0,,-66710.0,,-11464,,-15491,22530,-58029,,-514882,-103600.0,-127500.0,-2306,0.0,,4002,1898.0,,-199814,,7700,-20002.0,0.0,37877,-2603.0,49961,-1127,2962.0,-60751,-8461,-44832,-4524,-5660.0,-445600,55867,,17588.0,10557,-22530,15491,17737.0,,2013年01月01日至2013年09月30日,165311,198000,32689,-12699,,-1615,31076,,,394500,479904,-12699,-17737.0,79944,-91801,-11857,100255.0,24567,0.0,499072,-10213,-5002.0,,,-15003,,,21835.0,,43775,198000,-10161.0,0.0,,0.0,25456,
2014-03-26,4,2013,3850.0,-4294.0,18297.0,,-22133,-85342.0,65165.0,-8465,14252,1553,10051,0.0,,-67365.0,,-6583,0.0,-20084,30079,-54463,,-777389,-103600.0,-127500.0,-2012,-124338.0,,11887,83.0,,449,,9404,-20002.0,0.0,-13663,-3038.0,10022,-14147,2707.0,-44655,-14280,-70823,-7176,-1616.0,-63198,71962,,56755.0,14067,-34099,20317,17737.0,,2013年01月01日至2013年12月31日,165311,165942,631,65547,,-48324,-6203,0.0,-9000.0,220000,112153,65547,-17737.0,27527,-94983,-67456,43755.0,30233,0.0,797598,-14906,-5002.0,,,-140414,133474.0,,139586.0,,-71750,165942,-8022.0,0.0,,247.0,29408,
2014-05-14,1,2014,485.0,16895.0,,-29000.0,-49529,,-435.0,3528,-10850,6033,0,0.0,,,,-1112,0.0,-4090,7995,-10786,,-203609,-2997.0,,-1473,8468.0,,-41,1059.0,0.0,0,91.0,-2995,0.0,-2539.0,6784,1243.0,44785,-5889,-1530.0,50316,7860,107473,11882,1233.0,-91749,18220,,764.0,3787,-7995,4090,,,2014年01月01日至2014年03月31日,165942,156835,-9107,1419,,133337,141785,,,-65000,-50695,1419,,-58973,182444,123471,,3865,,111714,-3306,0.0,,,-7548,,,,,140366,156835,-453.0,,,629.0,-1653,
2014-08-12,2,2014,998.0,42476.0,7400.0,-88000.0,3847,0.0,-448.0,-8911,-12047,13721,0,0.0,,-308.0,,-5251,,-9445,16207,-16507,,-384363,-26997.0,,-1043,0.0,,-5456,15.0,,-209,,-5517,0.0,-55891.0,6682,741.0,44964,5575,-477.0,30525,4882,207581,12833,2467.0,-100207,29192,,6153.0,6868,-16171,8377,,,2014年01月01日至2014年06月30日,165942,304373,138431,-12167,,216014,286004,-3156.0,,125000,22624,-12167,-1982.0,6340,249355,255695,0.0,4778,0.0,299857,-3819,0.0,,,-15462,,,13751.0,,298171,304373,-53819.0,0.0,,19222.0,-5759,
2014-11-12,3,2014,1235.0,26961.0,7400.0,-274220.0,-83728,,-656.0,-28492,-7379,21451,0,,,0.0,,-2019,,-11116,24720,-99351,,-622366,-26997.0,0.0,-1131,,,-3957,1559.0,,-150363,,-5252,0.0,-55891.0,1155,1184.0,74883,6268,165.0,10824,8197,202848,12931,3701.0,-148498,41467,,6153.0,10232,-24747,9875,20060.0,,2014年01月01日至2014年09月30日,165942,244009,78067,63404,,145857,226858,-3156.0,-71687.0,409220,80708,63404,-20060.0,-79290,215783,136493,0.0,13424,22880.0,544442,-3938,0.0,,,-36985,,,135648.0,,163454,244009,-56254.0,0.0,,19210.0,-6724,
2015-03-26,4,2014,2189.0,66102.0,7400.0,,-38777,,-620.0,6018,-7823,-450,0,,-71687.0,-620.0,,-5446,12.0,-13866,33826,-99046,,-1157802,-26997.0,0.0,-1044,0.0,,-3113,-7.0,,-150266,,-24309,0.0,-56608.0,1407,2966.0,69848,-7459,1309.0,39409,18666,170469,20885,-3097.0,-229358,60367,,6153.0,13499,-33769,13385,20841.0,,2014年度,165942,316671,150729,70357,,223417,311587,0.0,-3156.0,195000,156670,70357,-20841.0,-52094,227222,175128,23900.0,9681,33295.0,990893,11639,0.0,100.0,-69.0,-42904,0.0,,135648.0,,241230,316671,-54401.0,18593.0,,617.0,-3466,
2015-05-14,1,2015,427.0,,,-21369.0,-44820,,-54.0,1647,-2760,-3370,3869,0.0,,,-158.0,-870,0.0,-1422,8793,-19552,0.0,-286097,,,-1011,,-10650.0,1599,0.0,0.0,0,-1573.0,21579,0.0,0.0,-9126,-2372.0,-39887,1147,3260.0,-1859,1436,25639,3687,,3845,17196,0.0,0.0,3665,-8741,719,,15232.0,2015年01月01日至2015年03月31日,316671,120971,-195700,31627,93.0,31869,41030,,,-170000,-231414,31627,,-54632,48803,-5829,,10106,24143.0,288630,-878,0.0,,,-14148,,,,0.0,9403,120971,-420.0,,,0.0,-3825,
2015-08-13,2,2015,935.0,,0.0,-12200.0,-62452,,6.0,-4756,-4632,-5716,3869,0.0,,-317.0,,2101,,-2944,17747,-11988,,-580769,-9985.0,,-1210,,0.0,2337,0.0,,-1115,,22668,,-12888.0,-5459,-1427.0,-39939,-3811,895.0,-3494,2031,35615,6025,,-29732,29591,,0.0,7245,-17651,1872,,41910.0,2015年01月01日至2015年06月30日,316671,228622,-88049,34708,-268.0,37027,55631,0.0,,-30000,-95344,34708,-6862.0,-77148,56161,-20987,,2362,30742.0,543259,-2097,,,,-4533,,,,-5001.0,20923,228622,-953.0,,,491.0,-81,
