date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-10,1,2013,317244.0,-61734.0,0,96208,7215.0,,-674,-8448,-345,206212,-31889,19161.0,-264612.0,,2052,58966.0,,4375.0,-665,55674,65,-200229,,,-3500,-10408,0,-100.0,0,1697.0,-16270,59921,,,-616,-35406,44495,0,-99308,21448,-3422,0.0,7077,,4083.0,-11736,267318,-3129,4447,-55613,297,,,2013年01月01日至2013年03月31日,283635,374262,90627,-191781,,46030,105012,0.0,-68279.0,56268,-130047,,346567,-367018,-20451,64923,135097,,,-930,0,,296793,374262,-3666,562,-3612.0,6578,,0.0,25658,
2013-08-09,2,2013,671646.0,-66611.0,-195040,177130,0.0,,-11833,-11698,-6922,64738,-19959,,-463055.0,0.0,3369,0.0,63100.0,,-3147,110008,16503,-230449,,,-3610,12797,0,-42.0,-3317,,29303,64843,,16.0,0,-47954,109718,-144056,-12046,10059,-4211,0.0,855,0.0,6821.0,-42868,535520,-5701,8983,-107428,3173,0.0,,2013年01月01日至2013年06月30日,283635,237847,-45788,-250296,,141756,248669,0.0,-125717.0,-161179,-183685,,261966,-434647,-172681,191080,142505,,36.0,3473,-1141,0.0,498965,237847,-2658,10854,-3612.0,-507,,,43727,
2013-11-08,3,2013,1001966.0,-71731.0,-165658,-3090,0.0,,-7503,-11772,2125,106898,-11786,,-625531.0,,-298934,,,,-7421,169221,7761,-154446,,,-17426,10863,0,-43.0,-39014,,67620,-29844,,,-595,-58333,110179,-221044,-212987,15625,-2369,0.0,-4380,-21.0,8454.0,-71391,811364,-11536,14577,-166131,7432,15823.0,,2013年01月01日至2013年09月30日,283635,542233,258598,-209332,,-72277,74873,500455.0,0.0,394505,-137601,,20473,-738234,-717761,471000,139703,,36.0,2004,-1348,0.0,284205,542233,-4274,14242,-3612.0,-855,,,52501,
2014-03-28,4,2013,1332627.0,-76270.0,-410727,-4069,0.0,,-7178,-12698,-2920,23371,-11564,,-954226.0,,-57505,,,,-4691,222945,9992,-174280,,,-20069,7799,0,-41.0,-12443,,23915,-51343,,,43,-18099,111073,-298374,-176706,18195,-3378,0.0,5853,,10185.0,-52670,1097006,-24064,21023,-218876,4158,17765.0,,2013年01月01日至2013年12月31日,283635,322495,38860,-117980,,86679,85321,287198.0,0.0,-5141,-41710,-1883.0,-43567,-1085759,-1129326,581000,142408,,247.0,457,-1462,0.0,203301,322495,-2800,15497,-3612.0,1068,,0.0,28650,0.0
2014-05-09,1,2014,318948.0,-4066.0,-111888,-1243,0.0,,15278,-1725,58,100363,2129,0.0,-147684.0,,-313504,,,,-589,50523,6400,-5110,,,-6532,312,24,0.0,-892,0.0,-176186,403108,,,-149,36762,0,-74789,-397130,-8602,-2764,,-4854,,2704.0,-13994,285668,-4421,6627,-49280,1051,,,2014年01月01日至2014年03月31日,322495,371944,49449,148347,,278269,277828,146293.0,0.0,-221226,152413,,532342,-721809,-189467,180000,1246,,,-1069,32,,129481,371944,-610,-18135,-9352.0,2067,,,-3035,
2014-08-08,2,2014,621571.0,-9285.0,-480910,-412,,,19466,1088,-789,141152,2286,,-504474.0,,-207825,,,,-1772,101446,9539,-166855,,,-6532,-25528,23,0.0,-8307,,-327356,649515,,,-736,43695,200250,-156557,-637019,-20478,-44,,-896,,5553.0,46332,571003,-12595,13582,-101034,2276,,,2014年01月01日至2014年06月30日,322495,322365,-130,366473,,316881,316692,98602.0,0.0,-372882,375758,,830653,-1502005,-671352,280000,228859,,0.0,-1881,32,,-49781,322365,-2087,-22716,-8850.0,-4695,,,-34622,
2014-11-07,3,2014,968454.0,0.0,-700833,109,,,4185,-573,0,215936,-102177,,,,-482463,,,,-6509,152509,2131,-1421005,,,-15033,-25232,1252,0.0,-19658,,-481051,892999,,,-108,78199,616790,-247050,-713293,-26882,-2676,,-1015,0.0,8441.0,-777618,866439,-20247,20622,-152618,6986,2008.0,,2014年01月01日至2014年09月30日,322495,383302,60807,687940,,1487122,1483574,36832.0,,-650828,687940,-2008.0,1195684,-1368504,-172820,280000,678746,,0.0,-4037,32,,795634,383302,-3438,-13115,0.0,-2630,,,-47698,
2015-03-20,4,2014,1325042.0,0.0,-1156245,-292,,,-1396,-5651,0,108905,-9670,,-683.0,,-309472,,,,-8619,203186,-2866,-2231966,,,-20055,-24678,3388,0.0,-32639,,-432536,1095281,,0.0,-709,35893,668517,-338527,-985753,-13641,-7941,,-466,,11430.0,-1547343,1185358,-31370,27828,-202894,8983,8679.0,,2014年度,322495,399711,77216,1023123,,2123753,2116682,155508.0,,-496328,1023123,-2008.0,1251217,-1482700,-231483,680000,736579,,0.0,-4703,-875,,1093559,399711,-1912,-19077,0.0,4106,,,-32904,
2015-05-08,1,2015,,0.0,-269348,-1481,250000.0,,-3324,-3401,1077,139229,6284,,229.0,,-310908,,,,-1787,50266,531,-395791,,,-1324,-72,0,-454.0,-2135,,-108504,-134455,7940.0,,615,-16575,1871,-91034,-16554,14409,41800,,-4884,,,-219436,282768,-7720,7363,-48785,1760,,296414.0,2015年01月01日至2015年03月31日,399711,413686,13975,288566,2860.0,451207,453875,102590.0,,-218327,288566,,-2482,-128623,-131105,150000,5290,131647.0,,-1349,-37887,,165309,413686,-4428,4832,0.0,-2874,,,-12878,
2015-08-06,2,2015,,0.0,-754740,-961,245000.0,,-1043,-841,-7608,261645,-26932,,-612.0,,-120831,,,,-3679,99417,-533,-1498310,,,-3990,1550,5,,-10846,,53229,-65486,19725.0,,50245,37474,544710,-274123,-350249,7329,42979,,-4451,-21.0,,-802624,574960,-25734,15226,-98456,3533,,645984.0,2015年01月01日至2015年06月30日,399711,751659,351948,621787,1015.0,1146556,1152795,0.0,-13403.0,8549,621787,,253412,-368388,-114976,453017,543729,131422.0,,-1993,-37662,,531008,751659,-9772,16880,0.0,-22875,7019.0,,-44797,
