date,season,year,不動產、廠房及設備轉列費用數,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債務工具投資,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2016-03-16,4,2015,7657,-690916,119453,,-12753,,-11104,264,,6878,-53,-16467,5776,22157,-851591,,-300000,-1078,48,,-547134,-61794,220380,-1218305,2039012,71513,-6807,16467,3,2094662,2015年度,2245067,2787512,-16989,542445,1535092,2440,3199361,3346954,-775652,0,-1460768,1535092,-3,60363,-343163,-282800,,1811862,2787512,-157256,,4216,-3656,,-55658
2016-05-06,1,2016,,,-210200,,3010,,-8000,9141,0,0,9,-3431,431,-22841,-416331,,,417,,12,-155063,1147,-75425,-443540,518851,9381,-194,3431,,559768,2016年01月01日至2016年03月31日,2787512,2615992,13630,-171520,164475,1779,294444,293070,,,417,164475,,-198133,-233040,-431173,,128595,2615992,-1863,,20897,-5562,-19221,
2016-08-08,2,2016,,0,-51935,1160320,15395,-1160320,-13276,749,,-138,9,-6302,956,-102394,-597685,-584,,63,,12,-115979,47739,-360701,-1831445,1040567,18799,-69,6302,,1075114,2016年01月01日至2016年06月30日,2787512,2982049,8462,194537,490018,3561,968131,1151338,,,1160245,490018,,114,-413908,-413794,,661320,2982049,-189440,,12623,47377,-59592,
2016-11-04,3,2016,,0,-29165,,12560,,-8922,5360,,-89,9,-8643,1978,-59255,-708023,-584,0,364,,12,30446,-109413,-224944,-480345,1567542,28591,-1503,8643,13,1600367,2016年01月01日至2016年09月30日,2787512,3205389,-15512,417877,656748,5388,1810425,1992801,-853223,,-852948,656748,-13,-127830,-136484,-264314,300000,1336053,3205389,-189529,26415,,45454,-62828,
