date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-03,1,2013,18332.0,1322273.0,,,-977063,-351336,8318,-50835,150520,52564,-1063,0.0,6720.0,,6495,-1.0,,633.0,,-13372,41732,30218,-1070174,,-150000,,0.0,20000.0,100.0,-1020.0,,4544,-480.0,15026,,11570,8626,14081,44085,1249.0,-1177358,1188313,-10001,1848,-38532,13674,,,2013年01月01日至2013年03月31日,8257219,8778059,54978,520840,453499,,1732039,1719478,,,,0.0,-64059,453499,2520,,-262609,206315,-56294,945400,22105,14604,,-6832,-5245,1265979,8778059,-1113,0.0,30000.0,-204.0,,36357
2013-08-02,2,2013,18332.0,2538838.0,,,-1525815,121382,8060,-55580,-361899,-19398,-13572,0.0,12000.0,,7121,,-1.0,1277.0,,-33032,82135,56189,-2668433,-14974.0,-150000,,-1735.0,35000.0,2.0,,-1029.0,16024,-720.0,32440,,-1268,-319150,-76687,43897,1651.0,-2725961,2375265,-8555,3615,-77473,30599,,,2013年01月01日至2013年06月30日,8257219,8228162,47060,-29057,1143992,,2820657,3013466,,,,0.0,-179942,1143992,8959,,142867,-812231,-669364,1412394,71881,29932,,-8728,-11213,1869474,8228162,-223408,0.0,30000.0,-330.0,,-45264
2013-11-06,3,2013,0.0,3682713.0,0.0,,-3014006,469888,12653,-24067,-696272,-60327,-15648,0.0,12000.0,,42703,,-1.0,1928.0,,-61375,120455,43268,-4005903,-14974.0,-150000,0.0,-3965.0,35000.0,2.0,,-1041.0,25888,-1290.0,72657,,-2082,-204425,-226043,130010,2905.0,-3327125,3532867,17271,5379,-113011,61850,1239.0,,2013年01月01日至2013年09月30日,8257219,8178756,12241,-78463,1782242,,4782344,4945076,-1309740.0,,,0.0,-1576950,1782242,14624,-1239.0,495694,-1015573,-519879,2849444,98074,704815,,-8915,-13595,3162834,8178756,-224582,0.0,30000.0,-349.0,,-5016
2014-03-13,4,2013,1300.0,4918570.0,2001.0,,-4948531,410875,18176,23086,-645938,-32587,-40741,0.0,12000.0,0.0,42062,,-1.0,,2575.0,-82825,158722,68772,-4980534,-14974.0,-198647,-295813.0,-3965.0,50000.0,222.0,-418.0,,54459,-1290.0,81015,,1467,-158985,-389312,128901,-7977.0,-4533973,4645502,43145,7055,-148285,81911,5258.0,,2013年01月01日至2013年12月31日,8257219,8708432,47783,451213,2319799,,6462023,6605923,-1309740.0,,,0.0,-1545609,2319799,21656,-1239.0,470969,-1103415,-632446,4850015,102860,805623,,-8125,-14404,4286124,8708432,-225811,0.0,50000.0,,,-74885
2014-05-09,1,2014,602.0,1107475.0,,,-1079740,-346378,6739,-63066,237861,-3794,20844,,0.0,,7585,0.0,,,664.0,-19510,37318,21665,-1720713,,-24784,,,0.0,0.0,-5038.0,,9371,-568.0,-25964,108.0,10610,104346,-1433,2883,0.0,-1709659,1057410,-19718,1784,-34105,24832,,,2014年01月01日至2014年03月31日,8708432,8630454,43446,-77978,527640,,1599659,1575971,,,,,10357,527640,5244,,-358679,299535,-59144,1124770,32627,0,,899,0,1048331,8630454,-1144,,0.0,,,-11271
2014-07-25,2,2014,1070.0,2111479.0,1600.0,,-1892807,-154775,27783,34441,392432,-61090,-37170,,0.0,-25715.0,0,0.0,,,1320.0,-42730,67955,-16738,-4465875,0.0,-98885,,-223.0,0.0,0.0,-4739.0,,-29146,-1311.0,213921,95.0,-1941,-421499,-68441,1787,0.0,-4429706,2106168,-62875,3833,-62747,48804,6325.0,,2014年01月01日至2014年06月30日,8708432,6941865,-19553,-1766567,1439807,,2937810,3186595,,,,,-257933,1439807,10865,,23993,-388684,-364691,1698932,74894,81592,,1858,-2112,1746788,6941865,-297589,,47000.0,0.0,,-261088
2014-10-21,3,2014,1099.0,3273246.0,1600.0,,-2676232,-1171319,-1813,-36603,1466893,-64972,-84861,,0.0,-57231.0,0,0.0,,,1975.0,-60396,98300,19795,-6764664,-30300.0,-98885,,-227.0,0.0,0.0,-4023.0,,-35131,-1311.0,143071,154.0,4103,-718969,-84149,-157,0.0,-6712518,3226534,-92503,6310,-89046,67486,6757.0,,2014年01月01日至2014年09月30日,8708432,6667637,35414,-2040795,2406903,,4618958,4855030,-1550175.0,,,,32970,2406903,16707,-432.0,-1090776,265657,-825119,4349734,140680,91800,,-708,-4079,2448127,6667637,-303558,,47000.0,0.0,,-241366
2015-03-02,4,2014,1099.0,4612715.0,8600.0,,-3361888,-1186044,6145,-18524,1482643,32145,-65794,,0.0,-31794.0,0,13916.0,,,3273.0,-88723,138847,125100,-8427758,-30301.0,-114159,0.0,-238.0,0.0,90.0,381.0,,-36798,-1311.0,89906,,-2594,-654560,-58606,2940,-5133.0,-8281890,4420138,-112548,8753,-125441,93938,6757.0,,2014年度,8708432,7418163,145463,-1290269,3119360,,6901483,7116709,-1550175.0,,,,-34962,3119360,19355,-432.0,-1065575,450209,-615366,5003763,173367,116066,,-2482,-4245,3997349,7418163,-309164,,87490.0,,,-201092
2015-04-28,1,2015,0.0,,,,-2187530,-134751,-2490,-8850,12440,-18555,-68459,,,,12236,,38.0,,604.0,-20136,40990,-33797,-1940778,,-38407,,,,,-2675.0,,-26174,0.0,84418,0.0,12685,379318,152175,1246,,-1688230,1222900,-25084,2190,-41388,20713,,1082001.0,2015年01月01日至2015年03月31日,7418163,6550485,-106445,-867678,716028,,2146729,2130843,,,,,-1292380,716028,4540,,-58693,391507,332814,936538,250714,30038,,-36915,-39,1414815,6550485,-4827,,,,,-50189
2015-07-28,2,2015,0.0,,0.0,,-2863410,10201,19505,55503,-1455,-106326,-72244,,,,10861,,35769.0,,1573.0,-39974,75936,-135209,-4510364,,-88180,-2179.0,0.0,,,-2631.0,,-68157,-144.0,185347,0.0,-1781,249390,-17136,1228,,-4211810,2565353,-38222,5132,-74029,39541,8400.0,2274386.0,2015年01月01日至2015年06月30日,7418163,6589769,-230153,-828394,1570848,,3848277,4198917,,,,,-329652,1570848,4411,,106946,246737,353683,2607931,304905,30036,-35731.0,-42011,-36,2628069,6589769,-390181,,9681.0,,,99608
