date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得按攤銷後成本衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,-6389.0,-63367,-11833,-575,-683888,,-1809,,-53577.0,,-10711,2378,37995,-10913,,-14741.0,,,1350,-437.0,,-105110,,7164,-100876.0,,-40308,398.0,-745577,22772,6636,1167,92,-1141,10711,,,2013年01月01日至2013年03月31日,1820628,950335,-12199,-870293,-2619,,-288885,-275235,,230000,126174,-2619,,-74421,-191806,-266227,464,6804.0,0.0,-237,,,-5093,-272616,950335,-13650,,-5908,,-52449,-6783
2013-08-08,2,2013,94748.0,-43781,1688,-28861,-639078,,-2719,,-50580.0,,-21998,4931,59880,-35668,,-14834.0,,,3067,-1240.0,,5152,,-21996,-1836.0,,180,-536.0,-711829,45061,7670,4063,185,-2656,21998,,,2013年01月01日至2013年06月30日,1820628,1199147,-1645,-621481,-52732,,-102321,-53759,,140000,132789,-52732,,-69318,-26457,-95775,769,6804.0,0.0,-165,,,-5170,-1027,1199147,-48562,,-1615,68034.0,-10598,-4693
2013-11-14,3,2013,149314.0,-45636,-15483,-26626,53053,,606,,-50579.0,,-32516,7365,54696,-72317,-454.0,-14867.0,-134.0,,5757,-3899.0,,-294193,,-14781,-32805.0,,-16216,-2094.0,-49108,69629,7052,9237,278,-4136,32516,,,2013年01月01日至2013年09月30日,1820628,1335292,443,-485336,-81926,,-474647,-421250,-189942.0,210000,-16277,-81926,,-80502,-408136,-488638,769,6804.0,0.0,9,,,-5412,-339324,1335292,-53397,,-9803,104327.0,-78153,-2508
2014-03-27,4,2013,67862.0,12228,-1671,3380,53152,,-3077,,1962.0,,-39892,9848,72553,-104744,-454.0,-14845.0,-134.0,,11255,-10257.0,,-114318,-44220.0,-122313,-53613.0,,-27358,-1660.0,71249,94592,-133849,18959,371,-5545,39892,50070.0,,2013年01月01日至2013年12月31日,1820628,1481766,-746,-338862,32223,,-350487,-297026,-189942.0,120000,-132177,32223,-50070.0,-114916,-282195,-397111,1132,6804.0,92891.0,-318,,,-87592,-329249,1481766,-53461,,-18308,129763.0,-10050,-1500
2014-05-14,1,2014,-9198.0,-71958,-10339,7428,0,,-4499,,-757.0,,-6977,2272,4732,-25852,,0.0,,,-7530,5141.0,,-64960,,-9706,-50902.0,,33581,494.0,-1659,29625,129733,-15869,95,-1503,6977,,,2014年01月01日至2014年03月31日,1481766,1462794,-1621,-18972,92960,,44859,53184,,-10000,-66904,92960,,-98716,68138,-30578,0,8606.0,,0,4226.0,-4226.0,-7390,-39776,1462794,-8325,,-7909,10332.0,-37644,-7207
2014-08-08,2,2014,-21035.0,-43384,2955,6950,0,,-3369,,-17021.0,,-13962,4352,-22741,-68558,,0.0,,,-7268,4388.0,,40302,,-9676,-151448.0,,101902,1034.0,-37443,63276,103530,-11653,188,-2852,13962,16928.0,,2014年01月01日至2014年06月30日,1481766,1529225,1056,47459,79473,,165312,194346,,100000,-57669,79473,-16928.0,-58571,194479,135908,0,8606.0,,2,4252.0,-4252.0,-11177,114873,1529225,-29034,,-12061,-12608.0,-58205,-9500
2014-11-12,3,2014,-17659.0,2611,-810,-33941,0,,-4510,,-14929.0,,-18840,6876,4997,-99459,0.0,0.0,0.0,,-8292,4001.0,,-353835,,6461,-52143.0,,52411,1530.0,-32534,94798,105686,-5485,281,-4739,18840,46142.0,,2014年01月01日至2014年09月30日,1481766,1135357,-1693,-346409,3903,,-371503,-338629,-75977.0,190000,52631,3903,-46142.0,6879,-331752,-324873,0,8606.0,,-4260,4265.0,,-33356,-342532,1135357,-32874,,-7529,5983.0,-102073,-2913
2015-03-25,4,2014,32950.0,-31425,-14745,-2557,-174152,,-6083,,8346.0,,-22825,9510,35345,-145879,0.0,,0.0,23995.0,-7679,-1689.0,,-232933,0.0,-10847,116653.0,,42930,2019.0,-206932,133177,151475,-341,377,-6489,22825,46467.0,,2014年度,1481766,1015844,-7743,-465922,19923,,-352439,-323120,-75977.0,30000,58104,19923,-46467.0,-53294,-322699,-375993,0,8606.0,,-1420,4549.0,,-33102,-343043,1015844,-29319,0.0,-10463,19926.0,-281614,1704
2015-05-13,1,2015,,-37015,4426,-14356,28092,,-202,,360.0,,-3065,2930,-1368,-42902,,,,,2986,947.0,,-201093,,137272,-151281.0,,-18286,,-10286,41079,70790,1005,97,-1988,3065,,58603.0,2015年01月01日至2015年03月31日,1015844,1052875,533,37031,-92584,510.0,42156,42435,,160000,6529,-92584,,100335,-23919,76416,152,0.0,,-152,0.0,,-5434,135019,1052875,-279,,809,17815.0,139026,-4858
2015-08-12,2,2015,,-8013,2219,-12042,102433,,-1725,,-99.0,,-6246,5651,-5342,-66730,,,,,5050,1250.0,,-173869,,29220,-152188.0,,3259,,63309,82921,40730,4719,191,-3674,6246,18901.0,89255.0,2015年01月01日至2015年06月30日,1015844,1094776,1592,78932,-182581,-3740.0,-11448,-10365,,190000,32413,-182581,-18901.0,16660,66301,82961,1308,0.0,,-152,0.0,,-5434,172216,1094776,-1083,,2562,17302.0,208223,-3026
2015-11-11,3,2015,,5047,-144,-50789,0,130358.0,1871,0.0,,446.0,-7933,8537,15666,-90537,,,,,5961,,2077.0,-564662,,43491,,-153214.0,63285,,102999,123868,67502,8186,288,-5599,7933,51188.0,147695.0,2015年01月01日至2015年09月30日,1015844,811020,-1347,-204824,-311915,-3125.0,-366547,-365410,0.0,200000,43058,-311915,-51188.0,47441,-248631,-201190,1534,0.0,,-377,0.0,0.0,-21491,-53495,811020,-1137,,29373,53818.0,236033,2172
2016-03-23,4,2015,,24070,3710,-17383,-25235,,852,,1148.0,,-9702,11213,2446,-125735,,,,,4809,-2588.0,,-325203,,5309,-134182.0,,68689,,-4465,182136,119510,14660,384,-7180,9702,51213.0,225587.0,2015年度,1015844,856994,-935,-158850,-380135,-2540.0,33679,35019,0.0,-50000,-190510,-380135,-51213.0,40418,149149,189567,2105,0.0,84925.0,-446,0.0,,-85088,415154,856994,-1340,,17025,142744.0,303536,9869
2016-05-11,1,2016,,-39847,7603,-9162,44704,,-93,,,63.0,-1175,1858,-8078,-10200,,,,,884,5295.0,,74203,,57337,-909.0,,-17965,,55800,30903,0,2137,97,-902,1175,,-5287.0,2016年01月01日至2016年03月31日,856994,767177,2998,-89817,-121101,-75101.0,-155635,-155266,,20000,18096,-121101,,-57052,28174,-28878,253,,14510.0,74,,,-1253,-34165,767177,-369,,-2329,-39481.0,-18902,-7044
2016-08-10,2,2016,,-30954,7671,13811,70965,,-22,,,443.0,-2485,3788,-18481,-12185,,,,,1769,3921.0,,53265,,15418,-151520.0,,54714,,287950,58079,18227,7607,190,-2031,2485,9798.0,-66420.0,2016年01月01日至2016年06月30日,856994,925086,627,68092,-68177,-76654.0,-47804,-42913,,0,-153573,-68177,-9798.0,-99156,190840,91684,228,,212295.0,148,,,-116383,25264,925086,-4891,,-4785,-5177.0,50823,-14637
2016-11-09,3,2016,,-41854,2090,19342,-1200,134627.0,20,,,638.0,-3145,5379,-29811,-17024,,,,,2752,4740.0,,-148629,,79908,-202021.0,,59996,,377224,83562,-1773,12288,280,-3025,3145,39680.0,-21027.0,2016年01月01日至2016年09月30日,856994,639340,3182,-217654,-155804,-76208.0,-410041,-404306,,50000,-155026,-155804,-39680.0,-46479,-180996,-227475,479,,212139.0,2,,,-116370,-248502,639340,-5735,,-12021,42744.0,-109932,-10415
