date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-03,1,2013,,18490.0,-17007,11104,54423,-18216,,,-2228,1210,32123,,0.0,-51533,,-2497.0,246.0,28,0.0,-85.0,0.0,48187,-67821,21341,98071,2193,-185.0,-54115,19513,1097,-1210,,2090,,,2013年01月01日至2013年03月31日,1142697,1624058,-1348,481361,187279,,233558,248519,,269767,0.0,269795,187279,,-10431,53181,42750,,0,61240,-1182,1624058,-15841,,,0.0,-88158
2013-08-09,2,2013,,33030.0,11389,9859,-16216,22999,,-365.0,-5349,3759,59297,0.0,,-66924,-19998.0,-2767.0,319.0,69,,0.0,1837.0,13998,51142,15491,102027,2162,-512.0,-86655,39720,2885,-3526,,5000,,,2013年01月01日至2013年06月30日,1142697,1757404,-10454,614707,353239,,528063,584778,,113933,0.0,114002,353239,,59891,138618,198509,1562.0,2150,231539,-1403,1757404,-58189,,,0.0,-12427
2013-11-08,3,2013,250.0,74217.0,50428,10710,-20341,105864,,-346.0,-11584,5165,36138,,0.0,-119920,-19998.0,-2890.0,-143.0,67,,0.0,1875.0,6869,-12979,5598,78513,1946,-835.0,-139389,61994,4291,-5568,-259030.0,10528,,,2013年01月01日至2013年09月30日,1142697,1752990,-779,610293,527168,,484453,810520,,229024,0.0,229091,527168,,18358,190777,209135,1890.0,15186,283352,-3513,1752990,-71997,,,-163.0,-13125
2014-03-25,4,2013,249.0,78275.0,30015,10161,3923,143345,,-825.0,-21603,7441,72606,,0.0,-134633,-19998.0,-2963.0,-47.0,2902,,0.0,1500.0,-69450,31258,31848,-95704,1608,-1161.0,-153112,84252,6036,-6622,,16684,727.0,,2013年01月01日至2013年12月31日,1142697,1841708,-14094,699011,685485,,756103,834556,-259030.0,279542,0.0,23414,685485,-727.0,91968,-21172,70796,3080.0,16951,149071,-3915,1841708,-88515,,,-183.0,-11132
2014-05-06,1,2014,971.0,47541.0,-33407,284,-11879,22580,,,-5977,4906,-26518,,,-120924,-40500.0,0.0,,3142,,0.0,50.0,30643,-239773,-21258,211129,1659,-340.0,-160423,22926,1311,-4364,,10245,,,2014年01月01日至2014年03月31日,1841708,1819447,22309,-22261,132872,,130858,132309,,30680,,33822,132872,,-307030,258926,-48104,951.0,1140,-563,-373,1819447,-7332,,-45.0,,-7369
2014-07-28,2,2014,1124.0,45536.0,6518,1137,-11512,-13464,,0.0,-12262,6708,-32080,,,-156532,-40500.0,0.0,0.0,404,,,10.0,34205,-179871,-22975,-22346,148,-704.0,-196024,46698,2591,-6832,,16696,0.0,,2014年01月01日至2014年06月30日,1841708,1708987,-654,-132721,388436,,169759,225523,,0,-74780.0,-74376,388436,0.0,-208917,468,-208449,998.0,1376,-162913,-373,1708987,-65628,,,-45.0,788
2014-10-30,3,2014,1027.0,53880.0,44382,-752,-2657,7559,,0.0,-22738,8130,12181,,,-185652,-40500.0,0.0,296.0,410,,-9.0,0.0,-13671,-82428,-32301,-50862,1128,-1070.0,-224443,71720,3820,-8012,-276299.0,27458,,,2014年01月01日至2014年09月30日,1841708,1569068,-10494,-272640,606997,,129684,508379,,0,-190472.0,-190062,606997,0.0,-74527,-77971,-152498,1718.0,2164,-98618,-453,1569068,-121842,,,-45.0,-21373
2015-03-25,4,2014,5502.0,112302.0,-19417,-15719,28318,17466,,0.0,-29329,9268,67422,,,-203995,-40500.0,-448.0,405.0,420,,-24.0,0.0,-47079,-122585,-26772,-86248,1397,-1423.0,-240782,97423,5043,-9680,,33477,0.0,,2014年度,1841708,1621362,-14802,-220346,790528,,506178,630157,-276299.0,0,-277285.0,-553164,790528,-90.0,-142422,-130251,-272673,4185.0,22111,-160371,-543,1621362,-147776,16816.0,,-45.0,-68
2015-05-04,1,2015,1113.0,,-56272,15916,14854,10527,,,-4208,1510,-19866,,,-15289,0.0,,537.0,4032,,,5.0,-44020,-76556,11418,274080,2,,-15089,25487,1151,-1001,,3901,90.0,26807.0,2015年01月01日至2015年03月31日,1621362,2188172,755,566810,189780,-334.0,334696,343075,,263037,,267069,189780,,-107123,233611,126488,105.0,462,153295,-233,2188172,-11279,,,0.0,-22894
2015-08-10,2,2015,1113.0,,-23425,16170,-1306,3929,,,-8443,3196,-44505,,,-32871,0.0,-400.0,-371.0,1484,,-9806.0,0.0,104060,-265785,17896,316179,438,,-42974,50723,2236,-3048,,8234,,49800.0,2015年01月01日至2015年06月30日,1621362,2008867,887,387505,348199,-675.0,431069,549796,,42431,0.0,43915,348199,,-273568,425365,151797,103.0,459,201597,-273,2008867,-123913,,,0.0,-15411
