date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,除列按攤銷後成本衡量金融資產淨損失（利益）,預付款項（增加）減少,預付費用（增加）減少
2013-05-07,1,2013,139706.0,-28260.0,-238125,13671,-5046,16388,-30088,164110,0.0,,0.0,48960,25154,-30728,-50280,-2005,-1070,0.0,217745,,,-1005846,,6212,685442,2798,0.0,-52285,74703,0.0,,12192,-38750,53370,,2013年01月01日至2013年03月31日,1740947,1704456,-36491,105040,,18185,6729,,56597,0,28337,105040,-1299724,1061707,-238017,0.0,,658,,,-98311,0.0,1704456,-3164,-20891,-26831.0,454.0,0.0,-38901.0,
2013-08-12,2,2013,76232.0,0.0,-165295,1230,-211541,5953,16496,132831,,,,-101282,47770,89879,-130901,-4203,-14813,,101011,,,-1004274,,-13853,1517133,-1937,0.0,-132978,145277,,,26218,-62849,101282,,2013年01月01日至2013年06月30日,1740947,1904025,163078,-33644,,275736,367431,,59497,-214260,-69559,-33644,-1378467,1703310,324843,85204.0,2126.0,-1460,,,401075,,1904025,-130128,-25478,,-26377.0,,-26534.0,
2013-11-11,3,2013,202084.0,0.0,-46039,14892,-169032,-11391,62413,-11328,0.0,,,-127614,62159,79107,-171935,-13378,-9861,,-196020,,,-350104,,-3018,880027,12962,0.0,-175456,261895,,,41989,-77151,127614,,2013年01月01日至2013年09月30日,1740947,2039274,298327,182714,,363252,492738,,89854,-139178,31424,182714,-505780,613720,107940,80748.0,9857.0,17,,,310024,,2039274,-179949,-26501,,-26377.0,,-49045.0,
2014-03-26,4,2013,313591.0,-163578.0,108557,22405,-37937,1554,-16983,4825,0.0,-152241.0,,-194404,85609,100550,-176151,-11094,37215,,-16365,,,-91063,,11320,-166946,17483,-787.0,-166302,350189,,,52162,-79800,194404,,2013年01月01日至2013年12月31日,1740947,1936610,195663,922251,,771342,890140,-300572.0,160367,-296040,-509927,922251,-26632,-319070,-345702,89896.0,20943.0,427,,,-32111,261.0,1936610,-233402,-17607,,-26377.0,,,-3408.0
2014-05-12,1,2014,73914,0,-359323,18175,-26522,22322,1177945,-19205,0,-1485961,0,-60297,19701,56648,-34111,-1674,3828,0,134740,,,-632018,,-27750,325224,6179,0,-35033,84319,0,,11553,-19160,60297,,2014年01月01日至2014年03月31日,1936610,1892355,-44255,347936,,-454894,-461830,,370180,-12050,389024,347936,115393,-999073,-883680,30894,752,628,,,-809766,2668,1892355,-34201,14182,-19607,9040,0,-9587,
2014-08-11,2,2014,92723.0,-75231.0,-278838,18587,1000353,7469,15167,-13937,,152241.0,,-163479,40065,-17877,-69919,-2927,3875,,-15300,,,-602387,,-30261,375444,2144,0.0,-58443,172126,,,23460,-44498,163479,,2014年01月01日至2014年06月30日,1936610,3315252,1378642,534332,,1142997,1171766,,406436,-20438,311965,534332,106612,438099,544711,1198.0,14284.0,1388,119.0,,637434,2578.0,3315252,-147750,15288,,-10567.0,,-77982.0,
2014-11-11,3,2014,163261.0,-156204.0,-186732,-2538,1693270,-30838,38762,-21101,,152241.0,,-199348,62676,-28734,-109032,-4462,3241,,-364048,,,-83330,,-1673,-190061,10589,,42581,270159,,,33279,-115106,199348,,2014年01月01日至2014年09月30日,1936610,5535117,3598507,844510,,1825850,1965358,-402896.0,2331113,-32279,1758810,844510,1462288,-504701,957587,19076.0,155956.0,-8418,119.0,,1120848,1991.0,5535117,-223750,1672,,-10567.0,,,-48378.0
2015-03-24,4,2014,154733.0,-375033.0,311877,-230279,-9862,-59696,228752,-135307,,-51239.0,,-346353,89488,69854,-188552,-7868,22816,,-525251,,,376830,,56852,-1485425,8746,-774.0,-37264,331271,,,41903,-90191,346353,,2014年度,1936610,5096716,3160106,3277242,,1850987,1821459,-402896.0,2038618,-39042,1276529,3277242,964658,-2575174,-1610516,54882.0,159156.0,-7706,,,-1455783,983.0,5096716,-226634,23314,,-10567.0,,,-86156.0
2015-05-12,1,2015,,,-360221,-59216,23805,-3233,24545,58404,,203480.0,,-102674,21302,-505152,-56173,-4321,6670,,-39076,,,-798170,,-56934,1265567,1205,,-58700,74490,,,9310,-19476,102674,1830.0,2015年01月01日至2015年03月31日,5096716,4275699,-821017,-51849,,176509,157604,,379077,-967267,-433674,-51849,-1167412,1375035,207623,154516.0,1794.0,-333,,,209453,-437.0,4275699,-64293,-6935,,-28270.0,,,-23826.0
2015-08-11,2,2015,,-3921.0,-311929,5427,119842,15651,33057,33173,,203480.0,,-187043,41150,-515425,-96797,-31896,302,,-499826,,,-766226,50000.0,-44016,1362525,6810,,-122202,146565,,,19592,-37891,187043,5864.0,2015年01月01日至2015年06月30日,5096716,4624685,-472031,-49487,,-3437,44183,,997938,-984936,169033,-49487,-997233,1085039,87806,109952.0,6491.0,95,0.0,,93670,1287.0,4624685,-196772,-14797,-29248.0,978.0,,,-43179.0
