date,season,year,不影響現金流量之收益費損項目合計,其他借款增加,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失
2013-05-13,1,2013,32919.0,,1208,-4127.0,,,,4906,-6403,,,,0,624.0,285,-1047,915,32823,-7456,,,,-89120.0,,3139,0,-33.0,37107,-63703,-963,45552,1324,,-94835,18985,,,5469,-915,1047,,,2013年01月01日至2013年03月31日,289430,247028,-3217,-42402,-33246,,13712,14627,,,,5898,-33246,,-58499,73453,14954,5931.0,70,,0.0,19,,,,,,,,47873,53.0,247028,0.0,0.0,8371
2013-08-08,2,2013,100361.0,0.0,8659,-268.0,-50982.0,,48554.0,9757,-12094,2219.0,,,3161,0.0,507,-2433,1693,18596,-12218,,,-311.0,-41867.0,,514,346,,48262,-74779,-6233,10537,1483,,-58947,38736,,84.0,9755,-1693,2077,,,2013年01月01日至2013年06月30日,289430,346400,5783,56970,-54999,,31309,33002,,65666.0,0.0,66012,-54999,,-60280,47920,-12360,,261,,0.0,-170,-7622.0,0.0,,,-61.0,,,88001,97.0,346400,0.0,0.0,45953
2013-11-08,3,2013,142310.0,,-3739,35.0,-50502.0,,48554.0,9786,-2743,2414.0,,,3163,,805,-4128,3026,13135,-17640,,,,0.0,,6938,390,,57515,-98441,-6931,14493,983,,-2479,57488,,391.0,12423,-3026,3228,,,2013年01月01日至2013年09月30日,289430,382843,-1201,93413,-83178,,29624,32650,-3904.0,56647.0,,53133,-83178,,-96765,70283,-26482,,695,,0.0,-378,-7622.0,0.0,,,-61.0,17645.0,,115828,146.0,382843,0.0,0.0,67007
2014-03-20,4,2013,154278.0,,-8161,,-51744.0,,,-1471,7848,3158.0,-7368.0,0.0,0,3161.0,38,-3065,3908,10849,-30765,-3000.0,,-16651.0,0.0,,8960,722,,62521,-52688,-7770,24839,733,198.0,-40468,75770,48554.0,-522.0,14866,-3908,1732,,,2013年01月01日至2013年12月31日,289430,330194,-1174,40764,-97897,,81680,85588,-3904.0,,-747.0,-11297,-97897,,-66734,95941,29207,,865,,0.0,-460,-7622.0,0.0,,,-61.0,15002.0,,183485,,330194,,0.0,56018
2014-05-12,1,2014,36998.0,,-12837,,,24067.0,,3554,-813,-27.0,,-18.0,-42,0.0,292,-1255,861,11676,-7288,,,,-83309.0,,6354,260,0.0,19094,-94614,740,67492,-375,,-65443,18879,,-499.0,169,-861,1129,,,2014年01月01日至2014年03月31日,330194,329773,3843,-421,-11402,,6991,7852,,46095.0,,46355,-11402,,-103124,85380,-17744,,0,,,0,,,,,,,,19254,60.0,329773,,,8354
2014-08-08,2,2014,63860.0,,-8020,,24591.0,0.0,,-4256,10102,1697.0,,-123.0,-1502,0.0,578,-2336,1829,1094,-12659,,,,-85666.0,,8389,857,,37154,-55526,-1783,84659,-6516,122.0,-71898,37576,0.0,-370.0,208,-1829,3338,,,2014年01月01日至2014年06月30日,330194,392745,361,62551,-27941,,91600,93429,,40898.0,,41755,-27941,,-67766,125276,57510,,0,,,0,0.0,,,,0.0,,,121370,,392745,,,17625
2014-11-07,3,2014,92445,,-20657,,0,24517,,1617,8616,3069,,305,-1243,0,864,-3314,2889,23209,-24844,-5000,,,-159361,,12300,426,,20161,-39753,-1545,77606,-4536,189,-160257,54315,0,1553,256,-2889,4111,,,2014年01月01日至2014年09月30日,330194,329595,470,-599,-41514,,91390,96003,0,44633,,45059,-41514,,-57080,102152,45072,,1563,,,389,0,,,,0,0,,137517,,329595,-1724,,22723
2015-03-20,4,2014,119642.0,,-20656,,0.0,21635.0,,542,5739,3169.0,0.0,93.0,-2285,0.0,1170,-5075,3898,37978,-40769,-11000.0,,0.0,-46249.0,,23512,3199,,-979,-64193,-1710,131318,-4389,253.0,-48709,71681,0.0,1958.0,409,-4118,5075,,,2014年度,330194,444225,-11328,114031,-79966,,83017,88863,0.0,,38546.0,41745,-79966,,-82595,131782,49187,,24884,,,412,0.0,,13502.0,-171.0,0.0,0.0,,168829,,444225,-1728.0,,19674
2015-05-13,1,2015,,,-7155,,,49.0,,-2726,12511,96.0,,4.0,0,528.0,312,-1331,1078,-10197,-1293,,,,,0.0,-6030,954,,-16282,-32681,-189,68018,1913,,25575,17085,,427.0,307,-1078,1428,,13269.0,2015年01月01日至2015年03月31日,444225,476996,-665,32771,-15761,13.0,19062,21030,,0.0,-2623.0,-1669,-15761,,-42642,66164,23522,,2975,,,-205,,,,,,,21888.0,36791,,476996,-890.0,,2291
2015-07-30,2,2015,,,-3816,,,139.0,,-2430,9527,-1573.0,,-493.0,0,1014.0,618,-2890,2354,-33075,-8349,,,,,0.0,-3935,305,,-51351,18865,-205,25080,3520,,58132,34098,,599.0,587,-2354,3024,,49385.0,2015年01月01日至2015年06月30日,444225,445224,-3455,999,-62518,31.0,-18469,-15978,,-5894.0,,-5589,-62518,,10872,-13717,-2845,,4246,,,-203,,,,,,,58058.0,46540,,445224,-137.0,,21612
