date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產（增加）減少,償還公司債,償還金融債券,其他投資活動,其他負債增加,其他負債減少,其他資產增加,其他資產減少,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,對子公司之收購（扣除所取得之現金）,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分待出售資產,處分待出售資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,附買回票券及債券負債增加,附買回票券及債券負債減少
2013-05-07,1,2013,-528414.0,770055,,-2000200,0.0,,-9629.0,-18050.0,,0.0,-421802.0,0.0,216761.0,636621,434776,-2646217,1496474,-32323,-18345,,,-151809,13208401,-1411855,-17458703,,1729228,1529348,180387,47925,105085,-22061,10242,-1427643,2660254,,,2013年01月01日至2013年03月31日,100225182,88565057,-11660125,1039253,-13857808,-15050524,,,4481250.0,,60792127,21401374,2049619,1039253,,-2070041,-13491322,-15561363,21,,0.0,-5654.0,,,-16089777,-14350758,6371556,-39895,451033,-769818,307910,0.0,,
2013-08-15,2,2013,-938184.0,-6410507,,-2000300,0.0,8401.0,,0.0,16242.0,,-746667.0,-116605.0,,531921,878003,-5406924,3025145,1040,-59906,,,-323676,12363819,-956590,629383,,2367998,-936265,-109604,95953,-471275,-30903,20491,-3010880,5305570,50612.0,,2013年01月01日至2013年06月30日,100225182,77400774,-22824408,2114500,-24458528,-26624387,,,4481250.0,0.0,62248026,8636162,1742684,2114500,,15906382,-43707085,-27800703,53,0.0,0.0,-5049.0,,,-28738887,-34366035,6516586,-128831,545182,-1098334,809556,-780.0,,
2013-11-01,3,2013,-1631189.0,-5008275,,-2000500,0.0,59411.0,,-5624.0,,,-422005.0,-311792.0,,2076984,1176598,-8326266,4663513,-64039,-80300,,0.0,-320523,13352470,-1568349,711096,,5891820,-1068518,-328898,143269,-430881,-27554,30910,-4718705,8335681,,,2013年01月01日至2013年09月30日,100225182,81366283,-18858899,3106935,-20584118,-24109840,,,4481250.0,0.0,65873979,11003406,2118156,3106935,-60713.0,21488829,-47074415,-25585586,66,18140.0,0.0,,,,-27216775,-37468829,4488898,-150017,1533443,-3606547,1090357,-780.0,,
2014-03-04,4,2013,-2579905.0,-10047589,,-4000500,0.0,0.0,-14151.0,-2473.0,,152421.0,0.0,0.0,92578.0,2236740,1352310,-11263921,6379554,-25115,-123497,,0.0,-68604,2107171,-1741893,6372674,0.0,8367347,107630,35439,189220,-894829,-61148,41299,-6482692,11265053,,,2013年01月01日至2013年12月31日,100225182,102557363,2332181,3563107,-1781443,-6406119,,-515720.0,4481250.0,4000000.0,75153393,23006325,4103300,3563107,-75482.0,19955800,-27345121,-7389321,80,18140.0,,,,,-9969226,-13392924,4397645,-233167,3108608,-3612256,927647,-780.0,,
2014-05-14,1,2014,-1170219,-1622418,,-3000000,,48651,0,0,679,1687099,0,-1145711,0,579234,180639,-2960171,1710691,21267,-26903,,,72173,15351859,-3365878,-13879891,,-6533678,2005074,-450855,45371,92432,-21913,10408,-1610506,2983768,,,2014年01月01日至2014年03月31日,101027363,79431334,-21596029,1154644,-23977952,-25324783,4075761,,0,,60185759,14124645,2811511,1154644,,-4222701,-21086507,-25309208,10,,,,721070,78587,-26479427,-17468389,5120930,-26431,839009,-1306562,-286004,,,
2014-08-21,2,2014,-2212990.0,-3082055,,-3000000,,145960.0,,,19371.0,1022353.0,0.0,-2196951.0,,4170131,468840,-6033358,3479664,-30309,-61626,-74850.0,,-85804,10021257,444646,2084260,,-5654765,-269739,-1592961,90454,-855720,-37571,18548,-3403823,5985568,0.0,,2014年01月01日至2014年06月30日,101027363,78943525,-22083838,2277983,-24599055,-26791163,4075761.0,,0.0,,61482946,11886034,4138487,2277983,,7477617,-34333773,-26856156,25,,,,721070.0,78587.0,-29069146,-34332206,5574545,-389637,1026865,-408830,-192350,,1894413.0,
2014-11-04,3,2014,-3552862.0,1734170,,-3000000,,134622.0,,,19182.0,1014482.0,0.0,-3867585.0,,4064671,628968,-9124053,5174531,30908,-99266,-74850.0,,-102254,3477993,-3288605,7926764,,-2697464,149006,-3251792,134926,-855720,-47462,25550,-4999015,9081328,,,2014年01月01日至2014年09月30日,101027363,75057664,-25969699,3425797,-27537906,-31035566,4075761.0,-681779.0,0.0,,56303538,11510854,4789091,3425797,,11625895,-42534396,-30908501,0,0.0,,,721070.0,78587.0,-34461363,-41573865,7243272,-595678,2918602,-2764053,-321655,,3246005.0,
2015-03-20,4,2014,-4234589.0,-8792969,,-3000000,,113180.0,0.0,0.0,14213.0,2113050.0,0.0,-4755792.0,0.0,1506018,887994,-12253408,6873872,137761,-151491,-74850.0,,70318,-2285259,-4000746,24936477,,-7775660,1112414,-4173624,180813,-660120,-64618,32567,-6742592,12177178,,,2014年度,101027363,81391201,-19636162,4296134,-22412491,-27293136,4075761.0,-681779.0,0.0,1100000.0,58920870,14385710,6812192,4296134,-69177.0,18617142,-45971823,-27354681,105,23465.0,,,721070.0,78587.0,-31589270,-27959190,8084621,-623118,3741584,-7177230,28463,,3091980.0,
2015-05-05,1,2015,,-8434111,,-100,,0.0,-32158.0,-41833.0,0.0,0.0,-297441.0,0.0,113570.0,-378547,303513,-3054586,1639761,7982,-65572,,,-120496,2831916,4443814,6055721,,271383,567679,6238,46496,614376,-16924,7038,-1392764,3034672,,-1467843.0,2015年01月01日至2015年03月31日,81391201,80529775,-861426,1245844,-4656690,-6276223,0.0,,,,58085465,15907850,3781044,1245844,,9511298,-15565522,-6054224,73,,,,0.0,0.0,-7522067,-14806986,6536460,-22375,352278,2428253,-272645,,4110743.0,
2015-08-12,2,2015,,-10620303,,-2402100,,0.0,-9961.0,,665.0,103106.0,,0.0,3067153.0,677483,500998,-6091051,3247599,137394,-148957,0.0,,-220225,3170754,4212853,7203806,,292775,-3018572,2974338,94586,614376,-36157,14089,-3125188,6158778,,-3167470.0,2015年01月01日至2015年06月30日,81391201,84912722,3521521,2390083,-5078618,-7961776,0.0,,,,62996038,14909686,5488407,2390083,-15658.0,8854431,-16038820,-7184389,92,,,,0.0,0.0,-10351859,-13108147,7006998,-166090,-1812904,5203490,-661651,,7797362.0,
