date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動負債減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-10,1,2013,-19217.0,-9115,-21352,-3034,-3719,-58.0,1174,,-4402,9,5843,-159,,-255263,-56668.0,,-138,0.0,-358,0.0,106077,46966,-1738,-109602,-131,-674.0,-234315,4060,-9,2858,,2013年01月01日至2013年03月31日,1080658,904525,-11697,-176133,67557,,52339,53134,,0.0,67557,32347,-27553,4794,,75275,,-1271,0.0,,-14423,,904525,-786,,0,-5778.0
2013-08-12,2,2013,-20567.0,-9136,74826,-2410,-1677,-792.0,297,,-9620,20,7140,-1259,,-376904,-90368.0,,-3028,0.0,-358,0.0,132886,-39382,7022,-151318,69,-674.0,-206945,7884,-20,7453,,2013年01月01日至2013年06月30日,1080658,963315,-10822,-117343,114961,,82462,104105,,0.0,114961,-45372,55083,9711,0.0,220791,7.0,-3643,33700.0,,-10856,,963315,-21623,,0,-1365.0
2013-11-11,3,2013,-15886.0,5800,50726,217,-4545,-220.0,787,,-15877,26,4954,-3730,,-495940,-114991.0,,-3516,5.0,-358,,129683,37632,3794,-70930,-302,-2046.0,-142036,10732,-26,12115,,2013年01月01日至2013年09月30日,1080658,1077134,507,-3524,122404,,222603,257114,-89050.0,-89045.0,122404,45177,105419,150596,0.0,427168,15.0,-3141,33700.0,,134710,,1077134,-34485,,0,-4632.0
2014-03-24,4,2013,-10231.0,19297,50863,-816,-6750,-314.0,737,,-21942,30,8661,-33857,,-577435,-242526.0,,-3635,8.0,3862,,31764,29497,4337,-48654,-33,-2744.0,-174215,17104,-30,19135,,2013年01月01日至2013年12月31日,1080658,1015356,-2860,-65302,157920,,189294,224873,-89050.0,-89042.0,157920,49257,27927,77184,5.0,566564,17.0,-8555,90037.0,,66953,,1015356,-35549,,9610,
2014-05-12,1,2014,-5000.0,-28576,7873,1103,-4684,0.0,6,,-6805,5,6117,-531,,-225950,-127970.0,,2164,399.0,-75,,-65974,128894,5376,-67935,12,-1048.0,-139886,5765,-5,6988,,2014年01月01日至2014年03月31日,1015356,919689,-8266,-95667,67967,,37703,38014,,399.0,67967,105749,-130702,-24953,143.0,148150,36.0,-802,59359.0,,-29953,,919689,-306,,2903,0.0
2014-08-08,2,2014,-2480.0,-19583,-94570,7678,-2698,0.0,-310,,-12501,8,409,-1517,,-422495,-127970.0,,1219,,-32,,-158846,-66506,5701,-20310,-735,-1318.0,-114339,11812,-8,11101,,2014年01月01日至2014年06月30日,1015356,624555,-2115,-390801,79236,,-276871,-274741,,,79236,-74028,-277469,-351497,291.0,366924,7.0,-5964,59359.0,,-353977,,624555,-2122,,5054,0.0
2014-11-10,3,2014,-10169.0,-1708,11104,4567,-3918,0.0,-432,,-17841,11,6005,-1890,,-920437,-127970.0,,1637,0.0,-94,,-287233,-149895,13216,-150603,83,-1980.0,-88905,17159,-11,15953,,2014年01月01日至2014年09月30日,1015356,339826,-8135,-675530,99696,,-485770,-477272,-106860.0,-106860.0,99696,-135800,-430999,-566799,293.0,863276,7.0,-7766,81964.0,,-576968,,339826,-8487,,4759,
2015-03-27,4,2014,139400.0,-15950,8611,5771,-10083,0.0,-2731,,-23171,15,23566,-4588,,-1071178,-198212.0,,9532,-696.0,-89355,,-360172,-340234,-309,226068,24,-2634.0,-144586,13130,-15,21207,,2014年度,1015356,386445,-20957,-628911,-39257,,-400335,-391496,-106860.0,-107556.0,-39257,-353356,-138283,-491639,294.0,1019224,6.0,-8708,178022.0,,-352239,,386445,-8824,134909.0,34644,
2015-05-05,1,2015,,-31237,2694,-7365,-12711,,-7908,,-5564,18,-602,-1728,,-188624,,-105036.0,-1202,0.0,89453,,-218666,22104,5130,53522,154,,235587,5464,-18,8791,-7798.0,2015年01月01日至2015年03月31日,386445,407798,-12013,21353,-10351,-603.0,-213632,-213035,,0.0,-10351,-11971,-182915,-194886,0.0,226352,0.0,740,,206379.0,-202684,,407798,-579,,4759,
2015-08-11,2,2015,,-26056,-5865,-5968,13604,,134,,-10537,21,-2236,-12195,,-349510,,-194436.0,-2358,1.0,89634,,-883,-197170,9532,227119,-3586,,117893,8712,-21,13642,22865.0,2015年01月01日至2015年06月30日,386445,460231,13694,73786,-67591,-1515.0,-41872,-35380,,1.0,-67591,-221177,230523,9346,7437.0,352162,6835.0,-115,,211159.0,32211,,460231,-6471,,6613,
