date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,70737.0,-20061,20206,-7535,-7,11292,-25886,29,0.0,,-127,2467,11987,-15356,,,-9578.0,,,,,0.0,211,36385,8469,-37371,-4822,38359,16596,-3654,-26389,67611,923,-2375,304,,2013年01月01日至2013年03月31日,285759,343054,,57295,27415,128301,130372,-56604,-56604,27415,,-22067,54287,32220,137.0,,-137.0,,5152.0,,102957,220,343054,,,,,,,-6955
2013-08-08,2,2013,209005.0,-27962,-8805,1764,-762,-3075,-24648,58,0.0,,-528,4605,24626,-78803,,-939.0,-9695.0,,,1866.0,,-525.0,214,24155,-60269,-63960,-5435,143877,34814,-3472,-91840,135548,1671,-4504,705,,2013年01月01日至2013年06月30日,285759,413926,,128167,-5787,197372,208372,-3857,-1991,-5787,2166.0,-170632,175786,5154,4915.0,,-2650.0,,5215.0,,214159,-1126,413926,-7201.0,,,68193.0,,,-12222
2013-11-11,3,2013,306067.0,-940,18848,-3413,-392,-8844,-59731,89,0.0,,-876,6600,27769,-89046,,-1151.0,-9756.0,,,1528.0,,-868.0,215,37066,-99985,-64873,-3638,208728,72487,-89,-99476,201327,2652,-6554,1051,,2013年01月01日至2013年09月30日,285759,340239,,54480,-113063,268276,284442,-143617,-142089,-113063,4204.0,-163307,254745,91438,8181.0,,-2848.0,,5248.0,,397505,-3875,340239,-10663.0,,787.0,94221.0,0.0,,-12299
2014-03-25,4,2013,409692.0,-15604,-15637,-4690,-446,-8043,-94107,-14379,,,-1313,8724,9315,-116204,-412.0,-1151.0,-10734.0,,,1867.0,,-1469.0,218,56571,-64765,-68527,-780,14743,73164,-1433,-120891,267620,4582,-8573,1489,,2013年01月01日至2013年12月31日,285759,356653,,70894,-86117,156555,174609,24048,25915,-86117,6497.0,-178389,29423,-148966,8566.0,,-1623.0,,5258.0,,260726,-5033,356653,-10970.0,,787.0,124418.0,,,-4963
2014-05-06,1,2014,96237.0,-59531,-5982,1593,494,-2189,58547,-547,0.0,,-876,2572,17379,-9153,,,0.0,,,,146.0,,1144,8372,-48008,-1244,-2287,142416,1790,-2169,-8009,69722,1887,-2937,126,,2014年01月01日至2014年03月31日,356653,426907,-5920.0,70254,-50466,125819,135319,-65081,-64935,-50466,2293.0,-120948,210496,89548,0.0,,0.0,,0.0,,185785,-1707,426907,-6689.0,2157.0,,24402.0,,,0
2014-08-11,2,2014,192190.0,-60987,-24601,-23769,-797,-2207,63097,-1513,0.0,,-2022,5060,-3734,-11296,,-693.0,-12050.0,,,,3349.0,0.0,1141,-27028,-136110,-3458,-2676,339920,10155,-7475,-11695,129321,3937,-4948,1396,,2014年01月01日至2014年06月30日,356653,406149,2625.0,49496,-126067,176892,187816,-115316,-111967,-126067,4586.0,-230897,352590,121693,2636.0,,10071.0,,8853.0,,313883,-858,406149,-7372.0,,,38612.0,,,-286
2014-11-11,3,2014,268192.0,-38400,-26648,1962,-15960,-826,74215,-3322,0.0,,-2443,7086,4921,-13866,,-1803.0,-12050.0,,,,9145.0,0.0,699,-51799,-117179,-4197,-3464,384215,8769,-7472,-13561,185580,6587,-7304,2441,,2014年01月01日至2014年09月30日,356653,442413,-5276.0,85760,-196766,257885,270120,-172630,-163485,-196766,6879.0,-191914,390608,198694,4501.0,,8899.0,,9366.0,,466886,-1200,442413,-7372.0,,0.0,60880.0,,,-408
2015-03-26,4,2014,376333.0,-51696,-17784,-7731,795,-5332,83962,-2489,,58405.0,-3825,8897,31643,-16875,-400.0,-1803.0,-12050.0,,,9775.0,,0.0,699,-90132,-61907,-4041,-1353,240816,9752,-2359,-10152,241202,9591,-8882,3441,,2014年度,356653,404311,-22379.0,47658,-200359,252169,264982,-235777,-226002,-200359,9172.0,-143606,232614,89008,9170.0,,9792.0,,11891.0,,465341,-1493,404311,-7372.0,,0.0,65478.0,,,-784
2015-05-07,1,2015,,-43655,-19518,4908,-314,-4232,460,-4130,,,-934,1636,-5513,-828,,,,,,,-1284.0,,514,8298,4211,1502,-3233,-9331,-8218,-4456,1655,52440,3037,-1636,783,85659.0,2015年01月01日至2015年03月31日,404311,423325,5241.0,19014,-13049,-6106,-5253,30262,28978,-13049,2293.0,-65080,-12783,-77863,,4500.0,,-287.0,,1233.0,7796,-155,423325,0.0,0.0,,22233.0,,,-3764
2015-08-05,2,2015,,-68580,-6625,2442,-75,-61,-8822,-5236,,,-2362,3174,-15354,-5643,,-234.0,,0.0,,4304.0,-1503.0,,99,-33070,7171,3657,-1983,34169,-16059,-6,-3951,96776,6242,-3313,2709,179756.0,2015年01月01日至2015年06月30日,404311,481789,8764.0,77478,5878,91488,92092,2494,5295,5878,3332.0,-66885,-26657,-93542,472.0,4500.0,29.0,-287.0,,1233.0,86214,-464,481789,0.0,,,64088.0,,,-4378
