date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債減少,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,合併發行新股追溯調整,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分投資性不動產,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,金融資產證券化款項,長期應收租賃款增加,長期應收租賃款減少,附買回票券及債券負債增加,附買回票券及債券負債減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產,預收款項減少－處分資產
2014-03-12,4,2013,0,50814,,,,,,,-24919,,,-15445,0,,,,,-1495,,0,-790,,1033,-58579,,,,,,0,,-666,,557,,,-8903,3097,10874,,,-197524,,,,,,,,,,-4430,,,,-16627,,,,,,,,21,-220030,,,,-49826,11588,,,,,-14138,,,124400,69,,,-2837,-197432,57667,,,,,,96,9826,-3097,8177,,,2013年01月01日至2013年12月31日,622571,625340,3910,2769,476040,,,,147546,300804,172400,,-80700,,,-25000,,41781,476040,418,-66788,-159262,-226050,0,2878,,,,1386,,,,,,,2289,-216,,,,-175236,625340,-158338,,,,,,,,0,-397,,,,,,,
2015-03-23,4,2014,,100234,,,,,,,-23274,,,28130,,,,,,-10661,,,790,,2062,25886,,,,,,,,-62442,,1753,,,-5460,3706,53590,,,-315671,,,,,,,,,,-2714,,,,588,,,,,,,,3138,-202884,,,,74291,-7441,,,,,-73556,,,-92215,-1070,,,-19921,-374878,92470,,,,,,0,8370,-3555,5435,,,2014年度,625340,533459,-5911,-91881,418234,,,,124839,241879,0,,-152000,,,279842,0,104568,418234,0,23486,-300075,-276589,,2811,,,,-388,,,,,,,0,0,,,,-176355,533459,-118920,,,,,,,,5106,0,,,,,,,
2015-05-12,1,2015,,,0,0,0,0,0,0,0,0,0,-8234,0,,0,0,0,3562,0,0,,0,2243,8,0,0,0,0,0,0,0,-1048,0,436,0,0,-245,1749,1152,0,0,-222496,0,0,0,0,0,0,0,0,0,-489,0,0,0,2728,0,0,0,0,0,0,-91,0,-14627,0,0,0,-6651,1594,0,0,0,0,-5662,0,0,23302,-808,0,0,7198,-222291,32743,0,0,0,0,0,,1237,,,0,39100,2015年01月01日至2015年03月31日,533459,554645,351,21186,61763,0,0,0,98676,108947,0,0,0,0,0,0,-73,143649,61763,,-16710,24794,8084,143722,1833,0,0,0,-245,0,0,0,0,0,0,0,,0,0,0,47184,554645,,0,0,0,0,0,0,0,346,,0,0,6159,0,0,0,0
2015-08-11,2,2015,,,,,,,,,0,,,14418,,346,,,,-2118,,0,,,-2087,524,,,,,,,,6203,,0,,,-1431,4610,-15839,,,-304808,,,,,,,,,,-608,,,,-1231,,,,,,,-199,,-23465,,,,50283,-1911,,,,,-3263,,,-130378,-1754,,,9922,-297465,60002,,,,,,,1995,-4610,1511,,67422,2015年01月01日至2015年06月30日,533459,461081,918,-72378,180275,,,,93722,158214,,,0,,,9788,,147204,180275,,57786,-147269,-89483,137416,1947,,,,-240,,,,,,,,,,,,-22061,461081,-61393,,,,,,,,2799,,,,,,,,
2016-03-23,4,2015,,,,,540,,,,0,,,5899,,-1092,,,,-3342,,,0,,-3043,10021,,,,,,,,-62583,,1748,,,-3334,10734,-32072,,,-393778,,,,,,,,,,-1910,,,,-2231,,,,,,,,-689,47929,,,,-25825,1438,,,,,1790,,,9483,99,,,6377,-454261,124489,,,,,,,2692,-10150,515,,138321,2015年度,533459,861256,1201,327797,307639,,,,382280,495694,425600,,-212800,,,94342,,431850,307639,,-20833,70567,49734,124708,4159,,,,-1522,,,,,,,,,,,,188055,861256,-103779,,,,,,,,4544,,,,,,,,
2016-05-11,1,2016,,,,,,,,,-6408,,,-12206,,,,,,-5337,,,,,302,0,,,,,,,,-49447,,400,,,-1080,1749,-14292,,,-33943,,,,,,,,,,-28,,,,314,,,,,,,24,,13099,,,,29639,-3218,,,,,-2778,,,-19361,621,,,11640,-83393,36407,,,,,,,632,-1865,974,,41509,2016年01月01日至2016年03月31日,861256,548413,1425,-312843,27854,,,,82010,80680,,,,,,,-290760,-297168,27854,,11739,-422,11317,0,1,,,,11,,,,,,,,,,,,52826,548413,2221,,,,,,,,1651,,,,-1084,,,,
2016-08-10,2,2016,,,,,,,,,-12848,,,4417,0,,-1092,,,2139,,,,,-155,-6,,,,,,,,,-62645,797,,,-2017,3213,-27148,,,-40808,,,,,,,,,,-557,,,,52,,,,,,,6,,158,,,,88060,3262,,,,,-11403,,,-116123,17,,,3800,-104004,73015,,,,,,,1160,-3319,2212,,83533,2016年01月01日至2016年06月30日,861256,536416,3537,-324840,106782,,,,139741,160982,,,,,,-319489,,-333429,106782,,84181,-113514,-29333,0,0,,,,182,,,,,,,,,,,,54200,536416,-20134,,,,,,,,3594,,,,-3499,,,,
