date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得待出售非流動資產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,52892.0,642.0,-7500.0,-55277,-4393,41090,99027,14816,,2808.0,,-50662.0,,1255.0,-5015,654,35358,-190454,0.0,,-8673.0,-1650.0,,31016.0,,-231145.0,,65241,-592590,-185883,82952,-60187,6047.0,-496383,65994,-138998,-5527,1960,-676,4588,,,2013年01月01日至2013年03月31日,3460022,3042690,,-417332,463441,,11994,235104,,5372.0,31699,463441,,-196761,-84468,-281229,,1882,248.0,-874,12502,,,-642.0,,0.0,0.0,,-228337,,3042690,-227022,-3476,3.0,-1437.0,,-128110,-29073,575036
2013-08-07,2,2013,96315.0,2821.0,-15000.0,86923,7673,5109,96863,48410,,124.0,,27.0,,,-10089,395,115595,-287341,0.0,,,-1650.0,,59866.0,,-345260.0,,-878348,209546,-138508,-145872,-176359,-1850.0,-581907,154474,-222511,-12376,3228,-398,9016,,,2013年01月01日至2013年06月30日,3460022,4243014,,782992,944376,,1198937,1634106,,5372.0,50367,944376,,1935720,-1342305,593415,,3885,248.0,2422,19522,,62496.0,-27067.0,-2821.0,0.0,,,689730,,4243014,-443787,-8754,5.0,-3097.0,,-23751,-36655,1726090
2013-11-07,3,2013,140095.0,2821.0,-40000.0,232852,3757,-2018,97971,73221,,1967.0,,-303.0,,,-20273,529,100713,-366016,0.0,,-3158.0,0.0,,95141.0,,-384902.0,,-1656936,396010,-243188,-835756,-243342,6399.0,-694158,230637,-439282,-21979,5986,-554,20009,7738.0,,2013年01月01日至2013年09月30日,3460022,3322082,,-137940,1547177,,1320881,1992694,-939989.0,,-865376,1547177,-5158.0,3459401,-3153979,305422,17500.0,5186,248.0,3447,63449,-26682.0,,,-2821.0,0.0,,,445517,,3322082,-699006,-17412,5.0,635.0,-6814.0,-80391,-11483,2996125
2014-03-20,4,2013,208317.0,2821.0,-47500.0,252119,7074,273,22362,98944,,8333.0,,-1868.0,,,-43534,602,103966,-464047,0.0,,-11416.0,,,195708.0,,-419735.0,,-1625355,310943,27776,-670529,-157354,28580.0,-833356,311016,-195773,-23353,13143,-96,43165,7738.0,,2013年01月01日至2013年12月31日,3460022,4237478,384.0,777456,2241676,,2290288,3020262,-939988.0,,-783442,2241676,-5158.0,3297330,-2727061,570269,0.0,6036,248.0,5814,68936,-25013.0,,,-2821.0,0.0,,,778586,,4237478,-780781,-16121,5.0,446.0,-7088.0,-107486,-14331,2578695
2014-05-08,1,2014,63795.0,0.0,0.0,-146282,-6002,3515,9074,3047,,-126.0,,37277.0,,1304.0,-10055,59,23831,-146939,,,-12924.0,0.0,,-38075.0,,103411.0,,573243,-756077,-375236,-115848,-77983,-12867.0,-33245,84463,-322240,-5740,2470,-615,10037,0.0,,2014年01月01日至2014年03月31日,4237478,3484781,-228.0,-752697,576891,,-705082,-554859,,0.0,-38201,576891,,-1195504,-41,-1195545,,251,0.0,-18,8895,-4272.0,,,0.0,,,,-1131750,,3484781,-159645,-4188,0.0,,0.0,-60285,-23216,88396
2014-08-07,2,2014,136274.0,0.0,0.0,-48778,-5089,3021,61310,601,,0.0,-274.0,,2316.0,2581.0,-24990,66,-20498,-266698,,,-28208.0,0.0,,0.0,-84624.0,0.0,93130.0,318270,-107981,-479624,-264904,-64590,-3819.0,-199323,164383,-340680,-2254,5285,-673,24927,0.0,,2014年01月01日至2014年06月30日,4237478,4198885,8214.0,-38593,1236315,,280213,708919,-14087.0,0.0,-98985,1236315,,-325329,-338341,-663670,,856,876.0,66,9292,-4253.0,,,108.0,,,,-527396,,4198885,-452960,-11614,0.0,,-1318.0,-42658,-10887,311251
2014-11-06,3,2014,186581.0,0.0,0.0,278800,-8115,3381,62221,27491,,-448.0,,8191.0,,3908.0,-40061,66,19148,-365434,,,-30517.0,,,414958.0,-461385.0,-847382.0,972893.0,395386,-137787,-426659,-678072,-29683,5232.0,-205690,254231,-979317,-2411,8308,-673,40291,7901.0,,2014年01月01日至2014年09月30日,4237478,3633999,178.0,-603479,2133409,,665750,1323146,-1035812.0,0.0,-1082687,2133409,-5321.0,320440,-1317284,-996844,,1567,48779.0,1823,9378,-4293.0,,,-7527.0,,,,-810263,,3633999,-704915,-22024,0.0,828.0,-1124.0,-79704,-3165,569982
2015-03-20,4,2014,247382.0,0.0,0.0,176876,-4543,39,140,53260,,0.0,-787.0,,-10995.0,5392.0,-44939,60,130050,-562681,,,0.0,,,0.0,-54918.0,0.0,48296.0,440262,107092,-8811,-609907,156929,13801.0,-481649,354919,68473,-11366,11707,-667,42587,7901.0,,2014年度,4237478,5061153,-14764.0,823675,2868894,,2266789,3058690,-1035812.0,,-1091515,2868894,-5321.0,65155,-122741,-57586,,15580,48920.0,1842,0,0.0,,,-7537.0,,,,189796,,5061153,-841722,-44660,2.0,0.0,2049.0,-174095,-20769,-277102
2015-05-07,1,2015,,,,-342612,5143,3220,-21961,3973,,-191.0,,34534.0,,1376.0,-20342,46,-48955,-293688,,,-2214.0,,,-29865.0,,-10442.0,,1295312,-1081324,-344148,-425542,-120574,,-299924,81757,-241232,9651,3681,-46,18668,0.0,81384.0,2015年01月01日至2015年03月31日,5061153,3449481,7675.0,-1611672,672530,-16065.0,-1232737,-1212736,,,-30056,672530,,-2616971,650321,-1966650,,751,,81,0,0.0,,,,,,,-1885266,,3449481,-38623,-3560,,1055.0,-36.0,159175,-28865,-840015
2015-08-11,2,2015,,,,-79284,-18807,2751,-13082,13830,,,-368.0,,17623.0,2738.0,-31688,53,-68729,-497894,,-4496.0,-12768.0,,,,-17920.0,,28151.0,961160,85468,-379037,-697003,-164320,,-503318,186866,-270939,4442,7665,-53,31074,,162930.0,2015年01月01日至2015年06月30日,5061153,4746042,4970.0,-315111,1269237,-14512.0,305558,566336,-30334.0,,-48622,1269237,,-909563,43732,-865831,,22366,0.0,6104,13823,-5075.0,,,0.0,,,,-702901,,4746042,-291799,-10818,,-2250.0,-77.0,246723,-70123,-538779
2015-11-06,3,2015,,,,150570,4720,3340,16,43027,,,-13247.0,14096.0,,4156.0,-40668,53,12206,-577614,,,-17055.0,,,82484.0,0.0,,2081.0,936350,-28256,-428714,-1479567,-280911,,-723038,284929,-365003,-20827,11869,-53,39187,12970.0,206414.0,2015年01月01日至2015年09月30日,5061153,3554440,-981.0,-1506713,2034550,-8785.0,391287,866752,-1256405.0,,-1187168,2034550,-9100.0,-400480,-973732,-1374212,,24270,0.0,10911,11923,-7308.0,,,-13.0,644.0,,,-1167798,,3554440,-527569,-23164,,,-3443.0,210663,-181383,-131662
2016-03-17,4,2015,,125.0,,14,-5352,-35,0,71802,,,-688.0,,17040.0,5479.0,-52388,59,-76767,-820836,,,-17137.0,,168992.0,,-29219.0,,97337.0,1459175,-344700,-145838,-1029067,-111241,,-832556,382565,-51697,-44783,15938,-59,52087,12970.0,466315.0,2015年度,5061153,4431513,7188.0,-629640,2494475,-95.0,1565995,2043751,-1256405.0,,-1286312,2494475,-9100.0,-1350762,433723,-917039,,18418,1101.0,13803,11379,-6816.0,,,217.0,644.0,,,-450724,-548.0,4431513,-542754,-28098,0.0,18175.0,-4916.0,171905,-140627,-931362
2016-05-06,1,2016,,,,-205725,-10087,3233,0,-2586,,,-98.0,,5309.0,1474.0,-8994,40,-57267,-110176,,,0.0,,,,-18967.0,0.0,7513.0,839361,-811118,-390364,215211,-59791,,-272305,93710,54974,-12379,3824,-40,9055,,70587.0,2016年01月01日至2016年03月31日,4431513,3743653,1345.0,-687860,629019,-85006.0,-339223,-295637,,,-19065,629019,,-1979232,983989,-995243,,3650,4421.0,3511,3658,2143.0,,,393.0,,4624.0,-3162.0,-924656,0.0,3743653,-52601,-2380,,742.0,-9680.0,-55679,-191304,-487666
2016-08-05,2,2016,,,,-181088,8811,3083,-958,-18738,,,-303.0,,-23254.0,3168.0,-16706,45,-118441,-273358,,0.0,-723.0,,,,-5028.0,,-29558.0,1000570,-211629,-380713,403930,-60316,,-516151,185334,-608654,-23777,7622,-45,16644,,160424.0,2016年01月01日至2016年06月30日,4431513,4194572,10114.0,-236941,1242897,-82071.0,426105,643587,-23123.0,,-28454,1242897,,-1496527,736793,-759734,,20524,5188.0,3094,10548,1673.0,,,445.0,,4571.0,-3125.0,-599310,,4194572,-234081,-6314,,-1857.0,708.0,-6590,-230089,-625371
2016-11-04,3,2016,,1503.0,,56336,9779,3566,52,-37773,-13426.0,,-532.0,0.0,,4673.0,-21088,45,-180282,-650771,,,-6624.0,,,0.0,-4014.0,-15996.0,0.0,1060695,-283091,-398105,492531,-1442,,-674909,272926,-409847,-43156,11626,-45,22539,13325.0,195039.0,2016年01月01日至2016年09月30日,4431513,3601903,-20187.0,-829610,1776050,-79055.0,1156713,1501687,-1126586.0,,-1131132,1776050,-10745.0,-1596681,1127279,-469402,,25649,5188.0,2489,10374,1644.0,8.0,71.0,445.0,0.0,4494.0,-3070.0,-274363,,3601903,-380793,889,,,-1523.0,-24489,-35308,-858559
