date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,1007.0,1809971.0,,,-155272,-1549,-388138,1141,-13099.0,-938997,,514122.0,169595,-280921,135072,240407,-783579,0.0,-15356870.0,,-32388,-7493864.0,,8166,248120.0,2722.0,,,11292.0,-688763,111476.0,,-4316682,-38088,12321,-8137.0,,4983808,22413,-28500,,2473.0,1929448,1654446,-126193,,31355,126228,-130015,272995,1846.0,,2013年01月01日至2013年03月31日,51224870,54398427,-259847,3173557,2301620,,2277857,2571389,,934064.0,,-1274155,2301620,-1846.0,-4374895,2834693,-1540202,12905946.0,250281,,,5255,,0.0,,1845,,-35950,,1148.0,9365207.0,269769,-258557,54398427,-438358,114627,0.0,,185979,-46188.0,-2078.0,380459
2013-08-12,2,2013,128851.0,3976945.0,,,2022329,-6710,33,-26314,-13099.0,-412872,,131919.0,494710,-581377,319123,674422,-2540443,-8951.0,-15914995.0,,-69170,-7436027.0,,-9701,338298.0,-1321.0,,,-86407.0,-2027950,111476.0,,-4298738,-9173,117798,-18311.0,,2525258,-11121,-34217,,2212.0,446691,3179389,-113757,,32768,253616,-316283,588438,19449.0,,2013年01月01日至2013年06月30日,51224870,57893072,-320270,6668202,5194095,,6099797,6620327,,2198646.0,,-552708,5194095,-19449.0,-2446510,-104203,-2550713,12844975.0,956570,35616.0,,-4865,,0.0,,25009,,-35950,,1148.0,9365207.0,1426232,-583261,57893072,-812134,59753,283682.0,,170508,0.0,-3263.0,309033
2013-11-12,3,2013,,6195060.0,,,1857545,-4944,46022,-15226,-13099.0,-1475443,,-4087.0,670862,-903992,561459,983322,-4197286,-4460.0,-17107138.0,,-92355,8293249.0,,-6816,475008.0,-19022.0,,,-65366.0,-3839207,111476.0,,1275464,246823,136504,-38228.0,,-3403605,-8164,-45550,,929.0,5491191,4873407,-48440,,42903,379777,-600586,876271,29102.0,,2013年01月01日至2013年09月30日,51224870,59113445,-224257,7888575,8229890,,7525717,8883691,-5340117.0,4187338.0,,-6111655,8229890,-29102.0,3250850,-8792109,-5541259,12181036.0,1427710,35409.0,,82982,,0.0,,24052,,-35950,,758.0,,653801,-757489,59113445,-1662761,49173,283682.0,-450532.0,426122,0.0,-2496.0,496018
2014-03-27,4,2013,,8257588.0,83696.0,,4304767,-8474,690642,-16720,,43508,,-49688.0,833303,-1244842,708831,554636,-6198402,-7529.0,-17171678.0,-13099.0,-141387,9306226.0,,10198,575114.0,-7460.0,,,-79166.0,-6427561,-31454.0,,7762435,430701,-48521,-49414.0,,-3737367,1867,-55815,,-79840.0,4305530,6510013,-77149,,68569,482885,-742236,1246466,,,2013年01月01日至2013年12月31日,51224870,65931169,-260335,14706299,11519779,,20688338,22171633,-5340117.0,8357873.0,,-10842205,11519779,-38596.0,11900334,-9506068,2394266,3244009.0,1119266,167739.0,95082.0,267939,,0.0,,-111333,111476.0,-35950,,,,10651854,-1018852,65931169,-2026121,67902,417975.0,-450532.0,485947,0.0,72527.0,558118
2014-05-13,1,2014,,1775943.0,,,654422,21839,1306921,17958,,-662894,,20803.0,235352,-372345,161452,89011,-1540291,,-18610.0,0.0,-203298,-139787.0,,3383,0.0,-2712.0,,,-39818.0,-1287383,-902385.0,,-7219454,-31790,126219,-19869.0,,4100467,-64959,-67843,-15.0,25990.0,-2469397,1726702,-4421,,46549,135731,-157935,350648,264.0,,2014年01月01日至2014年03月31日,65931169,61188684,-210389,-4742485,1820229,,408987,681224,,1412255.0,,-2771086,1820229,-264.0,-6252779,3337831,-2914948,-4142150.0,335319,60.0,-8348.0,24414,,,,-60,0.0,0,,355.0,,-1139005,-16523,61188684,-465214,570,,,33050,-209.0,0.0,186518
2014-08-12,2,2014,,3789587.0,,,-1130645,-3608,1089541,-20078,,-592911,,44670.0,375910,-708792,330593,-136765,-3585144,0.0,-1013168.0,0.0,-281134,23980.0,,6004,0.0,-7412.0,,,-24349.0,-3549587,-788588.0,,-5613006,-88291,65531,-32487.0,,134602,-21989,-189759,,6436.0,-4988962,3430595,6330,,13727,278671,-327972,700439,22170.0,,2014年01月01日至2014年06月30日,65931169,55490670,-215233,-10440499,4399170,,-1832749,-1243390,,2401519.0,,-3482023,4399170,-22170.0,-6288296,-3143851,-9432147,-4830475.0,390759,133229.0,-8348.0,22871,-902385.0,,,-42554,0.0,0,,,,-5642560,-29686,55490670,-983996,-51715,31561.0,,348467,,0.0,504973
2014-11-11,3,2014,,6542197.0,,,-603579,-5954,1267284,17799,0.0,-354682,,22944.0,499176,-1033214,495761,623758,-5471678,-9298.0,-1013168.0,,-317927,-1045505.0,,44897,0.0,-7268.0,,,-169814.0,-4996058,-788588.0,,-1178177,347107,-69405,-46747.0,,286524,-26509,-95586,-2.0,18266.0,-7532211,5474230,117851,,-69509,426527,-491960,1028538,39789.0,,2014年01月01日至2014年09月30日,65931169,60480618,-242954,-5450551,5718448,,5884311,7374147,-6242436.0,8455741.0,,-4426409,5718448,-39789.0,-1103119,-3783379,-4886498,-5445160.0,423875,706198.0,-8348.0,18103,-902385.0,,,-391993,19967.0,-8020,,0.0,,1655699,-53100,60480618,-2066203,-184537,31561.0,-127371.0,1530306,,0.0,441723
2015-03-25,4,2014,,8807085.0,0.0,,-1497329,-4958,940017,15898,,493806,,53384.0,341704,-1357118,673634,1439189,-8645137,-10205.0,-1013168.0,0.0,-377598,-42198.0,,108831,0.0,-737.0,,,-98283.0,-2530316,-811374.0,,1054233,385042,-68541,-58872.0,,-888927,8485,-135910,,-121216.0,-9020163,7108539,262057,271931.0,-41056,568508,-668047,1347747,,,2014年度,66056220,66483356,-196979,427136,7750990,,14131417,15706690,-6242436.0,7079518.0,,-6123307,7750990,-39824.0,983505,-1834890,-851385,-5760241.0,634898,738493.0,-8348.0,77334,-902385.0,,,-422324,127894.0,-46549,,,,7955700,-140685,66483356,-2294797,-249729,212956.0,-127371.0,2077506,,0.0,1376959
2015-05-13,1,2015,,,,,-1104053,-1846,303018,974,,10530,,1522.0,141400,-315573,147196,-291682,-1441193,,0.0,,-29983,,-228624.0,-54029,,-938.0,,,34997.0,1048909,0.0,,-8739820,-258913,6570,-25122.0,,5943679,32215,47597,0.0,,-1090924,1644412,110983,,-15757,145752,-142817,320853,0.0,1162557.0,2015年01月01日至2015年03月31日,66483356,58701055,-222725,-7782301,2107308,-9485.0,-106940,265257,,-5882937.0,,-6292755,2107308,0.0,-10502513,7497905,-3004608,-379617.0,319175,108245.0,0.0,17257,,,129505.0,-15150,15432.0,-7701,,26.0,,-1842051,-105251,58701055,-550233,-178137,,-4141.0,27451,-151865.0,,-289715
2015-08-11,2,2015,,,,-798753.0,404761,2450,381776,1592,,-313424,-40428.0,0.0,179582,-593683,288940,-889512,-3594803,-2140.0,0.0,,-148345,,-166982.0,-32100,,,-343.0,-9633.0,,1708395,0.0,,-11867889,-15849,129370,,-45728.0,5533882,6957,32910,,,-3389125,3283014,155370,,-120609,280693,-281540,594908,13248.0,3179528.0,2015年01月01日至2015年06月30日,66483356,56732819,258532,-9750537,4012827,-13817.0,2053539,3049490,,0.0,-6532128.0,-7525439,4012827,-13248.0,-11650323,7507458,-4142865,,304892,109321.0,0.0,58897,0.0,,129505.0,-15542,15432.0,-7701,14056.0,26.0,,-963337,-143487,56732819,-1322567,-187521,45071.0,-148487.0,104333,-349156.0,,-145862
