date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少
2013-04-30,1,2013,1897.0,,-65000.0,-1664,-2844,,-6011,-20957.0,,-1049,,575,274.0,-33041,-774,-33427,-8527,50,49945.0,,-36899,-16105,49579,-11,13103,-48,-26149,31156,,657,100,-549,,,2013年01月01日至2013年03月31日,115367,185626,70259,76467,39159,42052,,177030,-105000,56975,76467,-69156,32844,-36312,,0.0,0.0,27849.0,-28467.0,-34415,185626,-2344.0,-301.0,,0.0,6492
2013-08-12,2,2013,42532.0,,-75000.0,18203,-4393,0.0,-5492,-19308.0,,-862,,1159,-141.0,-132751,2673,-72088,4421,-1276,124920.0,,-14020,-17435,-3761,33,4082,-91,-124210,66663,6890.0,1520,185,-1120,,,2013年01月01日至2013年06月30日,115367,150269,34902,138632,74303,96577,,445000,-409970,84950,138632,-15599,-68988,-84587,,0.0,0.0,27849.0,-30580.0,-42055,150269,-21154.0,1774.0,,0.0,340
2013-11-12,3,2013,222317.0,0.0,-75000.0,-9401,-4274,0.0,-4968,-28621.0,,295,,1994,-231.0,-182029,116,84164,-29306,-2334,59954.0,,-47939,-39368,154022,-26,18013,-93,-182801,101059,6890.0,-66,262,-1902,,,2013年01月01日至2013年09月30日,115367,248498,133131,-105342,206993,249728,-127814.0,872000,-719970,109170,-105342,-133316,266069,132753,100000.0,0.0,147463.0,27849.0,-30580.0,355070,248498,-40833.0,1774.0,,,7373
2014-03-27,4,2013,194496.0,0.0,-75000.0,-17532,-145111,0.0,-17676,-691.0,,1067,,3125,-228.0,-289386,-3822,103136,-24643,1326,59956.0,0.0,-59590,-72734,320314,5576,26429,-8,-262166,135950,6890.0,17300,339,-3020,,,2013年01月01日至2013年12月31日,115367,242647,127280,52933,340502,384364,-127814.0,1282000,-1089970,49172,52933,-190849,327784,136935,0.0,62.0,69343.0,27849.0,-30580.0,331431,242647,-40842.0,1774.0,,,10558
2014-05-09,1,2014,37761.0,,-100000.0,-5608,-25950,,-6528,16237.0,,-2745,,789,0.0,-76184,-195,-54063,15037,-3921,-3.0,,13490,7855,-62920,8,-710,0,-59947,39386,,353,69,-827,,,2014年01月01日至2014年03月31日,242647,107449,-135198,4742,-85248,-82865,,460000,-380000,9997,4742,20325,-145693,-125368,30000.0,,104.0,0.0,0.0,-87607,107449,-1556.0,0.0,,,-2058
2014-08-08,2,2014,132903.0,,0.0,3783,148773,,-9015,0.0,11487.0,2701,,1565,0.0,-154722,1150,-79098,19975,-9073,0.0,-9970.0,11640,32459,-151213,-2490,-9185,-1,-143235,82715,0.0,42309,122,-1598,,,2014年01月01日至2014年06月30日,242647,149105,-93542,-33014,39663,42818,,725000,-705000,10030,-33014,49769,-106840,-57071,,,2341.0,0.0,0.0,75832,149105,-1557.0,0.0,,,-13626
2014-11-11,3,2014,175240.0,,0.0,11349,145046,,-8708,0.0,9628.0,-1076,,2507,0.0,-195362,1209,-104650,27887,-6739,0.0,-59956.0,24984,35752,-208781,-6980,-10024,-2,-185734,125343,0.0,39747,166,-2477,,,2014年01月01日至2014年09月30日,242647,82896,-159751,13767,66502,74327,-25563.0,1126726,-1081726,-40519,13767,84525,-199205,-114680,,,7344.0,0.0,0.0,60560,82896,-5348.0,0.0,,,-13814
2015-03-30,4,2014,215871.0,1229.0,0.0,13692,150202,,-7943,0.0,1802.0,-1441,,3478,0.0,-209819,1137,-84797,23039,-1014,0.0,-59956.0,29825,37530,-230337,-5695,-9934,-5,-206788,167691,0.0,37452,210,-3520,,,2014年度,242647,180870,-61777,50288,160530,170171,-25563.0,1650000,-1580000,-15519,50288,95129,-191117,-95988,,0.0,7344.0,0.0,0.0,119883,180870,-6121.0,0.0,,,-10551
2015-05-14,1,2015,,,,-1639,943,,462,,4543.0,2513,,982,,-40774,5232,33887,-905,-3576,,0.0,-13158,7053,-4138,-4977,6783,5,-36231,43017,,-208,45,-948,,51581.0,2015年01月01日至2015年03月31日,180870,197874,17004,11746,83235,84183,,440000,-470000,-30000,11746,-11763,32619,20856,,,0.0,,,72437,197874,0.0,,,,116
2015-08-11,2,2015,,,,3417,-70,,914,-3399.0,,2400,,1885,,-69504,2339,8354,11240,-5213,,0.0,-12925,3177,-18855,3958,3634,4,-72903,86963,,-2236,66,-1908,,91417.0,2015年01月01日至2015年06月30日,180870,171732,-9138,38694,113765,121467,,910000,-960000,-50000,38694,610,-9254,-8644,,,0.0,,,82773,171732,-5794.0,,,,-6279
