date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-04-29,1,2013,28003.0,,-12305,-114598,,8467,39541,-1108,-1061,,112826,300,-2381,1077,-1792,-1801,,,,-616,,-1070,128,,-1940,,22013,-83104,1176,,,218010,-19501,332.0,-3068,19395,4850,5278,-1109,2381,,,2013年01月01日至2013年03月31日,535672,740577,204905,99948,,320710,318329,,0.0,-97659,-110945,99948,,-189838,380216,190378,0.0,,,3963,,671,,,-117,,218381,740577,,,-1003,,0.0,8388,-2674,
2013-07-29,2,2013,5338.0,0.0,-30370,-93934,575.0,4058,48003,-500,-5036,,4678,510,-5256,2207,-4807,-11391,,,,-6308,,-838,434,0.0,-1969,,34706,-158921,2,,,233570,-14234,674.0,227374,37684,-4872,11532,-2257,5256,567.0,,2013年01月01日至2013年06月30日,535672,852874,317202,208800,,234487,251091,0.0,0.0,-107659,-139852,208800,-567.0,-247729,284682,36953,0.0,24.0,,3963,,835,248194.0,-17701.0,-27,,42291,852874,-22427.0,,892,0.0,-18169.0,-17005,-5714,
2013-10-31,3,2013,14843.0,,-44605,-84032,,3833,41890,-1044,-7681,0.0,87162,318,-7972,3039,-1928,-22515,,,,-8890,,-1016,0,-3877.0,-2930,0.0,480,-90563,-2341,2621.0,,209916,26536,1037.0,237927,57636,-12603,15489,-3098,7972,,,2013年01月01日至2013年09月30日,535672,913855,378183,326740,,490004,529897,-193481.0,0.0,-105380,-347820,326740,-5561.0,-174447,362761,188314,0.0,24.0,,3963,,835,248194.0,-17701.0,548,,203157,913855,-53426.0,,-1337,0.0,-18169.0,4458,-4920,
2014-03-31,4,2013,-54048.0,,-52123,51587,,14509,42530,2144,-3540,,61477,8405,-11991,4412,-3509,-30837,-360379.0,,,-16467,,-2688,0,-9953.0,-2121,0.0,-47002,141476,-1317,2493.0,,-85203,-9820,857.0,92256,77861,-71958,21149,-5045,11991,,,2013年01月01日至2013年12月31日,535672,874894,339222,569593,,616243,653065,-193481.0,,-107659,-365768,569593,-6026.0,207472,-69952,137520,0.0,52.0,,111604,,1338,371427.0,82635.0,341,,83472,874894,-54839.0,,-1784,0.0,-157526.0,-28394,-6023,
2014-04-30,1,2014,19350.0,,-7500,-114132,,-737,5019,-1031,2573,,126579,300,-2808,786,-3529,-5700,-18960.0,,,-488,,-5109,0,-4335.0,-43,,15179,-114492,1671,2361.0,,279936,-47481,214.0,99970,20038,10651,5689,-793,2808,,,2014年01月01日至2014年03月31日,874894,1241385,366491,125361,,278495,275687,,1822.0,0,-8445,125361,,-228507,359483,130976,,849.0,20919.0,103094,,-560,,,-9637,,150326,1241385,,,0,,,-22322,0,299.0
2014-06-30,2,2014,-2338.0,,-35000,-97184,0.0,-590,5795,-1223,-3549,,-121799,291,-7732,1529,181,-15820,-18960.0,,-50339.0,-2181,,-96,0,-4348.0,-26,,58993,-258476,-153,,-270.0,268847,-8609,-693.0,47149,39698,-6877,11356,-1568,7732,0.0,,2014年01月01日至2014年06月30日,777748,927866,150118,266052,,73974,124551,,70000.0,0,28814,266052,0.0,-359280,220117,-139163,,849.0,20919.0,113297,,-24,0.0,0.0,-9879,,-141501,927866,-58309.0,,-961,,-30604.0,20439,-590,
2014-09-30,3,2014,-12424.0,,-62500,-78583,,3056,3047,-2408,-5518,0.0,-32954,350,-12198,2160,627,-26362,0.0,-37960.0,-60422.0,-3251,,-123,0,-7508.0,0,516.0,28173,-211020,2146,-413.0,,232172,22514,-1011.0,173235,59039,-29716,16571,-2227,12198,,,2014年01月01日至2014年09月30日,777748,870820,93072,422630,,323540,397741,-331682.0,0.0,0,-404330,422630,-7090.0,-289157,276692,-12465,0.0,880.0,20919.0,0,272968.0,134,0.0,-691.0,-10496,,-24889,870820,-93489.0,240.0,-1337,0.0,-30604.0,29258,-719,
2015-03-26,4,2014,-10377.0,,-70000,38519,,17601,10234,-5136,-8806,,-4240,-2698,-16546,2693,5024,-31858,0.0,,-60422.0,-4556,-112960.0,-669,0,-8239.0,2371,0.0,19292,-524,-782,-586.0,,-23942,-114467,-1293.0,150566,77596,-41993,21379,-2764,18123,,,2014年度,777748,1022059,244311,636936,,501992,571521,-331682.0,,0,-413271,636936,-7568.0,46601,-101639,-55038,0.0,810.0,20919.0,0,,214,0.0,-1475.0,-10674,332146.0,-65415,1022059,-95220.0,-32.0,-1784,0.0,-30604.0,20290,-2549,
2015-04-30,1,2016,,,-2500,-116756,,-81640,2157,2570,-2397,,-59325,656,-4267,160,-855,-14323,0.0,,,-2316,-189711.0,34,0,101.0,-168,,-32605,-15242,-131,-304.0,,235367,-22803,,9178,20240,-11758,5195,-165,2845,,10021.0,2016年01月01日至2016年03月31日,949958,1061506,111548,219304,-1244.0,105029,106018,,1064.0,0,-1804,219304,,-212889,89582,-123307,,150.0,8973.0,0,,-80,,,-193,219955.0,-113286,1061506,-3834.0,34.0,-446,,,-30812,-13382,0.0
2015-04-30,1,2015,,,-7500,-149805,,545,-6885,1923,-487,,-21422,-695,-3903,473,-1424,-6023,0,,,-5992,-100000,0,0,59,0,,28846,-95505,170,-501,,267772,50373,,-79697,18417,10574,4340,-481,6143,,29948,2015年01月01日至2015年03月31日,1022059,1154287,132228,139077,-199,220868,216791,,904,0,-7519,139077,,-243317,291083,47766,,600,0,0,,735,,,54,35000,77714,1154287,-2066,-47,-446,,,-27114,-3282,0
