date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延借項（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-10,1,2013,17023.0,-9836,-6618,,-23055,7319,,,-10469.0,2091.0,0,4353,-1996,-1115,,,-7,3800,187,6306,-1646,6315,5012,-70.0,1496,13119,120,-4313,0,,2013年01月01日至2013年03月31日,82765,74137,-164,-8628,-36340,,-24439,-20126,,25960,0.0,16311,-36340,-25083,24274,-809,,527,,,-405,,,,16214,74137,,,,,,12297,
2013-08-13,2,2013,57321.0,-20472,1426,3676.0,-22319,-1877,,,-11477.0,1207.0,-72,9068,-1415,-5430,,,-6002,16866,187,-25418,-4504,-28087,29292,61.0,49002,26838,159,-8960,72,,2013年01月01日至2013年06月30日,82765,81029,-62,-1736,-82839,,-57744,-48856,,0,-1294.0,8421,-82839,-50754,27416,-23338,30000.0,59227,,,21390,,,,33983,81029,,7443.0,,,,11780,-200.0
2013-11-12,3,2013,77108.0,-41208,-1029,170.0,-22581,3304,,,-17140.0,785.0,-80,13797,-955,-4389,,,-360,37229,187,-33207,-3201,-5066,-3091,90.0,87661,38424,198,-13583,80,,2013年01月01日至2013年09月30日,82765,188369,37,105604,-90378,,-56632,-43129,75500.0,11051,,75530,-90378,-59928,30069,-29859,30000.0,91281,0.0,344.0,21416,,,-344.0,47249,188369,,2959.0,,3660.0,,11918,-214.0
2014-03-27,4,2013,97012.0,-52883,-3073,,-19250,6555,-11331.0,,,-5875.0,-227,17584,-713,-7310,-612.0,,-343,43811,187,-17442,-3474,-15886,25367,118.0,81349,49802,251,-17558,227,,2013年01月01日至2013年12月31日,82765,108122,-556,25357,-107129,,16093,33424,75500.0,1056680,-1180856.0,-71372,-107129,-43121,86662,43541,30000.0,106476,0.0,344.0,20844,,,-344.0,140553,108122,,10840.0,0.0,9658.0,,14006,1969.0
2014-05-12,1,2014,12282.0,-9860,-787,,-3268,-1134,-1015.0,,,-10638.0,-29,3379,-1029,-3194,,,-15,-2416,0,-10036,6208,6617,16312,52.0,-14260,9867,83,-3452,29,,2014年01月01日至2014年03月31日,108122,84219,-1396,-23903,-18557,,760,4183,,398030,-397544.0,-9374,-18557,-7831,18289,10458,,602,,,378,,,,22740,84219,,1209.0,,,,-2299,
2014-08-12,2,2014,14788.0,-18372,-9,175.0,-4660,-3403,-2975.0,,,-774.0,-129,7009,-1282,-13816,,,-6,12870,0,21919,7446,10622,6732,96.0,-16869,19706,145,-7068,129,,2014年01月01日至2014年06月30日,108122,129688,738,21566,-36717,,20736,27675,,568228,-530875.0,18981,-36717,24792,24812,49604,0.0,702,,,308,,,,64392,129688,,1735.0,,,-12989.0,-3919,0.0
2014-11-10,3,2014,26657.0,-25926,1681,-681.0,-3617,-1488,-5548.0,,,-774.0,-166,10909,-478,-21290,,,-81,14324,12010,31512,-9431,12387,-30987,159.0,-26773,29766,196,-11000,166,,2014年01月01日至2014年09月30日,108122,118621,-1151,10499,-47539,,-17853,-7019,0.0,895530,-826011.0,55603,-47539,20304,-6441,13863,0.0,920,,0.0,92,,,0.0,40520,118621,,2138.0,,-12989.0,,-2134,0.0
2015-03-25,4,2014,40315.0,-18275,-5335,,-560,371,6498.0,,,-774.0,-255,14811,-930,-44967,0.0,,-94,40338,38920,-47030,9987,29145,-13224,212.0,-38201,39977,247,-14830,255,,2014年度,108122,122294,-1517,14172,-63941,,-23696,-9100,0.0,1102019,-1045665.0,76999,-63941,-42726,57252,14526,0.0,1136,,0.0,41,,,0.0,54841,122294,-21.0,2214.0,,-12989.0,,-1592,0.0
2015-05-11,1,2015,,-2547,-149,75.0,-1937,-1367,-1560.0,,,0.0,0,3803,-241,-6461,-134.0,,0,-15311,8036,29517,19784,-11381,19126,,-8155,10074,52,-3588,0,14008.0,2015年01月01日至2015年03月31日,122294,111355,79,-10939,-29804,35.0,-578,3010,,300127,-307581.0,-1965,-29804,47250,-28444,18806,,0,,,0,,,,32814,111355,,301.0,,,,-19887,
2015-08-12,2,2015,,-10100,-3220,-5.0,-3299,-488,-1631.0,,,0.0,-94,7277,380,-8317,-232.0,,27,15140,19451,2820,-6200,-10000,11003,,-7225,19766,108,-7253,94,-18979.0,2015年01月01日至2015年06月30日,122294,90235,288,-32059,-3953,67.0,-20630,-11979,,471482,-485417.0,-4584,-3953,-9832,20785,10953,,2928,,,-46324,,,,-8026,90235,-1492.0,553.0,,,0.0,4582,
