date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,-5501.0,,,-35904,-1072,-2302,0.0,-819540.0,-916,,4740.0,-4580.0,-10,,-6830,6637,35147,-709,,,-407312.0,,,,443.0,,,36511,,,-267042,-4882,-80,-720.0,5472,15388,351.0,-428878,5940,,-11593,418,-7449.0,10504,,,2013年01月01日至2013年03月31日,2453782,1680770,-773012,65021,-385596,-287377,,,6592,,6315,65021,-397718,50821,-346897,,1370.0,439.0,792550.0,1384.0,,,343.0,,,,-352398,1680770,-101274,-400.0,,,,-1390.0,,-19,,-416.0,-87822
2013-08-13,2,2013,-793.0,,,-37223,-2176,-1569,-24.0,-1011890.0,-48,-3161.0,,,-432,,-14493,12128,16257,-4594,,,-619070.0,-210.0,,22.0,463.0,-6909.0,1551.0,-3414,,,-292064,13580,-308,-1450.0,-44262,15347,-116.0,-743703,11298,80000.0,-13472,837,-10876.0,10317,,,2013年01月01日至2013年06月30日,1767409,514605,-1252804,20792,-535262,-432865,,,116733,-105842.0,9904,20792,-414522,-38342,-452864,,1370.0,19173.0,,3209.0,0.0,0.0,-535.0,,,800577.0,-453657,514605,-101838,,2040.0,,,-1395.0,0.0,-4304,-540.0,,-96283
2013-11-14,3,2013,161.0,,,-47725,-3883,-12589,-24.0,,49,0.0,43195.0,,-442,,-21452,17468,11679,-12080,,,0.0,-210.0,800577.0,28.0,463.0,-10574.0,1740.0,-51196,-1630960.0,,-32361,11974,-469,-2188.0,-7838,11875,107.0,-697938,16581,80000.0,-16761,1271,-11665.0,21763,9804.0,,2013年01月01日至2013年09月30日,1767409,667083,-1100326,5047,-324788,-232797,,,116733,-204287.0,-89279,5047,-165736,-72269,-238005,,1408.0,19378.0,,3176.0,0.0,0.0,-348.0,,,,-237844,667083,-102089,,2040.0,-1400.0,,,,-12604,-216.0,,-93321
2014-03-31,4,2013,-34407.0,,,-45484,-4565,-14859,0.0,,2083,0.0,246735.0,,-3643,,-27197,22507,14636,-19800,,0.0,,-210.0,,22.0,463.0,-19860.0,12664.0,90386,-1630960.0,0.0,-223999,-5909,-557,-2188.0,-26826,12029,367.0,-495133,22151,80000.0,-50822,1708,-16612.0,28321,9803.0,,2013年01月01日至2013年12月31日,1767409,868977,-898432,42556,-402324,-311689,0.0,,121956,-135842.0,-15611,42556,-374781,54943,-319838,,6912.0,19378.0,800577.0,580.0,0.0,0.0,-348.0,0.0,,,-354245,868977,-102344,,2040.0,,-1405.0,,,-6154,-372.0,,-96350
2014-05-14,1,2014,-7732.0,,,-18737,-451,-7698,,,4578,-3075.0,,0.0,0,,-6394,4992,9723,-429,-500000.0,0.0,,,,,0.0,-592.0,1370.0,25192,0.0,,-16235,-4569,37,0.0,-28785,40,0.0,-456748,5910,,-12920,426,-344.0,2412,43104.0,,2014年01月01日至2014年03月31日,868977,506358,-362619,11344,-109509,-44706,,,270000,-76085.0,193915,11344,-32591,-15727,-48318,,0.0,937.0,,0.0,,1131.0,,1937.0,-872.0,,-56050,506358,-66871,0.0,,,,-5.0,,-4476,0.0,,2786
2014-08-13,2,2014,8575.0,,,-28237,47,-7141,0.0,,574,-3120.0,,,0,,-12933,10724,4700,-773,-500000.0,,0.0,0.0,,0.0,0.0,-1369.0,2413.0,39041,0.0,,-159174,-4336,431,0.0,101430,3268,0.0,-456622,12345,0.0,-2947,770,-1266.0,4688,43104.0,,2014年01月01日至2014年06月30日,868977,474283,-394694,-31110,-136687,-73418,,,270000,-76085.0,193915,-31110,-192997,142114,-50883,,0.0,1240.0,0.0,13.0,,,1485.0,1937.0,-872.0,,-42308,474283,-66691,,,,0.0,-10.0,,5516,-54.0,,-2302
2014-11-13,3,2014,-19957.0,,,-27889,-374,-5017,0.0,,4800,-1852.0,0.0,,0,,-19315,16499,10300,-862,-500000.0,,,0.0,,0.0,0.0,-2098.0,5474.0,42238,0.0,,-101833,11430,0,0.0,35236,2689,0.0,-446658,16839,0.0,-35576,985,-2300.0,23052,49503.0,,2014年01月01日至2014年09月30日,868977,697480,-171497,25914,20072,33694,,,320874,-76085.0,244789,25914,-44160,71897,27737,,0.0,1240.0,0.0,13.0,,,1485.0,1937.0,-872.0,,7780,697480,-34374,,0.0,,,-15.0,,-3249,0.0,,69706
2015-03-27,4,2014,-61848.0,-475000.0,,-8528,-300,10849,,,9935,-2323.0,0.0,,-1243,,-25959,20533,51046,-1911,-500000.0,,,0.0,,0.0,0.0,-2110.0,5665.0,122522,-11832.0,,35173,42278,1719,0.0,92486,2258,0.0,-459921,20914,0.0,-82226,1198,-8380.0,26360,49503.0,,2014年度,868977,1240316,371339,299709,532877,549233,,,898422,-176085.0,247337,299709,87266,224106,311372,,0.0,1240.0,0.0,3243.0,,,1485.0,1937.0,-872.0,,249524,1240316,-34336,,1101.0,,,-22.0,,-4009,-90.0,,6989
2015-05-13,1,2015,,,,-8781,5,585,,,270,-2500.0,,,2032,-1723.0,-6722,2550,-10869,-2961,0.0,,,,,,,-5407.0,241.0,26390,,,-172125,7261,-1719,,-16942,587,,-11748,3471,,-20862,214,-2701.0,5289,0.0,-19482.0,2015年01月01日至2015年03月31日,1240316,1148447,-91869,149482,-20830,-23077,,,150000,-198422.0,-48422,149482,-181098,28021,-153077,,,0.0,,,,,0.0,602.0,-160.0,,-172559,1148447,-341,,,,,-5.0,,17401,,,-6009
2015-08-13,2,2015,,,,-1962,1270,748,,,83,-992.0,,,1881,,-12993,5121,-22328,-5555,0.0,,,,,,,-5389.0,3823.0,-65927,,,-412349,20547,-1719,,-49311,1201,-6511.0,-8078,6607,,-35887,428,-5327.0,9047,0.0,-35000.0,2015年01月01日至2015年06月30日,1240316,878572,-361744,157741,-382916,-385629,,,350000,-498422.0,51578,157741,-400332,-108038,-508370,200000.0,,0.0,,14.0,,,0.0,602.0,-160.0,,-543370,878572,-1007,,,,-11.0,,,11762,-567.0,,-6202
