date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅
2013-05-13,1,2013,2907.0,-13568,307.0,82,-2046,-258.0,,,-239,-101,1,465,-463,,,,,,,4009,-5452,-5607,2287,,-156,2730,516,-1,101,,,2013年01月01日至2013年03月31日,115331,100612,,-14719,2527,,-15028,-15119,,,2527,,-19196,-1357,-20553,,,-17646,100612,-9.0
2013-08-09,2,2013,6205.0,-6398,,542,-3571,-507.0,-202.0,,212,-247,2,634,-1624,,,,,,,9056,-8900,-3211,4227,,-1581,5372,1016,-2,247,,,2013年01月01日至2013年06月30日,115331,112448,,-2883,383,,-1936,-2174,,,383,,-15263,6501,-8762,245.0,-150.0,-2557,112448,-7.0
2013-11-12,3,2013,9650.0,-12184,,139,-2641,-752.0,-360.0,,610,-406,3,390,-2863,,,,,,,10034,-16777,11846,7669,,-2978,8129,1440,-3,398,4.0,,2013年01月01日至2013年09月30日,115331,115917,,586,-3948,,3174,3036,0.0,0.0,-3948,-4.0,-29574,26908,-2666,245.0,-122.0,6984,115917,-261.0
2014-03-27,4,2013,14072.0,462,,273,-2203,-2146.0,-198.0,346.0,1988,-538,5,564,-3693,-465.0,,,,,,1576,-4140,5116,5584,,-3765,10912,1831,-5,532,4.0,,2013年01月01日至2013年12月31日,115331,122029,,6698,-9226,,9899,9368,0.0,0.0,-9226,-4.0,-5551,10073,4522,245.0,-122.0,18594,122029,0.0
2014-05-13,1,2014,2932.0,-22831,,-190,-1379,-203.0,130.0,-2.0,55,-102,3,457,-98,0.0,,,,,,4325,-9122,3888,-720,,30,2730,246,-3,110,0.0,,2014年01月01日至2014年03月31日,122029,104431,,-17598,5205,,-18085,-18095,0.0,0.0,5205,0.0,-32346,6114,-26232,0.0,0.0,-23300,104431,-97.0
2014-08-12,2,2014,5480.0,-4986,,441,-2054,-410.0,137.0,0.0,111,-261,6,99,-1444,0.0,,,,,,12082,-5326,13764,-3220,,-1307,5215,394,-6,261,0.0,,2014年01月01日至2014年06月30日,122029,139598,,17569,2847,,18777,18618,0.0,0.0,2847,,-10281,20572,10291,0.0,15.0,15771,139598,-96.0
2014-11-13,3,2014,8002.0,-173,,1711,-3567,-10127.0,0.0,135.0,166,-403,9,513,-2426,0.0,,,,,,13270,-5354,1890,-236,,-2291,7667,542,-9,381,4.0,,2014年01月01日至2014年09月30日,122029,122456,,427,-3491,,2205,1925,0.0,0.0,-3491,-4.0,-13943,11357,-2586,0.0,25.0,5416,122456,-96.0
2015-03-26,4,2014,10504.0,2728,,611,-3574,,-725.0,,222,-544,9,1509,-1957,0.0,,-17.0,,,-294.0,14362,-6804,7626,382,-10333.0,-2976,10124,689,-9,538,4.0,,2014年度,122029,125004,,2975,-11497,,4442,4005,,,-11497,-4.0,-13798,18796,4998,0.0,25.0,15502,125004,-96.0
2015-05-13,1,2015,,-22224,,71,668,,-1467.0,,55,-150,1,-208,-379,,,3.0,,,-422.0,3963,3164,-59,-755,,-2268,2430,148,-1,166,,2487.0,2015年01月01日至2015年03月31日,125004,104352,,-20652,-1126,-4530.0,-18176,-18341,,,-1126,,-23519,3817,-19702,,,-17215,104352,0.0
2015-08-13,2,2015,,-8653,,44,2063,,,,111,-337,1,-414,-2379,0.0,,8.0,400.0,-494.0,0.0,8932,3574,2821,-1922,,-2873,4880,295,-1,349,0.0,4958.0,2015年01月01日至2015年06月30日,125004,123233,,-1771,-6263,-4786.0,1116,768,0.0,400.0,-6263,0.0,-9821,11894,2073,0.0,0.0,7031,123233,0.0
