date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-03,1,2013,2323.0,135813.0,-96599,-15837,-365.0,4112,121.0,,-2.0,,,53.0,,-2492,569,-9621,-5593,,-246,431.0,0.0,10972.0,-46368,-2611,2925,,,-913,280205,0,,3820,5696.0,-12726,91140,-2660,483.0,16178,1004,-667,2248,,,2013年01月01日至2013年03月31日,1457045,1780879,,,323834,229498,,350269,336456,,104898,-108986,-4088,229498,,-133150,104295,-28855,386.0,109.0,,,,106958,,1780879,12232,2900.0,,23651.0,-122120,-18296.0,-38744
2013-08-07,2,2013,20426.0,294917.0,-59972,29934,-3355.0,6087,-571.0,,-6773.0,,,216.0,,-5425,1126,6465,-16065,,-3394,436.0,-10.0,10972.0,-32225,-95119,-1400,,,-870,-186245,-19058,,-623,11496.0,-40586,179376,-3484,483.0,51848,2100,-1214,6153,2018.0,,2013年01月01日至2013年06月30日,1457045,1685682,-2189.0,,228637,423535,,192373,187899,,250285,-179900,70385,423535,-2018.0,-193146,-337407,-530553,389.0,4789.0,,,,-235636,,1685682,-2483,2915.0,,41533.0,-135760,-25921.0,-39871
2013-11-05,3,2013,,397670.0,11698,12049,-1624.0,-21665,-571.0,,-37067.0,,,340.0,,-8708,2428,2674,-20536,0.0,-3499,-8.0,-34.0,10972.0,-79426,24452,-11405,,,-771,172147,-11512,,3409,11345.0,-67806,265304,-3484,483.0,81954,3327,-2526,8408,2018.0,,2013年01月01日至2013年09月30日,1457045,2318302,-565.0,,861257,542238,,952275,969464,-112413.0,283877,-197350,-25886,542238,-2018.0,9898,19658,29556,1408.0,7158.0,,,,427226,,2318302,-25089,2915.0,,45883.0,-55827,-19390.0,-19742
2014-03-13,4,2013,,633268.0,69643,-4709,,6648,,5804.0,-7113.0,,,460.0,3258.0,-12189,3649,6111,-75527,0.0,-3499,1735.0,-34.0,10981.0,18436,-116408,26179,,-13102.0,-787,-80687,-26997,-194.0,2217,-52309.0,-73325,359043,-4075,483.0,213515,4528,-3602,11889,2018.0,,2013年01月01日至2013年12月31日,1457045,2324114,-5272.0,,867069,666707,,1032301,1048229,-112413.0,308783,-293280,-98018,666707,-2018.0,-129922,-121824,-251746,1407.0,10919.0,,,,381522,-2502.0,2324114,-26233,4065.0,-1108.0,52035.0,-37021,,-42365
2014-05-07,1,2014,,169702.0,-116083,26140,-5170.0,-40907,,,-50003.0,,,573.0,156.0,-3406,1214,5506,-37042,,0,-67.0,,0.0,-136179,145774,-6484,-2272.0,,-99,116071,16804,9124.0,-5738,6128.0,-86177,94187,-2123,0.0,76835,947,-1359,3050,,,2014年01月01日至2014年03月31日,2324114,2595340,-2752.0,,271226,217945,,357711,357824,,112517,-118331,-5814,217945,,33270,-63093,-29823,295.0,672.0,,,,139879,,2595340,-1804,1564.0,,352.0,-48408,,13599
2014-08-08,2,2014,0.0,382137.0,-85832,9364,-6516.0,2933,,,-88967.0,,,415.0,-182.0,-7147,2158,2422,-51513,,0,-236.0,-2000.0,24.0,-180315,105104,-9392,1508.0,,-164,35432,-7352,15810.0,-9918,12358.0,-153058,182715,-2123,708.0,187715,1885,-2158,6896,603.0,,2014年01月01日至2014年06月30日,2324114,2558019,1832.0,766.0,233905,302645,,383555,500254,,185853,-184867,986,302645,-603.0,36712,-221240,-184528,476.0,4474.0,,370.0,,197609,,2558019,-122040,-158.0,,8548.0,-87902,-11493.0,21769
2014-11-07,3,2014,,549592.0,-38153,6971,-5212.0,-30613,,,-69477.0,30112.0,,515.0,40.0,-10722,3134,636,-105221,,0,68.0,-2000.0,24.0,-195460,49927,-8304,-1572.0,,-153,145242,12115,32478.0,895,18593.0,-167581,252864,-2334,1268.0,268193,2813,-3209,10333,603.0,,2014年01月01日至2014年09月30日,2324114,2514296,-6820.0,-577.0,190182,405079,,706763,880273,-369357.0,269277,-248447,-349636,405079,-603.0,40430,-114828,-74398,476.0,4590.0,-4373.0,370.0,-2493.0,475194,,2514296,-181237,2314.0,-1109.0,36421.0,-87724,-17637.0,27638
2015-03-17,4,2014,,714271.0,5631,8676,-3917.0,6916,,,-59005.0,30273.0,,851.0,-902.0,-14386,4015,5492,-161719,,0,68.0,0.0,24.0,-199390,13562,-10995,-1073.0,,-82,282935,13588,33372.0,838,24778.0,-193213,323877,-5042,1267.0,358339,3737,-4029,13997,603.0,,2014年度,2324114,2999859,-13616.0,-692.0,675745,604163,,1213516,1400282,-369357.0,319014,-298598,-350050,604163,-603.0,21648,60200,81848,736.0,4723.0,-4373.0,370.0,-2493.0,796119,-128.0,2999859,-197337,3216.0,-1109.0,48618.0,-88002,,-1086
2015-05-08,1,2015,,,-117240,4104,6253.0,-33980,,,0.0,525.0,-199.0,0.0,147.0,-4080,818,-1364,-18367,,-210,0.0,-1000.0,,28678,-35788,21908,-1199.0,,327,151137,11975,-577.0,2,,-19251,70153,-3,,74716,696,-668,3485,,147836.0,2015年01月01日至2015年03月31日,2999859,3382826,1974.0,-268.0,382967,168203,5922.0,404834,402414,,77548,-78800,-1252,168203,,-97247,183622,86375,0.0,1704.0,,,,234211,,3382826,-397,138.0,,1838.0,22283,,22573
2015-08-07,2,2015,,,-83211,8229,-2014.0,-3050,,,-7571.0,,-141.0,0.0,-950.0,-9014,1604,-2975,-72061,-183720.0,-210,,-1000.0,65.0,301990,-21517,7782,5035.0,,-71,-53960,1866,-1322.0,364,,-264638,134014,108,0.0,124882,1272,-1584,8259,368.0,256824.0,2015年01月01日至2015年06月30日,2999859,3491330,-359.0,,491471,316887,12027.0,749062,854234,,158272,-148250,10022,316887,-368.0,-81395,361918,280523,0.0,2427.0,,,,537347,,3491330,-112215,562.0,,2754.0,107801,,466
2015-11-11,3,2015,,,-96008,44956,-1355.0,-11584,,,0.0,51033.0,-80.0,0.0,-541.0,-14338,2591,5140,-109567,-183720.0,-210,,-1000.0,65.0,598253,-34423,-19550,7841.0,,-88,318145,-7467,3235.0,432,,-243116,197954,-259,0.0,745197,1836,-2469,13220,368.0,945589.0,2015年01月01日至2015年09月30日,2999859,4012026,0.0,,1012167,-90790,12916.0,1599447,1788233,-369357.0,298450,-277843,-349304,-90790,-368.0,-113009,1046443,933434,363.0,2739.0,0.0,,0.0,1879023,-82.0,4012026,-199905,259.0,-554.0,10260.0,100473,,17999
2016-03-15,4,2015,,,-32233,54128,-3098.0,-514,,,-27422.0,,-1011.0,0.0,3581.0,-19473,3676,3957,-203007,-183720.0,-210,,,65.0,479083,-33385,-35814,7883.0,,-59,291000,-10996,-11244.0,-245,,-414753,282716,-827,568.0,807026,2319,-3513,18503,368.0,1096608.0,2015年度,2999859,4009252,,,1009393,57447,-29461.0,1776647,1964610,-369357.0,449270,-435817,-356458,57447,-368.0,-129219,939774,810555,552.0,,0.0,,0.0,1907163,-85.0,4009252,-203321,259.0,-554.0,16872.0,137994,,-2140
2016-05-11,1,2016,,,-79443,10740,2457.0,-16210,,,,13472.0,-600.0,,0.0,-4160,1044,-2721,-41147,,0,,-50.0,,190788,30833,21920,-7013.0,,282,-305791,25670,5635.0,-2084,,-28325,75971,0,,34161,442,-1121,4099,,108555.0,2016年01月01日至2016年03月31日,4009252,3603835,,,-405417,278559,-640269.0,-363212,-365329,,86486,-97645,-11159,278559,,-665434,-87009,-752443,,520.0,,,,-643888,141.0,3603835,-861,,,577.0,4243,,5658
2016-08-05,2,2016,,,-66,9090,967.0,-3496,,,-66982.0,,-449.0,,-1160.0,-7968,2344,-4654,-104175,0.0,0,,-114.0,0.0,189916,15306,16999,-3658.0,,9,-274689,21932,9706.0,-1240,,-171510,152132,0,,76226,703,-2233,8607,0.0,223671.0,2016年01月01日至2016年06月30日,4009252,3979449,,,-29803,685537,-637541.0,160125,205175,,214727,-228491,-13764,685537,,-572305,-131728,-704033,210.0,1394.0,,,,-480362,882.0,3979449,-51424,,,,-82947,,34797
2016-11-09,3,2016,,,95658,-18496,1698.0,-24006,,,-144879.0,13500.0,-866.0,,-252.0,-11740,3399,-10543,-163646,0.0,0,,0.0,2.0,-328048,-11113,19689,-150.0,,1053,-430681,20729,3686.0,-1867,,-295679,223247,0,,87481,877,-3346,12100,376.0,305109.0,2016年01月01日至2016年09月30日,4009252,3392513,,,-616739,1113520,-634889.0,17434,132209,-321180.0,259076,-265847,-327951,1113520,-376.0,-482624,-803796,-1286420,210.0,2473.0,,,,-981311,908.0,3392513,-123905,,0.0,,-25113,,44522
