date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款增加,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,42340.0,,-1077,30347,,,91.0,20616,-34083,650240.0,,,,,,,,40243.0,-492,174,,-30,-55,-49500.0,-135.0,-4035.0,,-4344,,,18146,29084,,0.0,-737,-2.0,-49093,1316,514,-30904,492,,2013年01月01日至2013年03月31日,518788,717402,-14.0,198614,430499,1030254,1088015,,,,,780000,-1561470,-782547,430499,,26269,588907,615176,,,,,657516,717402,-26857,-131,865.0,0.0,-51653,-38494
2013-08-09,2,2013,81363.0,,-2154,31006,1700.0,,86.0,-2506,-36708,824668.0,,,,,,,,79096.0,-2340,346,,-304,-98,-189500.0,-124.0,-2593.0,,-75027,,,23366,8093,,0.0,-2715,-2.0,-187562,2645,750,-46537,2340,,2013年01月01日至2013年06月30日,518788,908893,,390105,768769,1606221,1729832,0.0,,,,890000,-1916400,-1028554,768769,0.0,206065,673635,879700,,,,,961063,908893,-77074,268,722.0,0.0,-117196,227528
2013-11-12,3,2013,189805.0,,-3590,38374,3210.0,,-303.0,157,-159520,933528.0,,,,,,,,187124.0,-3273,516,,-386,-1736,-189500.0,-236.0,-536.0,,-40776,,,1124,27571,,0.0,-492,-2.0,-188349,3982,1005,-72314,3273,,2013年01月01日至2013年09月30日,518788,782781,,263993,1399818,1823939,2068853,0.0,,-423083.0,0.0,1890376,-2835300,-1371597,1399818,0.0,-141159,620389,479230,0.0,0.0,,,669035,782781,-172600,916,,-229.0,-179859,-143246
2014-03-25,4,2013,-5091605.0,,-4667,16159,3720.0,,-63.0,4646,-423026,-108649.0,,,,,,,,-5094860.0,-5290,747,-402.0,-892,-3400,-189500.0,-438.0,-637.0,,-10689,,,6498,28910,,0.0,223,36.0,-188502,5160,3749,-91745,5290,,2013年01月01日至2013年12月31日,518788,403448,,-115340,1536448,633038,899994,0.0,,-423083.0,649120.0,2972336,-3753180,-559474,1536448,0.0,5262163,-807012,4455151,0.0,0.0,,,-636454,403448,-175211,1043,,-1716.0,-303770,5241793
2014-05-13,1,2014,-443172.0,,-1077,-20116,,,53.0,-3930,-131848,-753983.0,,,,-19.0,,-1539.0,,-443628.0,-963,165,,-122,-265,0.0,186.0,-1846.0,,-27091,,,-5183,697,,,-391,0.0,-963,980,460,-24001,963,,2014年01月01日至2014年03月31日,403448,184251,0.0,-219197,48885,-989718,-962419,,,,,1115980,-343400,771484,48885,,339100,-907232,-568132,,,,,-1011304,184251,-3298,64,0.0,-436.0,-19914,395420
2014-08-11,2,2014,-455908.0,,-2154,-22797,,,1639.0,-4408,85176,-1434488.0,,,,-22.0,,-3443.0,,-456275.0,-2460,329,,-144,-987,0.0,211.0,-243.0,-19785.0,-33529,,,8580,1959,,,-291,0.0,45889,1921,767,-50312,963,,2014年01月01日至2014年06月30日,403448,269102,,-134346,39106,-1471744,-1394884,,,,,1706870,-393400,1291509,39106,,428585,-1406667,-978082,,,49500.0,,-1433990,269102,-26548,64,0.0,-465.0,-60419,480739
2014-10-28,3,2014,-454412.0,,-3231,-38844,,,79.0,-3136,68210,-1796909.0,,,,,-68.0,-3426.0,,-456275.0,-3073,511,,-144,-1422,0.0,581.0,-1167.0,-19785.0,-21449,,,23904,247,-723.0,,-629,0.0,47581,2766,1191,-81487,3073,,2014年01月01日至2014年09月30日,403448,159597,,-243851,24639,-1917192,-1804690,,,-511366.0,,2603610,-443400,1625760,24639,,457984,-1832901,-1374917,,,49500.0,,-1829329,159597,-31015,64,,-177.0,-102009,497509
2015-02-25,4,2014,737.0,,-4308,-17421,,,,-7340,-13127,,19159.0,,126418.0,-10040.0,,-1815.0,,,-4097,511,,-365,-914,0.0,0.0,,-19785.0,53090,101.0,,-5412,5577,-15.0,,-630,,214565,3612,828,-128636,4097,,2014年度,403448,367456,,-35992,49349,-2225262,-2197787,,-2372354.0,-511366.0,0.0,2925810,-276970,1974705,49349,,47148,-2295021,-2247873,,,198500.0,,-2247136,367456,-31572,-117,,,-40890,24130
2015-04-21,1,2015,,,-1076,-15147,,0.0,0.0,75871,-1363,,,2370.0,135.0,44.0,,0.0,173.0,,-105,2,,-356,-29,,0.0,-440126.0,,80803,,,-1894,-2493,,,-57,,2263,864,213,-38643,105,1151.0,2015年01月01日至2015年03月31日,367456,266964,,-100492,25277,-337077,-297624,,,,,1412500,-1177146,234322,25277,,130600,-454652,-324052,,,,,-322901,266964,-810,177,,,-10748,-9033
2015-07-28,2,2015,,,-2153,1295,,64549.0,0.0,98555,-5465,,,,519.0,98.0,,524.0,,,-886,3,,-580,-26,,0.0,-886202.0,-37155.0,42212,,,23754,-37444,,,-49,,65353,1731,415,-79569,886,1440.0,2015年01月01日至2015年06月30日,367456,565653,,198197,77614,-554840,-455767,,,,,1958850,-1231956,687684,77614,,434607,-969428,-534821,,,,0.0,-533381,565653,-19504,177,,,-40787,268791
