date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付設備款增加,預付設備款減少,預收款項增加－處分資產
2013-05-14,1,2013,327116.0,,-200731,-53865,31419,-148302,,,-60678,,0.0,-102904,55.0,-2742,82162,23348,-89633,,,2533.0,876.0,-59.0,-42920,62026,-20201,499,-322141,-10926,12949,1574.0,-187630,224490,295000,24252,-77063,2727,,,2013年01月01日至2013年03月31日,2358081,3275403,-12494,917322,442681,,479472,513732,,438846,602132,442681,,20953,-277018,-256065,420314,,45,,,,71051,,3275403,-36987,778,,19391.0,8037,,4966.0,
2013-08-13,2,2013,593659.0,,-419626,136368,21770,-91537,,636.0,-48621,,,-20432,77.0,-5798,177368,-1892,-219780,,,5561.0,301.0,,337609,-65693,-76926,1997,-504233,-15017,-69633,-10351.0,-387398,436800,231276,46964,-175568,5899,,,2013年01月01日至2013年06月30日,2358081,3598316,11715,1240235,781516,,840660,1220187,,642698,788865,781516,,5168,-160156,-154988,735003,8.0,1100,,,-1499.0,438671,,3598316,-385426,2040,0.0,4060.0,-80669,-147830.0,,
2013-11-12,3,2013,750905.0,,-396589,102965,-25114,-290477,,-843.0,-106210,,3112.0,23770,-26077.0,-8765,276778,-20821,-408305,,,2375.0,,,587478,-231881,-9440,23041,-289712,-11767,-100358,-14555.0,-95384,656636,725619,72619,-266861,8763,345792.0,,2013年01月01日至2013年09月30日,2358081,3073738,46564,715657,1390914,,1729385,2478367,-1185507.0,408159,-897523,1390914,-345792.0,-178025,514573,336548,530138,0.0,2301,117334.0,1814.0,3998.0,1087453,,3073738,-757745,479,0.0,-13016.0,67975,-173132.0,,
2014-03-27,4,2013,1242531.0,,-2199049,-25882,-35074,-115078,,-42082.0,-50855,,14391.0,-16756,,-17634,368939,22856,-814180,,,,,,488051,-114592,-6495,142916,15229,-22798,-139278,-26332.0,-537343,880705,725414,95787,-363149,17997,312163.0,,2013年01月01日至2013年12月31日,2358081,3162678,-21433,804597,1851962,,2757246,3786803,-1192818.0,45529,-1438162,1851962,-312163.0,-208375,900685,692310,2077219,3189.0,4719,126319.0,1776.0,4203.0,1934841,,3162678,-1047554,479,775.0,36799.0,236378,-105996.0,,
2014-05-09,1,2014,404574.0,,-111130,3528,8789,16165,34720.0,,54027,,3798.0,-12268,,-2922,89607,16777,-80038,,,,,,23455,105067,-15795,-129,-427446,7885,40228,1609.0,-65341,224327,-240000,22601,-81424,2922,,,2014年01月01日至2014年03月31日,3162678,3040294,28608,-122384,453653,,301323,435739,,-277068,-375143,453653,,103198,-525686,-422488,90810,,3358,,,,-17914,,3040294,-137338,-270,6644.0,0.0,32621,-7755.0,,
2014-08-13,2,2014,796013.0,,-453967,50257,-1401,-245207,29242.0,,-41487,11377.0,,-20091,,-6233,182263,3877,-241420,,,,,,-186351,144040,5910,2005,-500667,-10675,178041,5344.0,1038911,444793,-240000,43952,-173115,6233,,,2014年01月01日至2014年06月30日,3162678,3850459,37880,687781,971435,,479406,925252,,-311270,-834413,971435,,204150,-1046346,-842196,90561,107.0,12454,,,0.0,-46183,,3850459,-452079,-585,5583.0,-4.0,75906,-33927.0,,1305000.0
2014-11-13,3,2014,-840128.0,,-1157354,74000,7136,-30696,34068.0,,-1759358,11581.0,,-13374,,-15318,274708,54276,-391949,,,8326.0,,,-185891,141258,-25091,-19929,-439873,-1829,193591,-1441.0,2561212,659434,-290000,81151,-270364,13199,353036.0,,2014年01月01日至2014年09月30日,3162678,3629676,69150,466998,3439414,,-541218,281092,-619697.0,362026,-1607272,3439414,-353036.0,195862,-2514056,-2318194,90384,2619401.0,-2138363,0.0,0.0,0.0,-3158322,,3629676,-835509,-919,,-3919.0,574739,-39970.0,,
2015-03-27,4,2014,-360104.0,,-1331293,194060,44813,68924,,9057.0,-65287,,2579.0,-53945,,-20854,358989,159775,-624176,,,,,,-174998,-111119,-46511,-54882,-129101,981,225135,-2526.0,2305519,879352,-290000,90181,-353750,18893,353036.0,,2014年度,3162678,6266604,79318,3103926,3815133,,2167159,3169400,-619697.0,741520,-1528527,3815133,-353036.0,78717,-364346,-285629,90918,2626651.0,-2117884,0.0,0.0,295.0,-645733,,6266604,-1021134,-1313,9285.0,-3922.0,715563,-5104.0,,
2015-05-13,1,2015,,,-459097,33574,15434,-139937,-139380.0,,4048,,-596.0,456,,-8485,88094,-35084,-87286,,,,,,553570,-102789,-4526,17985,147089,10832,6289,,-237228,234201,30160,17048,-86763,6079,,378787.0,2015年01月01日至2015年03月31日,6266604,7325523,52531,1058919,505039,2965.0,1451536,1440535,,408166,-120305,505039,,-55342,612051,556709,0,,1593,,,,935496,,7325523,4922,-380,-6476.0,,661,-11018.0,,
2015-08-12,2,2015,,,-661833,19560,15661,-126218,-48617.0,,41861,-1666.0,,-7910,,-14747,174712,-46551,-214442,,,,,,704614,-171524,-18230,27998,414123,13285,45854,,-282686,464540,-148965,34662,-176119,14087,,776377.0,2015年01月01日至2015年06月30日,6266604,7262983,37344,996379,881703,-198.0,2098362,2447903,,38877,-772746,881703,,-154731,944554,789823,0,0.0,2155,,,,1566200,,7262983,-363628,-750,-6625.0,-3.0,85086,-11717.0,,0.0
