date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,55116.0,-18268,6713,-16626,-32153,,89.0,-500,,-630,2899,7177,-52726,0.0,,-156,,,,79469,0.0,,-7576,2561,-300.0,-53226,49941,,,65,-2240,,630,,2013年01月01日至2013年03月31日,255691,377640,-4508,121949,42049,,101696,103206,249576.0,,72939,-238034,66302,42049,4015.0,-71099,77140,6041,,,,,61157,3538,377640,100.0,-307,,3797,,,27263,-56848
2013-08-09,2,2013,111428.0,-103551,6436,-840,4445,,,-11486,,-237,6436,8286,-70271,-3000.0,,-4825,,0.0,90.0,-41291,,,171021,-125395,-623.0,-84637,99877,,-222.0,130,-5834,,237,,2013年01月01日至2013年06月30日,255691,419989,-3095,164298,112185,,239629,264442,249576.0,0.0,137646,-282741,1020,112185,4015.0,199835,-159006,40829,,120.0,,-19.0,152257,9439,419989,-19216.0,-470,7000.0,2838,,,3235,14402
2013-11-13,3,2013,177228.0,-121849,6405,-486,-21168,-121708.0,,-2121,,-304,9246,5613,-144125,-3000.0,,-5835,,0.0,89.0,27623,,,-13411,-107867,-940.0,-149110,149555,,4126.0,194,-8641,,304,,2013年01月01日至2013年09月30日,255691,356106,-814,100415,212934,,342899,370392,249576.0,0.0,320088,-425183,-98987,212934,4015.0,44427,-64197,-19770,0.0,136.0,,2484.0,157458,12918,356106,-19156.0,-363,7000.0,7924,,,37215,39941
2014-03-14,4,2013,224092.0,-130156,52837,-940,-69342,-121708.0,,3857,,-602,11868,8005,-189985,-3000.0,,-3368,,0.0,0.0,200464,,,-34751,-205985,-1237.0,-188991,200651,,8383.0,260,-12219,-19239.0,602,,2013年01月01日至2013年12月31日,255691,396948,-3936,141257,327800,,429626,460482,249576.0,0.0,377737,-482832,-107383,327800,4015.0,-67807,-23603,-91410,0.0,137.0,,2484.0,132682,19265,396948,,-640,7000.0,-2023,,0.0,51260,-102981
2014-04-25,1,2014,43250,-8316,-65045,-1779,24130,,,-12331,,-234,2507,3321,-105424,,,5545,,,0,19837,,,-6189,164527,-217,-117755,54038,,1254,65,-2541,,234,,2014年01月01日至2014年03月31日,396948,453061,-1439,56113,13206,,163967,169681,0,,65583,-50687,6580,13206,0,-89596,202821,113225,,,,2,156475,-1114,453061,-3407,-292,,-18196,,,-5673,-15252
2014-08-08,2,2014,98723.0,-16645,-44903,2624,32547,,,-5209,,-654,4974,-88,-151118,0.0,,1780,,,0.0,-9652,,,24524,108825,-428.0,-156303,107938,,2114.0,129,-5008,,654,,2014年01月01日至2014年06月30日,396948,414807,1937,17859,57070,,250999,302629,0.0,,143909,-204013,-76749,57070,0.0,18098,128738,146836,,24.0,,36.0,245559,-7323,414807,-47276.0,-254,0.0,-19277,,,-2982,43604
2014-10-30,3,2014,155410.0,-24986,-24462,1538,-11635,0.0,,-21259,,-1125,7579,2172,-282068,0.0,,9835,,,0.0,-90193,,,181830,67794,-636.0,-300375,163475,,3276.0,194,-7613,,1125,,2014年01月01日至2014年09月30日,396948,357247,1074,-39701,151465,,332009,390283,0.0,-243417.0,458792,-293896,-73507,151465,0.0,143152,-59744,83408,30000.0,2952.0,,11.0,238818,-9099,357247,-51786.0,-523,0.0,-28386,,,-25710,-6019
2015-02-26,4,2014,173035.0,-33335,1049,2153,-711,0.0,,-25005,,-1862,10671,14727,-329269,-2680.0,,3016,,,,-88573,,,121157,-23697,-842.0,-364244,220279,,3287.0,259,-10586,,1862,,2014年度,396948,347605,-8760,-49343,317108,,471926,531965,0.0,-243417.0,631855,-526855,-171752,317108,0.0,203433,-161611,41822,,30.0,,62.0,214857,-10027,347605,-51315.0,-522,1708.0,1795,-56898.0,-7320.0,-48630,89943
2015-04-28,1,2015,,-8355,-44717,-2569,370,,,2967,,-146,2102,-1825,-8498,,,3345,,,,-140230,,,107123,-16708,,-5433,57764,,0.0,65,-2685,,146,61472.0,2015年01月01日至2015年03月31日,347605,337960,8656,-9645,17105,-287.0,-59032,-56493,,,65000,-30000,56645,17105,,15393,-150463,-135070,30000.0,98.0,,353.0,-73598,2923,337960,0.0,-14760,,4093,,,6105,-47080
2015-08-04,2,2015,,-16722,-45455,133,10653,,,1453,,-326,5315,-6699,-12883,,-4030.0,7884,,,,-138290,,-29272.0,66827,-103530,,-15362,116915,21363.0,0.0,129,-5495,,326,131239.0,2015年01月01日至2015年06月30日,347605,265392,9345,-82213,38151,-564.0,-124687,-85605,,,110529,-30000,64535,38151,,-27933,-227062,-254995,30000.0,98.0,,353.0,-123756,6238,265392,-33913.0,-14939,,6563,,,-17258,-55112
