date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加
2013-04-30,1,2013,94356.0,,-5982,,,-11874,-32624,,,,,,-5418.0,,-4220,84.0,11218,-4881,,-30000.0,0.0,-92151,,-1160,42078.0,6338,0.0,,2043.0,-149853,,-97401,,44.0,268304,-19406,-6084,128,-639.0,-124989,22304,8761,63419,-84.0,4014,,,2013年01月01日至2013年03月31日,3550659,3759383,208724,237968,,279497,276937,,,0.0,,42998,237968,,,-115852,60465,-55387,,,,,,,,0.0,38969,3759383,-1370,5168,,,0.0
2013-07-30,2,2013,161669.0,,49598,,,-54485,56534,,,0.0,,0.0,-5418.0,,-11748,169.0,15403,-9788,,-50000.0,0.0,-119721,,339,44058.0,7039,0.0,,2618.0,-87818,,-310720,,147.0,353051,-11920,2162,295,-1580.0,-146259,44405,-614,126814,-169.0,11994,1077.0,,2013年01月01日至2013年06月30日,3550659,4023817,473158,480832,,558835,637765,,,0.0,-500.0,45179,480832,,-1077.0,-317040,312304,-4736,,,30632.0,,,-632.0,,-288.0,156933,4023817,-91832,4301,0.0,0.0,
2013-10-31,3,2013,257549.0,,-99714,,,70428,75726,,,,0.0,,-5418.0,,-18508,258.0,13281,-10650,0.0,-50000.0,0.0,-153995,,-3300,56747.0,7021,0.0,1705.0,,64103,,-172796,,32.0,178444,-8108,3546,474,-2195.0,-169846,66177,8417,189184,-258.0,17842,3324.0,,2013年01月01日至2013年09月30日,3550659,3652505,101846,727148,,1013701,1094637,,-812640.0,0.0,-1000.0,-755290,727148,,-3324.0,-204245,314185,109940,,12462.0,30632.0,25.0,,-9798.0,,-288.0,367489,3652505,-101844,-1294,30000.0,,
2014-03-17,4,2013,358174,,-39777,,-643,92102,119425,0,,,0,,-5418,-1640,-26436,344,16597,-13096,0,-80000,0,-191171,,-2343,86065,7910,0,1088,,272663,,-356928,,,489468,-1971,4024,-5822,-2590,-56844,87733,18568,249700,-344,24625,3324,,2013年01月01日至2013年12月31日,3550659,4620233,1069574,992891,,1835904,1921016,,-812640,0,-2000,-726083,992891,0,-3324,-307193,877144,569951,136,12543,213656,148,,-11017,,-288,928125,4620233,-112717,6729,40000,,
2014-04-22,1,2014,77855.0,,-97402,,643.0,109168,-47285,,,,-15000.0,,0.0,-1226.0,-9364,76.0,4653,-21815,,-73900.0,,-86201,,192,62638.0,268,,,-218.0,-37572,,136645,,44.0,-31663,1786,-3993,6296,-673.0,-132673,20671,11592,60549,-76.0,7731,,,2014年01月01日至2014年03月31日,4620233,4874125,253892,201776,,319006,315625,,,,,62906,201776,,,147782,-111788,35994,193.0,,64268.0,-193.0,,-1025.0,,,113849,4874125,-4274,-3417,,,
2014-07-29,2,2014,117647.0,,-16742,,643.0,-12614,-91550,,,,939.0,,0.0,-120.0,-20490,128.0,3653,-29896,,-113900.0,,-88020,,-7548,67260.0,-4,,,-18.0,-180595,,132704,,1663.0,-131245,115,-422,6296,-1288.0,-160890,41051,-8283,120715,-128.0,20009,0.0,,2014年01月01日至2014年06月30日,4620233,4727413,107180,438798,,197161,263410,,,,0.0,67256,438798,,0.0,103723,-396758,-293035,193.0,,69812.0,-193.0,,-355.0,,0.0,-175388,4727413,-86130,-7258,,,
2014-11-03,3,2014,238589.0,,-133709,-53959.0,,-862,-39119,,,,939.0,,0.0,-1220.0,-29429,211.0,8989,-35483,-43798.0,-163900.0,,-375117,,756,103455.0,-4790,,1908.0,,-217302,,23486,,0.0,-162812,532,-924,6094,-1879.0,-545555,61585,5956,191388,-211.0,28204,0.0,,2014年01月01日至2014年09月30日,4620233,3512290,-1107943,603698,,162116,261833,,-822158.0,,-10000.0,-733493,603698,,0.0,-112964,-467490,-580454,193.0,0.0,69812.0,-157.0,-109.0,9795.0,,0.0,-341865,3512290,-127710,-296,0.0,,
2015-03-16,4,2014,325165.0,7155.0,-73790,-21234.0,,37512,-121661,,0.0,,939.0,,0.0,-1865.0,-37337,211.0,23434,-37733,-43798.0,-194850.0,,-380496,,5897,122859.0,-9953,,2233.0,,-93830,,-12638,,,111745,-2862,-3015,5524,-2550.0,-451886,81878,14508,262759,-211.0,37821,4591.0,,2014年度,4620233,4312675,-307558,803792,,840146,952158,,-822158.0,,-10000.0,-719252,803792,,-4591.0,-51466,-125333,-176799,193.0,0.0,100530.0,1352.0,-109.0,8236.0,94050.0,-86240.0,148366,4312675,-154213,-1908,82265.0,,
2015-04-24,1,2015,,,-29960,-27.0,,-84429,87534,,,,0.0,,,640.0,-9162,0.0,-13605,-3789,,0.0,,-78520,,-2097,0.0,472,,,-207.0,-87477,,245817,,246.0,-69547,-3947,-3974,134,,-80821,20330,15611,69360,0.0,7486,,88625.0,2015年01月01日至2015年03月31日,4312675,4589345,276670,226259,-569.0,370624,368685,,,,,472,226259,,,131105,-77304,53801,0.0,,1695.0,0.0,,1723.0,,,142426,4589345,-5547,-7780,,,
2015-07-28,2,2015,,,-25548,-10057.0,,1108,55661,,,,0.0,,,1540.0,-18517,0.0,-16064,-17076,,0.0,,-81216,,-2427,0.0,936,,,395.0,-212431,-19983.0,-84977,220126.0,948.0,-202413,-44356,3788,772,,-35211,40787,18553,136832,0.0,17502,,165905.0,2015年01月01日至2015年06月30日,4312675,4546102,233427,437887,-1100.0,303749,305313,,,,,-19047,437887,,,110557,-409036,-298479,0.0,60991.0,1695.0,0.0,,-36293.0,,,-132574,4546102,-19066,-4510,29940.0,,
