date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付租賃款增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,預收款項增加－處分資產
2013-05-09,1,2013,320176.0,,-284483,-3681,2949,-9785,-4171.0,1269,-801.0,,-61023,,-5057,40394,45818,-1101919,,,1583,,269870,,387574,3813.0,220081.0,17261.0,-540381,-19489.0,-1101788,220494,-39955.0,,12204,-45700,5057,,2013年01月01日至2013年03月31日,4544600,3762454,,-782146,177080,419230,483848,,,,288017,-620471,-145406,177080,,346131,-359539,-13408,230329,932,65,306768,-262,3762454,-23975,50493,-136.0,3860,,
2013-05-09,1,2014,418889.0,,-503366,-145782,1848,50697,-42.0,6298,413.0,,1722,,-1207,73568,1091,-305788,,-3370.0,337,,-113411,,145055,,,,496349,,-305721,305688,-17212.0,,15808,-30834,1207,,2014年01月01日至2014年03月31日,3258070,3154449,,-103621,-427926,360062,397933,,,,277973,-299425,-159053,-427926,10968.0,-34685,441655,406970,363000,3024,1210,825859,-18552,3154449,-8244,12517,,2765,,
2013-08-13,2,2013,667026.0,,-491578,-455788,3820,37402,,36,-1125.0,,410034,,-8286,80309,77191,-1685026,,,633,,806735,0.0,-375779,-50610.0,247246.0,34962.0,283038,-28492.0,-1685219,491516,-58284.0,,28907,-91579,8286,,2013年01月01日至2013年06月30日,4544600,3627069,,-917531,-211012,763596,1022349,,,,797606,-1009088,-73099,-211012,,-942418,1508753,566335,342700,932,111,1233361,-5562,3627069,-175460,73836,-215.0,5053,,
2013-11-12,3,2013,1009804.0,,-1399336,-471862,15781,32927,-392.0,362,,-969.0,392436,,-11224,123129,54576,-1848021,,,133,,1061853,0.0,-631532,-856.0,280210.0,,766629,47562.0,-1825241,796465,,-45507.0,53833,-140531,11224,,2013年01月01日至2013年09月30日,4544600,3274335,,-1270265,-639301,1160496,1558076,45000.0,-265526.0,,1605667,-2107065,-660096,-639301,5896.0,-1068689,2256262,1187573,1171700,23749,-98,2197377,20172,3274335,-268273,41670,,9254,,
2014-03-27,4,2013,1437549.0,,-2175475,84581,-32140,11689,,364,,-1214.0,44294,,-14250,162735,70066,-2112523,,-7258.0,15,49262.0,1561202,0.0,-716708,,295548.0,,853367,,-2096276,1153875,,-44789.0,65880,-191522,14250,,2013年01月01日至2013年12月31日,4544600,3258070,,-1286530,-1242253,1409421,2040787,0.0,-265526.0,,2316361,-2811427,-669741,-1242253,16509.0,-580636,2426127,1845491,1908600,24719,-384,3283040,83631,3258070,-454094,53169,,12916,,
2014-08-12,2,2014,837211.0,,-767127,82150,9937,-82835,,8355,379.0,,-29327,,-5128,146305,-18903,-965853,,-11122.0,-3294,,-158735,0.0,249351,-18854.0,0.0,0.0,392014,42081.0,-972491,634068,,-11881.0,34797,-30381,5128,,2014年01月01日至2014年06月30日,3258070,2991356,,-266714,-874516,382927,416870,,,,1707946,-1062514,341753,-874516,29099.0,294503,159672,454175,463000,4105,1247,1291386,-36374,2991356,-8690,117,8293.0,448,,
2014-11-11,3,2014,1355334.0,,-1099759,193692,14453,-19171,6710.0,8377,-245730.0,,10121,,-9495,223047,10527,-1331830,,-11011.0,8031,,-63759,,243713,3938.0,,,203284,48542.0,-1581237,983825,,-15466.0,56003,-47809,9495,,2014年01月01日至2014年09月30日,3258070,3534811,,276741,-1171690,733364,780774,0.0,0.0,975000.0,2679627,-2491781,1114087,-1171690,47473.0,425202,171928,597130,1051000,7334,2813,1952464,-37304,3534811,-9096,12243,,0,31394.0,
2015-03-26,4,2014,2369646.0,,-1445699,207971,21522,226777,,8384,-246444.0,,25370,,-11511,315335,55986,-1413775,,-11750.0,5820,0.0,4213,,162097,,,,257617,,-1660676,1343430,,-35692.0,77398,-94140,11511,,2014年度,3258070,4518508,,1260438,-2172353,962673,1042838,,0.0,975000.0,3777764,-3074845,1902455,-2172353,58010.0,358876,486669,845545,1670235,11293,16879,3215191,-32714,4518508,2464,37685,,0,526600.0,
2015-03-29,4,2015,,,-1388486,6110,-33255,172740,,0,1412.0,,4267,1397.0,-9170,299965,14777,-1763590,-54332.0,-5084.0,1718,0.0,209471,,-113555,,,,397986,,-1759286,1240705,,-9023.0,86734,-96611,9170,3789506.0,2015年度,4518508,1985563,,-2532945,-5166717,-850010,-750402,,0.0,0.0,4423956,-3270891,61574,-5166717,7984.0,-148632,775441,626809,351327,7976,-291683,4416315,-7932,1985563,-12167,3649,,0,2448207.0,
2015-05-12,1,2015,,,-322738,-64465,-1188,-183568,-2713.0,-4,-183966.0,,641,1397.0,-2768,74727,-17775,-678899,,-3341.0,3305,,-114737,,47052,,,,755432,,-866206,345435,1366.0,,21137,-22164,2768,107069.0,2015年01月01日至2015年03月31日,4518508,3503809,-1582.0,-1014699,-393082,133606,162758,,,,300000,-441350,-264324,-393082,7178.0,-8993,457764,448771,200000,0,-328812,555840,10955,3503809,-9756,-12948,,-236,,
2015-08-10,2,2015,,,-690004,-9948,-805,-115467,-5869.0,-19,-134430.0,,-14447,1397.0,-4908,146402,-37684,-1263658,-36150.0,-4507.0,-2616,,-136362,,-132284,,,,966370,,-1397500,690718,,6631.0,44247,-61736,4908,2601341.0,2015年01月01日至2015年06月30日,4518508,2536024,1605.0,-1982484,-3375347,-296541,-228594,,,,1360358,-1236505,-250759,-3375347,-1672.0,-161294,706706,545412,353155,5095,-317378,3146753,-12388,2536024,-11119,-12472,,-1613,2056018.0,
2015-11-12,3,2015,,,-996779,-96784,-15731,110055,603.0,0,1238.0,,33468,1397.0,-7233,223045,51312,-1577031,-36150.0,-5133.0,2002,,-16733,,-63384,,,,353094,,-1575404,958794,-6854.0,,65503,-86305,7233,3022523.0,2015年01月01日至2015年09月30日,4518508,2826328,,-1692180,-3946133,-705770,-615178,,,0.0,2929018,-1730327,537682,-3946133,-881.0,-171452,479884,308432,370154,5522,-291142,3330955,10698,2826328,-11520,7261,,1766,2063777.0,
2016-05-12,1,2016,,,-208520,-300471,29916,19012,-2100.0,0,391.0,,-170572,0.0,-1331,67987,-15268,-23750,,-2980.0,-7911,,73580,,-280715,,,,805516,,1225607,281718,-644.0,,16225,-23040,1331,344059.0,2016年01月01日至2016年03月31日,1985563,2211787,0.0,226224,10392,490520,512258,,,,1954335,-3220450,-1474635,10392,-1403.0,-569729,727536,157807,0,429623,-6111,501866,-15715,2211787,-29,-5115,,0,,822323.0
2016-08-09,2,2016,,0.0,-414895,-391234,5737,53675,-1038.0,0,,561.0,-27016,0.0,-3875,136716,-39911,-396886,0.0,-3347.0,-9357,,-44106,,-283679,,,,735626,,1316267,572365,,1617.0,31014,-61398,3875,439644.0,2016年01月01日至2016年06月30日,1985563,1902369,0.0,-83194,5427,431502,489580,,,,2651013,-4027170,-1791052,5427,-2361.0,-675287,719796,44509,0,1715939,-280263,484153,-5073,1902369,-555,-4595,,0,0.0,
2016-11-09,3,2016,,0.0,-748932,-393405,-4672,62,-13120.0,0,,-16573.0,4536,-152992.0,-5475,177304,27135,-698667,0.0,-4292.0,-9544,,-56324,,-325919,,,,645928,,1594617,750104,0.0,1617.0,45937,-65471,5475,503864.0,2016年01月01日至2016年09月30日,1985563,1275028,0.0,-710535,-185426,147641,208265,,,,3252078,-4982030,-2479928,-185426,-5605.0,-705992,595819,-110173,0,2314149,-291318,393691,31124,1275028,-628,-4547,,-1044,0.0,
