date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付費用（增加）減少
2013-05-10,1,2013,21213.0,383.0,19411,,,1097,6684,2495,3007,,,,,,-5366,597,3841,-32164,,-804999.0,,-43611.0,,-14488.0,,,-14638.0,,,-28578,,1504,5236,0.0,0.0,-209889,23945,-4279,-637.0,-464374,55971,-37909,-15978,,-509,5361,,,2013年01月01日至2013年03月31日,544113,512824,-31289,618767,,418610,419060,0.0,1135645,-1124502,10634,618767,,32198,-253118,-220920,,,324337.0,0,,,,,97800.0,,,,,,-199707,512824,-450,-17259,,17886,
2013-08-05,2,2013,67051.0,5049.0,-74652,,,-15963,4271,2820,-56279,,,,,,-11404,1326,5585,-65395,0.0,-1556499.0,,-101465.0,,-14488.0,,,-14638.0,-641.0,,-41256,,124269,8483,0.0,0.0,-293058,81449,-8264,-1347.0,-928096,113762,-66139,-39350,,-1170,10092,7285.0,,2013年01月01日至2013年06月30日,544113,528601,-15512,1282765,,936237,1070429,-8.0,2395296,-2423356,-29238,1282765,-2216.0,61024,-340411,-279387,,,737547.0,0,,,,,106698.0,,,,,,-212336,528601,-134192,-7204,,26775,
2013-11-08,3,2013,63088.0,5049.0,-18244,-300000.0,,-12516,-2430,-4750,122752,,,,,,-18854,1889,3105,-104203,-77175.0,-2486499.0,,-101465.0,,-14488.0,,,-14638.0,-641.0,,-20402,,3828,-47308,20000.0,-20000.0,-115215,12473,2842,-3107.0,-43477,172593,-28799,-70942,,-1409,15778,77626.0,,2013年01月01日至2013年09月30日,544113,580217,36104,2016925,,1548916,1846385,-1702999.0,3643125,-3411157,-1472440,2016925,-10614.0,-67261,-166367,-233628,,0.0,2713091.0,312,,,,0.0,106698.0,,,,,,-170540,580217,-297469,-25456,,28798,
2014-03-20,4,2013,88948.0,5049.0,37190,-300000.0,,2331,4176,-15786,301036,,,,-3000.0,,-25473,2624,5030,-179585,-77175.0,-3650499.0,,-101465.0,,-14488.0,,,-14638.0,-641.0,,-35122,3310.0,1382,25604,20000.0,-20000.0,-51923,9098,-5615,-19186.0,-630104,234167,-27884,-89671,,-2607,26254,77810.0,,2013年01月01日至2013年12月31日,544113,509436,-34677,2595434,,2310466,2608647,-1703006.0,4658896,-4676662,-1720069,2595434,-10799.0,49166,-124901,-75735,0.0,0.0,3125456.0,1214,,,,-1373.0,131698.0,0.0,,29446.0,,,13213,509436,-298181,-40099,,32996,
2014-05-08,1,2014,19073.0,0.0,-8250,,,-31844,5187,-27878,29464,,,4791.0,3000.0,,-4837,488,2827,-56905,-57600.0,-770117.0,,0.0,,-9690.0,,,0.0,-246.0,,-12742,,4164,-9985,,,-215873,19035,6347,-1139.0,-533631,67437,31068,-19409,,-496,4179,,,2014年01月01日至2014年03月31日,509436,455212,-54224,741957,,480039,480348,-7.0,1284141,-1287097,-3459,741957,,-10023,-270659,-280682,196.0,33754.0,280510.0,-67,,,,-34110.0,0.0,,,9824.0,,,-261609,455212,-309,-4046,,8826,-38772.0
2014-08-11,2,2014,34841.0,1499.0,-95657,,,280602,210,-2269,129464,,,,3000.0,,-9794,1174,-575,-111499,-95100.0,-2184366.0,,0.0,,-15847.0,,,0.0,-246.0,,-63061,,17841,-27403,35000.0,,-144508,-13100,9712,-2262.0,-1132122,138133,25397,-43247,2113.0,-1198,10424,3622.0,,2014年01月01日至2014年06月30日,509436,557910,48474,1438648,,1207799,1420770,-7.0,2553995,-2614418,-26628,1438648,-700.0,-107271,54552,-52719,196.0,33754.0,1083153.0,81,,,,-34110.0,0.0,,,9824.0,,,-17878,557910,-212971,-32918,,14109,-38221.0
2014-11-10,3,2014,49961.0,1499.0,-36820,0.0,,-35675,-4111,-36212,147464,,-25000.0,,-38221.0,3000.0,-13043,1973,2560,-199364,-120200.0,-3399274.0,,0.0,,-19853.0,,,0.0,-246.0,,-102687,,6332,-2932,195100.0,-195100.0,-33817,17231,11323,-3623.0,221966,209623,-89625,-85156,3161.0,-1991,12625,90819.0,,2014年01月01日至2014年09月30日,509436,274604,-234832,2148590,,1490175,1887935,-1910296.0,3759038,-3784524,-1949533,2148590,-24007.0,-41154,-269462,-310616,3208.0,33754.0,3721931.0,-171,,,,-34110.0,0.0,,,9824.0,,,-260655,274604,-397760,-24764,-11760.0,16455,
2015-03-20,4,2014,88974.0,1499.0,31373,-9942.0,,-66059,318,-21822,185764,,-37009.0,,-38221.0,3000.0,-17898,2797,-25870,-305011,-120200.0,-4162095.0,,0.0,,-39155.0,,,0.0,-1186.0,,-89525,31556.0,-775,-71183,195100.0,-195100.0,124908,40689,11771,-4996.0,358690,282012,-84779,-111109,4241.0,-2519,18548,92080.0,,2014年度,509436,1097928,588492,2567847,,2120475,2526741,-1910364.0,4996585,-4968301,-1864803,2567847,-25268.0,-45263,-84817,-130080,3208.0,65310.0,4677239.0,1394,,,,-34305.0,0.0,,,24861.0,,,-41106,1097928,-406266,-31994,-11760.0,19104,
2015-05-07,1,2015,,,-42191,,303265.0,-94011,7993,3783,50000,,-724.0,,0.0,,-2306,781,-941,-50031,0.0,,,,,,-45441.0,-1042177.0,,880.0,,20158,22926.0,32430,-49938,85000.0,-50000.0,-60297,9204,-5115,,-323884,71246,225317,-16559,632.0,-702,2665,,-21502.0,2015年01月01日至2015年03月31日,1097928,1320420,222492,449198,-1295.0,473275,473734,0.0,996376,-979558,74042,449198,,-53001,99039,46038,647.0,13325.0,,-158,,98667.0,-66609.0,1100.0,,,,,0.0,345040.0,24536,1320420,-459,-12416,,2787,
2015-08-11,2,2015,,0.0,-129632,303265.0,,-2552,3367,1477,58700,,-718.0,,0.0,,-5766,1161,-1739,-98927,0.0,-1942151.0,-10525.0,,,,-45441.0,,,880.0,,39933,107002.0,-1513,-67883,240000.0,-195000.0,-81455,22494,-2368,,-1043711,135459,267643,-32074,1587.0,-1328,6534,2207.0,30492.0,2015年01月01日至2015年06月30日,1097928,906600,-191328,861208,-2739.0,757435,938472,0.0,1785499,-1839486,96687,861208,0.0,-198400,245172,46772,647.0,13325.0,721050.0,-156,-151224.0,98667.0,-66609.0,1100.0,,,,,0.0,,77264,906600,-181037,-13602,,9392,
