date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,103879.0,0,-14781,-9044,-100102.0,,55817.0,,-567.0,295,-1843,13333,-21083,-24133,,,-703.0,-13680,2507.0,,-316.0,,-69708,,-3261,,-50.0,-10352,,147447,,8433,-132.0,-69522,104570,,,1151,-13103,1843,,2013年01月01日至2013年03月31日,549796,525924,-23872,-43710,,95098,106361,,-34379.0,,-28365,-43710,-10769,56961,46192,0.0,482,80,,,,150071,525924,-3,-27,,3557.0,0.0,,-20167,17757
2013-08-13,2,2013,230474.0,-6955,-3988,5071,,,,61468.0,-62182.0,597,-4418,26202,-13115,-64761,-11878.0,,-794.0,-2554,3060.0,,-349.0,,-40864,0.0,56689,,-40013.0,827,,-30987,,-2566,-284.0,-55048,211156,,,2323,-25395,4418,,2013年01月01日至2013年06月30日,549796,510482,-39314,-58529,,121816,147232,,-34567.0,,-92967,-58529,64231,-88944,-24713,0.0,11570,-601,,,,205761,510482,-4439,-21,,-2614.0,-2210.0,,-19598,10987
2013-11-13,3,2013,354563.0,-175733,14737,8439,,43697.0,,,,901,-6558,39967,-23342,-135456,-63628.0,,-794.0,3578,2981.0,,-292.0,,-35540,0.0,35662,,-40000.0,21993,,-55808,,-375,-431.0,-124493,315781,,,3411,-40410,6558,,2013年01月01日至2013年09月30日,549796,439350,-110446,-92315,,229223,271595,-67145.0,155113.0,,-191834,-92315,73148,-63801,9347,0.0,12049,-286,,,,363910,439350,-8520,-21,,-3422.0,-2210.0,,-24214,1187
2014-03-28,4,2013,454841.0,-360916,-39546,23909,,,-116682.0,,-3823.0,1203,-10235,46523,-21734,-171272,-115378.0,,-794.0,-701,3110.0,,-292.0,,20755,-8253.0,91624,20003.0,,-2185,,-150293,,-1472,-589.0,-265057,415838,,,4491,-46430,10235,,2013年01月01日至2013年12月31日,549796,420050,-129746,-58233,,289102,334189,-67145.0,236647.0,,-132057,-58233,49616,-112035,-62419,163295.0,27806,-43,,,,392422,420050,-8892,-9,,-3420.0,0.0,-2226.0,-4934,312
2014-05-13,1,2014,106194.0,0,-14933,1592,,,-125086.0,,-695.0,309,-4499,13605,28721,-15852,,,-758.0,2536,-1503.0,,298.0,,-12091,-5013.0,-54983,,-70002.0,-15914,,87674,,-12378,-174.0,-141747,93456,,,974,-13874,2232,,2014年01月01日至2014年03月31日,420050,330396,-89654,-14696,,52664,76405,0.0,0.0,-13368.0,-29292,-14696,-77850,62757,-15093,60598.0,346,-165,,,,91101,330396,-12099,-22,,-4.0,0.0,,-2040,8154
2014-08-13,2,2014,205150.0,-178506,10301,10732,,,-154103.0,4862.0,-695.0,610,-8090,25725,22337,-66829,0.0,,-758.0,-212,-1595.0,,294.0,,15855,-5013.0,-92201,,-50002.0,64451,,61170,,-11902,-364.0,-214984,183997,-66.0,,1944,-24930,5124,,2014年01月01日至2014年06月30日,420050,331772,-88278,-9585,,213635,267379,,0.0,54362.0,-109266,-9585,-1063,72877,71814,71519.0,2245,1272,-53.0,,,276964,331772,-33938,-43,,-31.0,0.0,,-2912,16750
2014-11-11,3,2014,309107.0,-181201,51133,10518,,,-242821.0,,-2510.0,913,-12560,37999,12308,-94525,0.0,,-855.0,4362,-2933.0,,288.0,,-20433,-5013.0,-46154,,-49995.0,119787,,-92765,,-12115,-562.0,-338163,274387,69.0,,2848,-40785,9716,,2014年01月01日至2014年09月30日,420050,196021,-224029,19062,,272323,347143,-106452.0,25359.0,,-170497,19062,136632,-117658,18974,149728.0,2260,1252,-69.0,,,328081,196021,-43751,-25,,10.0,0.0,,-2932,12428
2015-03-23,4,2014,408674.0,-376239,53011,-3147,,,-160244.0,14369.0,-4161.0,1225,-19179,51361,-17297,-156050,0.0,,-855.0,4375,,-3183.0,253.0,,-7987,-15524.0,-19879,,-23.0,116807,,-65283,,-14092,-764.0,-289507,365936,69.0,,3906,-53138,16384,,2014年度,420050,199885,-220165,26437,,413943,495446,-106452.0,,-143265.0,-327304,26437,150173,-89838,60335,317329.0,17181,1140,-69.0,,,469009,199885,-44749,-21,,53.0,0.0,,602,998
2015-05-13,1,2015,,-77362,-45870,-21598,,,,72281.0,-1175.0,315,-2052,12735,7628,-21310,,,0.0,19981,357.0,,-8668.0,,17849,0.0,-98310,,-11.0,-30222,,176158,,16004,,58369,89099,,,1207,-13978,4510,129642.0,2015年01月01日至2015年03月31日,199885,280629,80744,-101292,-228.0,29930,41252,,61848.0,,-15183,-101292,-174825,187727,12902,0.0,17241,8378,,,,142544,280629,-1854,-21,,-15.0,,,-686,-195
2015-08-13,2,2015,,-76727,-64332,-12714,,,,77089.0,-1269.0,624,-7059,24348,15711,-115043,,-9390.0,0.0,24413,233.0,,-11354.0,,65255,0.0,-141142,,-119964.0,-85609,,296920,-5872.0,4709,,-19096,176091,0.0,-504.0,2732,-24824,11827,237892.0,2015年01月01日至2015年06月30日,199885,299458,99573,-191035,-454.0,65351,102805,,132333.0,,37607,-191035,-291459,347407,55948,101766.0,40871,17272,0.0,,,293840,299458,-24457,-25,,-34.0,,,-891,78
2015-11-11,3,2015,,-172905,-65745,-7366,,,,204764.0,-1273.0,940,-15642,39176,3062,-99692,,-9390.0,-418.0,42624,15938.0,,-20280.0,,48394,-15641.0,-54890,,-149955.0,-140353,-3255.0,201476,-2591.0,15826,,115250,262617,0.0,-508.0,3778,-41114,16391,353773.0,2015年01月01日至2015年09月30日,199885,161264,-38621,-294761,-673.0,3661,66187,-39649.0,100965.0,,-160594,-294761,-243919,251094,7175,103896.0,41539,20762,0.0,,,360948,161264,-37803,26,,12.0,,,-4645,17742
2016-03-24,4,2015,,-186388,55429,-1376,,,305348.0,,-1831.0,1258,-18289,51748,31387,-132209,,-9390.0,-418.0,36389,14520.0,,-23982.0,,46357,-18450.0,-64293,,-149955.0,-109650,-9983.0,137415,,14805,,179484,348857,0.0,-1468.0,4486,-53743,18507,453252.0,2015年度,199885,266831,66946,-437778,-906.0,19284,93895,-39649.0,122186.0,,-163209,-437778,-119735,198156,78421,104510.0,41473,21870,,493.0,802.0,531673,266831,-39375,22,,,7577.0,,955,-315
2016-05-09,1,2016,,-80529,48779,17888,,,,62686.0,-2351.0,315,-2464,9707,17883,-25150,,,,-15818,46216.0,,,421.0,-13412,,34719,,0.0,27243,-6712.0,24936,,-4795,,40575,83266,,,769,-9062,7116,83827.0,2016年01月01日至2016年03月31日,266831,278496,11665,-46731,-245.0,155409,171536,,,-161177.0,-202202,-46731,108958,25482,134440,,4969,6049,,,,218267,278496,-14181,-24,2027.0,,,,865,-1538
2016-08-11,2,2016,,-138170,115250,10893,,,-17076.0,44751.0,-5314.0,625,-3388,18090,53621,-59260,,0.0,,-12065,40252.0,,,839.0,11350,,53359,,0.0,15068,-13863.0,-84061,0.0,160,,-28066,165927,,0.0,1756,-18371,7985,184804.0,2016年01月01日至2016年06月30日,266831,199218,-67613,-71351,-522.0,190800,233640,,,-184152.0,-283968,-71351,180797,-60610,120187,11965.0,7994,11873,,,,304991,199218,-32454,-20,2006.0,,,,1048,-2358
