date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少
2013-05-03,1,2013,47797.0,,,36203,-31950,,-11006,-100898,,,,-49811.0,,-1935.0,,943.0,,,,6723,54217,-95582,,,2132.0,11.0,,,,-296499,159801,317505.0,,19708,-354501,-136529,-144299,37839,,-186.0,,,1018,-4186,,,2013年01月01日至2013年03月31日,1035198,952686,-82512,237605,-479002,-437795,,,,157509.0,,486572,237605,204706,-927903,-723197,11547.0,151,85,-675400,,952686,-37021,-5405.0
2013-07-27,2,2013,92991.0,,,118560,-10584,,-15141,137897,,,0.0,,,-81571.0,,-1118.0,,,,14236,106305,-458107,,,226.0,114.0,,,,-541579,64839,695939.0,,40540,-170023,-7921,-459044,77784,,-1075.0,,,625,-14563,,,2013年01月01日至2013年06月30日,1035198,1451095,415897,565337,113201,181816,,-26696.0,,93310.0,,655435,565337,208798,-685310,-476512,-107232.0,181,120,-383521,,1451095,-54052,-10454.0
2013-10-26,3,2013,139570.0,,,63761,-8666,,-15839,272973,,,,,,-1387.0,,-432.0,,,,21221,70253,-792455,,-82.0,167.0,-73.0,,-53584.0,,-352878,-59719,343513.0,,18155,-421352,-42537,-840694,120065,,2903.0,,,948,-17354,,,2013年01月01日至2013年09月30日,1035198,2669305,1634107,801324,16009,260167,1048000.0,-26696.0,997033.0,-187980.0,,2388539,801324,6358,-687085,-680727,214742.0,5859,-2831,-541157,,2669305,-226804,-136141.0
2014-03-22,4,2013,167205.0,,-289956.0,119272,-5112,,855,175597,,-396.0,,,,-11874.0,,,,,-10233.0,29105,171445,-1078275,,-558.0,-4529.0,0.0,-121.0,-483.0,0.0,-146333,-108083,168950.0,0.0,21130,-133971,-128858,-1025778,151455,355.0,,,,1268,-23375,10233.0,,2013年01月01日至2013年12月31日,1035198,2454285,1419087,992709,463734,761451,1048000.0,-26696.0,997033.0,,-87524.0,1809686,992709,33529,-431992,-398463,,53538,139,-231258,,2454285,-284575,-181045.0
2014-05-03,1,2014,48214.0,,,-60720,6179,,38442,15611,,,,0.0,,-8631.0,,0.0,-551.0,,,9005,-13466,-228481,,-589.0,0.0,0.0,-1049.0,-1153.0,,-30984,169302,0.0,-161985.0,-15882,-271814,23453,-227458,38916,,-12368.0,,,446,-5264,,,2014年01月01日至2014年03月31日,2454285,2095351,-358934,212453,45024,117192,,,,0.0,,-163034,212453,131142,-274617,-143475,0.0,3316,-153,-95261,,2095351,-66904,3937.0
2014-08-02,2,2014,88831.0,,-32160.0,-69547,322,,-2731,-10942,,,0.0,,,34402.0,,-188329.0,,,-13032.0,16150,-63152,-277605,,-955.0,0.0,-1049.0,,,1667.0,42096,-183428,-287322.0,,-20400,-19380,65897,-463868,85428,4245.0,-9642.0,,,773,-8094,13032.0,,2014年01月01日至2014年06月30日,2454285,1877703,-576582,251703,66506,170302,,,,204463.0,,-116068,251703,-271861,101629,-170232,,1354,-488,-81401,,1877703,-108734,-1124.0
2014-11-01,3,2014,129219.0,,-44371.0,-81503,6111,,10398,-58357,,,,,,-33444.0,-1049.0,-320533.0,,,-20316.0,25118,-52015,-438744,-48151.0,-954.0,0.0,,,1977.0,,66312,-59430,-421743.0,,-29120,354805,24121,-802804,122013,9545.0,0.0,,1559.0,1178,-10285,20316.0,,2014年01月01日至2014年09月30日,2454285,1810861,-643424,329281,555241,668474,0.0,-40356.0,0.0,163673.0,,-343846,329281,-150110,360084,209974,0.0,3601,-333,339193,,1810861,-123264,536.0
2015-03-21,4,2014,196041.0,,-78199.0,-135883,4618,,15021,-194623,,,,,,25148.0,,-797551.0,,6596.0,-27123.0,33355,140121,-678022,-48151.0,-5618.0,0.0,,-1049.0,0.0,259.0,103130,-55120,0.0,-338111.0,-21968,241561,95765,-1526920,173244,18345.0,-1656.0,,5724.0,1477,-14944,27123.0,,2014年度,2454285,1446247,-1008038,371964,528247,662343,0.0,-40356.0,0.0,308229.0,0.0,-149486,371964,-179605,273943,94338,,2163,2768,290379,,1446247,-146275,0.0
2015-05-01,1,2015,,,-78208.0,11240,-6958,0.0,21395,36747,,,,,,-19999.0,,0.0,,1729.0,-5695.0,9380,-30651,-271897,,-782.0,3398.0,,0.0,-424.0,,15951,30714,120402.0,0.0,-1280,-201894,-4210,-272915,52740,-4000.0,1656.0,,982.0,265,-3891,5695.0,63263.0,2015年01月01日至2015年03月31日,1446247,1355267,-90980,106814,21179,49439,,,,149213.0,,191407,106814,58069,-178707,-120638,,188,464,-57375,,1355267,-30064,0.0
2015-08-01,2,2015,,,-78208.0,34845,-121212,0.0,-15667,-36850,,,,,,-7256.0,0.0,-189983.0,,3438.0,-9140.0,20928,-76740,-321762,,-918.0,391.0,,,,1087.0,-60981,-43274,146713.0,0.0,-7679,-153269,7263,-498708,103902,500.0,-295.0,,3653.0,582,-12066,9140.0,124015.0,2015年01月01日至2015年06月30日,1446247,1402353,-43894,145566,-195683,-134294,,,,503382.0,,727237,145566,-31275,-372600,-403875,155350.0,12868,261,-279860,,1402353,-58463,
