date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預收款項增加－處分資產
2013-05-10,1,2013,12485.0,0.0,,-37977,9803,6069,-2094,-701,,-50.0,367,,-3030,4856,8079,-5257,,-243.0,,,,-1566,4,,-17.0,,-70149,,164929,,,-8,8668,-1057.0,-5567,12353,,41,-7882,,,2013年01月01日至2013年03月31日,1109649,1128484,-8338,18835,-370,,74296,127575,300000,-320000,-57973,-370,172630,-57170,115460,0.0,0.0,,218,,,127945,,1128484,-45397,0.0,7584.0,
2013-08-12,2,2013,61962.0,,,-60520,-4506,8995,673,-1901,-101.0,,741,,-5723,9468,5472,-7629,,-282.0,,,,-24,7,,-123.0,,72504,,-121224,,,185,68412,-3310.0,-7914,30848,,88,-12095,,,2013年01月01日至2013年06月30日,1109649,1015877,-3806,-93772,-43930,,-20727,37759,689910,-700000,-70603,-43930,-124872,144599,19727,0.0,120.0,,455,,,81689,,1015877,-46391,0.0,29915.0,
2013-11-12,3,2013,93771.0,,-35000.0,-88979,13770,11213,11969,2878,-151.0,,1082,,-8191,13891,1216,-15000,,-282.0,,,,-354,5,,-115.0,0.0,61342,,99998,,,5,-151349,-1240.0,-14627,47807,,136,-17900,,,2013年01月01日至2013年09月30日,1109649,1015590,2759,-94059,-90604,,-16509,51602,1164835,-1140000,-64139,-90604,125742,-77307,48435,35000.0,770.0,,364,,,142206,0.0,1015590,-50211,0.0,36277.0,
2014-03-27,4,2013,110100.0,,-35000.0,-118329,44499,-1565,2648,3761,-202.0,,1356,,-11796,18628,-2859,-31503,,-282.0,,,,-651,8,,,1057.0,25706,,322608,,,-6,-10366,103.0,-29957,63199,0.0,185,-22589,13107.0,,2013年01月01日至2013年12月31日,1109649,1310644,-4162,200995,-126422,,307222,370864,1579835,-1584925,-73411,-126422,369749,17437,387186,85000.0,771.0,,429,,,497286,0.0,1310644,-54160,0.0,42912.0,
2014-05-15,1,2014,19116.0,,,-28596,-17726,-5272,2269,1601,-51.0,0.0,282,,-5214,4956,14261,-13843,,0.0,,,,-501,-1,,,-4004.0,9865,,-250803,,,4000,208604,0.0,-17847,15978,,45,-4922,9303.0,,2014年01月01日至2014年03月31日,1310644,1214423,425,-96221,-66725,,-79663,-95122,479320,-463695,-12972,-66725,-262260,214747,-47513,,,,176,,,-28397,,1214423,11078,,2969.0,
2014-08-13,2,2014,37235.0,0.0,,-57268,-36083,1325,4588,4370,-101.0,,555,,-10212,9830,16737,-28583,,0.0,,,,362,-4,,,-3991.0,37086,,-203672,70000.0,,4000,-12776,0.0,-31692,29388,,90,-9606,8279.0,,2014年01月01日至2014年06月30日,1310644,1078169,-1690,-232475,-107585,,-275913,-271613,1024360,-978695,58393,-107585,-231167,29904,-201263,,882.0,,3675,,,-164028,,1078169,-2973,,5237.0,
2014-11-14,3,2014,46026.0,,0.0,-84586,-42504,-105,1691,5918,-151.0,,831,,-15782,14186,16815,-37744,,0.0,,,,726,0,,0.0,,13363,,-57125,70000.0,,0,12517,0.0,-36121,42772,0.0,104,-14269,13600.0,,2014年01月01日至2014年09月30日,1310644,1194406,-3032,-116238,-72068,,-97971,-92438,1424360,-1408735,1039,-72068,-97938,31542,-66396,0.0,1623.0,,3476,,,-20370,,1194406,-4864,,2745.0,
2015-03-27,4,2014,79056,0,0,-181786,-41345,1446,232,2920,-203,,1115,,-21382,18820,17634,-32711,,0,-291643,,,-463,5,,,-33,33330,,-160919,69975,,28,51694,0,-322655,59681,,118,-18499,19783,,2014年度,1310644,966355,-3867,-344289,-16733,,-60067,-50494,2206340,-2073735,20799,-16733,-202004,89187,-112817,0,1732,,3543,,,-33761,,966355,-10857,,21491,
2015-05-11,1,2015,,,,-15255,-2004,-123,-38,2878,-42.0,,286,,-5873,4685,542,-5640,,,,-68242.0,,1005,-2,,,9.0,89043,,-177416,210152.0,-210142.0,-28,103542,,23667,12471,,14,-4602,4474.0,18042.0,2015年01月01日至2015年03月31日,966355,1019294,828,52939,-19442,,12677,14412,441500,-410200,16053,-19442,-179486,195298,15812,,,,0,,97540.0,33854,,1019294,-1607,,4626.0,
2015-08-13,2,2015,,0,,-28799,1457,24,656,4794,-111,,567,,-11369,9282,1394,-6041,-36701,-97,,-99694,,1019,-4,,,22,126146,,-194963,420306,-420284,-28,33236,,102084,24234,,30,-9114,11592,29208,2015年01月01日至2015年06月30日,966355,1063563,224,97208,-8416,-8349,-8349,-7997,922560,-891700,2079,-8416,-192878,164089,-28789,,0,,3,,244595,419,,1063563,-2830,-176,5394,
