date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,非控制權益變動,預付設備款增加
2013-05-13,1,2013,35235.0,,-44520,-68,,1005,-11957,0.0,-57.0,,0.0,-1058,6466,-21127,,,,4845,16.0,8990,-488,10400,5293.0,-21184,25764,4063.0,-6453,997,,,2013年01月01日至2013年03月31日,253634,247316,,-6318,1571,,4866,10322,,,10000,,10000,1571,,-33361,6877,-26484,,,0,,8751,247316,,,,,
2013-08-13,2,2013,75546.0,,-9513,-1082,,1871,-10445,0.0,-2970.0,,0.0,-2296,12852,-43003,511.0,,,-1800,304.0,-6763,-2428,1394,-7297.0,-45973,51514,12959.0,-12898,2131,,,2013年01月01日至2013年06月30日,253634,261979,,8345,32930,,59318,72717,,,-5000,,-5000,32930,,-16435,-19324,-35759,,,6,,39787,261979,-2632.0,,,,
2013-11-14,3,2013,102530.0,-38000.0,-4193,-852,,-1109,-10632,5058.0,,,0.0,-3372,19135,-75673,512.0,-3682.0,,1423,304.0,7282,-3519,6090,-10928.0,-75647,77293,8981.0,-19162,3361,,,2013年01月01日至2013年09月30日,253634,251473,,-2161,49831,,116466,137603,,,-5000,,-42980,49831,,-14503,-255,-14758,,26.0,-19,20.0,87772,251473,-5336.0,,0.0,,
2014-03-27,4,2013,149398.0,-38000.0,11135,-273,,6803,209,-5618.0,,,0.0,-4619,25330,-102655,511.0,-3408.0,44754.0,22403,370.0,-10256,-7062,4038,-14571.0,-102629,104369,24240.0,-25370,4589,415.0,,2013年01月01日至2013年12月31日,253634,330865,,77231,92770,,218086,245938,,,-45000,,-38226,92770,-415.0,26140,-22370,3770,,26.0,-18,20.0,153168,330865,-7486.0,,0.0,,
2014-05-09,1,2014,33095.0,,-48558,385,4593.0,2946,-11682,,,,,-1061,5977,-23045,,-2382.0,22326.0,-22754,-366.0,27838,4016,3039,-7007.0,-21196,28310,,-5974,865,,,2014年01月01日至2014年03月31日,330865,343211,,12346,7852,,-18784,-13578,,,30000,,52326,7852,,-75739,21214,-54525,,136.0,-131,,-21430,343211,-97.0,,,,-2880.0
2014-08-07,2,2014,66671.0,,-18245,-3525,9157.0,2573,-9694,,,,,-2208,12045,-69254,0.0,-5128.0,22326.0,-13081,-418.0,-23123,2990,967,-10970.0,-87764,56829,,-12018,1829,,,2014年01月01日至2014年06月30日,330865,399250,,68385,59586,,33823,48603,,,100000,,122326,59586,,-40141,-37513,-77654,,,5,,-10983,399250,-4591.0,,,,-27667.0
2014-11-07,3,2014,110838.0,0.0,-19487,-728,,2026,-6053,,-31673.0,,,-3306,18123,-109807,0.0,-9625.0,24259.0,-1310,-350.0,-43214,3461,2556,-14943.0,-141480,87174,9389.0,-18170,3402,547.0,,2014年01月01日至2014年09月30日,330865,344233,,13368,103705,,101749,126876,-11160.0,,40000,,53099,103705,-547.0,-34064,-53603,-87667,,0.0,5,0.0,23171,344233,-10906.0,,,,0.0
2015-03-16,4,2014,169184.0,0.0,5279,178,-26767.0,687,472,4108.0,,,0.0,-4637,24171,-202544,0.0,-20600.0,33875.0,-15902,-392.0,-3050,3320,2093,-18921.0,-228057,117385,12550.0,-24270,4674,,,2014年度,330865,378887,,48022,136990,,233364,263446,-11160.0,,20000,,42715,136990,-546.0,-29249,-13479,-42728,,1254.0,20261,0.0,126456,378887,-11032.0,,,,0.0
2015-05-14,1,2015,,,-43542,-20,,2536,-21703,,,259.0,,-1066,5866,-37345,,-2763.0,1822.0,-6601,,38645,2807,3315,,-128454,26820,3130.0,-5837,979,,34750.0,2015年01月01日至2015年03月31日,378887,273509,,-105378,-6870,-4429.0,-8746,-3875,,,30000,,31822,-6870,,-52036,20281,-31755,,0.0,0,,2995,273509,-13.0,,,,-91368.0
2015-08-03,2,2015,,0.0,-17018,-260,,2343,-12163,0.0,-1282.0,0.0,0.0,-2341,11772,-78564,,385.0,3355.0,13045,,-6949,1296,2514,,-241808,52772,6259.0,-11722,2308,0.0,69218.0,2015年01月01日至2015年06月30日,378887,296615,,-82272,20149,-35168.0,11181,37392,,,145000,,148355,20149,,-36798,-15177,-51975,,279.0,756,0.0,17243,296615,-16797.0,,,,-162241.0
