date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-13,1,2013,13451.0,,-29962,883,2269,,187228.0,,-691.0,-51757.0,,,-13599,11910,12858,-7617,,,,-3441,236526,,-61744.0,,-214025,-39141,-97981,439.0,127854,13613,,,1512,-11952,,14308,,,2013年01月01日至2013年03月31日,1634387,1252973,-381414,19869,,-321435,-322606,,,-200000,-200691,19869,,-64490,-291436,-355926,,,,,,-342475,2007,1252973,-1185.0,15.0,,,,0.0,,-151756,
2013-08-12,2,2013,33701.0,-2795.0,-27878,2760,5074,,189712.0,,-21119.0,-72078.0,,,-19424,22471,17144,-17038,,,,2975,237254,,-55003.0,,-223977,-12342,-263021,56.0,100596,28654,,,3035,-22459,,18341,,,2013年01月01日至2013年06月30日,1634387,1127031,-507356,26235,,-401182,-387327,,,-200000,-223914,26235,-1050.0,-64564,-382699,-447263,0.0,0.0,,0.0,,-413562,-90,1127031,-9737.0,15.0,,,,0.0,0.0,-113071,
2013-11-12,3,2013,60763.0,-5590.0,20640,2548,5130,,109271.0,,-19123.0,-19860.0,,,-21521,32566,10660,-102063,,-43172.0,,218,260127,,-147144.0,,-29536,-119677,-406433,-429.0,-55640,46220,,62.0,4515,-32550,-104258.0,19920,1050.0,,2013年01月01日至2013年09月30日,1634387,858032,-776355,48085,,-556662,-420367,,,-150000,-174713,48085,-1050.0,108698,-637913,-529215,0.0,184.0,,-44.0,,-468452,-90,858032,-20457.0,15.0,,,,0.0,0.0,-114569,
2014-03-27,4,2013,83301.0,-58425.0,-25742,2022,4421,,352177.0,,-19161.0,-39967.0,,,-37585,43178,15707,-110251,,-43172.0,,7777,144741,,-194011.0,,404346,-216491,-554034,-2076.0,158972,64407,185.0,-323.0,6276,-43140,,37691,4290.0,,2013年01月01日至2013年12月31日,1634387,1145686,-488701,119965,,-331536,-309664,-104258.0,,-150000,-331844,119965,-4290.0,341637,-854567,-512930,0.0,185.0,,-44.0,,-429629,9958,1145686,-20713.0,0.0,0.0,,,0.0,11682.0,-94026,
2014-05-12,1,2014,28616.0,-99845.0,-6238,8578,772,,-147117.0,,-640.0,1588.0,,,-2346,10891,6120,-4505,,0.0,,1138,261508,-6625.0,,,-471339,-311111,28776,-283.0,-248034,18450,0.0,73.0,1548,-11018,,1804,0.0,,2014年01月01日至2014年03月31日,1145686,853000,-292686,26836,,-430287,-415029,0.0,,80000,379515,26836,0.0,-222210,-248271,-470481,400000.0,0.0,,0.0,,-441865,-5,853000,-6044.0,0.0,0.0,,,0.0,0.0,24348,-98000.0
2014-08-13,2,2014,56942.0,-193350.0,279129,6251,19763,,89479.0,,559.0,7886.0,,,-6712,23535,-3091,-11947,,0.0,,-5581,394236,-5856.0,,,-441150,-595445,-184492,-283.0,-10802,37323,0.0,150.0,2646,-23722,,5764,0.0,,2014年01月01日至2014年06月30日,1145686,727504,-418182,-187071,,-671898,-633752,0.0,,80000,267609,-187071,0.0,238085,-741708,-503623,380400.0,0.0,,0.0,,-446681,-7754,727504,-20188.0,0.0,0.0,,,0.0,0.0,37559,-96220.0
2014-11-13,3,2014,54434.0,-233665.0,234097,17106,6084,,-40373.0,,5124.0,-166530.0,,,-32893,37444,5925,-122375,,0.0,,-22701,382173,-27113.0,,,-316914,-500154,184893,-283.0,-302085,56299,0.0,235.0,3792,-37557,-86882.0,16545,3375.0,,2014年01月01日至2014年09月30日,1145686,943616,-202070,-203628,,-277514,-138688,,,-220000,371604,-203628,-3375.0,270261,-259755,10506,802560.0,300.0,26893.0,-175.0,-6893.0,64940,-7783,943616,-34307.0,0.0,0.0,,17585.0,0.0,0.0,61101,0.0
2015-03-27,4,2014,104557.0,-492970.0,-5953,95999,4922,,482266.0,17366.0,,-161665.0,,1082.0,-38420,55217,24748,-342124,-40735.0,0.0,,-104978,-50986,-186346.0,,,127937,222455,143724,3802.0,-35065,76970,0.0,370.0,4967,-54948,,36552,3375.0,,2014年度,1145686,1495854,350168,-184400,,194948,244601,-86882.0,160438.0,-350000,165537,-184400,-3375.0,-114439,438883,324444,900000.0,300.0,26893.0,-175.0,-6893.0,429001,-7815,1495854,-34632.0,0.0,0.0,,17585.0,14814.0,,81683,0.0
2015-05-11,1,2015,,-116135.0,-5703,2054,1384,,127422.0,,3991.0,3082.0,,-2459.0,-3023,11666,-4130,-3138,,0.0,,-30761,277459,-32239.0,,,-317983,-243771,-77144,,143116,21513,0.0,230.0,1165,-11692,,1010,0.0,29000.0,2015年01月01日至2015年03月31日,1495854,1377976,-117878,34247,-396.0,-331220,-320457,0.0,200000.0,-13500,74356,34247,0.0,-77484,-306220,-383704,0.0,57.0,15693.0,86.0,-178.0,-354704,-6,1377976,-81.0,0.0,0.0,,,0.0,0.0,43402,0.0
2015-08-12,2,2015,,-237400.0,-9390,-5468,643,,210724.0,,3856.0,46984.0,272480.0,-2459.0,-9350,23772,-9447,-3908,0.0,0.0,,-64986,131467,-185873.0,,-228674.0,-484242,42465,-150277,,567844,43090,0.0,315.0,2268,-22913,,3400,0.0,50937.0,2015年01月01日至2015年06月30日,1495854,1687507,191653,105711,-397.0,-511276,-491933,0.0,733750.0,-127000,144532,105711,0.0,-547798,-100783,-648581,0.0,57.0,41507.0,86.0,-772.0,-597644,-6,1687507,170.0,0.0,0.0,-6013.0,,0.0,0.0,77483,0.0
