date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-04-26,1,2013,,17757.0,,,28793.0,717,-30910,-39,0.0,114.0,,,,-42,1002,438,-114764,,-1916,,,,-260.0,,1494,,-10804,,,-4863,2956,2106.0,-914,-43.0,-121640,15103,,,1054,805,-1100,5,,2013年01月01日至2013年03月31日,82720,101134,,18414,79428,,70616,82165,,,-65000,69000,79428,-18276,3256,-15020,134000.0,80,,-63,0.0,,2737,101134,-10454,-102.0,-449.0,-3178,-4780.0,
2013-08-09,2,2013,,44586.0,,,31234.0,-5948,-42084,9,,,,-89.0,,-152,3388,868,-185414,,-2337,,,,-373.0,134.0,9956,,-5339,29950.0,,-19018,-30767,,-12147,-39.0,-197132,37194,0.0,,2640,1643,-3059,174,,2013年01月01日至2013年06月30日,82720,373256,,290536,149786,,78610,117457,,722829.0,-527829,408190,149786,-35778,-41137,-76915,183240.0,104,0.0,-38,0.0,0.0,-32329,373256,-35962,,-532.0,-2240,-37877.0,28631.0
2013-11-11,3,2013,,70902.0,,-221240.0,,21897,-28546,-125,40388.0,181.0,,-189.0,,-199,6646,537,-219209,,-4389,,,,-738.0,208.0,11187,,-2942,29945.0,,-25379,-17140,,-5777,-27.0,-250281,59303,0.0,0.0,2801,2526,-6269,186,,2013年01月01日至2013年09月30日,82720,421287,,338567,214521,,204977,270359,-154851.0,1219521.0,-984521,383334,214521,-17539,2475,-15064,494480.0,127,0.0,14,0.0,,55838,421287,-59299,,-1033.0,-7748,-26280.0,
2014-03-25,4,2013,,105632.0,896.0,-221240.0,56998.0,20395,-192,-277,,209.0,,3952.0,,-404,9098,675,-259867,,-8432,,,,-297.0,,-4143,,3010,29947.0,,-20040,-33785,,-2073,-25.0,-315130,86305,0.0,0.0,3632,3715,-8792,407,,2013年01月01日至2013年12月31日,82720,210163,-655.0,127443,280964,,337562,407370,-154851.0,1640000.0,-1685000,104336,280964,39751,-18977,20774,495480.0,2840,,-11,0.0,,126406,210163,-61423,,,697,-50270.0,
2014-05-06,1,2014,,27616.0,,,-34090.0,2014,-7168,207,,29.0,,-41.0,,-117,2566,4057,-5640,,-458,,,,0.0,150.0,-43733,,6475,29949.0,-29947.0,-1040,-10950,-7648.0,-5903,31.0,-263319,22075,,,1615,1322,-2472,77,,2014年01月01日至2014年03月31日,210163,185213,119.0,-24950,94423,,14310,19661,,450000.0,-230000,220002,94423,-35792,-66586,-102378,0.0,3015,,77,,,-74762,185213,-2956,,,-602,-260386.0,
2014-08-08,2,2014,,59720.0,,,-21146.0,3189,-18519,196,,63.0,,-57.0,,-311,6368,2505,-222600,-688350.0,-1018,,,,155.0,0.0,-73506,,800,59826.0,-59823.0,-2093,-4839,,-9927,99.0,-912181,46190,,,3749,2656,-5652,330,,2014年01月01日至2014年06月30日,210163,157617,1025.0,-52546,171730,,37127,91470,,1290000.0,-470000,820003,171730,-40859,-99121,-139980,0.0,3957,,100,,,-80260,157617,-49021,,,-14297,-4325.0,
2014-11-07,3,2014,,92916,,0,-21041,6437,-12007,274,,92,,,,-414,11363,3025,-233165,-688350,-1888,,,,0,171,-73286,,-23616,119704,-119733,-8105,12226,,692,252,-926143,69780,,,8307,4033,-10686,399,,2014年01月01日至2014年09月30日,210163,143239,67,-66924,247705,,121172,215906,-204949,1410000,-470000,735022,247705,-64517,-60198,-124715,0,4599,,-156,,,-31799,143239,-84447,-64,,-6633,-7510,
2015-03-20,4,2014,,127193.0,0.0,0.0,-7217.0,5453,-1225,303,-828.0,122.0,,1370.0,,-723,16572,-11844,-29978,-688350.0,-3494,,,,-19.0,186.0,-53318,,-17635,0.0,-27.0,-4855,-40562,,605,429.0,-928637,95568,,,9038,5316,-15938,719,,2014年度,210163,263682,,53519,349367,,248976,348673,-204949.0,3421027.0,-2471027,745024,349367,-31331,-96556,-127887,0.0,4088,,196,,,-694,263682,-84478,-144.0,,-9159,-211070.0,
2015-05-08,1,2015,,,,,-41682.0,113,14757,-10,,34.0,,-53.0,,-172,4963,-765,-21311,,-1143,,-340.0,,-1.0,0.0,-20243,,20814,30000.0,-30000.0,-6667,41016,,-8625,,-14205,23212,,,1904,1145,-5027,138,29053.0,2015年01月01日至2015年03月31日,263682,263884,-1377.0,202,72376,109.0,95512,100443,,800000.0,-880000,-80340,72376,-12669,11683,-986,,8441,,-569,,,28067,263884,-42,,,-602,-191.0,
2015-08-07,2,2015,,,,,-32285.0,39,-10781,-43,,67.0,,-93.0,,-320,9735,-1675,-30702,0.0,-1378,387.0,,-340.0,,0.0,16969,,3052,60000.0,-59976.0,-3423,-2028,,-17395,,-20991,45748,,,4239,2603,-10291,343,63139.0,2015年01月01日至2015年06月30日,263682,230801,1413.0,-32881,167215,239.0,130101,184776,,1340000.0,-1480000,-140316,167215,-43198,-2380,-45578,,12659,,-573,,,17561,230801,-44727,,,11,-1570.0,
