date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-30,1,2013,-3645.0,2919,-4417,-222,1435,,,0.0,3159,,-652,308,3341,-211,,0.0,,-2646.0,,,2547,0.0,-17.0,0.0,4512,-506,19903,177.0,12403,6229,222,,-749,-295,3669,,,2013年01月01日至2013年03月31日,281175,339725,488,58550,17189,40259,36885,,,0.0,,2547,17189,,3166,20175,23341,,,,3,,,,,,,-222,15277.0,-11619.0,,,,19696,339725,,-682,,0.0,-590
2013-08-09,2,2013,-6030.0,4515,-1795,200,2717,0.0,-176.0,0.0,6395,,-1862,623,6462,-294,,0.0,,,,,3444,0.0,,,10607,-795,22697,-130.0,-3048,11664,491,-32899.0,-1932,-652,4742,,,2013年01月01日至2013年06月30日,281175,353024,357,71849,35153,64991,66937,,,0.0,,3444,35153,,5744,32070,37814,1.0,,7790.0,15,,,,,,,-2062,22530.0,-16181.0,,,,31784,353024,-6036.0,-693,,0.0,-3047
2013-11-12,3,2013,-1040.0,4040,-1315,-3463,3727,0.0,,220.0,9654,,-2799,942,4458,-1695,0.0,-693.0,,18291.0,,,4614,0.0,,,6292,582,25661,396.0,49300,17150,747,,-3126,-919,5261,0.0,,2013年01月01日至2013年09月30日,281175,391292,577,110117,41783,71075,75429,,-20773.0,0.0,,-14716,41783,,6368,28318,34686,1.0,,10646.0,15,,,,,,,-3195,22530.0,-16181.0,,,,33646,391292,-8696.0,-1981,1443.0,,-4077
2014-03-19,4,2013,3343.0,5039,-2839,-6429,-492,0.0,,186.0,12897,,-4080,1257,7617,-1839,0.0,-693.0,,18213.0,,,8066,0.0,,,3104,1437,22236,,49044,22612,815,,-3871,-1299,4727,0.0,,2013年01月01日至2013年12月31日,281175,257479,-17,-23696,42242,69566,76769,-138659.0,-20773.0,,0.0,-149923,42242,,14297,16887,31184,1.0,,10646.0,15,,,,,,,-19411,22530.0,,,,,34527,257479,-10631.0,8313,1443.0,,-6059
2014-04-29,1,2014,5162.0,-622,2834,-2423,1766,,,,3329,,-1225,304,2289,-23,,,,0.0,,,2253,,0.0,3817.0,983,-816,-165,,6503,5561,54,,-1360,-288,367,,,2014年01月01日至2014年03月31日,257479,279318,-142,21839,9891,10794,10715,,,,,2253,9891,,-5621,1283,-4338,2.0,,2707.0,60,,,,,,,-608,0.0,,,,,824,279318,,-5949,,,-757
2014-08-08,2,2014,-29303.0,3118,1687,1771,-100,,3838.0,,6618,,-2736,678,-1930,-949,,,,0.0,,1378.0,4585,,,,16884,-2870,-845,,9706,11056,127,,-3382,-597,1595,,,2014年01月01日至2014年06月30日,257479,323313,58,65834,43310,18473,24423,,,35000.0,,39585,43310,,-9208,19624,10416,4110.0,,2707.0,-31601,,,,,,,-681,0.0,,,,,-18887,323313,-6948.0,-9356,,0.0,-10691
2014-10-21,3,2014,-522810.0,18503,2671,1265,992,0.0,,0.0,9898,,-5250,884,2749,-1219,,0.0,,-388594.0,,1034.0,2618,,,3884.0,16097,-2384,5701,0.0,318501,16525,244,,-5478,-900,2427,1061.0,,2014年01月01日至2014年09月30日,257479,468033,-448,210554,557928,61686,68880,,-90000.0,-85000.0,,-172382,557928,,7784,25978,33762,36967.0,,2708.0,-31559,,,,,663694.0,-505124.0,-798,0.0,0.0,,,,-489048,468033,-8721.0,-9327,0.0,,-2494
2015-02-16,4,2014,-535288.0,6720,2590,-1323,221,0.0,,3860.0,13279,,-8970,903,4981,-1295,0.0,0.0,-67403.0,-267429.0,,1034.0,5291,,,,20756,-939,6886,,388731,21493,284,,-9302,-919,5324,1061.0,,2014年度,257479,582286,6238,324807,612144,100804,105156,0.0,-90000.0,,-85000.0,-169709,612144,,-893,29193,28300,37189.0,25.0,2708.0,-31743,,,,,699463.0,-524572.0,-838,0.0,,,,,-506988,582286,,-6895,0.0,,-2810
2015-02-26,4,2015,,-2854,-1800,-6591,2753,,,0.0,13278,-8200.0,-12226,69,-11655,-669,,-6414.0,0.0,,-144604.0,0.0,6624,,-10.0,,11433,49,1241,,168414,18789,239,,-18713,-69,13457,14099.0,-147649.0,2015年度,582286,335340,6087,-246946,215944,48172,75112,-270000.0,-189000.0,1000.0,-1000.0,-451877,215944,-6023.0,2295,4522,6817,210.0,0.0,0.0,17,72478.0,499.0,160037.0,-43755.0,73549.0,-493.0,-239,,-86754.0,7938.0,-1558.0,,-140832,335340,,2347,,,-16128
2015-04-28,1,2015,,-1061,-4267,4513,6731,,,,3353,,-3507,17,-743,-156,,,,,1573.0,,773,,,9.0,14750,-3539,-3172,,11075,3728,32,,-2301,-17,5337,,-15454.0,2015年01月01日至2015年03月31日,582286,343956,-978,-238330,13139,20565,15853,-270000.0,,,,-269227,13139,,6312,11856,18168,0.0,,0.0,0,,,,,9649.0,,-32,,,,,,2714,343956,-608.0,4181,,,-15734
