date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付設備款增加,預付設備款減少
2013-05-07,1,2014,296140.0,772.0,-90277,17057,687,-32512,441,177577.0,-5983.0,0.0,-5136,66,-6617,-95850,,,,-542931.0,,5542,50,1825.0,,-186.0,,-72508,,289735,601,-114077,63190,-644946,263540,0.0,17771,,-66,5136,,,2014年01月01日至2014年03月31日,2651885,2162275,-1233,-489610,-215635,161378,158615,,-1300,575,-216407,,,184007,-105897,78110,0,,,0,1575.0,,374250,16460,1984698,-2307,0.0,,105.0,21468.0,,,-8241.0,
2013-05-13,1,2013,280556,,-416062,57218,21952,-30127,-42944,,,-1550,-2067,141,-5032,-95147,,0,,0,,-9087,1153,15088,0,-1622,,376638,0,-887310,-353,1058929,31830,-252882,317309,-2591,504,,-141,2067,,,2013年01月01日至2013年03月31日,2875515,3226594,-9816,351079,221126,590052,604481,,2700,18941,221126,0,,-1376281,1479080,102799,21328,,,8926,,,383355,-42429,3226594,-16355,2565,,,-27919,,,-197843,
2013-08-13,2,2013,713241.0,-227697.0,-325364,-35188,-5347,24649,83516,145004.0,0.0,,-5977,300,-82673,-372019,,,,-39899.0,,-14462,1841,,-11924.0,-94.0,0.0,416278,,-1101172,-130,1559660,-13140,-845375,636975,-3317.0,12176,10094.0,-300,5977,,,2013年01月01日至2013年06月30日,2875515,3152490,11689,276975,-43979,1206906,1226339,,8200,-1883,183718,0.0,,-1450732,2007809,557077,26260,,,15862,,,1270318,-48715,3007486,-25110,3243.0,,83355.0,-40014.0,,,-454276.0,
2013-11-12,3,2013,1079450.0,-214294.0,-372802,67928,-12404,-37551,-9821,150891.0,0.0,,-8651,621,-3727,-412908,-2047.0,,,61112.0,,-9503,1909,,-11944.0,-273.0,0.0,443426,,-1004801,-369,1119366,47996,-1055177,931409,-3317.0,47712,14285.0,-621,8651,23793.0,,2013年01月01日至2013年09月30日,2875515,2624725,35624,-250790,-337353,889972,948955,-75623.0,3800,-81858,-123059,-3852.0,-134.0,-1458720,1665578,206858,34067,,,12895,,,1286308,-43197,2473834,-67013,3082.0,,111063.0,-55101.0,,,-746517.0,
2014-03-26,4,2013,2384861.0,-273586.0,-359989,76240,-13960,-48950,70078,179930.0,,,-14149,770,-2684,-1098128,-2047.0,,0.0,150000.0,,-19471,1910,,-10787.0,0.0,,668382,,-1466375,33,1771448,-27818,-1346291,1240341,2905.0,68140,,-770,14149,24259.0,,2013年01月01日至2013年12月31日,2875515,2651885,8305,-223630,-1725054,1210045,1290337,-75623.0,-200,-84700,-1451468,-3852.0,-599.0,-1930705,2561235,630530,32343,,,7768,,,3015391,-55424,2471955,-93671,-3139.0,,1075531.0,25216.0,,,-438758.0,
2014-08-13,2,2014,588276.0,9206.0,-90819,-20564,1609,-87575,-25009,143597.0,-13011.0,,-11136,395,2030,-209235,,,,-737430.0,,27661,335,,1856.0,-1022.0,0.0,19841,,235180,1151,-76057,72384,-955219,533592,0.0,21155,3144.0,-395,11136,,,2014年01月01日至2014年06月30日,2651885,1906055,11004,-745830,-420929,205718,198400,,-550,1641,-430135,96.0,,60458,-29405,31053,544,,,-536,1575.0,,619329,2521,1762458,-3423,0.0,,0.0,15912.0,,,-11260.0,
2015-03-25,4,2014,1888074.0,3538.0,-182968,-162234,2286,-192258,49212,150624.0,-10197.0,,-27630,614,87626,-459878,0.0,,-4050.0,-723671.0,,109981,543,,4140.0,-56813.0,,86477,,233771,-2024,-18501,46269,-1227242,1064408,0.0,88021,4229.0,-614,27630,29251.0,,2014年度,2651885,1549807,-74077,-1102078,-1728614,40955,23547,0.0,-8100,-3417,-1732152,-29.0,-1649.0,-137136,1223,-135913,18933,,89086.0,-1290,11209.0,,1752161,6343,1399183,-9608,0.0,,682324.0,-35717.0,-1000.0,,-43509.0,
2015-05-04,1,2015,,859.0,18128,32271,-4179,-69226,-3920,149747.0,0.0,0.0,-5693,91,4693,-30012,,-2163.0,,,-5548.0,-439,0,-360.0,,0.0,485.0,80340,,-77160,-1208,56206,26204,-38351,207045,0.0,3288,,-91,5693,,191850.0,2015年01月01日至2015年03月31日,1549807,1538795,10051,-11012,-226362,23006,26786,,0,-360,-227221,-180.0,,-129803,191101,61298,4874,,,1917,0.0,,253148,-337,1389048,-9382,,,0.0,-24230.0,,,-1808.0,
2015-08-11,2,2015,,2542,18818,49132,-1251,-142898,6559,113535,0,,-12971,213,13146,-67266,-5000,,,,-9271,-11330,0,0,-155,0,1668,63356,,-310494,-1863,319451,28685,-78535,407374,,7386,,-213,12971,,461186,2015年01月01日至2015年06月30日,1549807,1420407,27235,-129400,-549872,-63856,-62110,,-17500,-155,-552414,-513,,-440607,467183,26576,8692,,,-683,0,,487762,-4170,1306872,-14504,,17500,44475,0,,,-6107,
2015-11-11,3,2015,,2379.0,91397,47380,-772,-186863,10439,0.0,0.0,,-19748,213,-19241,-97035,-5000.0,,0.0,,-9650.0,-13356,0,2018.0,,0.0,5773.0,82642,,-414469,-1957,476459,29022,-57822,604551,,-2761,,-213,19748,35622.0,614835.0,2015年01月01日至2015年09月30日,1549807,1487667,-4884,-62140,-736910,12905,8661,,-17500,2018,-739289,-641.0,-134.0,-515206,645942,130736,23300,,,25360,0.0,,745571,-3314,1487667,-15291,,17500.0,26235.0,,,,-10060.0,
2016-03-23,4,2015,,-355132.0,-79964,49195,-448,-30316,32091,1112.0,0.0,,-28484,213,-11219,-106638,-5000.0,,0.0,,-9312.0,-5814,0,71.0,,9683.0,0.0,144586,,-472829,-1957,476892,24431,-41984,759669,,55908,2572.0,-213,28484,35817.0,2411067.0,2015年度,1549807,1467757,28102,-82050,-2589970,-28918,-40937,,-17500,71,-2234838,30.0,-329.0,-589229,727195,137966,43235,,,76942,0.0,,2549033,-4163,1466645,-16252,,17500.0,1512882.0,9376.0,0.0,1000.0,,-10321.0
2016-05-11,1,2016,,2829.0,-55331,3088,-1350,-2767,3479,1419.0,,,-8677,0,6575,-11313,,0.0,,,3928.0,581,0,,-80.0,,1147.0,15893,,-3963,0,-30817,-21287,-4514,43328,,-1272,,0,8677,,44595.0,2016年01月01日至2016年03月31日,1467757,1390408,4892,-77349,-28492,-79330,-80970,,0,-80,-31321,0.0,,-67429,-29644,-97073,3749,,,-3749,0.0,,-52478,-5368,1388989,-7037,,,9492.0,0.0,,,-675.0,
2016-08-11,2,2016,,-909.0,-52856,-3141,-1190,-2038,11802,26314.0,,,-16210,0,-7604,-18028,-456240.0,,,,-21397.0,-2605,0,0.0,-121.0,,1966.0,3754,,-65938,0,121297,-67692,-488518,85690,,1173,,0,16210,,80241.0,2016年01月01日至2016年06月30日,1467757,962256,20760,-505501,-37285,-9258,-17223,,0,-121,-36376,0.0,,-126199,66020,-60179,6115,3329.0,,-6115,0.0,-117.0,20062,-5367,935942,-8245,,0.0,0.0,-2335.0,,,-3073.0,
2016-11-09,3,2016,,1429,-42086,2449,-1332,747,28153,28768,-10498,,-21706,0,15240,-18312,-635899,,,,135581,2270,,733,,,1522,-26730,,-41287,0,-21506,-31166,-442026,125351,,-2145,,0,21706,67239,90814,2016年01月01日至2016年09月30日,1467757,924143,41533,-543614,-86325,-117561,-132318,,0,733,-87754,0,-35694,-88007,-48800,-136807,12738,3329,,-12738,,-117,-45993,-5381,895375,-6949,,0,4558,,,,-6892,
