date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少
2013-05-13,1,2013,635.0,-8390,-19012,,-2650,194,-1342,1478,451,-1482.0,,561,,,2057,5826,-4890,,,-3082,,-92,-32.0,,36192,54428,,,-9997.0,8972,-6000,1053,95959,-664.0,5129,15663,,446.0,347,-2071,,1225.0,,2013年01月01日至2013年03月31日,514562,586850,-7234,72288,2902,,167115,168473,,,,-87303.0,-105782,2902,,42382,122554,164936,,1230,11372,232,,,-7909,165571,,586850,-512,,,,-1069.0,-4569
2013-08-13,2,2013,-44887.0,-15575,33835,,1394,218,3641,561,771,-547.0,,1133,,,3936,10096,-20780,,,109,,-157,0.0,543.0,67468,-288,,,-9997.0,14330,-45625,-1303,-1306,24.0,159374,31410,0.0,446.0,2222,-3938,,2910.0,,2013年01月01日至2013年06月30日,514562,689453,-2846,174891,42777,,-17058,11242,,,39100.0,,22479,42777,,51542,-38190,13352,9108.0,1294,37408,201,142532.0,-54557.0,-26495,-31535,,689453,-27272,,,,-1076.0,-60814
2013-11-13,3,2013,-39342.0,-19240,70051,,-858,349,-21875,-1022,806,0.0,392.0,1708,794.0,,6027,7869,-22901,0.0,,-2094,,-174,0.0,515.0,106383,19926,,,-9997.0,15216,-20131,541,35428,584.0,160778,47274,241.0,446.0,-10414,-6029,,6150.0,,2013年01月01日至2013年09月30日,514562,759391,1473,244829,169552,,313404,348641,,-212070.0,0.0,-35014.0,-237222,169552,,84143,134288,218431,39273.0,1358,40724,149,142532.0,-54557.0,-28908,179089,,759391,-35358,,,,-2636.0,12346
2014-03-26,4,2013,-75876.0,-25715,34985,,-954,-215,-23249,-1497,-66820,0.0,1431.0,2278,1362.0,-2866.0,7982,15939,-43610,0.0,,-993,,-1682,,746.0,136249,-11832,7807.0,,-9997.0,-10996,-34303,-2953,59476,844.0,176484,62928,,-130.0,-9807,-7984,2863.0,35959.0,,2013年01月01日至2013年12月31日,514562,613668,5192,99106,181632,,205663,209871,,-212070.0,0.0,-86423.0,-298980,181632,-29809.0,-2441,106556,104115,36907.0,277,77994,131,142532.0,-54557.0,-56355,28239,,613668,-35046,,,,-4248.0,17703
2014-05-12,1,2014,13485.0,-1749,-41761,,-967,447,1332,4741,698,0.0,1036.0,582,,-797.0,2277,-3404,-11938,-31611.0,,-2286,31.0,0,-83.0,,-46130,17251,-7807.0,,0.0,29727,54256,-772,14962,316.0,-43775,15619,,-217.0,759,-2277,775.0,853.0,,2014年01月01日至2014年03月31日,613668,597735,-2669,-15933,1296,,28853,35561,,,4111.0,0.0,2393,1296,,-942,21722,20780,,0,0,0,,,0,34265,,597735,-6059,,,,-1179.0,-5296
2014-08-12,2,2014,24280.0,-6574,-14331,,4362,526,1476,4968,-4728,0.0,1096.0,1156,,-1707.0,4421,-5525,-26721,-38001.0,,2068,65.0,0,-216.0,0.0,-64048,12732,-7807.0,,0.0,20926,-81946,3468,-14567,-4562.0,-43768,31897,918.0,576.0,1277,-4421,1713.0,10677.0,,2014年01月01日至2014年06月30日,613668,478802,1196,-134866,27064,,-106221,-99248,,,27157.0,,20648,27064,,9352,-159944,-150592,0.0,1285,21344,-290,0.0,0.0,-15738,-126312,,478802,-14942,,,,-2555.0,-8555
2014-11-12,3,2014,20309.0,-14167,11795,,7377,629,7074,4974,9904,,1536.0,1731,0.0,-2348.0,6532,6513,-35808,-69987.0,-4388.0,-2245,70.0,0,-1685.0,0.0,910,32697,,,0.0,27938,523,-630,33351,-6699.0,-87691,48192,0.0,-5593.0,-11672,-6340,2355.0,10677.0,,2014年01月01日至2014年09月30日,613668,594687,-3861,-18981,182505,,299329,313315,,-212070.0,,-10965.0,-237132,182505,,72805,37696,110501,0.0,1297,21344,-282,0.0,0.0,-15738,130810,,594687,-20678,,,,0.0,-13749
2015-03-26,4,2014,-101725.0,-20706,950,2126.0,-12258,625,-1775,5762,-9526,,1273.0,2323,0.0,-2988.0,8832,9267,-38651,-92760.0,-4281.0,-1261,,-28,-1773.0,0.0,36687,-3124,-7431.0,59959.0,0.0,44025,-2921,5615,17223,-5976.0,-70619,64336,,576.0,-10869,-8935,2995.0,93249.0,,2014年度,613668,465966,-21526,-147702,270412,,302618,239618,-212070.0,-212070.0,,-4053.0,-388968,270412,-82267.0,28795,42136,70931,0.0,2328,63245,754,0.0,0.0,-44733,-30794,,465966,-24309,-14326.0,,,0.0,353
2015-05-13,1,2015,,-4711,-40586,-133.0,5754,-16,2371,-28,-4241,,339.0,600,,-519.0,2127,-792,-12663,0.0,-211.0,-3955,0.0,-108,0.0,558.0,-5095,36626,-376.0,,-30000.0,-33254,107146,1888,48719,,-5068,16545,,0.0,655,-1949,518.0,0.0,18748.0,2015年01月01日至2015年03月31日,465966,581262,227,115296,6542,-1591.0,130978,135168,,,24997.0,,-9822,6542,,-36943,146821,109878,,25,6884,-24,,,-4899,128626,,581262,-2759,7991.0,,,0.0,-7306
2015-08-12,2,2015,,-9820,-20866,,71,128,3337,-48,29726,-554.0,0.0,1189,,-1302.0,4460,3162,-17121,-17763.0,-211.0,-5020,0.0,-108,0.0,631.0,-41126,8243,-376.0,,,-10749,14401,1362,-17957,,4811,32617,0.0,0.0,1505,-4154,1302.0,8550.0,16581.0,2015年01月01日至2015年06月30日,465966,623085,866,157119,37785,-9495.0,293,17272,,,158781.0,,148853,37785,,-29906,-7188,-37094,,24,39805,-10,,,-28787,-20513,,623085,-22677,11063.0,,,0.0,6255
2015-11-11,3,2015,,-11037,9258,-2975.0,15907,166,4640,-791,19106,-1959.0,0.0,1794,,-1998.0,7128,11153,-25758,-66599.0,-211.0,-7850,0.0,-108,0.0,1378.0,-4369,37609,-376.0,30000.0,,-19395,93144,-945,19545,,-53236,47638,,0.0,-14194,-6778,1987.0,10464.0,15869.0,2015年01月01日至2015年09月30日,465966,702991,-1611,237025,230334,-20621.0,362236,396444,,-209948.0,107965.0,0.0,-83128,230334,,8140,142101,150241,,109,39804,-13,,,-28787,166110,,702991,-39881,13762.0,,,,338
2016-03-28,4,2015,,-15372,37776,2999.0,-2126,122,9422,-105,28394,-1023.0,0.0,2407,,-2940.0,9593,-2912,-34337,-80773.0,-211.0,-5212,,-97,0.0,1259.0,-27753,-15244,-372.0,30000.0,,-6299,64977,-3716,9809,,31052,63452,,0.0,-12227,-9377,2940.0,105789.0,-92844.0,2015年度,465966,683871,-1625,217905,282469,-43290.0,317111,258001,0.0,-209947.0,55558.0,0.0,-127346,282469,-95325.0,-14330,82706,68376,,808,145329,-758,,,-113442,-24468,678.0,683871,-40242,14088.0,12512.0,49145.0,,13104
