date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,24,3668.0,-20782,-1877,221.0,2425,2861,0.0,,,5048,,36.0,,-363.0,,-2276,599,7905,-2502,,,-2030,,-261.0,,8113.0,252993,0.0,-234009,,,20,67453,-609,-3727.0,-1458,4163,,21646,-167,1340,-649,118.0,601,,,2013年01月01日至2013年03月31日,463974,343567,-120407,1430,,1077,1007,,,-127706.0,-127931,1430,,-358112,354021,-4091,106,-43,,569.0,,,-423,,343567,,-541,,-5003,,,7667,-1161,-102039
2013-08-08,2,2013,0,7681.0,-17843,-921,47.0,124,2862,,,,-1694,125.0,,0.0,12118.0,-803.0,-5392,1136,11353,-3885,,-6658.0,-2030,263.0,0.0,-543.0,0.0,263752,0.0,-227058,50000.0,,366,134669,-579,-2456.0,-2935,8402,-137.0,-310,-531,2734,-1283,-2.0,2635,,,2013年01月01日至2013年06月30日,463974,379528,-84446,3364,,25954,24644,,,-169206.0,-118818,3364,,-382388,395987,13599,135,1471,,515.0,,,21280,,379528,-40.0,149,,-2119,,,-860,-932,-135384
2013-11-07,3,2013,0,-36814.0,-28033,3591,-107.0,-556,2527,,,,-57,,-49.0,,533.0,-803.0,-9385,1205,8698,-5960,,-6658.0,-2567,283.0,,,5242.0,300492,0.0,-84861,,,710,9264,476,-6176.0,115310,12523,-137.0,13981,-1070,4159,-1353,-2.0,11055,3620.0,,2013年01月01日至2013年09月30日,463974,318662,-145312,-24260,,-2452,-15642,0.0,0.0,-262206.0,-266868,-24260,-3620.0,-268030,313462,45432,124011,-38727,,573.0,,,8618,,318662,-130.0,-1669,0.0,816,-4896.0,,-15893,-919,-148977
2014-03-25,4,2013,98,-40547.0,29870,1404,-231.0,2772,644,,392.0,,-25420,0.0,-49.0,-960.0,131.0,-803.0,-12152,1005,12152,-7451,0.0,-6658.0,-2756,471.0,,0.0,6031.0,217363,0.0,-38188,,,426,1976,-271,-4462.0,117426,16337,-137.0,13298,-1224,5624,-1152,-2.0,12051,3620.0,,2013年01月01日至2013年12月31日,463974,467587,3613,-15249,,140715,128608,0.0,0.0,-262206.0,-266680,-15249,-3620.0,-1242,185646,184404,125923,-41253,,561.0,,,143857,,467587,-2410.0,-6105,0.0,3397,-4896.0,985.0,-21796,-1944,8477
2014-05-13,1,2014,24,1912.0,-51016,2474,282.0,-3520,-7548,,,,19936,,0.0,-1864.0,,,-2485,0,-470,-1180,,,-89,,-2042.0,-14351.0,11004.0,96659,,-202611,,,-106,96248,1006,-3598.0,-5190,4011,,2407,440,1460,0,0.0,906,,,2014年01月01日至2014年03月31日,467587,413290,-54297,5662,,-46595,-47483,,,0.0,-2042,5662,,-270338,215281,-55057,0,6,,52.0,,,-53145,,413290,-18.0,-1596,0.0,1008,,,5306,-1207,-9487
2014-08-12,2,2014,49,-539.0,-48832,1640,200.0,-3736,-2599,,,,20276,15.0,,,266.0,0.0,-5010,244,-3403,-2286,,,-442,0.0,-800.0,0.0,2920.0,61517,,-183558,50000.0,,121,161797,1110,-2194.0,-59232,7591,0.0,7830,-2992,2843,-189,0.0,1756,,,2014年01月01日至2014年06月30日,467587,504785,37198,16465,,618,-839,,50000.0,0.0,99215,16465,,-264705,247940,-16765,823,898,,-169.0,-64590.0,,-17304,,504785,-110.0,-3993,0.0,3877,,,-2677,-954,-26506
2014-11-12,3,2014,73,-2819.0,-60808,1069,619.0,-4342,-2697,,,,41353,,0.0,,11224.0,0.0,-7173,377,497,-4315,,-64590.0,-1421,0.0,-1801.0,,3703.0,-171031,,-109620,,,222,126030,1132,-792.0,-51278,11335,6565.0,18245,-6367,4280,-377,0.0,2124,4143.0,,2014年01月01日至2014年09月30日,467587,319558,-148029,20759,,-95447,-101078,,0.0,,-1801,20759,-4143.0,-135431,16413,-119018,766,1060,-191.0,,4461.0,-193.0,-121837,,319558,-259.0,-1877,-1725.0,0,0.0,,4656,-2344,33344
2015-03-19,4,2014,98,-997.0,-6584,-503,424.0,-5510,2002,,0.0,,31316,,0.0,0.0,11522.0,0.0,-9834,869,4461,-8596,,-64590.0,-1588,0.0,-2960.0,,2672.0,-32401,-24234.0,-169640,200000.0,-150000.0,742,99650,1368,629.0,-51977,15038,2538.0,21598,-7751,5703,-709,0.0,3110,4143.0,,2014年度,467587,349214,-118373,29433,,-253916,-260150,0.0,646719.0,-486466.0,183059,29433,-4143.0,-273165,-15421,-288586,2408,1537,,-197.0,4461.0,103.0,-289583,,349214,-310.0,-2420,,1310,0.0,0.0,-135219,-3232,-95340
2015-05-14,1,2015,25,,-51718,4661,-173.0,1062,-3071,,,,17001,,,0.0,628.0,,-2222,1076,-1266,-1562,,-120000.0,-897,,-939.0,0.0,5340.0,79646,,-65689,,,-852,70163,3,,-113419,3456,-2538.0,7813,-4720,1428,-1023,,540,,4925.0,2015年01月01日至2015年03月31日,349214,404209,54995,-12308,1326.0,80872,81367,,89747.0,,88808,-12308,,-84895,173645,88750,303,5620,,-316.0,,,93675,,404209,-12.0,578,,2942,,,-2577,6,33514
2015-08-12,2,2015,50,,-50440,3737,-327.0,773,-3270,,,,19764,0.0,,,316.0,,-5119,2016,-3530,-5593,,-120000.0,-935,,-2725.0,,1624.0,74454,,-30847,0.0,-50000.0,-1173,84289,248,,-108402,7056,-2538.0,8596,-14023,2862,-1964,,1747,1608.0,-3257.0,2015年01月01日至2015年06月30日,349214,390234,41020,-4169,-2448.0,135930,134876,,69747.0,,17022,-4169,-1608.0,-48289,190591,142302,300,5608,,-356.0,10382.0,-424.0,139045,,390234,-337.0,681,,5831,,,4195,-1422,38384
