date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付投資款增加,預付設備款增加,預收款項增加（減少）
2013-05-03,1,2013,179.0,,,-6800,,-84318,-6377,18645,-18029.0,-51203,-96120.0,,-6876,,-1462,1149,-10094,-19919,-1500.0,,,-138.0,2064,25730.0,,1923.0,12109,,112400.0,,,,,-35878.0,-2804,,-115754,13549,,,-15466,345,-1149,1536,,,2013年01月01日至2013年03月31日,1267647,1531584,263937,230089,321874,321622,,0.0,33981.0,67911,230089,,149209,-57855,91354,,,,,,,,,91533,19486,1531584,-135,,15000,,,134199
2013-08-09,2,2013,-7743.0,,,-8600,548.0,-58666,-18360,2454,-307246.0,31470,,,-95093,,-4880,3567,16160,-131714,-1500.0,,0.0,,3537,34774.0,,,-62959,,274626.0,,,,,-239029.0,-22828,,-132666,27142,,,-38107,633,-3567,5208,38400.0,,2013年01月01日至2013年06月30日,1267647,1387702,120055,515821,95171,139570,,84433.0,,141390,515821,,377007,-745515,-368508,,,0.0,,365.0,,,,-376251,-19598,1387702,-84440,,30783,,,146721
2013-11-01,3,2013,-8013.0,,,-10658,4973.0,-123310,35003,3668,-122236.0,65704,,,-37978,,-6524,4580,23965,-271942,,,-1500.0,,2751,67566.0,,,42268,,-171598.0,,,,,-87733.0,12009,,-268469,46551,,,-57299,1211,-4036,5208,76002.0,,2013年01月01日至2013年09月30日,1267647,1225806,-41841,758068,370707,453306,-536887.0,198430.0,,-168044,758068,,-138082,-158667,-296749,81177.0,,0.0,,717.0,,,,-304762,-23203,1225806,-159773,,32328,0.0,,110657
2014-03-21,4,2013,-488.0,,,-15837,8422.0,-41219,-51103,6785,-120087.0,-6757,,,-51121,166.0,-9903,8167,30689,-338916,,-1312.0,-36500.0,,4020,114400.0,,,-10227,,0.0,0.0,,-28810.0,-222555.0,255660.0,31231,,-414363,63910,0.0,,-75591,2025,-8025,9747,86442.0,,2013年01月01日至2013年12月31日,1267647,1338451,70804,978599,693934,768055,-536887.0,,71517.0,-239456,978599,-10440.0,-264409,54353,-210056,91779.0,,,,,0.0,,6346.0,-210544,-33997,1338451,-162285,17158.0,35572,,-52403.0,62144
2014-05-02,1,2014,-7699.0,,,-12116,,-502,-5380,1505,114666.0,-42179,0.0,1062.0,-14976,682.0,-2098,2448,5530,-271434,0.0,,,-2592.0,-2973,0.0,-15181.0,0.0,89058,,165149.0,,7775.0,,,-247560.0,7864,,-287274,18061,,,-24672,853,-1991,1773,,,2014年01月01日至2014年03月31日,1338451,1349338,10887,216221,217392,217610,,61620.0,,75239,216221,,65416,-56328,9088,24464.0,,,,,,,871.0,1389,-23499,1349338,0,,1271,,,-42833
2014-07-31,2,2015,,,,-16919,0,29470,30830,6302,-66898,3079,,64298,18670,1815,-3386,7342,-26246,-399429,,,-12600,-6849,-680,,-1502,,56507,,53876,,6784,,,-325886,41721,,-329659,52132,,26423,-77970,3214,-7708,3005,65151,-10914,2015年01月01日至2015年06月30日,1427977,1524648,96671,583475,332296,374985,,,-10662,120280,583475,-17639,47480,-245056,-197576,150000,,,,,,,,-208490,-3498,1524648,-103137,24258,-2139,,,-48533
2014-08-08,2,2014,-14013.0,,,-17197,-1639.0,19498,-27775,2930,20257.0,-908,,4267.0,-26644,2131.0,-4443,4530,-4950,-318266,0.0,,,,-3192,0.0,-5500.0,,-100875,,854190.0,,47672.0,,,-533497.0,-82913,,-321138,36593,,,-37082,555,-4389,4474,38400.0,,2014年01月01日至2014年06月30日,1338451,1683113,344662,488787,556750,608250,,0.0,-45507.0,114000,488787,-13105.0,884923,-751447,133476,176107.0,,,,,,,,119463,-13567,1683113,-89985,,597,,,-24892
2014-11-07,3,2014,-9727.0,,,-30867,5205.0,-3827,-63216,-173,418375.0,37820,,,22633,,-7365,6992,-9063,-452051,,,,,3005,0.0,,,-68483,5064.0,866322.0,,3125.0,,,-384602.0,-198980,,-434096,58164,,,-65157,868,-6892,7385,89613.0,,2014年01月01日至2014年09月30日,1338451,1716217,377766,776883,1267275,1342197,-557327.0,0.0,-33217.0,-446350,776883,-13161.0,849314,-274273,575041,176107.0,,,5366.0,108.0,2320.0,,,565314,-26961,1716217,-165028,6819.0,-1046,,,-26992
2015-03-12,4,2014,-7251.0,,,-46720,10559.0,8919,-41359,8148,344246.0,-1609,,,28462,-2435.0,-9617,9991,9965,-653710,,-1275.0,0.0,,12874,0.0,,,-166684,5064.0,0.0,0.0,23717.0,,739320.0,-541365.0,-165595,,-631676,77639,0.0,,-94299,4515,-9547,10138,89705.0,,2014年度,1338451,1427977,89526,1051338,1047024,1129050,-557327.0,,93383.0,-335787,1051338,-13250.0,627258,-542295,84963,175923.0,,,,,2320.0,,5366.0,77712,-3405,1427977,-172322,7331.0,-1046,,0.0,-147832
2015-04-29,1,2015,,,,-6799,,1359,36071,15559,-208685.0,-39947,,64020.0,17636,0.0,-1837,3539,-24330,-44527,,,,-2091.0,-102,,0.0,2226.0,16701,,-33168.0,,-362.0,,,-323348.0,91460,,19628,25520,,,-24399,1450,-3480,1525,,26779.0,2015年01月01日至2015年03月31日,1427977,1413799,-14178,278285,-141082,-136970,,0.0,-11595.0,131606,278285,,-71869,-370165,-442034,150000.0,,,,,,,0.0,-415255,-6930,1413799,-2157,22608.0,0,,,-8380
2015-11-06,3,2015,,,26423.0,-31651,66139.0,11812,20396,-12494,151081.0,73757,,,18491,1979.0,-4597,11803,11952,-463401,,,,-8047.0,4643,,,,32173,-19829.0,120650.0,,-1998.0,,,-571076.0,26617,,-398715,78841,,,-126348,5097,-12197,4271,122750.0,-20527.0,2015年01月01日至2015年09月30日,1427977,1455474,27497,906290,661427,730584,-584264.0,251285.0,,-247167,906290,-17651.0,167139,-322318,-155179,150000.0,,,0.0,,0.0,,,-175706,-20143,1455474,-183981,25706.0,-32537,,,-4445
2016-03-23,4,2015,,,32752.0,-46403,56696.0,7643,689,-8100,132220.0,38311,,,5454,6823.0,-5765,16474,-88,-626414,,,,,-6150,,,,-170308,-19829.0,,,-830.0,,55152.0,-376773.0,-3268,,-556795,107290,,,-168633,7101,-16347,6335,122750.0,-34805.0,2015年度,1427977,1374472,-53505,1213768,710058,787764,-584264.0,,306524.0,-206680,1213768,-17651.0,20787,-411986,-391199,150000.0,,,,,0.0,,0.0,-426004,-26793,1374472,-190444,25706.0,-32537,,,-44596
