date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付投資款減少,預付款項（增加）減少
2013-05-08,1,2013,2779896.0,-85233.0,-3579142,-445410,,110310,,28127,32,-39,,,-64571,305,-7156280,-53979,135633,494374,-7182196,-388771,-18000,,-284567.0,0.0,-613.0,-362274,,-14165,19308,,,36929,-8122,-53734,65876,-395146,2650269,0.0,-519225.0,56447,178674,3994.0,-5247828,9455685,460,0.0,2889,-181377,169320,-90137,45512,886,,2013年01月01日至2013年03月31日,42592725,53424276,286661,10831551,7542695,,9855938,9922667,,9990000.0,3713366,-5006412,5729067,7542695,10803,-886.0,-356881,-43043,-399924,1450337,19657,0.0,132969,,15323,,,,-33116,,,2379972,-25433.0,53424276,-22990,8603,163104,1828,,-72586.0,22952.0,62627
2013-08-07,2,2013,12080008.0,-85233.0,-4499569,406824,0.0,258357,,-344531,1035,16356,,,-74158,1736,-7180445,-127180,292446,574154,-15145807,-523067,-70684,-50000.0,-284567.0,0.0,-613.0,-1394846,,-21627,20883,,,82914,-11116,-107617,164137,-434064,2641314,0.0,-2245445.0,585539,-1730802,7663.0,-13055874,18916012,460,0.0,244446,-311010,452581,-310566,114926,64208,,2013年01月01日至2013年06月30日,42592725,52863347,455545,10270622,9322869,,19422181,20305115,,9987990.0,6943820,-8228164,3330161,9322869,29043,-64208.0,671851,-1769613,-1097762,1650337,324710,84059.0,781079,39634.0,-5343,0.0,,,-704135,0.0,,10982246,-39949.0,52863347,-751502,2087,386191,-1689,0.0,-5000.0,34803.0,135401
2013-10-30,3,2013,20163297.0,-181953.0,-10968944,-473881,0.0,-54209,,25721,1024,44925,,,-425267,17901,-7189628,-205770,447321,96639,-25160576,-833542,-561212,-50000.0,-303059.0,0.0,-613.0,-2567777,,-36827,399667,,,134553,-20168,-139912,211441,-315100,2641314,967.0,-2245445.0,1055049,-940914,11289.0,-23778344,28070597,460,0.0,272847,-526514,793828,-378462,182324,801448,,2013年01月01日至2013年09月30日,42592725,50336142,361108,7743417,13279287,,32562107,32758816,-5061303.0,9987990.0,9525227,-10286380,-1136985,13279287,29199,-784172.0,663103,-1346871,-683768,7887481,533622,84250.0,2060029,104348.0,-18946,0.0,,,-1209746,0.0,,19479529,-84670.0,50336142,-802019,-142168,659950,-5618,-265.0,,34803.0,-38132
2014-03-12,4,2013,29202936.0,-2153438.0,-6199532,-176478,,89343,,-16168,-1889239,62928,,,-430857,13548,-7197630,-301726,596232,310180,-32911352,-1263269,-733034,-79758.0,-343989.0,0.0,-8560.0,-2881754,,-36821,442423,,,171267,-33865,-184306,277333,-112589,2641314,967.0,-2245445.0,845365,886762,15020.0,-31516164,37241788,460,0.0,372550,-748601,1190524,-446070,282564,808564,,2013年01月01日至2013年12月31日,42488490,50830678,399230,8342188,14361794,,43472461,43643929,-5061303.0,9987990.0,13149006,-14371089,-3924289,14361794,28337,-789583.0,730667,-651468,79199,2737337,576634,84120.0,2965245,104302.0,-40897,-93284.0,,,-2195070,161.0,,29282135,-83629.0,50830678,-816526,-191686,1275775,-4618,56693.0,,34803.0,373795
2014-04-30,1,2014,9685793.0,-57180.0,-475232,-326466,,105717,,200297,-1456482,-4209,15617.0,,-8249,13016,-7909,-124278,147307,573590,-6276591,-136576,-67944,,0.0,,-60700.0,-175070,-29900.0,-18135,85352,,,35958,-2443,-17477,53307,-381433,0,,0.0,-280293,-1958514,5303.0,-6099971,9450230,-203828,,0,35381,400083,-203641,98916,143872,,2014年01月01日至2014年03月31日,50830678,53930772,150465,3100094,1291583,,6231640,6231301,,0.0,5367850,-2567731,2394835,1291583,822,-1328.0,-405368,-4340707,-4746075,0,73489,,528724,,-58020,,,,-367003,4000.0,,4939718,1204.0,53915155,-38808,-15545,92519,8261,,0.0,0.0,-446167
2014-07-30,2,2014,18698720,-10306392,-1255964,1236847,,8160,,107391,-4641756,-663,,,-274378,118915,-20890,-260258,432214,51425,-14161448,-464359,-115422,,0,,-121016,-603179,-60036,72465,121310,,,65877,-21389,-34525,106293,128072,0,,0,-547549,-4915724,11243,-13132347,18971528,-203828,,35257,-96248,827380,-421859,220981,218931,,2014年01月01日至2014年06月30日,50830678,49634263,-23104,-1196415,5145646,,13912522,14096660,,4994910,8866950,-5531578,-2028015,5145646,1267,-94944,807269,-10554975,-9747706,1000000,251973,477596,1630929,,-53398,,-15617,,-1159030,74378,22292,8951014,-13944,49634263,-202191,-47529,163211,38261,,0,0,-929899
2014-10-29,3,2014,28592968.0,-10306392.0,-1735313,247010,,-229731,,32239,-4795985,11942,,,-323245,174363,-31225,-389654,569146,464201,-27028655,-747066,-167483,,0.0,,-120756.0,-871064,-89946.0,57823,313273,,,98399,-24249,-66922,168369,-276392,0,0.0,0.0,-678615,-5084019,17300.0,-25816112,28693525,19373,,79470,-41789,1300779,-494978,335110,842799,,2014年01月01日至2014年09月30日,50830678,42743972,174076,-8086706,8137972,,25951824,25495711,-6253150.0,4994910.0,4661162,-2297520,-8686619,8137972,1310,-701546.0,-370124,-10865105,-11235229,1824000,252660,674124.0,2198986,,-54929,,-15617.0,,-1738828,74378.0,22292.0,17357739,-13944.0,42743972,-226818,-85092,256638,38261,596678.0,-30000.0,0.0,-498351
2015-03-18,4,2014,39039034.0,-14137308.0,-3858996,2032810,,-18507,,158440,-985505,-3178,511088.0,,-340611,242996,-41090,-495730,687178,1457172,-43237007,-489035,-1941739,,0.0,,-182184.0,-1153356,-180966.0,104841,370811,61653.0,,133172,-26026,-94112,231107,-1893932,0,0.0,0.0,-711229,-6013039,25098.0,-42605814,38785576,-23235,,131172,-45521,1871778,-565845,494148,888281,,2014年度,50830678,46212423,481037,-4618255,13513296,,44788252,44258556,-6253150.0,4994910.0,9879359,-5744551,-8257865,13513296,24382,-706719.0,1501941,-9795715,-8293774,6284000,338196,677339.0,3311317,,-81811,,-15617.0,,-2377910,74394.0,22292.0,30745260,-13944.0,45701335,-286888,-54228,304517,38261,596678.0,,0.0,-861497
2015-04-29,1,2015,,0.0,-2554183,-177072,,80238,,-316993,800844,586,331248.0,6107635.0,-519349,2304,-9866,-74095,101040,-775643,-14892734,-74894,-1897155,,,,0.0,-344092,0.0,-9429,214943,,,32868,-2002,-79739,79110,-417462,414958,,,-32722,2039066,,-16497962,10310797,-148100,,9782,-41806,437399,-217609,93767,113069,10577237.0,2015年01月01日至2015年03月31日,46212423,53963304,-12705,7750881,4354110,7226.0,16869811,17246595,,,5334629,-4468155,8154675,4354110,120,0.0,-518975,2834223,2315248,3404410,44214,,208591,,-52113,,641866.0,-41203.0,-189697,0.0,,12892485,0.0,53632056,-366011,-129825,63090,84530,225530.0,-90824.0,,479637
2015-07-29,2,2015,,0.0,-3483650,1055520,,-109167,,-219345,-742043,243471,0.0,6107635.0,-577583,6859,-18881,-163522,236503,-1218210,-26926609,-94823,-2562094,,,,-60000.0,-693046,-77650.0,-182668,289413,677017.0,1583.0,34930,-5047,-1388698,102255,-572008,414958,,,138663,840193,,-31255379,21033063,-27058,,9688,-33269,909268,-535055,162657,229118,20359051.0,2015年01月01日至2015年06月30日,46212423,64046049,-216718,17833626,9534506,13016.0,28328531,30142729,,18341764.0,9549918,-13429862,21978684,9534506,1130,-112805.0,1231325,-982153,249172,3827160,54960,0.0,727910,,-82255,-834955.0,641866.0,-41203.0,-1508388,0.0,0.0,20608223,0.0,64046049,-1670918,-165778,479044,69406,225530.0,,,-372070
