date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付投資款增加
2013-05-13,1,2013,34157.0,-14313,-96631,,,,,-12383,-34436,12255.0,,-77804,3.0,,-8915.0,,-6991,,-510,21565,6477,-73834,0.0,,-2070.0,,,,,-767,,-342.0,-2892,,4011,-143406,60000.0,,-36659,184152,32811,-4740.0,116840,49976,343.0,950,20424,-21596,510,,,2013年01月01日至2013年03月31日,388507,470521,82014,22398,,-147841,-128187,,190,0.0,106538,22398,,-293819,109077,-184742,61000.0,76436,,1282,0.0,-25328,114578,-24711,-451,,,,-150585,470521,1432,,,
2013-08-12,2,2013,138013.0,-78046,-72323,,11898.0,,,-12135,-32360,,3641.0,-1335,0.0,,-21658.0,,-4445,,-1111,44461,8290,-337468,0.0,0.0,-14000.0,,,,,3298,,-344.0,-44903,,24465,-102521,140000.0,,-16085,77260,35074,-11365.0,-222122,101099,,1511,38951,-44727,1111,,,2013年01月01日至2013年06月30日,388507,529049,140542,27782,,7160,66368,,258078,,347214,27782,,-214429,115002,-99427,27526.0,79720,0.0,1859,2759.0,-25721,107928,-18061,-1817,,,,38586,529049,-15592,-152.0,,
2013-11-12,3,2013,182471.0,-110833,-21650,,-39252.0,,0.0,-14876,-20909,,27207.0,-1645,0.0,,-22034.0,,-3421,,-1030,66025,3477,-394891,0.0,-14768.0,,0.0,,0.0,-146000.0,6137,,-345.0,-45668,0.0,42037,-53139,150000.0,,-13983,19965,24051,-18339.0,-227898,151115,,2327,57604,-66123,1030,38212.0,,2013年01月01日至2013年09月30日,388507,585671,197164,123981,,160504,208712,0.0,99686,,261081,123981,-38212.0,-121987,24247,-97740,122573.0,83339,0.0,2179,,-25865,177320,-29825,-2137,0.0,0.0,105418.0,84731,585671,-21327,-247.0,0.0,
2014-03-28,4,2013,278643.0,-96720,69682,-2979.0,21315.0,3622.0,,-27020,12136,-23089.0,,2914,,-1830.0,-58725.0,,1350,,-3282,86731,7474,-410795,0.0,-31729.0,-220000.0,0.0,-11367.0,-665.0,,6973,,0.0,-19511,,79404,-26590,,-15000.0,36115,89191,-18639,-29162.0,-288007,234829,,2159,43754,-86866,3282,38609.0,,2013年01月01日至2013年12月31日,388507,745490,356983,219216,,585918,704226,0.0,138361,,51598,219216,-38609.0,20046,186321,206367,26787.0,77639,,1859,189000.0,-25521,177145,-29649,276,0.0,,,485010,745490,-34724,-368.0,,
2014-05-12,1,2014,52191.0,-33026,-82059,-9522.0,-18486.0,,745.0,-19799,-10494,3996.0,,-12,0.0,,-12695.0,,-6155,,-767,20334,1062,-53369,,-8690.0,-12990.0,,,-12.0,,2745,,-351.0,-3541,,60548,-91909,0.0,,-45592,130775,22189,-8481.0,-22271,51002,,86,9536,-19911,767,,,2014年01月01日至2014年03月31日,745490,747602,2112,15138,,-28056,-5513,,63257,0.0,51377,15138,,-257362,184520,-72842,21497.0,995,273.0,37405,0.0,-747,25612,-2785,-20912,,,,-20651,747602,-3399,-146.0,,
2014-08-12,2,2014,51920.0,-124466,-47599,-456.0,-26667.0,-329.0,,3521,-35840,-760.0,,31,,,-60024.0,,-16685,,-1801,40269,-727,-102916,-68.0,-53526.0,-24980.0,,,-3122.0,,5508,,-350.0,-1770,,114198,-87064,30000.0,,-23640,27052,35344,-15202.0,-35496,100735,,2079,18157,-40045,1801,32248.0,,2014年01月01日至2014年06月30日,745490,832418,86928,212619,,172238,208217,,24105,,-49087,212619,-32248.0,-170440,114118,-56322,21624.0,105049,4502.0,76836,0.0,-40009,25612,-2785,-21026,,,,-4402,832418,-29983,-274.0,,
2014-08-12,2,2015,,-174913,62459,14698.0,-11475.0,351.0,,-131853,2483,-271.0,,0,,,-19324.0,,-3595,,-2210,38454,-9129,-95416,-306.0,-19380.0,-83000.0,,,-1287.0,,3221,,-443.0,9541,,20808,23772,10000.0,,-11035,-32928,32222,,-110371,103905,,4505,2835,-38428,2210,20685.0,113508.0,2015年01月01日至2015年06月30日,752851,597460,-155391,101596,-34871.0,110178,149384,,19287,,-146069,101596,-20685.0,-76830,11110,-65720,0.0,799,0.0,30280,81014.0,-309,-13372,0,-12089,,,,47788,597460,-23673,-524.0,,
2014-11-12,3,2014,94273.0,-165669,-33519,-923.0,-10235.0,1265.0,,-2039,-7308,-4725.0,,31,,,5806.0,,-22189,-5328.0,-2696,59711,2954,-250114,-68.0,-70064.0,-30959.0,-5530.0,,-64.0,,12322,,-350.0,-3375,,10907,-41163,-35000.0,,-33859,43277,108569,-22372.0,-134763,151454,,2135,5580,-59487,2696,46655.0,,2014年01月01日至2014年09月30日,745490,760881,15391,235411,,281330,341050,-122052.0,167253,,-134130,235411,-46655.0,-133875,145241,11366,21688.0,106743,4502.0,91536,0.0,-40129,25612,-2785,-22365,,,,105639,760881,-49584,-110.0,,
2015-03-27,4,2014,180823.0,-281440,-13590,-263.0,6547.0,4081.0,,59448,24036,-2735.0,,-4355,,0.0,20790.0,,-16764,,-3844,79537,17146,-333396,-68.0,-85877.0,-56598.0,,0.0,-790.0,,15843,,,-1476,,-36460,-104897,5000.0,,-9982,150053,-13131,-32871.0,-162787,204928,,2190,4787,-79643,3844,61892.0,,2014年度,745490,752851,7361,245541,,326287,450899,-122052.0,203460,,-173285,245541,-61892.0,-102155,126690,24535,21747.0,108044,4769.0,94225,0.0,-40894,25612,-2785,-7057,4067.0,,,205358,752851,-48813,-19382.0,26156.0,-5327.0
2015-05-12,1,2015,,-59370,-59163,0.0,-8306.0,,-26278.0,-45646,-21202,-2641.0,,0,,,4842.0,,3804,,-1370,19577,-5455,-47361,-159.0,-12032.0,-54000.0,,,-594.0,,3277,,4.0,5187,,23626,-47219,10000.0,,-43884,101823,53196,,-66394,50627,,3927,1382,-19389,1370,294.0,69422.0,2015年01月01日至2015年03月31日,754542,713118,-41424,21679,-12102.0,10972,32224,,68819,0.0,19453,21679,-294.0,-208014,149137,-58877,0.0,894,0.0,25742,40006.0,-172,0,0,-10786,,,,10545,713118,-3527,-550.0,,
2015-11-12,3,2015,,-86527,-71798,312.0,-24370.0,-20000.0,,-27368,-16955,12654.0,,424,,,7348.0,,-5619,0.0,-10648,57701,25607,-149856,-576.0,-26495.0,-135678.0,-13485.0,,-5688.0,,5625,,-266.0,3206,,-139813,99839,-60000.0,,-746,126224,5181,,-160354,157685,,4131,4333,-59200,10648,77118.0,120228.0,2015年01月01日至2015年09月30日,752851,581892,-170959,158839,-66466.0,154652,163531,-110956.0,66885,,-190864,158839,-77118.0,-66227,-49309,-115536,,2464,160.0,31792,108692.0,-1041,46382,-2291,-11918,-21274.0,,,4692,581892,-37445,-612.0,,
