date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加,預付設備款減少
2013-05-06,1,2013,86442.0,,-50000.0,-25676,8175,-10553,-23653,8739,,,-342,4162,-360,-166808,0.0,,-138,866,0.0,-70.0,0.0,804.0,-64289,-14033,-12628,0.0,-49996.0,-498,-15840,8091,29090,727.0,-99168,182935,,408,-3888,342,,,2013年01月01日至2013年03月31日,182782,104547,-78235,183041,,153589,157135,,,-32230,-132296,183041,,-62163,-50185,-112348,0.0,21653,45321.0,12152,-114809.0,-25906,104547,,,,,,1070.0,,
2013-08-06,2,2013,-24980.0,,-20000.0,-13279,7869,-589,-38756,5933,,,-401,6522,-383,-473675,0.0,,-138,1687,,-83.0,,748.0,-137429,-10932,-12446,0.0,-349979.0,-4177,-26835,2828,49093,1482.0,395836,373463,16.0,818,-6957,401,,,2013年01月01日至2013年06月30日,182782,110626,-72156,585431,,348862,383229,,,-446409,-816471,585431,,-35764,-141458,-177222,,43712,825189.0,24433,-433243.0,-202202,110626,-27811.0,-16.0,,,,1757.0,,
2013-11-11,3,2013,66452.0,,,-11897,7205,-11043,-55259,6216,,,-790,9811,-2572,-757895,0.0,,-138,2357,,-42.0,,51.0,-211894,-10665,-12414,0.0,-199977.0,2393,-38401,22986,29660,1258.0,252234,572874,16.0,1223,-10044,790,120158.0,,2013年01月01日至2013年09月30日,182782,245606,62824,791746,,511759,576359,-361240.0,0.0,-137338,-698597,791746,-120158.0,-44761,-237078,-281839,0.0,72411,825189.0,32725,-433243.0,-215387,245606,-55346.0,-16.0,,,,1669.0,-7542.0,
2014-03-14,4,2013,286538.0,,-200000.0,7595,-4267,-2226,-70244,7184,,,-1511,13264,-3695,-1041449,0.0,,-138,2899,,-3696.0,,1772.0,-279333,2611,-6847,0.0,-190078.0,22033,-37671,25221,24733,-212.0,-12154,781429,16.0,1445,-13423,1511,120158.0,,2013年01月01日至2013年12月31日,182782,128650,-54132,879930,,787796,855061,-361240.0,0.0,-71065,-826079,879930,-120158.0,921,-312328,-311407,0.0,100843,825189.0,41746,-433243.0,-24869,128650,-55353.0,-16.0,,,,683.0,-18529.0,
2014-05-06,1,2014,231422.0,,0.0,-33642,5869,4144,-14335,8589,,,-8,3190,-472,-288605,-22327.0,,0,1835,4502.0,0.0,-567.0,0.0,-49626,-14694,-132,250032.0,0.0,-19463,-21765,-829,7257,-31.0,-426710,218762,,205,-3346,8,,,2014年01月01日至2014年03月31日,128650,205690,77040,82752,,182178,185516,,,-229994,322044,82752,,-44355,-84303,-128658,150000.0,34267,0.0,7438,0.0,102764,205690,,,,147504.0,,0.0,-149478.0,
2014-08-05,2,2014,404228.0,4616.0,0.0,-20585,4967,190,-35234,6044,,,-48,6967,-87,-584201,-226725.0,-20559.0,-32,3021,5295.0,0.0,-222.0,0.0,-148724,-6144,-243,,-99831.0,-62056,-31695,-5506,4820,335.0,-666062,446598,0.0,408,-7244,48,,,2014年01月01日至2014年06月30日,128650,164289,35639,243409,,296155,353806,,,-47335,405633,243409,,-26447,-267384,-293831,400000.0,66150,105427.0,16356,-64921.0,110397,164289,-50455.0,0.0,-4153.0,147504.0,,0.0,-10516.0,
2014-11-12,3,2014,510774.0,4616.0,,-22551,11927,4765,-55463,9222,,,-79,11727,14,-906679,-310399.0,-20559.0,-32,4742,5486.0,0.0,-911.0,0.0,-221636,135,49992,,-49847.0,-72357,3664,-3646,7191,513.0,-849680,683693,0.0,604,-11694,79,139411.0,,2014年01月01日至2014年09月30日,128650,89941,-38709,476053,,606997,698583,-577984.0,78801.0,0,203960,476053,-139411.0,32854,-321098,-288244,600000.0,104901,121443.0,22966,-69315.0,222530,89941,-79971.0,0.0,-4153.0,147504.0,,0.0,0.0,18529.0
2015-03-16,4,2014,767737.0,4616.0,0.0,-6433,9267,-551,-68485,8152,,,-100,17285,32,-1191233,-450662.0,-20675.0,-63,3968,3628.0,0.0,-3363.0,0.0,-331511,1674,-39248,199998.0,0.0,-40023,-8416,-1783,16091,695.0,-1364001,934215,0.0,792,-16462,100,139411.0,,2014年度,128650,99951,-28699,577154,,787893,884320,-577984.0,524231.0,0,547377,577154,-139411.0,-43863,-416708,-460571,250000.0,148384,140278.0,29411,-74270.0,307166,99951,-80065.0,0.0,-4153.0,147504.0,0.0,,-130694.0,
2015-05-05,1,2015,,,-250000.0,-30378,-2610,-189,-8916,10280,,,-33,5914,-327,-319019,0.0,,-213,1086,2364.0,,-2513.0,,-75731,-14243,36337,349928.0,,-42872,-14282,3778,-428,,-120518,261680,4.0,165,-6088,33,,275786.0,2015年01月01日至2015年03月31日,99951,443475,343524,118643,-22534.0,218026,232645,,,-156249,246343,118643,,-31007,-130777,-161784,0.0,70533,,6978,,114002,443475,-8564.0,-4.0,,300300.0,,,0.0,130694.0
2015-07-28,2,2015,,53.0,,-9163,-44,10580,-26193,6295,,,-1436,12329,-3329,-657462,0.0,0.0,-213,2773,8110.0,,-3902.0,,-126919,-2896,24202,250000.0,0.0,-68190,-11886,-1824,11326,,-319938,530259,4.0,333,-12771,1436,,512945.0,2015年01月01日至2015年06月30日,99951,602507,502556,275146,-22089.0,509168,571294,,,-491755,316655,275146,,634,-217431,-216797,250000.0,106680,104212.0,14736,-45992.0,296148,602507,-50791.0,-4.0,-53.0,300300.0,,,0.0,130694.0
2015-11-03,3,2015,,53.0,,-9979,-2983,16252,-53861,7609,,,-1488,19440,13323,-991518,0.0,0.0,-473,4603,38420.0,,-3188.0,,-254234,3467,10387,499754.0,0.0,-85800,-15041,-10111,3354,,-475846,811072,4.0,517,-20097,1488,131921.0,679070.0,2015年01月01日至2015年09月30日,99951,491128,391177,502297,-21658.0,667829,768773,-462387.0,0.0,-440216,185871,502297,-131921.0,-1531,-411063,-412594,250000.0,152453,104212.0,22896,-45992.0,266476,491128,-82335.0,-4.0,-53.0,300300.0,,,,130694.0
2016-03-08,4,2015,,53.0,,6845,-1124,14081,-61468,9342,-409590.0,,-1561,26462,-85,-1421518,-654.0,0.0,-473,12278,63233.0,,-4457.0,,-339133,6677,888,309920.0,,-48787,6063,-3720,22234,,-1212165,1101644,4.0,711,-26833,1561,131921.0,990907.0,2015年度,99951,105798,5847,615330,-24782.0,1085688,1193357,-462387.0,0.0,-328657,132409,615330,-131921.0,3709,-416589,-412880,250000.0,232845,129014.0,40143,-56792.0,578027,105798,-82397.0,-4.0,-53.0,300300.0,,,130694.0,
2016-05-10,1,2016,,,0.0,-27929,2770,-939,-9894,18481,,409590.0,-169,5778,-6009,-367521,,-51.0,-384,5605,26849.0,,-494.0,,-83696,4909,40918,119941.0,,-47533,-14265,6982,0,,90141,298471,0.0,214,-5390,169,,336802.0,2016年01月01日至2016年03月31日,105798,506384,400586,105828,219.0,323844,332653,,,-154180,-7390,105828,,17178,-127155,-109977,,49001,,26903,,226825,506384,-3588.0,0.0,,0.0,,,,0.0
2016-08-10,2,2016,,0.0,,-14825,-8021,7340,-38014,13074,,409590.0,-200,12239,-1860,-751206,,-51.0,-384,11397,53941.0,,0.0,298.0,-135163,-3751,15804,0.0,-309801.0,-74170,-16545,4160,0,,-330223,599629,0.0,436,-12349,200,,679263.0,2016年01月01日至2016年06月30日,105798,140693,34895,193979,-471.0,571457,622660,,51381.0,0,-204479,193979,,4097,-254679,-250582,0.0,108430,0.0,55762,0.0,428681,140693,-39054.0,0.0,0.0,0.0,,,-96900.0,0.0
2016-11-08,3,2016,,0.0,,5107,-2311,19021,-62321,-1959,,409590.0,-241,17071,-665,-1190566,,-51.0,-654,18297,76808.0,,0.0,456.0,-180858,-6129,78570,0.0,-100013.0,-60149,-7571,3479,0,,-480336,904797,0.0,669,-17787,241,139219.0,885669.0,2016年01月01日至2016年09月30日,105798,110647,4849,413903,-1177.0,999371,1083274,-476837.0,,-13479,-513521,413903,-139219.0,95392,-311690,-216298,0.0,161670,0.0,84295,0.0,669371,110647,-66357.0,0.0,0.0,0.0,,,,0.0
