date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失
2013-05-09,1,2013,30825.0,28152,58633,,-23,3757,-1652,-1064.0,,,,,,-22320,,38602,-18412,,-10211.0,,314.0,-58628,-472577,,129,-200371,,931,-24599,58993,,-10069.0,,744.0,,32396,,,2013年01月01日至2013年03月31日,9872243,10248560,376317,1001972,362314,380015,,,,,1001972,,-445971,-206811,-652782,4024,-1970,-4936,,,-621957,10248560,-50097,,
2013-08-08,2,2013,-65094.0,-86913,99341,,-2022,-21044,-3892,-10264.0,,,,,0.0,-52963,,43992,-31714,,8485.0,,3070.0,-302198,-1079634,24136.0,172,-429116,94076.0,3424,-19004,118105,,26719.0,1253.0,1579.0,,55815,,,2013年01月01日至2013年06月30日,9872243,10097113,224870,2155838,199882,403529,,,,,2155838,,-1148153,-539062,-1687215,4225,-1450,-106904,,,-1752309,10097113,-259462,-27784.0,
2013-11-07,3,2013,-10220.0,-97247,128880,,9000,10925,-4291,-36228.0,,,,,,-73431,,51377,-37711,,243251.0,,15258.0,825765,-1841054,22628.0,-3608,-236572,118280.0,4794,209905,178441,,29979.0,9228.0,2238.0,,71874,,,2013年01月01日至2013年09月30日,9872243,8762026,-1110217,2885457,1428453,1806488,-2799952.0,,,-2799952.0,2885457,,-1914572,845823,-1068749,4365,-1441,-110534,,,-1078969,8762026,-449909,-29979.0,0.0
2014-03-19,4,2013,11140.0,-67664,39086,,10436,1708,-5131,,,,-8640.0,,,-115182,,44288,-54858,,388276.0,,14900.0,1146391,-653747,45801.0,-2393,-328301,162247.0,5829,332558,238147,,29979.0,30403.0,2238.0,-6728.0,99849,15074.0,,2013年01月01日至2013年12月31日,9872243,11639505,1767262,3738144,3742978,4133525,-2799952.0,447390.0,,-2352562.0,3738144,-15074.0,-672698,1056939,384241,7780,-1916,-112397,,,395381,11639505,-498742,-29979.0,0.0
2014-05-07,1,2014,18034.0,-6845,-11538,-10457.0,-14077,18128,5273,,,,-35162.0,,,-38584,,19306,-36854,,-436329.0,,0.0,-898075,-528385,-5084.0,-1204,-20521,0.0,596,-466047,59742,,0.0,163.0,,-2363.0,30418,,,2014年01月01日至2014年03月31日,11639505,10757242,-882263,1022229,-435522,-431926,,,,,1022229,,-550322,-921867,-1472189,42298,-855,-2432,,,-1454155,10757242,-31651,,
2014-08-07,2,2014,24688.0,-28077,-11538,-10235.0,-15571,-14684,7771,-41571.0,,,,,,-92869,,-29249,-65766,,-534857.0,,0.0,-1184697,52070,22256.0,-1211,-185993,0.0,3158,-544104,117999,-392.0,0.0,-462.0,,-5038.0,71210,,,2014年01月01日至2014年06月30日,11639505,11599585,-39920,2010608,434878,626582,,98555.0,,98555.0,2010608,,36846,-1445560,-1408714,56519,-813,-5799,,,-1384026,11599585,-257876,6632.0,
2014-11-06,3,2014,31208.0,41392,53387,-14371.0,-644,-23484,5876,-55762.0,,,,,,-130984,7622.0,-10232,-76842,-103008.0,-475311.0,,10564.0,-1191366,-200042,48093.0,-1212,41188,0.0,-564,-598728,176597,,0.0,897.0,,-7661.0,111825,,,2014年01月01日至2014年09月30日,11639505,9330568,-2308937,3134122,1481266,1867821,-2886103.0,-295140.0,,-3181243.0,3134122,,-106537,-1190972,-1297509,56433,-375,-9244,,,-1266301,9330568,-490719,-23869.0,
2015-03-12,4,2014,-5282.0,81242,-23247,,10050,-8204,4756,,,,-70658.0,,,-176359,8209.0,41939,-23399,-103008.0,-862978.0,,13200.0,-1289048,532947,28384.0,-1207,-274609,0.0,4158,-685679,236547,,0.0,-8330.0,,-8209.0,170818,13781.0,,2014年度,11639505,11565344,-74161,4400954,3112122,3460894,-2886103.0,343560.0,,-2542543.0,4400954,-13781.0,656172,-1590950,-934778,9939,1800,-13023,364425.0,,-940060,11565344,-525162,-53545.0,0.0
2015-04-29,1,2015,,-120578,41897,0.0,-52981,4458,16988,,,,,37210.0,,-46619,1816.0,-55909,-15616,,,-547400.0,,244298,-1583003,8779.0,-8,218131,,-5126,30754,60055,,,-1773.0,,-1816.0,56198,,-28944.0,2015年01月01日至2015年03月31日,11565344,10816047,-749297,941404,-305382,-314685,,,-418760.0,-418760.0,941404,,-1730803,503658,-1227145,30,1,-3259,,556530.0,-1256089,10816047,-45079,-39165.0,
2015-08-06,2,2015,,-149651,18336,0.0,-23264,-51576,15848,,,,,46213.0,,-85142,2398.0,-89408,-30989,,,-1107214.0,-87.0,-725062,-429668,6786.0,-8,142382,,-339,-491134,119969,0.0,,7364.0,,-2398.0,85817,,101097.0,2015年01月01日至2015年06月30日,11565344,10644707,-920637,1508362,166305,413243,,-506400.0,,-506400.0,1508362,,-579957,-616259,-1196216,31,241,-9563,,600825.0,-1095119,10644707,-330357,65917.0,
