date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-13,1,2013,0.0,20687.0,,-9761,-1525,,-16952,1152,2592.0,2622.0,,,-675,1511,2667,-29814,,-245,-1505,2699,,,,,,5918,0.0,12497,,-1247,51108,7020,-8294,,-29444,19850,-209,929,-1511,675,,2013年01月01日至2013年03月31日,698106,846984,148878,109813,171161,179657,,1795.0,,4494,109813,,-12871,62028,49157,,615,0,69844,846984,-7660,577,,4236
2013-08-09,2,2013,,41027.0,,-121,-4437,5691.0,-13452,1367,2398.0,,,,-1867,2707,2892,-44594,,-160,-1698,3223,0.0,,,,,41372,0.0,1937,,590,54146,11060,-7685,,-38969,39598,-209,2107,-2707,1867,,2013年01月01日至2013年06月30日,698106,980824,282718,239331,331175,370208,,8898.0,-24501.0,-12380,239331,0.0,-8648,98498,89850,,94,176,130877,980824,-38193,4,,2884
2013-11-08,3,2013,,66803.0,-55000.0,-22194,-2817,7878.0,-14202,2419,2213.0,,,,-2247,3857,822,-87129,,-160,2457,3223,0.0,,,,,69377,0.0,11258,,-332,3874,5398,29618,,-79316,59046,-209,3162,-3857,2247,,2013年01月01日至2013年09月30日,698106,624800,-73306,349371,432571,503348,-327409.0,,-48197.0,-427383,349371,0.0,-23257,110431,87174,0.0,95,531,153977,624800,-69167,-3,,2771
2014-03-20,4,2013,,86842.0,-110000.0,10883,84,6121.0,-20255,2383,,,,,-4059,4265,-1978,-78053,,-1001,2509,6090,0.0,2819.0,,,,89081,0.0,7211,,-279,36651,12246,18725,-785.0,-72838,79837,-209,2674,-4265,4059,,2013年01月01日至2013年12月31日,698106,778155,80049,467336,631379,701729,-327408.0,,-48015.0,-476514,467336,0.0,-3225,150776,147551,0.0,95,862,234393,778155,-70144,754,,-8185
2014-05-07,1,2014,,23688.0,0.0,1474,-2824,311.0,4870,-2206,-187.0,,,,-1136,395,2231,-6364,,-669,2077,0,0.0,800.0,,,,-19619,0.0,16021,,-1500,-7297,-779,-8478,,-6722,21712,-754,456,-395,1136,,2014年01月01日至2014年03月31日,778155,871164,93009,104200,105826,105506,0.0,0.0,-9126.0,-8326,104200,0.0,20678,-43060,-22382,0.0,0,0,1306,871164,-421,184,,-1103
2014-08-08,2,2014,171.0,41849.0,0.0,41353,-311,-1953.0,1038,-1578,-379.0,,,,-4749,824,-1243,-15822,,-656,2752,0,,800.0,,-657.0,,-39579,,23132,0.0,-1339,-82635,1816,-28101,,-19088,41950,-754,897,-824,4749,,2014年01月01日至2014年06月30日,778155,912716,134561,253447,163148,208186,,0.0,-9056.0,-8256,253447,,63805,-150915,-87110,0.0,0,247,-45261,912716,-48963,-243,,227
2014-11-07,3,2014,256.0,63879.0,0.0,15182,-4334,-2981.0,-245,-1470,-554.0,,,,-7033,1337,864,-27735,,-1015,2089,0,,800.0,,,243.0,-26632,,-7997,0.0,-1319,-4651,-9545,-52183,,-29846,64545,-754,1356,-1337,7033,,2014年01月01日至2014年09月30日,778155,644187,-133968,369201,267407,343958,-328008.0,0.0,-45185.0,-372393,369201,,5067,-94189,-89122,0.0,1642,171,-25243,644187,-82247,1158,,5380
2015-03-20,4,2014,256.0,80214.0,0.0,8482,-742,-4648.0,108,26,-717.0,,,,-7817,720,4576,-40132,,-1288,2660,0,,800.0,,,-757.0,-2032,,-14828,0.0,26242,-11301,-739,-41020,,-45117,80421,-754,1808,-720,7817,,2014年度,778155,797260,19105,483786,442942,521128,-328008.0,0.0,-56088.0,-383296,483786,,19287,-62159,-42872,0.0,1708,241,37342,797260,-85283,1925,,-5597
2015-05-13,1,2015,0.0,,0.0,-25084,-3070,-1448.0,755,-560,-183.0,,,,-2373,104,-1073,-12343,-3000.0,0,207,0,,1879.0,,,0.0,-5337,,12501,0.0,-1246,12641,-6344,18120,,-16791,22251,-1925,433,-104,2373,19693.0,2015年01月01日至2015年03月31日,797260,929142,131882,123469,147867,148454,0.0,0.0,0.0,1879,123469,,-13257,18549,5292,0.0,0,0,24985,929142,-2856,-929,,5024
2015-08-11,2,2015,0.0,,0.0,10177,-2779,3455.0,1876,-4581,-348.0,,,,-5012,140,-2397,-23866,-3000.0,-588,388,0,,1880.0,,0.0,,-4568,,28894,0.0,-9114,-49775,-8126,11207,,-23794,41297,-1925,906,-140,5012,38055.0,2015年01月01日至2015年06月30日,797260,1021559,224299,286611,264194,296223,,0.0,-15584.0,-13704,286611,,31485,-59928,-28443,0.0,205,-86,9612,1021559,-36901,422,,619
