date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,2817.0,,-38985,7788,-474,-12722,,,,,0.0,-2920.0,-323,66,205,-2977,,,,0,,,-909,,-33552,-514,41433,-19563,,,-23066,,18183,22722,2195,,-23600,31499,-15293,0.0,-66,323,,,2013年01月01日至2013年03月31日,220281,217755,-9761.0,63,-2526,65512,,,20869,22248,,,0.0,0,65512,,-21226,-24855,-46081,,,0,,,,-43264,,217755,-1636,,-29469,-19714.0,19429
2013-08-08,2,2013,29840.0,,-6459,-1975,-638,-8950,,0.0,,,0.0,-5838.0,-460,278,-94,-9072,-60000.0,,,95,,,-910,,-65465,-970,-34881,-11463,,,-23120,,69,24172,2162,,-77465,60017,-30012,0.0,-278,460,,,2013年01月01日至2013年06月30日,220281,236267,3186.0,3413,15986,139105,,,2020,23326,,91525.0,0.0,91525,139105,,-25781,-119838,-145619,,0.0,131,0.0,,,-115779,,236267,-21488,,-69851,-7483.0,50780
2013-11-08,3,2013,65531.0,,2330,6996,-560,-2928,,,,,-11.0,,-541,709,45,-10358,-185000.0,,,96,,,-928,,-45929,-1494,-9607,-23983,,,3848,,-41195,13676,-7767,-8757.0,-42054,88118,-42862,0.0,-709,541,,,2013年01月01日至2013年09月30日,220281,149700,-170.0,5675,-70581,227457,,,128755,179785,-266805.0,109478.0,0.0,-157327,227457,15952.0,41522,-154725,-113203,,180097.0,145,-97.0,0.0,,-47672,,149700,-50862,,-77578,-25854.0,78251
2014-03-14,4,2013,59064.0,2790.0,97074,-13704,-690,1729,,,,,0.0,,-765,952,31,-111465,-185000.0,-8590.0,,-1167,,,-928,,-117174,-2011,98870,-5899,,,61530,,-151796,17233,-4008,-11649.0,-117054,113878,-59750,0.0,-952,765,15952.0,,2013年01月01日至2013年12月31日,220281,232148,,5684,11867,367306,,,395695,427058,-266805.0,,0.0,-266805,367306,,265697,-265009,688,0.0,186139.0,222,2021.0,0.0,,59752,423.0,232148,-47128,,2711,,26038
2014-05-09,1,2014,26835.0,,-114012,12432,288,-8850,,,,,,,-483,223,-792,-35062,,0.0,,1182,,,-76,750.0,-16864,-507,-7757,-11365,,,-37763,,83241,-37827,-1858,-4466.0,-30721,26029,-9436,,-223,483,,,2014年01月01日至2014年03月31日,232148,315914,6355.0,3329,83766,128266,,,14899,16534,,100380.0,,100380,128266,,-127149,-11418,-138567,,,143,,3667.0,,-111732,,315914,-1895,,-41692,,47926
2014-08-07,2,2014,39364.0,,-54880,10489,2188,-3292,,,,,,,-985,359,491,-64039,0.0,-15576.0,,2276,100.0,,-1275,3056.0,-43367,-1028,-13893,-9052,,,-27819,,-6459,14248,1780,-7227.0,-77834,51831,-17545,,-284,985,,,2014年01月01日至2014年06月30日,232148,351720,-670.0,3662,119572,237524,,,106620,127786,,90195.0,,90295,237524,,-69711,-79391,-149102,,,149,,,,-109738,,351720,-21867,1315.0,-52790,,40972
2014-11-13,3,2014,64758.0,,-61714,22168,409,-4370,,,22.0,0.0,,,-1242,683,-592,-106190,0.0,-24841.0,,1946,90.0,,-2656,4956.0,-22410,-1598,-11425,-1145,29997.0,,-18782,,34058,12475,-1566,-9989.0,-120141,78640,-19703,,-505,1242,16354.0,,2014年01月01日至2014年09月30日,232148,181087,-3572.0,8140,-51061,347494,,,219849,255045,-282051.0,101765.0,,-150177,347494,,-130224,-26983,-157207,,0.0,149,0.0,8590.0,,-92449,,181087,-52287,1315.0,-67338,,-27578
2015-03-20,4,2014,89430.0,0.0,829,15421,92,-6185,,,,,,,-1600,803,70,-178533,-70000.0,-24934.0,,5226,89.0,,-5551,9220.0,-90747,-2198,115604,19468,,,-4,-5031.0,-45056,-43125,2789,-10953.0,-166198,106113,-24538,,-803,1600,16354.0,,2014年度,232148,155360,-9195.0,11915,-76788,453396,,,371302,406498,-282051.0,748328.0,-748328.0,-281962,453396,,77778,-214106,-136328,,70076.0,561,-76.0,33524.0,,-46898,0.0,155360,-52347,2419.0,-47203,,-42227
2015-05-02,1,2015,,,-87271,4249,3806,-7414,,,,,,,-471,135,-442,-27391,-39950.0,,,1418,,,-14,0.0,62908,-2938,-34275,-9335,,,-23020,,-37236,-85901,-5766,,-27400,32327,-17357,,-135,471,,23894.0,2015年01月01日至2015年03月31日,155360,256512,10090.0,695,101152,204324,-5043.0,,35549,36566,,234151.0,-140706.0,93445,204324,,-194980,3328,-191652,,39955.0,0,-5.0,,0.0,-167758,,256512,-1353,,72488,,-39842
2015-08-10,2,2015,,,-40148,-4066,7151,-2069,,,,,,,-830,333,-776,-50447,-40000.0,,0.0,2169,0.0,,-1864,136.0,8435,-7223,-14364,-1105,30000.0,-30000.0,-24269,,-25669,-42847,-2520,,-62169,68089,-31329,,-187,830,,40959.0,2015年01月01日至2015年06月30日,155360,441740,8515.0,1056,286380,315762,-8288.0,,230880,270234,,339016.0,-220571.0,118445,315762,,-101345,14858,-86487,,30006.0,185,-6.0,,,-45528,,441740,-39997,0.0,83594,,-20322
2015-11-13,3,2015,,,-48159,5031,5106,-8788,,,47.0,,,,-958,636,-641,-71046,-40000.0,,0.0,1898,0.0,-40.0,-3245,731.0,-50552,-8884,-30698,-11339,0.0,,13213,112.0,67662,-99585,-2438,,-73541,104396,-34049,,-522,958,16916.0,58214.0,2015年01月01日至2015年09月30日,155360,93581,-6381.0,1113,-61779,440061,-11532.0,273270.0,273270,339155,-327789.0,66915.0,,-260867,440061,,-145433,-13687,-159120,,40019.0,462,-19.0,,,-100906,,93581,-83237,0.0,74983,,-62136
2016-03-18,4,2015,,,25824,-8964,-2952,-1675,219.0,,,,,13256.0,-1153,1038,44,-91404,-40000.0,,,956,0.0,-39.0,-3764,1102.0,-118120,-9586,27307,5054,,,-45092,1210.0,-128427,-5411,1259,,-93937,140880,-53635,,-1038,1153,16916.0,105792.0,2015年度,155360,215318,9210.0,4106,59958,532935,-12941.0,,481679,547901,-327789.0,,,-327828,532935,,125986,-216812,-90826,110.0,40019.0,739,-19.0,,0.0,14966,,215318,-83253,0.0,44526,,127357
2016-05-10,1,2016,,,-131427,11659,-487,-4379,,,,,,,-283,89,-1325,-37527,-20000.0,,,0,,,-1300,236.0,68441,-692,-61194,-27158,,,-53021,-4262.0,184557,84220,8948,,-38587,37121,-26166,,-89,283,,19698.0,2016年01月01日至2016年03月31日,215318,387196,9391.0,45,171878,172250,-35092.0,,155930,159439,,164240.0,-108380.0,55860,172250,,-347650,315141,-32509,,20004.0,197,-4.0,,,-12811,,387196,-3703,,-38305,,-35009
2016-08-02,2,2016,,,-35388,-1720,-730,-4401,,,,,,,-457,137,-941,-114302,-40000.0,,,0,50.0,,-3180,678.0,30540,-1378,-64095,7379,0.0,0.0,-15070,-3592.0,84284,91968,8182,,-116791,72629,-42022,,-137,457,,32747.0,2016年01月01日至2016年06月30日,215318,344235,3444.0,-100,128917,309162,-34429.0,,246599,274410,,349620.0,-349620.0,50,309162,,-158917,91418,-67499,,40013.0,507,-13.0,,,-34752,,344235,-28131,,-117435,,-12992
2016-11-10,3,2016,,,-41548,6146,-534,-12067,,,0.0,,,,-486,342,235,-176584,-60000.0,,,-2256,50.0,0.0,-4273,1518.0,-8876,-2052,-4896,-55233,,,-40283,-1345.0,235973,105372,6708,,-179322,114126,-61263,,-342,486,16556.0,56882.0,2016年01月01日至2016年09月30日,215318,102403,7562.0,99,-112915,402256,-33767.0,,386842,444857,-381150.0,638070.0,-577640.0,-320670,402256,,-142843,128562,-14281,,60017.0,827,-17.0,,,42601,,102403,-74715,,-204694,,34763
