date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加
2013-05-07,1,2013,3599382.0,,,-19955958,-1637288,,-652408,,5070000.0,-1150183,,,415318,-3430659,-5787,-193564,,-1808791,-98688.0,-121488,671830,-93738,-3594887,,,-3621263,,,116081,,-3480071,4032649,-1278088,-1454402.0,,115443,,-1000381,892928,-558266,4564,-30151.0,-3908293,4538782,,,-2446049,1060943,-422623,121816,,,2013年01月01日至2013年03月31日,11562869,15818437,4255568,9397379,,5455450,5886789,,5000000.0,3544502,,2802149,9397379,,1617883,-8727855,-7109972,16397898,46648,,,3255,,,,-3510590,15818437,-130532.0,-9203,,,,
2013-08-09,2,2013,8254867.0,,,-17569802,1403529,,-1912030,,2255600.0,-852488,,,-895555,1064454,-1258564,226480,,-3052207,-69645.0,-244301,1332729,884501,-7234450,,,-11481115,0.0,,108443,,4469607,-75886,-3648856,-6149982.0,,53351,,-1807058,245444,-2495199,-14883,-34049.0,-19169749,9358615,,,-3407004,1508300,-1140247,218556,1335152.0,,2013年01月01日至2013年06月30日,11562869,12733381,1170512,15524659,,19877200,19933373,,5000000.0,6261530,,-421440,15524659,,-3197466,-648687,-3846153,13613921,219678,,,-149071,122745.0,-48526.0,,4408714,12733381,-469634.0,-26230,,0.0,,
2013-11-08,3,2013,10413346.0,,-5300000.0,-22560428,49604,,-2111781,,3282500.0,-1096155,,,-734591,-2467712,-2310248,-106758,,-4669616,0.0,-371982,2012109,738869,-11087949,,,-13448426,0.0,1582.0,139418,,5588515,1402078,-5003692,-12048920.0,,-15457,75136.0,-2592261,225900,1899405,8878,42073.0,-25541050,13867140,,,-6726596,2943962,-1858010,362809,3086266.0,,2013年01月01日至2013年09月30日,11562869,13788758,2225889,25898892,,32405325,31383711,-3558094.0,15000000.0,7762310,,-5377255,25898892,-1086634.0,-4184849,-743678,-4928527,18614813,259696,,,-128101,122745.0,-48526.0,,5484819,13788758,-569451.0,-49608,,-1207815.0,,
2014-03-21,4,2013,14612394.0,,-7800000.0,-44540502,254927,,-2862903,,5859300.0,-3567595,,,-868582,-1438209,-603792,-78905,,-5860947,,-474907,2620766,2087182,-13162293,,0.0,-14928029,-24287.0,8504.0,58475,,-2333811,1807562,1602096,-11549004.0,,14939,0.0,-649602,-238098,219695,7661,-40093.0,-27785035,18110987,,,-9116739,4224724,-2673462,491306,3086266.0,,2013年01月01日至2013年12月31日,11562869,11459481,-103388,30306827,,39044204,39086319,-3585562.0,15000000.0,4079510,,-13449739,30306827,-1086634.0,2770849,-8603751,-5832902,39036967,315223,37701.0,655552.0,-213208,122745.0,-174705.0,,8779492,11459481,-946225.0,-50151,,-1207815.0,763757.0,-800000.0
2014-05-12,1,2014,390876.0,,0.0,-6757759,-1371872,,653325,,-4659300.0,-2986902,,,-335214,-3309477,50962,59330,,-570914,,-113537,645999,321272,-3133610,,-896.0,0,-10.0,3197.0,97951,,-1996041,1571995,-3961874,-99966.0,,50407,0.0,-853286,1546724,2855669,2454,20949.0,-4400748,4363135,,-400000.0,-2520457,795390,-476021,100334,0.0,,2014年01月01日至2014年03月31日,11459481,14681663,3222182,7048466,,-2052017,-1676164,0.0,10000000.0,2716622,,9353675,7048466,0.0,-4025609,-5089897,-9115506,2684172,219814,0.0,0.0,-178290,0.0,-2604587.0,3744168.0,-8724630,14681663,-166.0,26,,0.0,0.0,0.0
2014-08-08,2,2014,3382664.0,,-3000000.0,-23797290,589726,,307742,,-155050.0,-5722635,,,-1820692,179432,-21716,38048,,-1212743,,-218990,1315815,-578000,-5663749,,-32935.0,-1162877,-10.0,3749.0,29719,,4802195,909704,-2437849,-100018.0,,54892,0.0,-745343,234703,151262,-2973,-24727.0,-3584525,8658045,,-6179976.0,-4583646,1593302,-1132666,222025,1404365.0,,2014年01月01日至2014年06月30日,11459481,12067295,607814,11685246,,3336850,5033913,0.0,10000000.0,1171116,,1433489,11685246,-7600.0,-2728946,-7305051,-10033997,16784172,885216,,13455.0,-764349,0.0,-2610440.0,3744168.0,-6651333,12067295,-2190787.0,-3222,,0.0,0.0,
2014-11-07,3,2014,3438587.0,,-7800000.0,-25087244,266616,,850049,,-4683280.0,-7144407,,,-745853,-1499061,159155,111800,,-2348182,,-322522,1968541,-234153,-9656807,,-257640.0,-1219480,-10.0,5256.0,36369,,423287,527137,-7059661,1549387.0,,29661,0.0,2151900,1661520,-9450,4269,-59268.0,-13300965,12852767,-239.0,-429537.0,-7013895,2396230,-1799747,322189,10271683.0,,2014年01月01日至2014年09月30日,11459481,11365721,-93760,20721952,,19037984,12436608,-13831121.0,16000000.0,8368094,,-5596626,20721952,-3052980.0,-7041607,-4682324,-11723931,15321385,897050,168272.0,54944.0,-761498,0.0,-2631703.0,3744168.0,-8285344,11365721,-2192749.0,-1609,,-1115345.0,0.0,
2015-03-20,4,2014,11246318.0,,-7800000.0,-38217959,2371447,,-398791,,-4846740.0,-10428047,,,-980291,8927878,-88020,11439,,-3050448,,-393860,2584695,805176,-13960361,,-391332.0,-1297031,-92.0,3865.0,20687,,4877302,78735,-9432301,999676.0,,33484,0.0,2784185,2715348,931966,4220,-88521.0,-18197751,17082788,-239.0,-649537.0,-4532308,3198337,-2728102,390271,10273419.0,,2014年度,11459481,14335920,2876439,15694432,,32988287,27998359,-14146357.0,16000000.0,1190516,,-12719273,15694432,-3052980.0,-8017686,9075295,1057609,30736861,905761,170062.0,528262.0,-686917,0.0,-2953517.0,3744168.0,12303927,14335920,-2945660.0,-3785,,-1115345.0,0.0,0.0
2015-05-05,1,2015,,,0.0,-6609369,-1471793,,-1331220,,-941616.0,-405578,,,265208,608552,470011,184730,,-455344,,-101632,565390,-573433,-4398539,-25000.0,-4401.0,-600000,0.0,-126.0,30915,,9771239,1651232,-770296,350148.0,,61173,0.0,1702275,-256702,1217925,-592,,-6291264,4131165,0.0,0.0,-282616,833484,-796221,106044,0.0,5078230.0,2015年01月01日至2015年03月31日,14335920,24089070,9753150,2531422,-102744.0,19659385,20349562,0.0,0.0,-149484,,-3041538,2531422,0.0,-367220,13107130,12739910,4482742,35965,0.0,97671.0,1574,0.0,-62914.0,0.0,17818140,24089070,0.0,-6095,,0.0,0.0,0.0
2015-08-07,2,2015,,,-6000000.0,-10370456,-824559,0.0,-52674,0.0,3799370.0,215811,,,-8372,3139574,515086,31083,,-1450042,,-222860,1163429,-220123,-6522794,-25130.0,-4401.0,-600000,0.0,-2748.0,50311,,5762263,-627926,72915,,-149991.0,-4522,0.0,686897,-1458034,2506641,-1674,,-4642801,8360021,0.0,0.0,-6423581,1710723,-1175420,223160,1523190.0,4746701.0,2015年01月01日至2015年06月30日,14335920,31609311,17273391,17781077,-171686.0,32901122,32330192,0.0,0.0,0,-1769949.0,-10764807,17781077,-3225.0,-1564150,11366564,9802414,7496869,62525,0.0,97671.0,232668,0.0,-63061.0,0.0,14549115,31609311,0.0,-4665,,0.0,0.0,0.0
