date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-13,1,2013,-230098.0,,,-1309125,1309192,188012,,56833,134415,-202975,-5976,,-113429.0,-332488,,,-63026.0,-728982,258514,152159,-3002614,0.0,-1051391,-1177488,,,-47022,,,0.0,184224,,23962.0,,-372278.0,134804,0.0,-21728,507788,3380357,-61018,-3729.0,-310343,-156174.0,,-1576562,1575035,,-610965,0.0,-668145,192485,-231280,775402,16249.0,,2013年01月01日至2013年03月31日,15657672,16230543,-937563,572871,1527177,,1805325,1349067,-388,,846462,-2700638,191949,1527177,,1700977,-1648989,51988,12337,1375318,22640,773392,1212477,3671,,,-58998,0.0,,,850610.0,,-178110,139160,16230543,-87864,-45102,-105292,9618,0.0,6873,-690274.0,
2013-08-08,2,2013,332987.0,,,-1367336,2476739,290556,-4066702.0,-47022,-560897,79512,-261497,,-79196.0,-854137,,546779.0,-54304.0,-1812616,492189,152894,-5689497,0.0,-1218030,-2416833,,,-91652,,,,267967,562194.0,,,-384896.0,-158810,0.0,-17679,1562892,3811149,-2543614,162401.0,-1474797,-1108990.0,-7114.0,-8461917,3083895,,-536741,0.0,-1794555,252845,-464608,1828684,145508.0,,2013年01月01日至2013年06月30日,15657672,12650908,-551582,-3006764,2883541,,2839022,2124394,-40755,0.0,4595736,-2818466,2463237,2883541,-1908.0,3573179,-4665313,-1092134,18278,1841911,13095,780049,2421538,-124590,,,-59001,0.0,,,337092.0,,-759147,-567745,12650908,-649448,-82627,-86484,129974,246051.0,3896,,
2013-11-12,3,2013,971089.0,,,-1430533,4053889,-533818,-4066702.0,46305,200742,102139,-303904,,-4767.0,-1500469,,662612.0,-133992.0,-2761328,724372,267747,-8250297,0.0,-1393862,-4099107,,,-242930,,,,382879,,587920.0,,-377969.0,-1393522,0.0,5897,4074093,6541305,-2889458,-31091.0,-3594073,-2113721.0,-20230.0,-8520288,4651975,0.0,-486817,29738.0,-2738537,346297,-742391,2785048,2463050.0,,2013年01月01日至2013年09月30日,15657672,13137708,-388361,-2519964,3507025,,2412522,1279063,-1731135,0.0,5230215,-3341313,3320055,3507025,-78299.0,7485173,-10684224,-3199051,49287,2482107,37279,874686,3879209,20083,,,-77242,8600.0,,,274669.0,,-2227962,-635972,13137708,-909198,-151298,-103960,329693,303767.0,42346,-958642.0,
2014-03-24,4,2013,1202423.0,,,-1451604,4324699,-643983,-4066702.0,577205,-1785013,-69233,142356,-490251.0,-19146.0,-2274560,,516271.0,,-3807787,1025719,343734,-10897342,0.0,-1491633,-5292193,-10000.0,-14730.0,-277188,-1143743.0,,,662077,,1274147.0,-493849.0,,-1591711,0.0,-22629,4607799,8867189,-3203813,21779.0,-5940366,-1781945.0,22859.0,-11217188,6258643,,341885,163231.0,-3207140,366353,-1007583,3842535,2471265.0,,2013年01月01日至2013年12月31日,15657672,12768615,-1196014,-2889057,3307294,,1577775,-287455,-1246688,0.0,5720164,-3984376,6406622,3307294,-81075.0,9078237,-13875409,-4797172,258023,3526817,60145,1163135,4979525,-253457,,,-91961,13220.0,112000.0,,0.0,,-3594749,-335535,12768615,-969722,-256182,-71336,287224,663831.0,1002381,,-342072.0
2014-05-09,1,2014,394004.0,,,-46186,-679447,70860,,-244765,-951897,44311,-42623,,0.0,-465772,,231366.0,-111593.0,-1054440,251091,92182,-2355717,-3197.0,0,-901417,,-49475.0,-18363,,,,118361,,83861.0,,74248.0,745991,,-1353,1257502,3264874,-337555,116466.0,-2838933,348650.0,-14587.0,-1055044,1650585,,116636,,-584816,116331,-253902,1056342,0.0,,2014年01月01日至2014年03月31日,12768615,15642464,-321051,2873849,1171585,,-772146,-1541928,-11167,,1789232,-135271,4608857,1171585,,369052,-3476569,-3107517,1069,948433,14083,43432,1261108,-72350,,,-32825,,,797.0,43414.0,,-2713513,-97063,15642464,-32658,-30669,-13365,0,,122977,-459481.0,
2014-08-04,2,2014,1637864.0,,-1000000.0,-67192,-257011,-43542,0.0,246178,-294591,-4993,-289946,,0.0,-1930360,,348917.0,-122261.0,-2175025,550933,-72084,-5222865,-3197.0,-283000,-1524417,,-49277.0,-80940,-236102.0,,,238647,,732264.0,,78019.0,102337,,6048,2707103,6087833,-579191,-26419.0,-5495687,-972084.0,-32446.0,-3238669,3261678,,-477583,,-1076158,201233,-531072,2198777,153043.0,,2014年01月01日至2014年06月30日,12768615,15789938,187877,3021323,1948801,,-3332184,-4564571,-109183,1500000.0,3059605,-359794,9664260,1948801,-8635.0,2455520,-10606756,-8151236,399918,1977696,21988,133976,1918668,-177423,,,-73044,,,,0.0,,-6513372,-171573,15789938,-435318,14191,-5319,0,0.0,338625,-1205300.0,
2014-11-10,3,2014,1481860.0,,-1000000.0,-391422,-838892,-115850,0.0,1466861,-315040,-7502,-958928,,0.0,-2879387,,449300.0,-177956.0,-3365529,843112,117272,-7560630,-13097.0,-288000,-3755749,,-120787.0,-102115,,,,486219,,1017269.0,,44036.0,239324,,7734,4037029,10515644,-974101,-108415.0,-8340539,-2308899.0,-28282.0,-1050138,4887663,,-3936195,0.0,-1778460,287626,-830311,3391870,3378983.0,,2014年01月01日至2014年09月30日,12768615,19548280,-443761,6779665,3712804,,-8554267,-10477935,-1978356,1500000.0,7351233,-805700,16266798,3712804,-53807.0,4303616,-19976215,-15672599,968289,2897536,39565,535288,4039454,-234472,,,-82381,0.0,,,33334.0,,-14190739,-225609,19548280,-637891,13612,8426,59234,63942.0,405770,-1360701.0,
2015-03-23,4,2014,2066061.0,138070.0,-2000000.0,-733126,211864,-433483,0.0,1799539,-275433,56627,-7745,,0.0,-4739539,-1057100.0,555583.0,-261944.0,-4583610,1144821,468517,-10424558,-54943.0,-363843,-5041724,0.0,-121244.0,-265049,0.0,,,989953,,1381047.0,-102309.0,,-22112,,-7760,854383,10610787,-1882954,-209371.0,-8475625,-2926459.0,104821.0,-3122210,6468667,,251481,80640.0,-3100167,376196,-1090752,4626705,3385822.0,,2014年度,12768615,19346561,-1364055,6577946,3610800,,-7712970,-10456194,-2040625,3000000.0,9529513,-2142856,16944609,3610800,-57849.0,2136547,-18269602,-16133055,1376515,4110535,162612,756203,5199933,-291927,,,-117400,0.0,7203.0,,729486.0,,-14066994,-704934,19346561,-792729,-32748,23618,112546,-153692.0,1973811,-1640687.0,
2015-05-11,1,2015,,,,-50121,-1653908,332754,,-455964,-140674,111489,-205069,,,-85576,,89099.0,35832.0,-1567007,302863,-232834,-2433783,0.0,-747,-1477576,,0.0,-20091,,,,123732,,-29042.0,,101523.0,1840674,54963.0,4866,-25030,1191837,-141134,-10576.0,-1835946,-600217.0,,112712,1647245,,-2883334,,-771506,216343,-290466,1534953,,1405712.0,2015年01月01日至2015年03月31日,19346561,19001620,686903,-344941,1603216,2947.0,-1429777,-2580022,-2509,,1922955,-1987552,1204958,1603216,,-2108239,-3480711,-5588950,300460,1080673,2422,244337,1415178,-73223,,,-124128,,721.0,480.0,,1109260.0,-4183238,-83742,19001620,-94242,-2878,6545,14361,64.0,858562,96677.0,
2015-08-10,2,2015,,,0.0,-68905,868653,496465,,-1856145,58742,20564,-371461,,,-830648,,137301.0,63696.0,-3191016,633662,-350990,-5381570,0.0,-731,-2822270,,-56133.0,-722811,,-1813909.0,,469652,,-91991.0,,175064.0,-398044,-68615.0,8310,99716,5539201,-169470,486956.0,-2901874,-1952359.0,,-5217990,3272417,,-1781054,,-1671169,392242,-663848,3139843,138109.0,2259541.0,2015年01月01日至2015年06月30日,19346561,17785239,974667,-1561322,2775840,-25215.0,-1698076,-3612652,-1145058,0.0,3479202,-2136748,5705734,2775840,-3117.0,-591007,-8057026,-8648033,300240,2187049,29007,322761,2731623,-127952,,,-141200,,740.0,516.0,,,-6388492,-178058,17785239,-561419,15903,-7478,14361,-737.0,1474964,-376793.0,
