date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得透過其他綜合損益按公允價值衡量之金融資產,員工執行認股權,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分子公司股權（未喪失控制力）,處分持有至到期日金融資產,處分無形資產,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加（減少）
2013-05-06,1,2013,6467145.0,,,-4460478,100112,-137714,25954,-189293,9764,-13962,-107679.0,0.0,-39371,60772,-40399,530889,1054515,-5398122,-28799,,,,-35531,,101801,384068,0.0,,-2394449,,,4000540,-88617.0,-5510264,6098433,-426842,-1263761,13888,233773,-611315,28894,0,,2013年01月01日至2013年03月31日,19993516,21275604,1282088,3158745,8573083,9645652,,,,-2947541.0,,-2835246,3158745,73989,0,-2774078,2793840,19762,4484934,99238,0,,,,,,6486907,21275604,-490148,-614778,,,0.0,110578,,
2013-08-09,2,2013,14120934.0,19062.0,,-13385195,371522,57828,-85467,-253250,-3706,-45682,-136886.0,,413,558971,-86290,1051905,1528949,-13094362,-210231,,-88169.0,,-155846,0.0,148809,-256080,-250387.0,,-1863811,,,2540993,,-13425960,12240737,-657275,599518,30781,451519,-1072108,76722,12103,,2013年01月01日至2013年06月30日,19993516,25740189,5746673,8196669,20130188,22767875,,,,-1516737.0,,-2486504,8196669,134761,-12103,-2238737,2689009,450272,12411898,149905,196615,,,73716.0,,70210.0,14571206,25740189,-1654404,-806097,166325.0,,-99597.0,390425,,
2013-11-12,3,2013,21028173.0,19062.0,,-23323300,585715,-24852,-76854,-411497,28750,-56504,-377015.0,,445,110112,-140253,1617816,559625,-22597582,-218757,-30099982.0,-88169.0,,-236252,,504352,-3534135,-250387.0,,2735810,,0.0,-1203254,,-21699865,18370848,-802117,699380,24030,605914,-1870159,123240,58945,,2013年01月01日至2013年09月30日,19993516,40294503,20300987,13564797,28889452,32589916,3393000.0,-7834877.0,11900051.0,5596708.0,,12551775,13564797,209068,-58945,2471304,-4474358,-2003054,22444446,316460,196615,31561981.0,,73716.0,0.0,,19025119,40294503,-2012490,-661579,196325.0,,-72101.0,754837,,
2014-03-12,4,2013,29313677.0,27368.0,,-31382333,1068223,-6540,2796,-108425,-174306,-48291,,4513.0,-104499,1345390,-212801,2257144,867872,-29142719,-3474152,-53135894.0,-88169.0,,-313110,,1071854,-3241115,-250387.0,,4722462,,,-5767254,,-29925843,24696607,-1011975,1122280,-26300,774304,-2200143,182164,176058,,2013年01月01日至2013年12月31日,19993516,45026371,25032855,19356692,41295955,45276515,3393000.0,-7834877.0,11900051.0,7051874.0,,12794871,19356692,260801,-131449,4607200,-8001054,-3393854,28715694,351546,1093408,55032536.0,,73716.0,0.0,,25919823,45026371,-2138639,-795359,196325.0,,-72101.0,949015,,
2014-05-08,1,2014,7611099.0,,,-6123956,-22647,30320,-73957,-27716,44182,2505,-9806.0,,3946,848000,-58712,589916,1129045,-3975218,-1942512,-23879381.0,,-100000.0,-88151,,452581,144372,,,-3517508,,,5393323,,-3530980,6269956,-137870,308372,64226,135271,-556723,69151,3417,,2014年01月01日至2014年03月31日,45026371,43577488,-1448883,4283317,13167630,14035287,,,,-11399502.0,,-12214578,4283317,33487,-3417,-3707800,5848671,2140871,4853794,17536,2370171,24072435.0,,,,,9751970,43577488,-383502,-326296,,,,58668,,
2014-08-11,2,2014,15470807.0,20411.0,,-12491602,1103878,-39026,180643,-188122,10638,74054,-104088.0,,-390429,462672,-129289,1160339,13272,-14538192,-1952490,-50348597.0,0.0,-100000.0,-183848,,759748,-1268495,0.0,,-2286965,,,2135523,,-13120798,12517824,-189655,167202,94827,269544,-918039,113213,18448,,2014年01月01日至2014年06月30日,45026371,41729867,-3296504,10334409,23076510,25430837,,,,-11262119.0,,-13265488,10334409,60848,-18448,-1181461,807082,-374379,9740197,159409,3829378,50487648.0,,0.0,,,15096428,41729867,-1567949,626300,0.0,,-85766.0,426190,,
2014-11-06,3,2014,22283615.0,20411.0,-729790.0,-28702253,1942223,-804691,436313,-391366,-542972,-2913,-415878.0,,-393429,1213050,-188675,1723479,1453852,-31962979,-2065428,-83622451.0,0.0,-100000.0,-299132,,1313988,-6269002,0.0,,5892965,,,-5259976,,-30336060,18917510,-336446,359875,81391,396642,-1505070,176231,88574,,2014年01月01日至2014年09月30日,45026371,32968043,-12058328,18924191,32986156,36234729,0.0,-9967215.0,8888562.0,-6440272.0,,-16162276,18924191,83817,-88574,7392083,-12365160,-4973077,19563383,269208,4350752,83882866.0,,0.0,,,17310538,32968043,-2008308,-667028,0.0,,-85766.0,812003,,
2015-02-26,4,2014,29355792.0,20411.0,-729790.0,-40978403,3045452,-8625,703764,102353,-111843,-2879,,-372569.0,-480711,1717372,-243474,2324426,2418182,-39598964,-3565428,-108958658.0,0.0,-100000.0,-396466,,1498343,-8208824,0.0,,6422305,,,-9703070,,-38817889,25805042,-835779,823313,108726,545734,-2065244,233457,101252,,2014年度,45026371,51694410,6668039,28473599,45864749,50058437,0.0,-9967215.0,8888562.0,-3442162.0,,-2797003,28473599,110157,-101252,9223899,-16994853,-7770954,32030868,421207,4388130,109825159.0,,0.0,,,21584838,51694410,-2463153,-1838840,28421.0,,9905673.0,899480,,
2015-05-08,1,2015,,,,-5803317,-1417585,411,306642,528999,184121,-3136,-12013,,-32942,-63404,-51305,577332,-1296637,-7762448,-149279,-31598532,,0,-162975,,557403,-3183220,,-5333406,-3705388,,,9899771,,-7391145,7256998,-166653,535510,-3804,135828,-559232,52766,65750,8550901,2015年01月01日至2015年03月31日,51694410,49414436,-2279974,5506616,16025978,17040125,,,,-4041624,,-9618170,5506616,12875,-65750,-4798863,7781471,2982608,5005910,31255,700404,31595385,,,,,11533509,49414436,-573431,968918,,,,0,-216787,
2015-08-05,2,2015,,27645.0,,-14113844,-859009,-186847,844552,125019,101959,-1295,303895.0,,-107830,-357770,-116277,1113450,-2379308,-18014203,-169291,-57120657.0,,0.0,-235988,,687056,-1761714,,-5333406.0,-1456094,,,2154407,,-17267223,14479934,-481254,1207714,50590,272376,-930674,115460,72720,16571917.0,2015年01月01日至2015年06月30日,51694410,54174574,2480164,10906427,23567297,27167077,,,,,-3064624.0,-1440602,10906427,19355,-72720,-1849846,1538579,-311267,11522159,158856,820369,57069981.0,8910346.0,,,,16260650,54174574,-2857286,1302247,,,-46994.0,16201,-135469.0,
