date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-08,1,2013,57335.0,,,-666800,-11005,3221,-3055,2498.0,-4598.0,,4228.0,,,,,-266,12861,-3304,-74869,0.0,,0.0,-1541,-23197.0,,-1361,-104.0,,47423,,-14265,6.0,,-28,7266,682,-99711,37308,,,99,9287,-12560,266,,,2013年01月01日至2013年03月31日,503518,519802,16284,-22362,95695,114120,,90398.0,,23604,-22362,,-19579,98726,79147,600000,0,,,,-222,,0.0,,,136482,519802,-6131,-371,,,,,46780.0
2013-08-08,2,2013,116840.0,,,-866800,3638,-1399,-14807,-1.0,-44982.0,,4258.0,,,,,-762,25033,25171,-191536,0.0,,0.0,-3845,-8229.0,,-1925,-443.0,,-10679,0.0,35406,4.0,,1688,9730,-3522,-197581,76827,,,190,20967,-25159,723,745.0,,2013年01月01日至2013年06月30日,503518,505077,1559,13901,148866,180037,,91899.0,,25103,13901,-2940.0,39332,9964,49296,800000,6472,,,,94,,,,,166136,505077,-7480,-644,,,,,69966.0
2013-11-07,3,2013,142363.0,,0.0,-1426800,-486,13409,-1037,-12.0,-35392.0,,-9365.0,,,,,-1132,37961,28510,-228189,0.0,,0.0,-6504,-59498.0,,2342,1256.0,,-51880,0.0,19374,,-5.0,1132,-36990,2752,-254702,118687,,,-616,31486,-37920,1169,4367.0,,2013年01月01日至2013年09月30日,503518,436290,-67228,8690,78135,120258,,157634.0,,80829,8690,-4367.0,33417,-64212,-30795,1350000,7388,,30845.0,,-113,,-9682.0,,,111568,436290,-9739,-2549,,,-29654.0,,67700.0
2014-03-26,4,2013,180389.0,,,-1426800,24079,15723,-4812,-24.0,-60231.0,,-9365.0,,,,,-1693,49629,21839,-271983,0.0,,0.0,-8263,28546.0,,-1424,1162.0,,-46076,0.0,55934,-29993.0,,492,-115281,4843,-176359,162793,,,-387,42129,-48416,1651,4367.0,,2013年01月01日至2013年12月31日,503518,516947,13429,59021,119430,173540,,155312.0,,48519,59021,-4367.0,96204,-162074,-65870,1350000,12832,,61347.0,,-237,,-31031.0,,,114519,516947,-11712,-5369,,,-29654.0,,68848.0
2014-05-09,1,2014,53079.0,,,-60000,-23831,-3857,14826,207.0,-1886.0,,0.0,,,,,-573,11932,7832,-23880,0.0,,0.0,-4185,58902.0,,1507,-1035.0,,66538,0.0,-77208,0.0,,2220,26273,-2697,48005,42589,,,30,9518,-12001,403,0.0,,2014年01月01日至2014年03月31日,516947,721789,204842,13359,53613,69080,,143706.0,,95392,13359,0.0,-102469,105111,2642,11686,772,,17431.0,,3447,,-11556.0,,,55721,721789,-3869,-6095,,,2280.0,,2057.0
2014-08-06,2,2014,-22833.0,,,-60000,212290,2315,-134056,1162.0,-28480.0,,0.0,,,,,-1576,25504,25708,-52823,0.0,,0.0,-9589,32139.0,,1745,-111.0,,113355,0.0,-25493,0.0,,1607,-48051,-4516,142837,86679,,,87,16642,-26721,1395,979.0,,2014年01月01日至2014年06月30日,516947,625791,108844,-53819,-5968,33549,,-4385.0,,-53733,-53819,-979.0,191881,-81680,110201,10652,1760,,171461.0,,3419,,-142973.0,,,87368,625791,-15170,-13661,,,2280.0,,20068.0
2014-11-06,3,2014,26703.0,,,-70000,265706,14032,3112,1164.0,-42856.0,,0.0,,,,,-3286,37586,19522,-70367,,-251.0,,-26266,0.0,,3850,,164.0,85286,,-55556,,0.0,489,27954,-11569,143024,127472,,,-714,25794,-40035,3123,3928.0,,2014年01月01日至2014年09月30日,516947,698885,181938,13972,299833,354706,,0.0,-220130.0,-280441,13972,-3928.0,225835,88196,314031,9689,4392,,186268.0,,3666,,-153995.0,49084.0,,340734,698885,-21889,-12022,,,2280.0,,26269.0
2015-03-19,4,2014,121766.0,3789.0,,-70000,263533,-8752,1774,423.0,0.0,,0.0,,,-78172.0,,-3528,47590,25118,-84711,-7965.0,-1535.0,0.0,-28507,-5067.0,,3258,0.0,,42543,0.0,-1619,0.0,,-477,102343,-5868,55310,165109,,487.0,-983,34695,-49722,276,4503.0,,2014年度,516947,719127,202180,70170,546767,615443,,-363739.0,,-425015,70170,-4503.0,253108,170399,423507,8724,4250,,193839.0,,3807,,-159557.0,58902.0,,545273,719127,-23733,-9995,30335.0,,15538.0,,29607.0
2015-05-07,1,2015,,,,-192995,-74507,-3575,5755,0.0,,,,,,-4581.0,,-5435,14157,-2705,-4541,,,,-1286,,0.0,191,,,-39154,,-13466,19994.0,,454,56476,688,-6778,39477,,,495,9427,-14717,2827,,60515.0,2015年01月01日至2015年03月31日,719127,609181,-109946,43126,15327,27444,,0.0,-142789.0,-115790,43126,,-91094,14897,-76197,200000,3630,,0.0,,2650,2686.0,0.0,,,-15682,609181,-227,-3133,,,0.0,,-8868.0
2015-08-05,2,2015,,,,-1417501,-35171,313,-58150,1.0,0.0,,0.0,,-38217.0,,,-1107,18469,7914,-16582,-5000.0,-1162.0,,-3004,,5067.0,-498,,,-59644,,133,19992.0,,1713,111710,1580,-27305,80229,,,55,19287,-18914,1089,,104732.0,2015年01月01日至2015年06月30日,719127,614622,-104505,78539,114643,135908,,,-367841.0,-199757,78539,0.0,-33011,-14352,-47363,1565268,1437,,29651.0,505.0,2918,2686.0,-20941.0,,,57369,614622,-3440,3634,,325.0,0.0,,-9848.0
