date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人減少,其他籌資活動,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,合併發行新股追溯調整,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,預付款項（增加）減少
2013-10-23,2,2013,19671.0,-12254,,-85.0,2541.0,-17308.0,,-2118,3697,88371,-33410,,,0.0,,,5879,193480,-31925,,-28942,18764,1255,-3887,2118,,2013年01月01日至2013年06月30日,844063,1956385,1112322,349516,463709,526165,603138.0,,3354.0,,589184,349516,181226,-24248,156978,1927.0,-1927.0,,,,176649,1956385,-60687,1883
2013-11-06,3,2013,30828.0,1451,0.0,-85.0,2541.0,-17308.0,,-3679,5692,50921,-39392,,,0.0,,,-4337,216125,-56031,0.0,-34924,28852,1890,-5882,3679,,2013年01月01日至2013年09月30日,844063,2131270,1287207,593242,681529,775965,603138.0,,3851.0,,589681,593242,217576,-65681,151895,1927.0,-1927.0,,,,182723,2131270,-92233,-5228
2014-03-14,4,2013,42022.0,34521,0.0,,2541.0,-17308.0,,-6480,7506,108461,-41172,,,0.0,,,9012,267890,-239127,,-36671,38967,2523,-7697,6480,,2013年01月01日至2013年12月31日,844063,2315336,1471273,839935,824254,956096,603138.0,,-10601.0,,575229,839935,302411,-228272,74139,1960.0,-494.0,,,,116161,2315336,-130625,1843
2014-05-06,1,2014,-38996.0,-23220,,0.0,0.0,-27540.0,,-2117,1442,-9962,-450,,,,,,-9458,-104312,304354,,85467,9293,553,-1442,2117,,2014年01月01日至2014年03月31日,2315336,3741470,1426134,222634,303932,343658,1101600.0,,-27363.0,,1046697,222634,-127532,287552,160020,352.0,-344.0,85565.0,-47823.0,,121024,3741470,-40401,-7344
2014-07-31,2,2014,-31277.0,-9970,,-162.0,0.0,-27540.0,,-4625,2745,-90292,-4706,,,,,,-14461,-24536,32020,,81211,17681,1089,-2745,4625,,2014年01月01日至2014年06月30日,2315336,3730600,1415264,494923,377648,446676,1101600.0,,-27363.0,,1046697,494923,-34506,17536,-16970,352.0,-344.0,85565.0,-47823.0,,-48247,3730600,-70908,139
2014-10-30,3,2014,-24551.0,1111,,0.0,0.0,-27540.0,,-7261,4020,18384,-4688,-453055.0,,,,,-20972,4108,-26608,,-371826,25228,1629,-4020,7261,,2014年01月01日至2014年09月30日,2315336,3305652,990316,786133,601633,711775,1101600.0,-305040.0,-26895.0,,742125,786133,5219,-55026,-49807,352.0,-344.0,85565.0,-47823.0,,-74358,3305652,-113383,-7446
2015-03-12,4,2014,-18626.0,22141,,,0.0,-27540.0,,-10148,5127,68589,-13436,-1929747.0,,,-15349.0,,4106,-7523,-114308,,-1872615,32360,2186,-5127,10148,,2014年度,2315336,2069900,-245436,1108580,838770,993847,1101600.0,-305040.0,,-49200.0,719820,1108580,14618,-110725,-96107,352.0,-328.0,85565.0,-47823.0,,-114733,2069900,-160098,-523
2015-05-04,1,2015,,-27790,,,,0.0,,-9247,939,-19642,0,,-3439.0,,-14547.0,,-34596,-65858,366941,,-17986,7010,561,-939,9247,-737.0,2015年01月01日至2015年03月31日,2069900,2406317,336417,183558,374045,414483,0.0,,,0.0,0,183558,-93648,325310,231662,0.0,0.0,0.0,0.0,,230925,2406317,-48746,-7035
2015-08-03,2,2015,,-12604,,0.0,,0.0,,-34388,1884,-46911,-634,,-4418.0,,-14433.0,,-34108,35755,115604,,-19485,13606,1112,-1884,34388,-17786.0,2015年01月01日至2015年06月30日,2069900,2491968,422068,452883,488464,539776,0.0,,,0.0,0,452883,23151,81528,104679,0.0,0.0,0.0,0.0,,86893,2491968,-83816,32
2015-11-04,3,2015,,-8936,,,,0.0,,-54196,2686,50163,-2843,,-4418.0,,-14463.0,,-38782,63194,97191,,191673,20341,1672,-2686,39466,-29497.0,2015年01月01日至2015年09月30日,2069900,2889998,820098,760260,746034,836184,0.0,-167772.0,,0.0,-167772,760260,54258,51163,105421,0.0,0.0,0.0,0.0,213397.0,75924,2889998,-126930,-7246
